Country,Alpha-2 code,Alpha-3 code,Population,Subregion
Algeria,DZ,DZA,43851044,Northern Africa
Angola,AO,AGO,32866272,Middle Africa
Benin,BJ,BEN,12123200,Western Africa
Botswana,BW,BWA,2351627,Southern Africa
Burkina Faso,BF,BFA,20903273,Western Africa
Burundi,BI,BDI,11890784,Eastern Africa
Cabo Verde,CV,CPV,555987,Western Africa
Cameroon,CM,CMR,26545863,Middle Africa
Central African Republic (the),CF,CAF,4829767,Middle Africa
Chad,TD,TCD,16425864,Middle Africa
Comoros (the),KM,COM,869601,Eastern Africa
Congo (Republic of),CG,COG,5518087,Middle Africa
Côte d'Ivoire,CI,CIV,26378274,Western Africa
Djibouti,DJ,DJI,988000,Eastern Africa
Congo (Democratic Republic of),CD,COD,89561403,Middle Africa
Egypt,EG,EGY,102334404,Northern Africa
Equatorial Guinea,GQ,GNQ,1402985,Middle Africa
Eritrea,ER,ERI,3546421,Eastern Africa
Eswatini,SZ,SWZ,1160164,Southern Africa
Ethiopia,ET,ETH,114963588,Eastern Africa
Gabon,GA,GAB,2225734,Middle Africa
Gambia (the),GM,GMB,2416668,Western Africa
Ghana,GH,GHA,31072940,Western Africa
Guinea,GN,GIN,13132795,Western Africa
Guinea-Bissau,GW,GNB,1968001,Western Africa
Kenya,KE,KEN,53771296,Eastern Africa
Lesotho,LS,LSO,2142249,Southern Africa
Liberia,LR,LBR,5057681,Western Africa
Libya,LY,LBY,6871292,Northern Africa
Madagascar,MG,MDG,27691018,Eastern Africa
Malawi,MW,MWI,19129952,Eastern Africa
Mali,ML,MLI,20250833,Western Africa
Mauritania,MR,MRT,4649658,Western Africa
Mauritius,MU,MUS,1271768,Eastern Africa
Morocco,MA,MAR,36910560,Northern Africa
Mozambique,MZ,MOZ,31255435,Eastern Africa
Namibia,NA,NAM,2540905,Southern Africa
Niger (the),NE,NER,24206644,Western Africa
Nigeria,NG,NGA,206139589,Western Africa
Rwanda,RW,RWA,12952218,Eastern Africa
Sao Tome and Principe,ST,STP,219159,Middle Africa
Senegal,SN,SEN,16743927,Western Africa
Seychelles,SC,SYC,98347,Eastern Africa
Sierra Leone,SL,SLE,7976983,Western Africa
Somalia,SO,SOM,15893222,Eastern Africa
South Africa,ZA,ZAF,59308690,Southern Africa
South Sudan,SS,SSD,11193725,Eastern Africa
Sudan (the),SD,SDN,43849260,Northern Africa
"Tanzania, United Republic of",TZ,TZA,59734218,Eastern Africa
Togo,TG,TGO,8278724,Western Africa
Tunisia,TN,TUN,11818619,Northern Africa
Uganda,UG,UGA,45741007,Eastern Africa
Zambia,ZM,ZMB,18383955,Eastern Africa
Zimbabwe,ZW,ZWE,14862924,Eastern Africa
