Variable:,pr
Country:,Botswana
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,87.84,77.66,67.30,31.87,3.15,1.41,0.33,1.25,7.60,24.73,48.84,81.33
1902,96.93,62.38,51.94,29.32,2.98,1.47,0.68,0.38,6.66,19.53,46.26,63.76
1903,86.56,65.30,48.14,20.03,5.77,1.42,0.42,0.76,3.21,16.48,49.05,66.05
1904,121.05,64.78,69.80,19.18,4.47,0.96,0.24,0.30,4.45,24.72,38.01,57.34
1905,71.68,81.75,48.09,17.67,3.42,0.69,0.28,0.70,4.15,13.06,36.89,60.47
1906,106.64,91.32,54.23,17.61,4.66,0.90,0.26,0.25,7.22,25.94,56.18,65.59
1907,93.52,104.42,48.36,44.79,5.35,2.30,0.44,0.38,8.17,18.45,45.42,78.22
1908,78.53,98.05,40.34,13.65,2.63,0.61,1.27,0.54,5.22,15.87,48.37,69.35
1909,125.64,85.51,86.82,31.22,10.21,0.71,0.33,0.55,2.02,11.37,35.47,83.50
1910,78.30,89.10,89.56,17.07,2.29,2.16,0.50,0.33,4.20,39.63,47.74,53.87
1911,121.30,78.73,66.90,15.75,14.95,1.44,2.04,2.35,1.35,13.30,37.14,46.66
1912,97.67,85.45,40.19,28.72,7.09,0.60,1.20,0.17,2.12,11.53,19.08,53.74
1913,53.57,93.81,40.32,34.08,5.10,1.46,0.46,0.79,4.63,23.62,38.99,37.98
1914,63.60,101.85,45.83,18.93,3.97,1.13,0.22,2.97,1.36,12.48,48.54,106.47
1915,158.94,69.98,41.82,14.64,6.63,2.01,0.99,0.77,4.40,20.40,35.50,61.45
1916,49.45,40.96,52.58,20.96,5.36,0.44,0.28,0.19,1.64,16.50,46.50,104.08
1917,72.04,97.12,40.35,18.77,10.29,1.01,0.80,2.84,2.81,6.14,47.27,103.63
1918,139.34,79.78,107.43,5.95,2.70,0.29,1.20,2.08,5.93,31.21,45.83,71.56
1919,130.21,82.35,46.29,21.62,4.06,0.42,0.22,0.49,6.00,18.79,55.17,48.92
1920,94.85,139.93,48.25,11.57,5.37,0.31,0.18,1.30,3.88,22.79,27.17,63.56
1921,78.62,94.11,120.52,19.16,13.73,0.33,0.22,0.13,1.08,18.25,77.45,82.43
1922,47.15,48.66,40.45,3.26,12.22,1.38,0.09,1.72,0.41,24.65,38.82,53.23
