Variable:,pr
Country:,"Central African Republic"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,7.11,15.79,59.67,96.02,145.06,170.21,205.27,235.49,222.21,169.70,35.92,7.77
1902,7.11,15.79,59.67,96.02,145.06,170.21,205.26,235.49,222.21,169.70,35.92,7.77
1903,7.11,15.79,59.67,96.02,145.06,170.21,205.26,235.49,222.21,169.70,35.92,7.77
1904,6.91,15.43,59.13,93.63,145.99,170.47,202.67,232.93,218.49,166.48,35.62,7.56
1905,6.91,15.43,57.74,93.88,143.76,170.67,202.23,238.76,221.11,167.06,35.92,7.56
1906,6.91,15.79,61.43,93.33,143.96,170.68,201.37,234.95,220.38,168.94,34.25,7.48
1907,8.07,19.20,57.87,97.91,148.85,168.64,196.07,228.44,221.38,170.17,43.10,7.56
1908,7.99,18.29,56.35,95.83,118.46,143.85,231.68,235.66,234.55,173.81,35.93,7.43
1909,10.95,16.91,52.44,119.44,134.37,170.38,204.24,225.09,274.51,165.56,53.89,8.60
1910,6.31,16.88,38.36,89.15,137.92,165.99,195.88,237.59,206.06,163.30,37.68,5.90
1911,6.12,19.20,53.61,88.77,166.57,153.56,190.42,216.84,178.63,164.19,30.12,7.92
1912,7.95,16.33,60.34,83.80,139.72,164.99,215.18,241.73,223.89,156.59,34.56,5.93
1913,5.86,11.89,32.61,124.04,149.31,131.75,170.04,199.69,178.13,176.12,20.50,4.20
1914,16.26,9.95,63.59,100.93,145.28,158.50,207.78,251.34,215.15,172.80,59.70,8.83
1915,7.80,18.95,58.28,85.68,125.03,163.63,193.86,219.63,219.98,168.73,46.53,7.07
1916,6.73,26.37,46.35,108.31,144.50,180.78,189.86,202.61,231.32,180.56,33.88,8.39
1917,7.78,17.01,55.45,103.92,143.92,158.59,204.58,226.50,224.70,164.72,53.46,11.10
1918,7.81,17.01,61.12,89.44,131.27,178.61,201.32,199.82,230.46,166.47,57.37,9.04
1919,11.77,12.29,39.32,93.95,173.32,141.66,203.20,263.70,208.03,159.33,55.16,8.81
1920,6.49,14.66,57.64,99.44,157.39,177.51,214.80,230.52,232.29,173.03,34.25,7.56
1921,6.53,14.62,53.97,118.00,166.63,166.27,207.38,238.77,219.78,171.78,39.45,7.98
1922,6.29,15.88,53.03,94.40,151.48,174.30,206.78,250.65,234.79,188.15,35.05,7.76
