Variable:,pr
Country:,"Congo (Democratic Republic of the)"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,129.67,123.54,167.39,160.31,108.17,64.15,62.89,92.83,126.50,168.73,181.22,152.87
1902,128.54,123.25,166.84,160.52,107.67,63.62,63.79,93.39,131.59,172.24,180.31,154.55
1903,128.75,121.26,166.51,160.67,107.32,70.98,66.29,91.35,131.50,175.26,180.31,151.14
1904,128.89,124.75,167.25,156.85,108.88,61.78,61.90,95.41,124.06,169.80,179.50,154.79
1905,129.62,123.69,168.02,155.97,105.87,62.24,61.84,93.85,129.00,169.30,181.00,158.15
1906,126.73,124.11,168.12,166.00,106.18,62.00,63.84,93.52,123.29,168.84,178.54,146.79
1907,123.64,132.13,158.13,163.79,109.93,62.52,61.42,94.01,122.90,166.76,178.79,148.28
1908,124.89,120.28,152.34,155.98,106.26,55.08,64.08,93.73,126.18,168.06,165.75,150.65
1909,124.86,124.51,160.61,171.25,105.66,58.78,61.10,97.04,141.90,164.62,177.81,152.45
1910,129.83,126.25,155.67,157.62,110.77,65.43,74.25,91.35,122.66,161.33,177.62,155.93
1911,118.53,132.39,160.44,146.79,109.94,61.10,61.78,85.70,130.20,169.34,181.08,154.79
1912,126.48,137.66,161.24,153.79,112.05,53.63,58.58,86.75,131.62,156.31,185.27,150.35
1913,120.48,124.69,158.04,154.05,111.30,63.17,50.60,75.28,101.99,169.44,148.79,128.04
1914,127.42,125.79,170.82,160.63,107.15,67.96,66.32,89.34,132.57,179.43,175.83,147.52
1915,119.86,118.23,155.19,147.81,100.95,66.19,46.46,81.48,145.07,150.18,165.40,170.81
1916,124.68,125.66,157.00,158.68,110.84,62.04,50.78,87.79,132.03,166.25,180.50,170.13
1917,147.72,140.18,160.45,161.31,114.93,62.71,48.26,96.42,132.14,178.05,149.75,142.84
1918,106.35,110.82,172.66,152.45,97.27,64.32,61.40,90.73,122.93,154.42,172.37,171.01
1919,157.45,139.82,157.53,140.77,97.99,84.18,75.16,109.80,112.73,154.35,181.14,159.55
1920,120.55,116.88,168.50,142.72,125.84,65.87,66.40,73.15,117.93,165.71,167.21,157.53
1921,122.89,114.65,151.84,159.75,103.41,59.83,62.08,87.86,116.49,156.82,157.02,140.06
1922,124.71,125.20,158.07,144.80,115.32,65.21,60.16,98.74,129.25,173.53,166.16,158.77
1923,126.31,126.76,169.95,172.69,102.76,54.64,73.09,87.18,134.54,161.22,176.35,168.94
1924,130.22,122.62,160.40,159.45,88.32,56.09,47.50,106.41,121.92,189.25,169.38,153.12
1925,112.46,126.26,171.12,163.65,110.27,63.89,66.81,94.65,125.71,165.28,199.75,166.74
1926,119.48,133.74,176.91,156.54,104.50,60.88,87.09,108.73,140.95,167.34,166.30,147.67
1927,108.01,119.31,189.98,147.64,121.61,56.50,56.34,87.58,119.70,159.48,159.99,161.26
1928,128.80,121.55,157.40,164.32,112.75,76.85,58.36,83.17,131.76,143.31,150.32,134.33
1929,134.51,118.63,155.51,156.84,93.56,64.14,70.49,102.44,119.96,182.82,171.54,158.20
1930,119.40,119.99,195.02,196.89,91.71,73.04,49.17,90.79,124.14,157.15,146.18,131.77
1931,148.76,119.89,162.85,163.31,105.59,59.09,61.39,90.76,114.54,141.42,178.95,173.33
1932,109.96,103.03,168.60,146.75,125.47,64.18,57.28,86.16,146.76,154.93,174.75,154.09
1933,147.35,134.15,179.70,125.76,98.43,55.85,62.27,97.45,112.32,139.37,167.30,173.81
1934,122.53,109.31,149.44,149.65,91.51,70.69,61.27,101.66,120.62,169.99,172.54,164.20
1935,107.42,143.12,163.32,167.83,136.81,71.80,50.41,83.89,103.50,151.07,168.67,156.70
1936,132.99,132.43,172.73,147.42,101.92,71.12,62.68,100.13,152.80,155.86,152.34,172.19
1937,127.98,143.50,163.88,186.45,100.84,62.94,65.20,70.24,125.35,172.60,169.69,158.59
1938,104.75,128.18,156.34,164.34,104.63,58.75,78.45,87.96,117.72,173.83,157.32,158.30
1939,139.01,143.32,164.43,163.50,101.53,61.23,56.44,86.83,138.30,157.12,194.09,163.89
1940,155.99,151.00,162.94,180.75,101.01,51.88,66.26,85.02,111.20,183.67,179.76,134.22
1941,104.48,136.05,159.84,139.19,113.86,67.94,59.39,111.65,100.42,184.27,199.26,164.75
1942,129.00,108.61,193.25,161.69,117.03,57.43,55.33,124.21,102.42,174.20,149.95,152.53
1943,133.75,102.96,150.84,153.53,137.35,71.05,55.24,108.61,104.58,114.07,155.61,160.03
1944,151.03,95.93,196.55,158.88,113.22,49.33,65.60,99.83,124.82,171.26,178.48,151.30
1945,140.60,109.94,155.28,147.95,135.93,57.86,66.69,94.27,141.88,157.11,169.60,147.43
1946,113.29,109.47,140.38,169.60,116.11,51.82,77.13,86.69,141.09,162.48,180.56,193.26
1947,159.99,119.99,182.29,178.79,113.93,70.01,78.57,82.68,114.35,154.52,153.64,164.62
1948,142.73,129.74,159.61,144.37,120.63,61.82,73.67,111.62,121.77,175.16,173.72,120.21
1949,115.18,109.15,156.65,145.73,101.72,62.32,76.61,90.92,122.04,144.22,155.71,145.94
1950,117.82,111.36,204.64,160.71,118.35,56.32,83.12,108.65,118.71,184.68,157.41,144.45
1951,119.02,112.68,187.75,134.01,107.84,71.78,53.77,82.09,130.30,186.04,202.15,160.40
1952,102.86,128.23,167.39,166.82,113.11,57.52,63.77,82.19,135.62,164.81,182.51,145.29
1953,128.72,117.68,179.74,167.31,116.95,56.70,55.25,79.51,113.07,167.16,165.65,143.39
1954,114.21,133.99,163.41,154.00,144.54,62.06,59.46,95.50,120.31,149.73,185.16,174.50
1955,164.04,112.05,170.83,189.56,124.47,50.13,77.95,81.77,156.48,165.03,153.62,180.40
1956,135.37,123.75,171.45,203.37,116.74,65.85,55.47,97.36,119.05,165.76,161.83,188.18
1957,140.30,111.59,213.83,184.63,96.07,69.36,57.21,83.40,101.02,185.62,158.09,195.16
1958,120.45,88.63,155.80,158.04,92.78,59.20,49.41,94.46,116.02,166.18,170.39,155.33
1959,139.86,124.95,150.13,152.08,111.10,53.39,53.82,94.96,131.93,169.65,181.13,162.97
1960,132.89,157.56,194.16,179.57,101.83,71.03,54.35,83.19,137.04,177.67,160.69,149.56
1961,148.46,134.65,169.43,169.57,99.52,62.69,73.07,95.55,161.92,215.76,224.53,171.42
1962,113.24,116.98,209.07,176.06,111.03,74.77,61.72,111.02,151.93,175.75,186.55,153.89
1963,148.24,118.73,182.55,198.20,127.15,59.03,74.01,82.71,110.18,137.49,206.30,171.96
1964,129.00,137.87,150.37,176.82,98.31,66.44,57.48,98.26,108.35,173.14,163.28,175.73
1965,104.53,131.28,195.48,146.67,80.56,55.62,60.39,90.79,146.63,183.21,183.42,157.56
1966,143.81,131.72,207.75,194.45,93.51,78.09,59.22,114.91,128.18,144.52,186.23,127.30
1967,108.48,106.40,162.25,135.72,107.40,73.39,53.95,96.09,140.45,182.75,199.48,153.65
1968,121.78,127.49,173.70,166.56,100.66,65.55,66.78,77.30,111.10,160.09,196.47,172.80
1969,172.97,138.60,206.96,160.20,123.59,54.17,68.56,99.05,116.72,169.46,176.35,159.09
1970,165.00,135.38,167.38,140.87,89.55,77.00,70.09,110.40,118.63,157.60,171.93,132.28
1971,114.25,120.17,144.89,140.94,94.70,48.92,86.51,90.96,145.79,153.13,189.28,136.87
1972,139.89,112.58,149.39,139.89,115.08,72.80,54.03,89.58,114.15,173.59,183.39,133.09
1973,117.39,118.47,132.18,151.41,128.72,48.00,46.24,78.82,120.97,167.32,169.48,134.99
1974,141.23,122.65,162.47,155.36,147.31,66.61,67.22,88.89,126.53,147.08,160.49,148.58
1975,114.35,127.26,153.23,156.29,107.44,57.73,67.11,92.25,137.70,166.23,151.52,156.86
1976,127.22,147.88,153.80,186.00,113.36,54.16,58.61,102.67,127.54,165.23,165.25,163.03
1977,137.36,98.97,172.25,180.36,94.22,71.35,66.93,110.48,127.80,179.91,194.51,167.33
1978,101.38,119.57,164.88,171.70,90.52,77.20,60.88,102.93,108.95,175.27,188.67,158.84
1979,142.81,151.23,164.93,172.20,111.97,64.51,58.35,86.26,99.81,157.97,178.11,153.56
1980,115.28,128.97,154.57,165.61,115.14,66.66,71.10,91.25,127.41,158.97,170.96,153.97
1981,119.59,96.91,189.08,143.05,105.51,58.62,61.94,100.54,148.64,168.92,153.08,137.49
1982,133.10,104.01,141.39,154.63,127.53,72.68,58.49,87.89,121.12,220.29,194.01,140.04
1983,120.58,107.53,135.98,139.84,103.69,64.93,61.51,84.30,108.24,199.83,181.47,145.61
1984,117.80,111.71,154.93,134.90,106.55,48.75,71.66,107.86,120.09,160.81,169.95,153.01
1985,133.07,116.65,170.01,186.06,120.20,57.52,65.31,77.64,140.03,139.22,163.39,157.01
