Variable:,pr
Country:,"Congo (Republic of the)"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,117.17,118.54,168.66,177.26,163.39,71.15,51.31,78.28,140.07,192.33,199.04,133.54
1902,102.08,109.42,175.73,177.52,160.86,70.63,49.64,79.81,140.09,204.48,205.29,156.11
1903,124.27,120.75,198.03,191.14,159.62,71.16,49.38,78.88,144.67,207.20,200.48,137.39
1904,114.93,123.24,167.19,182.07,153.30,73.25,47.39,72.77,120.18,200.61,210.04,133.61
1905,110.52,124.37,170.44,176.78,162.82,70.21,49.27,78.35,140.68,200.52,204.36,140.47
1906,115.86,109.80,171.41,215.49,146.88,65.08,47.33,80.28,122.28,191.26,238.20,131.21
1907,93.60,163.70,168.57,211.64,186.69,71.49,44.26,77.67,137.74,180.47,182.39,122.12
1908,100.62,105.14,144.86,165.25,155.58,48.14,51.92,66.87,137.83,216.98,189.17,154.84
1909,107.98,147.77,150.68,229.51,155.26,63.81,43.62,80.25,183.24,222.11,258.95,168.53
1910,145.14,134.84,94.68,199.30,204.25,75.08,87.24,72.05,128.95,159.28,199.66,127.82
1911,85.55,145.02,159.44,155.66,146.04,65.81,48.89,52.39,165.86,229.45,219.11,196.76
1912,144.78,155.57,230.36,174.93,182.93,73.24,50.64,80.83,127.48,200.71,217.87,112.19
1913,87.32,135.68,132.78,195.96,204.73,74.45,43.81,63.90,95.86,178.85,119.81,89.29
1914,110.46,111.86,157.10,192.87,170.13,81.87,47.17,65.06,135.58,208.68,211.10,156.52
1915,104.08,101.99,145.41,159.91,142.28,60.44,39.34,62.34,149.50,170.58,230.39,183.32
1916,107.74,158.95,164.13,179.67,148.37,69.55,44.27,69.26,139.44,268.38,226.46,170.22
1917,121.08,135.88,183.36,127.35,213.99,75.40,38.77,88.75,146.57,220.85,135.29,122.52
1918,74.94,93.61,149.92,191.14,139.52,62.41,64.57,77.88,109.50,170.65,194.46,204.01
1919,138.22,81.65,104.08,120.30,147.46,81.63,47.08,116.20,124.54,176.38,229.58,181.63
1920,113.87,115.12,133.91,170.78,209.49,65.23,60.81,57.03,125.01,167.90,208.33,168.65
1921,119.63,123.19,169.95,195.98,158.37,64.98,45.17,75.36,167.42,201.01,156.37,111.62
1922,96.36,116.95,197.33,169.26,170.85,86.45,49.00,60.98,137.25,203.61,172.55,167.24
1923,115.06,127.80,159.50,225.32,158.33,70.29,40.43,69.97,127.42,172.91,198.80,171.14
1924,114.28,116.21,162.27,159.65,138.47,65.85,45.44,91.08,129.95,225.33,201.61,146.73
1925,101.55,130.36,156.76,173.61,207.81,55.40,32.05,75.40,160.60,241.13,214.86,162.92
1926,97.67,152.99,152.12,163.63,158.84,87.51,58.87,104.51,158.93,218.57,194.23,145.44
1927,99.80,113.26,130.30,164.84,179.98,76.76,40.13,59.13,115.68,223.81,220.56,141.58
1928,125.95,89.60,143.13,176.79,166.96,97.13,30.42,78.87,158.19,183.90,221.28,145.01
1929,146.19,137.03,171.44,169.14,123.86,74.67,35.08,94.77,140.58,194.18,226.79,141.99
1930,83.23,126.63,205.49,127.44,125.11,65.92,32.74,71.03,111.18,226.69,166.56,129.25
1931,102.00,172.52,124.43,171.83,183.50,77.67,54.42,55.49,106.06,148.23,207.14,141.92
1932,133.28,84.81,125.60,146.81,161.07,64.54,25.83,64.43,155.96,194.52,213.09,201.34
1933,123.22,136.31,245.35,216.26,179.36,73.79,54.96,72.71,134.12,184.18,163.03,135.60
1934,74.31,99.02,152.72,184.87,197.90,72.92,52.79,74.81,161.11,153.71,190.71,155.94
1935,87.00,145.60,187.48,185.58,152.88,59.68,40.04,71.57,109.60,209.06,188.06,176.78
