Variable:,pr
Country:,Djibouti
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,10.49,32.35,23.22,29.10,0.25,4.54,9.10,219.30,38.54,0.12,0.12,28.77
1902,5.78,1.64,0.42,0.60,0.27,0.08,0.66,0.82,0.32,3.22,41.25,0.17
1903,23.63,4.43,7.49,3.92,8.53,0.08,0.69,15.38,153.24,18.71,0.12,8.07
1904,1.07,2.08,61.63,0.52,0.26,0.07,9.10,0.89,115.02,0.11,61.44,16.90
1905,2.01,0.18,44.09,106.30,10.04,0.07,4.89,0.92,153.20,5.07,28.79,0.10
1906,0.16,3.58,47.73,0.59,0.27,0.07,30.11,30.06,0.31,0.11,48.25,6.03
1907,2.97,1.61,0.39,12.36,0.26,0.06,25.82,22.74,19.07,3.83,0.30,17.89
1908,12.40,1.60,3.90,2.24,0.23,0.07,22.38,22.80,19.07,15.85,5.97,0.87
1909,12.14,0.48,6.98,14.00,12.87,0.09,17.88,161.06,6.73,2.69,0.37,4.10
1910,0.86,2.40,16.13,3.33,13.22,0.07,49.36,68.07,6.06,2.28,0.12,3.09
1911,5.49,1.27,134.32,15.88,4.42,1.57,41.42,51.20,134.72,28.74,29.50,10.05
1912,3.05,9.80,6.77,44.83,2.04,5.52,24.75,68.57,4.13,0.10,1.78,39.26
1913,3.77,5.38,76.86,13.71,30.64,0.07,6.43,20.96,14.46,1.96,0.12,0.10
1914,4.21,4.71,7.51,8.86,5.39,2.23,12.39,176.63,64.70,33.72,2.15,9.18
1915,6.06,0.52,16.89,17.45,3.79,2.71,7.65,8.24,76.95,0.14,0.18,2.11
1916,3.98,29.54,77.29,8.95,0.31,0.06,109.82,41.28,0.38,0.10,0.12,29.75
1917,0.19,0.19,0.39,0.61,0.34,0.09,4.89,146.49,57.70,0.13,0.12,14.01
1918,1.07,0.22,0.46,10.66,0.27,0.07,0.66,0.87,0.29,1.35,0.12,2.08
1919,1.10,0.20,122.64,0.52,0.26,0.07,84.69,0.86,19.04,0.10,2.21,0.10
1920,12.34,18.14,0.45,0.56,0.25,0.08,4.89,153.79,19.06,14.37,0.13,0.10
1921,9.43,0.16,0.37,2.86,4.75,3.09,51.45,25.34,7.19,4.29,2.62,5.04
1922,0.14,0.18,75.63,2.34,45.29,1.00,28.95,78.53,18.48,0.72,0.12,3.52
1923,0.14,14.68,22.08,18.91,1.13,1.76,20.10,51.10,110.65,4.48,15.50,41.58
1924,3.77,17.40,15.05,15.30,6.62,4.38,17.18,57.53,4.52,1.54,0.12,28.92
1925,15.98,16.01,5.60,6.60,4.39,4.50,32.38,62.90,17.11,1.51,34.40,0.14
1926,47.20,45.96,22.82,27.08,49.31,3.41,19.24,38.97,6.65,5.12,16.19,4.90
1927,2.31,2.09,0.42,35.42,9.95,2.64,21.15,14.37,102.93,0.61,1.97,0.10
1928,0.15,0.16,0.42,22.01,8.82,2.59,15.62,8.85,1.95,0.49,49.67,11.65
1929,1.05,0.17,4.69,8.53,14.47,5.30,23.14,23.34,81.48,1.96,16.74,39.95
1930,9.61,2.05,27.29,27.61,5.48,5.61,10.11,63.33,17.03,9.77,0.12,40.65
