Variable:,pr
Country:,Egypt
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,8.22,1.47,1.44,0.91,4.49,0.35,0.52,0.79,0.27,0.73,2.05,4.52
1902,6.88,2.72,1.88,2.30,0.94,0.35,0.53,0.79,0.23,1.01,2.91,3.80
1903,4.45,2.80,3.87,1.28,0.83,0.30,0.52,0.79,0.24,0.88,1.70,2.95
1904,6.22,4.32,1.42,2.58,1.61,0.30,0.52,0.79,0.23,1.04,3.61,6.78
1905,4.08,3.19,4.16,2.57,0.74,0.30,0.52,0.79,0.17,1.30,1.94,7.93
1906,2.83,2.16,2.16,1.49,3.15,0.35,0.52,0.78,0.17,2.48,2.11,1.39
1907,7.83,3.04,3.46,1.77,0.71,0.35,0.53,0.79,0.16,1.83,3.82,2.36
1908,11.75,4.43,5.19,3.10,0.85,0.40,0.51,0.78,0.16,1.80,3.34,4.26
1909,5.07,1.95,1.67,3.33,1.11,0.26,0.51,0.78,0.19,1.58,2.06,3.31
1910,4.84,1.37,4.53,1.83,1.27,0.26,0.51,0.80,0.18,0.49,2.80,2.04
1911,5.71,5.49,2.80,1.93,0.76,0.26,0.56,0.78,0.18,2.62,3.35,5.16
1912,3.36,5.27,1.92,1.04,1.38,0.26,0.52,0.79,0.17,0.79,2.36,5.52
1913,1.74,4.59,2.20,1.15,2.75,0.26,0.52,0.78,0.17,3.02,3.63,4.80
1914,1.69,3.34,1.67,3.54,0.90,0.27,0.53,0.80,0.24,0.53,3.41,6.25
1915,2.82,2.23,2.80,1.49,0.95,0.26,0.51,0.78,0.19,0.40,1.68,2.72
1916,9.53,4.65,4.12,1.89,0.76,0.28,0.52,0.78,0.20,1.44,4.09,4.44
1917,8.47,6.34,1.93,1.20,1.06,0.28,0.51,0.78,0.25,1.07,3.10,5.82
1918,3.27,4.17,4.91,3.15,1.67,0.28,0.51,0.78,0.25,3.11,4.49,3.50
1919,8.09,1.10,1.29,1.38,1.67,0.26,0.51,0.78,0.17,0.86,3.14,4.61
1920,3.27,6.23,5.97,1.87,1.15,0.26,0.51,0.78,0.16,0.41,2.51,6.80
1921,6.59,3.00,4.89,1.33,3.88,0.32,0.52,0.79,0.16,0.60,2.10,7.19
1922,4.25,1.39,3.28,0.92,1.62,0.25,0.53,0.79,0.16,0.39,2.54,5.27
1923,1.98,2.27,1.29,1.34,1.46,0.25,0.53,0.80,0.16,2.74,2.32,3.36
1924,6.42,2.50,3.61,0.87,0.80,0.25,0.52,0.81,0.20,1.14,6.88,6.17
1925,8.03,0.99,2.46,1.50,0.70,0.37,0.52,0.78,0.23,1.85,5.17,1.76
1926,2.89,1.76,5.41,1.99,0.64,0.26,0.51,0.78,0.16,0.45,1.31,3.69
1927,1.59,5.29,0.73,1.12,0.40,0.25,0.52,0.78,0.16,0.46,4.21,2.39
1928,1.53,3.49,1.13,1.68,0.38,0.25,0.51,0.78,0.16,0.32,2.78,2.20
1929,7.03,1.89,1.09,3.64,1.58,0.26,0.52,0.79,0.19,0.79,5.70,12.00
1930,5.81,1.81,2.29,1.49,1.91,0.25,0.51,0.80,0.24,0.80,2.21,6.82
1931,1.42,2.85,0.95,1.16,0.84,0.25,0.51,0.85,0.19,1.40,1.98,1.81
