Variable:,pr
Country:,Liberia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,28.53,55.27,108.43,146.70,236.39,344.90,310.07,336.90,412.81,263.81,131.13,55.43
1902,28.53,55.27,108.43,146.70,236.39,344.90,310.07,336.90,412.81,263.81,131.13,55.43
1903,61.77,55.27,116.69,146.56,232.16,381.90,339.98,308.84,400.94,254.73,157.21,73.48
1904,39.86,55.27,114.00,130.91,236.40,340.15,310.39,337.04,427.01,264.17,131.13,55.43
1905,28.37,54.91,107.64,146.88,235.46,346.98,279.95,325.06,487.00,319.39,165.91,57.11
1906,74.12,68.47,120.06,180.11,309.36,343.69,266.94,425.38,485.68,264.26,159.36,58.25
1907,28.37,54.91,107.64,145.90,236.36,346.49,306.59,338.95,412.21,264.05,132.23,55.00
1908,29.87,45.04,106.34,164.12,238.66,396.82,304.02,452.35,541.36,264.23,131.37,55.17
1909,28.26,55.49,108.52,146.98,237.22,345.06,309.77,336.81,414.57,265.20,131.87,55.96
1910,28.18,54.24,112.86,146.47,236.21,345.54,306.81,337.06,417.34,264.76,129.57,55.51
1911,28.23,57.97,108.37,145.97,239.09,348.84,313.30,338.00,412.06,265.46,132.37,54.90
1912,28.41,54.35,106.51,143.76,238.57,352.92,322.03,335.45,406.06,262.24,130.66,54.15
1913,29.71,73.51,96.93,148.88,266.49,276.00,296.86,358.93,440.30,280.79,127.53,82.07
1914,18.45,79.23,89.51,193.43,187.47,432.41,204.06,255.45,436.72,250.95,147.70,29.44
1915,14.73,40.99,187.86,185.04,318.20,337.26,292.84,429.63,450.63,271.11,152.66,36.49
1916,15.52,53.47,164.48,121.35,227.62,365.73,375.29,354.06,484.35,239.67,140.64,112.08
1917,28.59,55.69,110.65,145.33,234.84,342.36,306.98,338.73,415.54,264.42,133.21,55.64
1918,28.49,54.76,106.95,145.21,234.67,342.04,310.41,336.93,412.98,265.21,131.17,55.17
1919,34.11,55.33,108.41,150.81,240.08,357.00,276.66,271.10,309.05,243.77,102.50,41.36
1920,45.97,60.93,87.34,129.38,229.29,344.52,294.77,274.32,364.00,217.89,178.55,54.42
1921,21.48,67.67,119.25,150.17,244.45,352.01,337.85,317.17,402.50,329.51,201.32,62.08
1922,21.39,41.09,112.28,140.16,250.72,300.02,214.12,256.86,425.49,388.27,213.31,73.76
1923,22.60,52.25,148.67,176.02,257.12,315.05,296.59,180.00,444.59,290.07,181.78,37.63
1924,57.11,84.99,127.87,170.19,239.72,471.13,319.50,249.29,498.39,285.12,167.11,33.87
1925,3.72,38.46,164.84,187.85,222.88,368.94,371.15,257.34,378.28,285.67,175.39,30.98
1926,24.77,24.28,137.00,166.42,260.76,346.78,339.70,367.06,422.22,265.17,196.67,34.24
1927,9.05,52.52,155.15,156.61,281.02,548.71,347.48,173.04,514.95,417.61,141.85,74.46
1928,39.03,33.09,146.12,179.25,316.26,389.98,496.35,457.13,569.23,340.33,106.09,62.20
1929,25.16,90.02,167.14,144.67,287.45,450.90,340.09,271.94,463.41,223.45,158.58,30.88
1930,55.50,59.79,126.79,106.91,322.49,334.02,248.74,306.45,485.14,298.42,128.58,68.56
1931,72.58,77.99,148.46,256.73,349.60,379.00,247.99,450.35,489.74,308.05,180.16,92.79
1932,27.01,121.48,168.18,147.62,316.62,276.78,301.23,325.93,433.15,343.19,167.15,72.09
1933,40.85,93.54,132.95,143.89,257.37,476.26,463.93,413.79,340.39,191.61,236.09,111.30
1934,20.79,35.20,138.05,151.18,175.19,360.88,366.32,263.86,433.90,310.70,69.36,38.08
1935,54.71,29.51,109.02,100.27,248.90,377.40,318.26,336.82,497.57,344.62,147.08,34.48
1936,34.90,100.96,152.60,227.79,313.77,293.56,268.32,162.36,435.47,258.12,224.97,64.91
1937,5.37,88.07,117.15,160.96,246.98,304.92,246.12,319.58,457.34,340.06,155.73,51.88
1938,9.90,68.90,164.57,142.33,312.01,318.75,343.63,273.30,419.23,315.41,183.98,80.22
1939,26.12,67.61,180.62,121.44,313.25,371.95,334.47,305.66,338.27,303.61,132.84,120.26
1940,42.77,66.35,95.23,143.50,231.44,312.53,331.58,372.84,349.97,358.87,153.32,30.90
1941,48.59,16.16,124.28,146.71,326.30,348.74,307.39,420.21,418.33,234.82,119.44,84.32
1942,62.10,35.36,137.68,142.21,250.84,262.92,287.41,287.60,336.68,322.16,134.50,89.07
1943,54.64,84.19,130.77,159.07,254.65,371.79,197.10,390.96,504.99,292.82,172.24,129.63
1944,69.61,40.05,166.02,123.85,163.56,358.22,378.72,391.07,486.33,260.66,107.23,99.15
1945,30.73,41.16,101.89,162.17,253.40,267.22,334.52,294.30,413.35,347.87,128.37,49.14
1946,34.69,29.93,170.29,159.33,258.80,242.94,190.02,275.43,432.81,418.60,116.89,41.34
1947,15.61,70.97,108.37,130.95,202.26,456.85,469.52,515.65,549.18,253.94,118.48,144.53
1948,0.77,42.41,119.77,157.05,218.02,315.04,240.55,246.48,436.27,236.45,168.26,55.99
1949,26.25,29.88,120.37,172.95,227.35,296.64,360.72,338.14,440.43,258.53,161.33,27.97
1950,21.94,39.73,128.47,114.48,187.85,349.37,235.74,175.98,420.21,280.12,132.69,64.35
1951,95.26,133.95,110.83,101.34,320.97,367.26,318.06,342.39,456.84,458.70,177.09,48.60
1952,9.67,95.88,166.43,119.65,242.79,367.58,391.05,311.01,531.74,312.26,169.26,74.96
1953,22.60,92.54,135.40,172.88,322.36,413.86,400.70,328.29,444.43,308.70,113.12,55.73
1954,41.66,121.11,158.13,219.85,228.46,324.13,216.06,251.23,465.11,401.35,233.38,61.22
1955,42.99,86.45,186.25,193.94,268.88,445.95,296.62,314.69,493.88,391.16,113.02,160.41
1956,34.83,127.56,149.84,182.79,210.04,330.42,205.92,177.97,410.65,236.48,118.10,103.06
1957,49.30,40.08,172.73,156.53,248.47,375.60,383.88,413.60,482.42,441.38,163.55,133.22
1958,73.01,58.56,151.73,178.63,232.37,215.87,80.82,157.86,457.71,255.33,259.99,84.21
1959,48.42,72.34,153.19,109.98,348.58,323.55,372.31,166.45,588.69,248.97,208.86,78.28
1960,48.19,62.82,169.75,112.73,213.37,381.40,166.47,447.24,501.78,267.09,113.91,86.61
1961,10.03,46.26,126.97,148.35,213.30,386.66,407.45,212.82,474.89,259.47,113.74,18.45
1962,40.22,76.13,128.84,196.93,309.84,479.77,323.04,289.88,381.53,246.93,310.58,34.60
1963,86.05,123.56,161.55,144.94,294.95,364.52,557.13,383.44,433.46,422.69,139.88,23.45
1964,41.22,31.07,113.83,101.47,273.33,440.25,294.94,372.91,377.10,144.62,130.91,159.20
1965,82.02,61.22,105.69,161.15,276.40,436.58,263.61,290.80,411.05,360.77,133.94,6.75
1966,7.21,55.71,105.40,146.57,212.15,460.77,632.18,388.69,458.31,357.24,183.10,88.85
1967,16.04,34.36,82.35,145.81,180.71,336.60,270.94,267.36,497.88,252.91,95.19,66.53
1968,23.98,92.10,135.54,161.65,260.68,371.92,673.42,286.34,476.45,320.35,205.30,106.28
1969,25.69,49.81,162.04,148.08,210.14,292.56,308.47,378.89,401.95,408.96,209.71,58.44
1970,36.46,71.88,124.95,123.62,305.57,351.67,183.53,313.38,423.24,211.67,129.89,25.23
1971,16.59,71.34,114.12,139.85,240.74,317.67,267.27,274.27,442.95,224.04,137.51,113.36
1972,48.24,69.56,109.88,177.22,313.55,348.85,271.58,302.06,420.24,261.68,121.16,39.01
1973,8.23,57.86,136.61,110.84,204.79,269.47,334.77,380.73,455.58,285.84,109.86,59.32
1974,12.38,34.38,115.39,131.19,139.78,359.06,367.99,326.71,408.97,270.47,68.79,53.97
1975,5.13,58.38,126.11,163.13,226.95,292.82,265.46,289.11,469.22,182.50,92.16,65.00
1976,32.09,65.27,98.10,188.82,228.94,355.53,185.07,266.66,362.86,402.78,198.93,22.41
1977,42.50,57.24,66.77,79.06,242.63,402.94,189.95,373.85,578.79,230.21,76.32,46.48
1978,39.20,75.82,107.45,189.09,191.39,318.77,204.58,298.35,390.72,304.70,156.79,91.33
1979,46.32,23.17,98.70,154.04,257.94,361.47,392.86,389.34,384.69,317.08,129.77,43.93
1980,60.66,39.55,96.25,101.35,258.52,231.21,292.09,395.72,370.60,229.71,157.43,73.27
1981,9.37,46.12,116.49,155.04,227.72,348.08,290.17,292.42,412.57,239.88,92.30,35.59
1982,10.25,85.14,99.07,182.99,341.44,310.52,204.15,364.70,242.94,248.01,105.35,9.18
1983,0.75,35.22,43.19,115.12,258.67,393.40,175.97,252.59,398.74,121.99,115.04,63.07
1984,14.64,43.32,116.78,185.27,241.57,317.09,346.13,354.72,309.56,225.20,80.95,19.80
1985,56.92,37.92,92.31,118.45,216.32,250.68,340.16,538.39,388.86,159.95,98.95,17.87
1986,2.46,55.98,109.45,138.26,271.88,230.57,182.43,288.18,397.51,199.30,96.59,23.39
1987,45.17,43.83,63.23,96.45,209.62,302.56,262.31,411.01,452.16,228.69,72.59,62.44
1988,0.98,42.80,95.56,151.85,145.48,369.40,305.02,346.95,413.99,211.19,103.52,65.23
1989,6.83,43.30,127.05,116.37,139.17,341.27,315.34,507.81,331.79,320.14,76.57,53.90
1990,32.44,36.18,58.43,159.36,203.95,268.38,210.39,271.25,389.38,228.21,172.80,109.41
1991,44.87,47.87,106.46,126.09,276.11,337.05,307.09,367.98,274.77,281.05,99.62,26.92
1992,21.23,47.75,82.70,155.72,264.32,322.14,314.39,279.04,347.72,257.72,154.94,72.44
1993,6.91,64.51,139.84,164.12,180.78,339.63,316.74,248.08,364.59,300.66,97.06,18.88
1994,22.23,74.03,113.65,137.57,212.10,283.41,300.70,292.10,471.43,369.33,104.47,5.05
1995,9.99,19.60,158.44,146.17,195.93,262.15,264.14,480.17,423.78,288.37,79.57,108.19
1996,39.15,79.97,116.95,137.84,249.99,394.95,420.54,407.06,414.77,216.29,78.68,87.20
1997,95.90,18.43,85.77,117.77,179.58,287.22,259.17,357.46,367.99,255.82,105.99,30.37
1998,32.77,33.22,75.70,182.89,207.89,282.39,312.53,378.39,432.27,282.81,115.86,64.84
1999,72.58,71.77,106.42,104.29,224.70,399.04,420.93,315.47,337.91,359.75,146.92,28.32
2000,53.71,26.56,79.22,134.97,318.28,296.20,275.90,306.79,400.07,353.56,128.49,42.94
2001,28.53,62.91,108.43,135.93,236.39,356.38,361.22,336.88,412.77,284.53,171.57,55.43
2002,65.39,55.27,90.29,98.61,236.39,412.76,360.49,336.83,412.74,263.83,131.07,24.85
2003,28.53,80.88,108.38,192.51,284.44,339.91,296.68,313.87,412.93,302.48,165.68,36.89
2004,18.98,45.22,86.30,145.96,271.94,286.69,380.27,332.87,412.81,313.45,144.41,72.17
2005,28.98,43.25,96.34,177.92,238.19,321.37,310.07,302.45,407.82,334.98,116.02,75.39
2006,28.53,48.80,100.76,129.22,252.20,342.02,307.53,424.55,538.48,253.54,130.64,55.43
2007,28.53,42.33,118.96,145.85,200.76,341.98,309.00,341.86,417.65,262.89,131.21,45.46
2008,28.53,55.27,108.43,146.70,241.65,344.90,310.07,336.90,412.81,263.81,131.07,55.43
2009,28.53,55.27,108.43,124.91,236.39,344.90,310.03,336.82,412.87,263.79,171.85,55.42
2010,35.01,101.95,108.48,148.93,236.65,344.73,310.12,438.10,414.02,388.52,131.14,55.42
2011,24.70,55.24,108.46,146.50,236.36,344.90,310.04,336.90,568.93,300.73,136.74,53.93
2012,23.88,48.41,88.49,120.17,236.40,289.07,248.86,293.63,412.81,263.81,131.87,55.43
2013,28.53,55.10,108.28,102.38,236.25,344.51,309.87,336.67,387.50,263.26,172.94,79.54
2014,27.35,55.20,110.66,150.85,262.90,385.23,397.93,285.30,456.40,321.23,171.49,39.44
2015,20.19,63.45,102.89,136.03,214.13,287.88,270.92,368.42,377.98,314.91,126.97,39.70
2016,49.34,35.92,105.62,104.01,229.45,412.65,323.88,408.21,467.99,306.99,132.25,32.39
