Variable:,pr
Country:,Libya
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,9.19,3.55,3.23,1.37,3.17,0.42,0.32,1.07,0.94,3.87,5.51,5.61
1902,9.04,2.62,7.27,2.06,3.14,0.42,0.32,1.06,0.98,3.92,3.58,9.08
1903,6.00,4.24,4.32,2.13,1.36,0.42,0.32,1.06,1.37,2.44,4.83,6.05
1904,9.83,4.11,5.82,1.19,1.04,0.41,0.32,1.08,3.26,7.29,7.03,7.64
1905,7.72,8.01,3.61,1.90,1.39,0.44,0.34,1.08,0.90,3.24,4.23,10.03
1906,8.25,5.25,3.82,1.76,1.91,0.50,0.32,1.07,4.53,4.49,7.46,7.62
1907,9.22,4.95,4.44,2.79,1.34,0.41,0.32,1.06,1.68,4.43,3.70,6.06
1908,7.57,5.08,6.00,1.68,1.14,0.81,0.32,1.06,1.06,3.67,4.23,8.09
1909,10.08,5.03,4.65,2.23,2.03,0.43,0.32,1.07,1.02,4.66,5.11,7.42
1910,9.17,4.81,3.66,1.60,1.54,0.40,0.32,1.06,2.09,3.00,3.24,7.36
1911,10.19,5.17,5.57,2.88,1.17,0.47,0.33,1.06,1.21,4.63,4.78,8.93
1912,8.17,5.06,3.66,2.41,1.20,0.62,0.32,1.06,2.38,3.36,6.44,8.06
1913,6.30,7.80,4.44,1.76,2.21,0.40,0.32,1.09,0.92,5.57,5.81,12.38
1914,6.16,6.96,3.08,1.83,0.85,0.40,0.32,1.04,0.83,2.44,4.67,6.25
1915,6.67,6.63,2.57,2.58,1.31,0.72,0.32,1.04,1.32,2.47,3.11,4.01
1916,8.73,4.72,2.58,2.92,1.98,0.39,0.32,1.10,1.13,3.34,5.33,4.99
1917,3.87,6.13,3.23,1.61,1.62,0.84,0.32,1.05,0.79,3.19,7.89,8.40
1918,5.12,6.93,6.46,2.20,1.31,0.43,0.33,1.06,0.89,4.50,6.20,9.43
1919,6.36,2.81,3.83,1.80,3.14,0.45,0.37,1.08,1.36,4.60,5.02,10.25
1920,7.52,7.29,6.10,1.04,1.18,0.43,0.32,1.16,1.33,3.61,7.54,5.27
1921,8.09,3.50,7.59,4.54,2.92,0.42,0.32,1.05,1.38,2.83,7.14,10.95
1922,5.08,3.31,3.53,1.19,1.27,0.65,0.32,1.05,0.74,1.89,10.03,10.26
1923,9.28,4.20,4.39,2.34,1.01,0.87,0.32,1.05,1.58,3.19,5.33,4.90
1924,11.34,2.91,3.20,0.68,1.73,0.36,0.32,1.03,1.10,5.50,6.51,12.85
1925,11.36,4.82,6.38,1.23,1.90,0.43,0.32,1.03,0.84,8.60,9.80,8.15
1926,8.93,4.93,7.69,3.11,1.06,0.75,0.32,1.04,0.68,1.23,1.42,7.07
1927,7.21,7.07,5.06,1.96,1.29,0.79,0.32,1.06,0.60,4.64,3.02,2.03
1928,9.62,9.82,3.53,2.45,0.71,0.25,0.32,1.04,2.11,2.09,5.10,12.36
1929,11.45,8.90,4.19,0.77,0.89,0.67,0.32,1.04,2.16,2.71,5.81,11.24
1930,7.94,3.51,3.07,0.86,2.26,0.28,0.32,1.03,0.44,2.45,5.13,7.51
1931,4.72,8.18,1.76,2.28,3.38,0.24,0.32,1.03,3.35,1.47,4.09,5.94
1932,11.71,5.53,3.73,0.91,1.08,0.26,0.32,1.03,0.89,4.83,10.24,10.64
1933,4.58,4.34,7.14,0.62,1.43,0.91,0.32,1.06,0.28,0.73,3.38,13.43
1934,12.43,9.89,4.81,0.79,2.13,0.41,0.31,1.04,0.83,4.53,5.71,7.59
1935,7.81,4.35,6.27,0.81,0.53,0.26,0.31,1.07,1.89,1.93,3.48,2.75
1936,4.56,2.25,1.33,1.99,3.27,0.26,0.31,1.11,0.51,2.81,7.03,14.89
1937,6.79,4.52,1.35,2.39,0.82,0.48,0.31,1.03,0.80,4.76,5.56,5.33
1938,8.50,9.11,8.01,3.47,1.15,0.28,0.33,1.08,0.63,2.37,5.75,6.88
1939,5.66,4.93,5.62,1.22,2.34,0.28,0.31,1.15,0.77,0.84,7.26,6.56
