Variable:,pr
Country:,Madagascar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,295.72,250.44,206.40,75.40,43.14,49.13,48.26,46.14,32.63,50.07,77.98,316.08
1902,227.65,297.83,192.35,80.62,44.51,37.48,48.01,30.87,35.17,49.96,141.83,197.18
1903,303.78,267.95,254.94,75.32,36.18,49.38,35.37,75.67,68.95,45.55,125.74,186.96
1904,339.68,293.25,233.50,54.59,62.89,76.24,47.97,78.33,40.92,52.56,79.28,248.61
1905,293.73,297.54,175.12,124.61,59.14,36.52,53.16,62.20,37.69,51.49,185.03,238.58
1906,200.17,433.61,221.99,136.84,42.51,40.21,50.78,34.44,51.07,80.52,80.19,205.54
1907,238.30,215.97,303.13,109.83,41.99,58.75,64.05,31.70,53.29,41.18,80.83,241.78
1908,227.42,351.99,180.85,81.31,64.72,25.41,56.54,19.99,26.05,52.66,107.39,213.52
1909,254.64,205.16,104.49,51.68,28.89,48.36,26.43,52.04,53.11,48.76,77.50,91.83
1910,229.68,222.28,202.80,64.07,29.53,35.63,34.61,27.55,19.29,47.95,74.36,183.61
1911,246.79,281.94,195.53,60.63,57.93,71.96,41.26,44.10,35.58,30.15,64.40,183.64
1912,245.82,266.53,142.71,79.17,50.37,51.29,41.16,44.68,46.59,49.06,46.15,196.07
1913,334.29,273.21,147.86,68.59,64.87,50.56,42.03,70.85,58.96,42.25,117.93,249.50
1914,359.72,308.08,148.38,104.32,50.12,55.68,79.73,90.18,32.55,49.79,93.65,192.07
1915,259.67,318.49,238.71,93.56,72.22,44.27,35.31,35.34,23.49,34.06,95.07,209.43
1916,314.34,267.94,185.38,93.60,65.35,47.67,43.51,36.78,27.40,45.40,158.39,330.96
1917,242.73,287.54,177.06,92.27,57.44,33.10,50.88,60.29,29.91,66.96,103.82,337.18
1918,247.36,286.77,185.00,76.01,52.87,42.44,45.98,38.90,23.89,35.95,100.17,173.00
1919,257.44,267.64,243.55,92.09,51.90,68.38,45.23,33.43,36.49,61.38,106.52,245.98
1920,261.38,302.76,220.27,97.88,39.65,43.02,57.10,39.92,20.61,33.18,111.83,180.25
1921,376.72,221.23,142.26,48.03,71.04,33.89,42.19,37.51,28.58,55.13,133.44,217.50
