Variable:,pr
Country:,Mali
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.48,0.28,1.07,4.80,23.18,37.35,75.89,109.48,60.45,16.81,1.23,0.48
1902,0.40,0.25,1.05,4.61,19.68,34.68,73.60,105.62,43.93,19.68,1.35,0.42
1903,0.44,0.25,1.03,4.60,16.57,38.03,88.18,111.03,56.73,14.54,1.44,0.43
1904,0.41,0.25,1.02,4.07,15.22,45.26,86.01,105.23,52.50,17.18,1.21,0.42
1905,0.39,0.23,1.59,4.56,18.29,46.61,96.88,106.49,75.16,28.97,1.11,0.33
1906,0.64,0.34,0.75,5.09,25.75,41.46,107.34,136.25,59.88,17.00,2.91,0.45
1907,0.32,0.15,0.75,3.55,15.24,44.44,61.33,96.54,70.66,25.73,1.89,0.28
1908,0.27,0.15,1.20,3.19,11.06,41.07,81.21,124.99,72.53,9.70,1.45,0.26
1909,0.43,0.44,1.24,8.85,20.74,59.85,100.30,124.76,69.35,12.51,1.02,0.51
1910,0.27,0.31,0.60,2.65,13.87,35.69,92.84,96.73,61.49,10.56,0.51,0.30
1911,0.27,0.14,0.81,5.25,32.09,34.71,82.99,95.20,53.27,15.22,2.16,0.39
1912,0.30,0.26,0.45,2.31,8.17,38.98,75.54,101.20,53.67,15.80,0.65,0.26
1913,0.28,0.27,0.85,4.79,12.58,39.40,74.92,116.94,50.41,13.35,1.09,0.81
1914,0.27,0.13,0.78,3.26,14.64,38.54,73.65,101.36,66.15,22.67,2.77,0.29
1915,0.27,0.16,1.34,4.01,16.73,42.65,93.91,115.85,62.68,15.84,1.60,0.36
1916,0.27,0.24,1.02,3.43,13.12,43.22,91.77,120.58,57.96,15.10,1.39,0.41
1917,0.28,0.20,0.83,3.51,14.05,39.59,91.18,115.25,59.65,16.04,1.66,0.52
1918,0.31,0.13,0.84,4.92,21.63,48.57,90.76,124.50,66.92,13.98,1.34,0.40
1919,0.25,0.18,0.79,5.54,27.15,36.04,77.03,105.35,57.88,14.97,0.72,0.25
1920,0.24,0.11,0.20,3.58,17.21,41.95,82.67,141.65,62.98,6.78,1.25,0.20
1921,0.31,0.49,2.29,4.00,12.49,32.71,64.70,119.72,59.32,11.21,2.68,0.26
1922,0.46,0.13,0.93,7.26,11.52,32.99,86.39,121.58,84.82,20.55,2.54,0.21
1923,0.18,0.15,1.14,12.08,10.24,31.42,88.44,112.18,61.72,18.09,2.75,0.43
1924,0.43,0.43,1.01,4.65,11.64,45.47,106.63,126.49,80.30,11.27,1.07,0.12
1925,0.24,0.08,0.79,3.98,9.45,35.76,76.91,119.95,59.72,25.86,0.63,0.13
1926,0.25,0.11,1.64,1.53,15.25,53.89,83.27,92.05,47.91,10.46,2.85,0.15
1927,0.29,0.13,0.12,10.61,25.87,46.58,80.15,133.61,66.11,27.88,1.90,0.29
1928,0.17,0.07,0.90,8.77,19.91,39.45,77.35,158.31,50.76,22.10,0.94,0.12
1929,0.16,0.09,0.91,4.33,22.13,50.68,75.19,134.28,56.21,17.55,0.86,0.12
1930,0.60,0.19,0.47,6.42,23.61,38.56,84.71,114.76,64.95,19.83,0.83,0.21
1931,0.21,0.81,0.36,6.63,22.60,43.83,95.64,81.82,86.27,14.56,2.16,0.14
1932,0.17,0.35,1.10,2.90,24.62,38.50,100.63,126.18,68.53,14.53,1.38,0.12
1933,0.31,0.45,1.23,4.88,23.61,62.26,95.94,128.80,60.78,13.27,3.98,0.86
1934,0.16,0.07,1.66,2.88,4.32,43.65,86.29,132.19,68.62,12.57,0.87,0.13
1935,0.38,0.11,1.39,7.04,11.50,49.39,91.54,149.69,65.90,13.89,1.07,0.14
1936,0.16,0.29,0.12,6.01,21.48,47.66,98.97,162.84,71.31,13.08,2.32,0.23
1937,0.16,0.13,0.81,2.02,11.06,26.93,88.10,114.70,59.94,14.17,1.86,0.64
1938,0.16,0.11,1.71,3.58,11.49,31.67,95.61,117.98,67.97,17.89,0.85,0.12
1939,0.17,0.05,1.73,1.70,24.59,33.90,83.86,136.83,69.65,14.19,2.71,0.29
1940,0.25,0.05,0.25,2.92,8.98,39.26,57.22,119.99,65.70,26.84,1.33,0.50
1941,0.26,0.05,0.98,2.92,19.30,41.88,83.63,87.60,63.33,7.69,2.54,0.12
1942,0.29,0.08,1.16,6.49,19.73,29.64,78.66,127.24,38.30,22.76,1.43,0.62
1943,1.07,0.12,1.18,4.66,15.70,47.89,79.85,142.48,87.14,24.28,0.45,0.57
1944,0.16,0.05,0.58,4.77,6.92,37.48,67.95,100.22,73.47,24.84,2.45,0.39
1945,0.22,0.14,0.13,3.67,20.58,28.64,89.08,161.94,69.69,18.73,1.54,0.11
1946,0.86,0.06,0.69,3.95,9.42,37.76,98.16,129.30,70.06,25.07,1.73,0.12
1947,0.26,0.39,0.06,1.15,7.31,35.44,76.91,111.84,65.66,11.38,2.15,0.18
1948,0.13,0.16,0.73,11.36,16.69,60.54,81.42,101.73,51.84,12.04,0.45,0.16
1949,0.26,0.10,3.18,6.17,9.72,36.88,79.06,125.45,41.03,8.74,1.93,0.27
1950,0.13,0.15,0.55,3.92,13.12,35.63,106.38,175.87,89.13,24.36,0.89,0.10
1951,0.57,0.58,1.52,4.56,17.19,38.86,67.34,125.56,88.57,41.33,4.65,0.43
1952,0.75,0.10,0.26,1.43,15.30,37.57,93.61,130.50,105.85,22.07,0.32,0.54
1953,0.13,0.39,2.40,2.09,22.64,56.32,105.01,114.47,70.52,19.27,1.12,0.23
1954,0.13,0.40,1.19,6.03,17.02,51.68,110.86,150.77,58.60,18.88,4.27,0.09
1955,0.14,0.40,3.10,6.16,12.41,46.22,102.48,117.59,80.24,20.55,0.68,1.10
1956,0.14,0.18,1.41,4.15,12.96,35.39,87.43,135.77,73.60,19.72,2.13,0.23
1957,0.14,0.29,0.72,5.51,21.50,54.42,99.49,121.80,79.48,24.27,2.53,0.25
1958,0.34,0.08,0.65,5.17,13.74,51.02,100.46,149.50,68.54,12.98,5.44,0.15
1959,0.50,0.07,0.28,1.62,17.31,34.40,74.90,156.50,69.62,7.93,1.22,0.10
1960,0.13,0.05,1.07,2.66,18.34,41.91,98.53,98.60,74.07,12.86,3.14,0.50
1961,0.26,0.05,0.19,2.18,15.46,42.39,100.94,130.53,60.86,6.44,1.08,0.09
1962,0.13,0.07,0.02,8.66,14.39,41.78,87.50,129.06,64.54,21.19,4.42,0.68
1963,0.14,0.36,0.67,9.96,19.77,36.38,69.80,111.20,65.08,37.08,0.78,0.10
1964,0.20,0.05,0.50,4.09,21.73,56.17,88.94,147.26,64.55,9.64,1.57,2.85
1965,2.08,0.07,0.18,1.94,9.95,54.83,66.07,142.14,80.20,16.19,0.71,0.10
1966,0.13,0.06,2.24,3.20,13.09,43.05,66.40,97.11,95.81,32.80,0.74,0.17
1967,0.18,0.75,1.82,5.42,11.63,41.66,82.57,137.46,71.52,14.21,2.86,0.40
1968,0.13,0.84,1.81,10.25,15.95,37.82,80.47,90.35,61.24,11.80,2.10,0.52
