Variable:,pr
Country:,Mauritius
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1902,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1903,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1904,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1905,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1906,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1907,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1908,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1909,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1910,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1911,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1912,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1913,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1914,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1915,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1916,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1917,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1918,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1919,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1920,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
1921,331.80,347.91,293.06,259.43,175.01,146.27,153.16,144.71,97.75,91.18,109.87,243.43
