Variable:,pr
Country:,Niger
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.07,0.15,0.71,1.83,7.38,18.27,47.28,67.45,22.75,2.94,0.23,0.13
1902,0.07,0.15,0.75,1.90,7.30,17.82,48.20,66.89,22.58,2.85,0.22,0.13
1903,0.07,0.15,0.72,1.78,7.58,17.76,47.36,67.56,22.40,2.86,0.23,0.13
1904,0.07,0.15,0.72,1.76,7.47,17.95,48.45,66.93,22.36,2.87,0.22,0.13
1905,0.07,0.15,1.87,2.59,6.22,24.34,41.15,66.87,24.83,4.09,0.11,0.13
1906,0.07,0.15,0.30,0.84,6.27,19.39,67.30,62.62,21.74,3.56,0.14,0.13
1907,0.07,0.15,0.27,0.62,4.25,18.70,45.79,86.02,21.05,0.73,0.11,0.13
1908,0.07,0.15,2.77,0.71,3.34,13.52,43.26,77.75,21.96,1.70,0.11,0.13
1909,0.07,0.15,0.29,7.62,6.84,22.66,49.40,85.62,28.83,2.25,0.11,0.13
1910,0.07,0.15,0.27,0.63,8.43,14.11,43.03,66.52,20.99,2.61,0.11,0.13
1911,0.07,0.15,2.80,5.01,9.55,20.57,40.95,68.59,25.85,3.78,0.11,0.13
1912,0.07,0.15,0.26,1.09,2.56,17.31,36.58,62.24,16.95,2.21,0.11,0.14
1913,0.07,0.16,0.26,4.37,6.51,9.04,32.98,50.94,21.14,1.08,0.11,0.13
1914,0.07,0.15,0.27,0.60,4.23,11.06,42.14,68.38,23.70,4.29,0.11,0.13
1915,0.07,0.15,0.30,0.75,6.47,20.58,47.97,55.88,18.85,3.28,0.11,0.13
1916,0.07,0.15,0.28,1.43,8.27,12.73,41.00,79.25,38.58,1.02,1.64,0.13
1917,0.07,0.15,0.26,0.67,8.47,9.09,39.33,57.79,25.79,1.26,0.11,0.14
1918,0.07,0.15,0.28,2.37,7.92,29.20,48.59,85.11,25.13,1.40,0.11,0.13
1919,0.07,0.15,0.52,1.09,11.46,12.73,62.51,60.55,26.20,3.08,0.11,0.12
1920,0.07,0.14,0.26,0.71,9.69,16.17,40.46,86.37,28.99,1.22,1.64,0.12
1921,0.07,0.12,1.49,1.86,10.38,15.23,41.16,82.81,20.24,2.51,0.18,0.12
1922,0.08,0.19,0.17,1.76,3.25,10.26,54.65,99.97,27.57,6.13,0.16,0.12
1923,0.07,0.14,0.38,2.43,10.84,13.34,43.74,85.28,31.36,2.79,0.89,0.11
1924,0.07,0.22,0.12,3.21,4.47,17.43,68.82,77.42,30.23,1.14,0.14,0.12
1925,0.07,0.12,0.20,0.41,7.87,14.92,54.22,83.55,21.00,10.25,0.17,0.11
1926,0.07,0.11,0.24,1.74,5.44,24.23,48.06,46.98,9.17,0.67,0.29,0.12
1927,0.07,0.15,0.09,5.22,8.97,21.80,52.35,108.85,28.24,6.60,0.95,0.11
1928,0.07,0.11,0.21,1.64,5.79,16.36,37.07,104.16,19.24,5.29,0.11,0.11
1929,0.07,0.11,0.19,1.17,12.58,26.69,43.56,83.64,17.86,6.57,0.13,0.11
1930,0.07,0.11,0.11,2.31,13.75,22.24,82.69,63.28,22.09,4.13,0.14,0.11
