Variable:,pr
Country:,"Sao Tome and Principe"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,221.32,146.67,272.52,284.63,210.21,87.99,25.03,45.43,140.81,336.78,252.10,209.17
1902,250.10,152.37,194.78,244.56,264.77,32.48,31.43,131.18,156.00,318.60,283.47,237.15
1903,181.76,171.85,209.07,248.46,169.13,25.08,52.42,107.00,140.90,344.48,244.10,247.14
1904,180.85,118.99,226.85,223.28,238.99,47.08,41.43,70.42,106.64,304.01,297.95,225.86
1905,225.82,159.86,193.48,197.50,308.55,26.38,20.83,51.03,149.41,283.52,317.74,279.12
1906,201.44,183.44,176.29,199.39,128.67,23.98,19.33,48.23,110.34,256.84,284.67,195.18
1907,205.14,197.43,204.47,250.46,181.63,23.98,18.53,56.53,92.55,281.62,285.16,167.20
1908,179.36,124.69,274.12,297.42,125.17,23.98,24.33,252.90,131.52,324.69,298.56,222.96
1909,180.06,160.26,237.35,236.27,249.48,25.08,25.03,133.98,233.35,349.97,276.78,254.54
1910,199.64,105.80,210.57,272.64,351.01,110.39,18.53,59.32,331.98,319.00,281.37,179.00
1911,155.48,112.80,169.10,245.56,156.95,23.98,18.53,84.21,93.15,207.98,292.16,216.67
1912,284.07,146.37,192.98,283.63,227.90,58.08,31.43,255.70,176.49,393.14,279.67,176.20
1913,146.38,191.64,198.68,227.08,274.97,64.58,18.53,42.73,89.25,238.65,227.71,132.63
1914,202.84,204.13,200.48,261.45,131.07,34.68,18.53,59.32,160.60,268.33,312.15,247.44
1915,196.14,147.47,209.17,243.46,217.51,43.28,33.53,77.11,156.30,335.68,317.94,234.35
1916,196.14,147.47,209.17,243.46,217.51,43.28,33.53,77.11,156.30,335.68,317.94,234.35
1917,196.14,147.47,209.17,243.46,217.51,43.28,33.53,77.11,156.30,335.68,317.94,234.35
1918,196.14,147.47,209.17,243.46,217.51,43.28,33.53,77.11,156.30,335.68,317.94,234.35
1919,196.14,147.47,209.17,243.46,217.51,43.28,33.53,77.11,156.30,335.68,317.94,234.35
1920,196.14,147.47,209.17,243.46,217.51,43.28,33.53,77.11,156.30,335.68,317.94,234.35
1921,196.14,147.47,209.17,243.46,217.51,43.28,33.53,77.11,156.30,335.68,317.94,234.35
1922,196.14,147.47,209.17,243.46,217.51,43.28,33.53,77.11,156.30,335.68,317.94,234.35
1923,196.14,147.47,209.17,243.46,217.51,43.28,33.53,77.11,156.30,335.68,317.94,234.35
1924,196.14,147.47,209.17,243.46,217.51,43.28,33.53,77.11,156.30,335.68,317.94,234.35
1925,196.14,147.47,209.17,243.46,217.51,43.28,33.53,77.11,156.30,335.68,317.94,234.35
1926,196.14,147.47,209.17,243.46,217.51,43.28,33.53,77.11,156.30,335.68,317.94,234.35
1927,196.14,147.47,209.17,243.46,217.51,43.28,33.53,77.11,156.30,335.68,317.94,234.35
