Variable:,pr
Country:,Eswatini
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,169.96,166.42,83.27,66.42,18.98,32.47,12.26,57.76,152.39,163.45,209.58,177.87
1902,108.62,55.67,99.78,34.49,2.17,13.74,11.98,12.93,23.17,44.35,36.16,72.04
1903,52.39,41.02,25.21,63.41,19.54,4.73,9.83,13.53,10.80,36.84,161.68,82.85
1904,129.70,143.50,124.82,14.20,22.01,8.14,3.31,2.86,14.62,26.29,116.63,77.85
1905,107.24,100.76,108.52,80.99,14.28,0.13,7.65,17.28,7.72,20.42,116.06,155.46
1906,83.17,125.71,44.51,16.31,13.23,0.11,0.27,2.69,81.88,155.72,146.28,120.09
1907,145.70,222.79,77.42,125.04,8.02,1.26,0.05,0.27,26.26,110.85,111.71,96.42
1908,89.39,53.75,60.51,45.84,5.08,8.82,6.56,18.34,56.69,70.42,99.28,113.60
1909,301.47,152.52,139.39,43.86,18.27,2.37,8.70,33.58,36.92,74.49,103.58,195.48
1910,165.41,199.74,105.97,56.68,5.60,18.44,14.79,1.82,48.30,113.09,106.90,147.04
1911,142.68,70.84,96.58,66.49,87.95,0.36,32.42,15.75,9.45,103.73,75.71,89.02
1912,90.61,79.86,103.23,75.21,45.40,0.59,8.12,2.10,11.03,17.80,48.70,134.66
1913,102.11,199.38,130.19,79.50,21.45,8.17,7.75,24.84,32.01,122.32,101.43,88.01
1914,46.75,150.54,69.55,97.74,47.91,1.66,1.64,8.82,16.98,65.25,134.56,185.32
1915,361.77,158.66,62.69,5.36,37.59,2.17,54.72,2.87,29.47,116.62,110.09,139.36
1916,58.42,51.63,102.38,26.00,12.74,0.43,0.28,4.15,2.29,50.43,105.69,145.88
1917,109.06,94.41,50.76,55.57,44.91,33.15,30.13,88.77,83.21,185.35,206.39,140.50
1918,262.67,313.22,200.23,13.98,4.23,0.35,22.14,63.42,29.67,20.79,123.73,178.54
1919,137.65,110.41,60.15,83.93,30.92,12.03,3.33,18.96,30.30,35.72,125.40,68.52
1920,293.44,145.82,155.31,26.56,13.65,0.60,1.88,5.01,43.97,146.90,128.72,101.82
1921,74.65,75.25,191.96,40.04,35.98,0.21,0.03,1.33,49.02,89.27,180.37,160.60
1922,58.98,63.93,86.16,26.28,25.67,28.17,4.27,42.86,37.72,137.37,169.00,86.47
1923,274.28,163.23,66.58,25.42,3.73,1.14,2.87,3.76,1.56,49.04,52.19,152.72
1924,69.86,103.30,158.36,26.27,22.08,0.31,2.57,15.15,85.17,79.76,126.63,227.93
1925,122.98,160.48,243.56,58.24,13.94,4.49,13.81,0.31,107.69,75.72,54.30,68.49
1926,133.58,98.40,85.27,10.78,35.03,2.96,12.32,0.61,67.07,40.84,54.51,86.68
1927,88.59,130.53,79.43,16.70,4.06,3.12,60.23,3.93,30.90,123.62,48.26,105.52
1928,208.32,40.70,50.47,47.91,4.32,0.03,2.73,14.24,60.94,30.13,69.11,115.53
1929,86.91,99.05,160.02,34.49,6.65,19.69,3.37,8.47,92.17,111.22,95.58,105.06
1930,142.59,64.49,117.95,35.24,10.36,7.74,22.04,14.96,19.31,7.60,80.13,139.46
1931,109.22,81.84,62.15,42.73,0.38,5.78,50.00,0.43,5.72,47.53,78.40,101.45
1932,76.54,102.81,112.99,59.39,61.21,26.07,0.73,1.14,24.43,44.62,100.00,190.14
1933,123.95,77.93,85.25,22.15,1.77,6.79,27.72,6.38,12.07,54.82,192.90,146.97
1934,156.70,53.34,133.29,64.61,13.40,20.35,28.91,42.89,28.47,32.85,91.76,203.54
1935,104.96,63.39,51.63,18.16,39.67,23.47,11.43,5.30,19.90,35.21,32.87,93.74
1936,264.49,77.75,150.20,41.11,85.33,3.16,10.28,0.89,49.29,89.34,247.13,58.00
1937,222.87,293.01,84.96,40.32,10.59,4.85,3.54,4.68,69.86,48.53,52.72,172.23
1938,137.20,111.11,63.36,151.85,8.60,35.73,15.96,10.19,62.13,75.49,63.39,219.00
1939,146.19,312.77,132.27,26.09,20.71,10.32,43.53,7.89,74.85,60.08,227.89,111.78
1940,155.08,53.91,152.32,61.41,53.92,67.09,0.01,4.37,54.07,71.48,156.13,122.36
1941,113.58,47.20,68.99,76.86,0.18,0.44,16.75,6.40,26.30,34.94,87.07,134.68
