Variable:,pr
Country:,Chad
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.42,0.59,2.15,7.70,21.44,37.81,83.87,121.08,54.12,13.46,0.98,0.54
1902,0.42,0.59,2.15,7.70,21.44,37.81,83.87,121.08,54.12,13.46,0.98,0.54
1903,0.42,0.59,2.15,7.70,21.44,37.81,83.87,121.08,54.12,13.46,0.98,0.54
1904,0.42,0.59,2.15,6.56,17.46,31.60,100.81,118.86,43.92,11.46,0.92,0.54
1905,0.42,0.59,2.01,6.56,25.57,45.64,80.14,116.73,47.86,15.51,0.92,0.54
1906,0.42,0.59,2.30,7.13,21.83,46.73,82.80,127.24,49.90,15.17,0.89,0.54
1907,0.42,0.59,1.90,6.28,21.95,35.37,81.02,128.83,60.30,12.46,0.89,0.54
1908,0.42,0.59,1.90,8.55,19.26,33.25,90.85,129.06,51.51,14.62,0.89,0.54
1909,0.42,0.59,3.17,9.28,31.39,49.92,92.44,114.84,61.09,14.03,0.89,0.54
1910,0.42,0.59,1.90,7.25,25.98,33.94,83.69,127.90,56.39,11.06,0.89,0.54
1911,0.42,0.58,2.05,7.63,23.68,43.21,86.33,124.26,53.22,16.10,0.89,0.54
1912,0.42,0.58,2.10,6.11,17.27,39.85,81.41,119.21,47.26,14.87,0.87,0.54
1913,0.42,0.59,1.87,7.13,19.69,32.56,72.64,109.23,47.87,12.01,0.91,0.54
1914,0.42,0.59,2.27,7.20,24.59,34.45,75.83,118.67,53.12,12.86,0.97,0.54
1915,0.42,0.59,2.09,7.54,19.69,34.50,93.65,115.15,48.53,13.01,0.97,0.54
1916,0.42,0.59,2.33,7.45,22.10,36.47,81.50,116.19,59.43,14.92,0.97,0.54
1917,0.42,0.59,2.16,7.57,25.23,34.70,82.05,113.92,58.60,12.04,0.98,0.54
1918,0.42,0.59,2.76,7.59,20.25,38.50,82.02,116.63,52.87,13.61,1.06,0.54
1919,0.42,0.59,2.11,7.10,24.27,35.91,86.22,115.33,51.29,13.07,0.98,0.54
1920,0.42,0.59,2.07,7.37,24.62,38.58,86.21,125.87,54.93,13.08,0.98,0.54
1921,0.42,0.59,2.12,8.01,22.65,37.53,81.90,123.00,55.34,13.04,0.97,0.54
1922,0.42,0.59,2.07,8.25,21.01,35.68,85.34,127.31,54.93,15.58,1.05,0.54
1923,0.42,0.59,2.08,7.76,23.17,38.57,83.84,119.67,52.81,14.15,1.01,0.54
1924,0.42,0.59,2.23,8.40,20.25,38.41,89.27,125.54,54.29,12.86,0.97,0.54
1925,0.42,0.59,2.30,7.67,22.07,35.63,81.30,124.37,51.66,15.18,0.98,0.54
1926,0.42,0.59,2.07,8.14,22.82,36.77,86.35,120.31,48.00,12.54,0.88,0.54
1927,0.42,0.58,1.88,6.24,20.51,38.81,87.41,127.03,63.59,14.67,0.88,0.54
1928,0.42,0.54,1.59,9.93,23.53,45.32,84.97,141.81,46.97,10.42,0.74,0.54
1929,0.42,0.54,1.86,5.51,29.59,34.11,78.75,123.63,58.26,10.53,0.73,0.54
1930,0.42,0.64,1.81,5.59,23.26,34.94,85.76,124.72,58.05,13.98,1.11,0.54
1931,0.42,0.56,1.41,4.28,17.82,40.17,86.63,121.66,73.58,13.39,0.80,0.54
1932,0.42,0.64,4.91,4.96,12.97,30.53,73.02,137.62,75.68,16.25,0.68,0.54
1933,0.42,0.64,1.49,4.71,36.38,40.99,89.43,131.50,69.47,19.65,1.52,0.56
1934,0.42,0.64,1.36,10.53,35.85,48.79,85.05,165.21,58.57,12.47,1.04,0.54
1935,0.43,0.66,1.70,2.39,17.26,47.10,78.01,135.50,57.90,15.22,1.09,0.58
1936,0.42,0.57,2.29,6.66,28.06,37.86,87.79,178.68,50.75,18.70,1.25,0.54
1937,0.42,0.60,1.88,4.51,23.53,22.53,93.36,147.51,57.08,12.08,0.54,0.54
1938,0.43,0.64,0.94,5.09,14.74,36.86,106.99,136.19,66.36,9.56,0.92,0.54
1939,0.42,0.60,3.43,10.57,36.70,30.48,71.54,136.55,72.11,23.52,1.76,0.54
1940,0.42,0.54,1.09,5.86,26.13,35.75,83.80,107.52,57.28,13.89,1.02,0.54
1941,0.42,0.54,1.47,11.45,39.35,36.08,66.56,111.59,29.78,6.22,2.04,0.54
1942,0.42,0.80,1.00,4.86,30.35,26.64,80.14,137.84,40.31,17.57,0.57,0.54
1943,0.42,0.54,1.58,3.28,27.88,28.54,88.37,131.33,61.80,25.65,1.14,0.53
1944,0.42,0.53,3.91,7.82,19.49,35.78,71.98,132.66,55.37,18.51,0.77,0.54
