Variable:,pr
Country:,Tunisia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,50.45,25.81,19.69,19.72,30.93,1.54,5.22,7.94,20.23,65.89,23.03,12.12
1902,12.54,33.73,34.24,21.12,16.19,3.69,0.70,0.75,21.12,51.57,24.32,44.07
1903,37.72,14.02,27.46,32.80,8.27,17.26,0.06,0.15,28.78,19.19,60.93,46.14
1904,65.56,31.35,31.48,13.40,4.45,10.90,3.90,6.14,26.68,42.97,15.48,31.06
1905,33.97,16.56,12.67,27.34,24.46,10.91,10.40,5.67,8.65,39.09,10.39,76.38
1906,56.04,43.88,24.54,10.01,15.20,16.03,3.59,5.74,39.52,37.30,31.97,33.16
1907,39.09,47.30,16.84,21.93,6.76,13.28,2.83,0.92,37.60,22.35,16.58,6.62
1908,23.90,15.68,61.48,14.74,0.62,1.48,0.65,2.50,10.81,16.92,23.41,45.06
1909,43.22,30.91,23.02,38.25,21.59,10.71,2.62,2.42,12.01,50.46,21.04,19.19
1910,39.46,33.30,13.34,12.87,26.70,4.23,0.92,0.80,17.91,3.46,11.88,76.45
1911,60.59,12.17,39.20,40.15,19.21,4.49,5.62,2.07,18.73,45.13,46.87,26.12
1912,42.45,12.49,9.46,28.16,6.43,8.34,0.01,1.75,65.61,38.43,24.15,19.48
1913,41.67,68.28,16.58,17.43,30.24,2.31,0.36,1.74,1.07,29.24,9.92,21.26
1914,47.24,35.06,13.34,11.68,12.63,3.54,0.68,5.22,13.38,25.22,20.46,27.60
1915,69.20,39.54,27.97,28.97,12.69,35.90,0.63,4.48,28.49,26.30,20.24,41.41
1916,35.95,35.80,10.80,34.49,21.71,5.35,1.08,12.44,23.06,19.57,46.95,14.55
1917,24.91,29.83,51.61,6.80,16.58,25.19,0.65,1.80,8.08,26.36,64.93,18.59
1918,14.43,22.78,67.99,25.80,25.71,6.75,2.22,4.00,6.01,53.43,44.98,35.40
1919,32.45,29.30,32.25,17.47,30.53,7.67,0.74,5.24,31.63,23.80,18.44,29.94
1920,14.70,59.66,18.83,15.88,3.05,7.87,0.82,8.69,9.45,24.74,65.30,15.95
1921,33.74,21.36,63.96,78.32,27.88,8.59,3.84,9.12,17.70,13.58,28.45,40.57
1922,44.10,28.28,9.62,10.15,5.11,2.52,0.02,1.26,9.53,8.90,44.69,25.54
1923,49.48,31.87,35.21,43.87,4.38,11.28,0.23,0.29,14.56,7.83,26.12,39.43
1924,39.08,23.58,25.93,9.38,8.13,8.94,2.60,2.43,11.18,22.41,32.11,45.25
1925,14.04,23.43,37.70,24.15,37.04,1.48,0.94,3.77,23.96,54.47,21.68,12.26
1926,28.28,18.03,21.44,31.79,14.13,11.81,3.13,4.75,16.04,5.60,29.32,26.17
1927,30.01,23.50,26.71,8.10,10.79,2.50,0.01,0.80,20.37,16.13,25.51,43.10
1928,77.93,37.01,40.93,20.47,8.08,0.09,4.07,1.29,26.66,43.25,26.60,55.81
1929,26.39,34.76,62.23,8.41,22.86,13.04,0.79,6.09,25.93,25.31,36.53,17.44
1930,26.84,35.73,28.11,33.59,10.09,7.09,5.66,0.24,18.70,29.22,13.51,33.15
1931,61.73,43.70,7.41,15.40,18.76,1.44,1.13,1.10,24.04,28.29,51.19,65.96
1932,23.12,51.00,45.77,10.49,3.36,0.91,0.11,0.19,22.74,38.99,25.89,17.34
1933,48.45,30.32,58.74,5.01,11.47,19.76,2.61,3.35,8.35,8.40,30.58,34.28
1934,34.54,16.72,36.19,29.77,26.01,9.98,1.95,3.99,20.77,71.61,70.62,42.53
1935,51.11,22.47,41.78,8.01,6.08,0.33,3.52,9.46,19.21,26.48,12.71,22.88
1936,7.40,18.46,12.67,26.10,28.84,9.27,0.01,7.40,6.68,37.24,72.52,33.02
1937,13.66,25.52,16.86,15.31,4.74,3.22,0.01,3.09,30.59,20.19,12.04,24.49
1938,29.38,26.98,18.04,40.30,9.78,0.24,0.01,12.98,10.68,21.11,47.18,38.76
1939,23.52,49.69,31.03,45.68,31.75,3.69,0.73,5.87,39.02,12.76,24.17,15.27
1940,61.83,6.91,12.86,10.34,9.82,8.19,0.13,7.63,16.64,45.52,27.18,40.31
1941,19.21,7.22,29.32,23.40,29.49,3.59,0.25,2.15,18.33,42.42,25.20,37.12
1942,45.39,30.12,23.33,5.45,5.55,4.85,0.05,0.94,15.16,4.17,20.98,82.74
1943,25.47,21.52,38.06,10.65,18.83,6.23,1.13,1.07,5.99,31.50,39.15,53.89
1944,19.50,27.59,21.93,43.38,2.53,10.08,0.59,9.61,23.32,18.58,23.78,49.33
1945,25.64,19.35,14.35,9.06,13.44,2.54,4.52,1.11,12.01,41.78,15.39,29.25
1946,67.34,9.61,18.50,33.05,11.44,3.47,0.06,3.51,9.54,11.39,20.02,39.28
1947,13.98,14.34,4.84,17.22,8.10,1.44,1.45,7.84,7.07,36.45,10.50,31.99
1948,10.27,38.71,16.57,27.35,15.95,12.55,1.91,1.25,14.67,33.09,39.73,64.72
1949,61.31,36.99,49.61,14.85,23.63,1.23,5.26,2.59,1.68,26.70,21.67,18.24
1950,47.97,32.50,51.48,26.49,14.10,9.29,0.04,4.62,12.98,42.15,27.46,23.61
1951,31.70,15.08,13.89,3.99,12.69,2.05,2.48,4.37,44.64,71.90,28.93,20.41
1952,50.47,37.10,14.77,36.87,15.16,2.29,6.40,10.51,19.61,21.36,28.18,35.00
1953,38.47,20.72,65.89,20.52,41.65,21.36,0.51,16.30,11.04,83.73,57.98,21.15
1954,26.52,32.57,25.35,46.31,11.57,2.24,2.11,3.84,2.51,42.35,39.76,36.11
1955,20.28,18.27,18.46,58.67,6.48,2.72,0.69,12.13,37.84,41.84,18.70,32.73
1956,33.33,54.32,49.92,12.60,16.05,1.21,0.33,0.32,40.67,19.41,42.61,28.59
1957,56.08,1.72,7.12,57.72,30.44,14.77,0.43,4.17,12.62,99.98,48.90,49.66
1958,36.88,14.55,22.23,17.01,2.66,6.01,0.19,1.74,18.12,59.77,70.96,41.90
1959,19.65,39.46,30.72,45.70,25.17,27.49,1.13,4.83,16.06,54.84,21.64,41.01
1960,35.34,8.21,40.55,47.87,20.11,13.73,4.03,0.09,10.16,5.01,9.90,30.49
1961,38.94,5.52,31.79,21.68,4.22,19.16,1.47,2.43,9.22,45.35,22.05,12.92
1962,20.38,31.43,37.30,33.33,11.05,6.51,0.74,0.89,27.26,49.71,36.77,23.09
1963,25.85,37.11,44.30,20.17,26.27,23.15,5.46,4.01,30.36,39.69,4.71,58.56
1964,82.49,24.79,20.45,22.43,8.84,7.03,3.16,22.09,0.96,41.78,18.00,53.98
1965,54.07,34.29,28.72,22.10,3.19,1.38,2.63,7.09,30.34,32.77,25.74,33.65
1966,9.90,6.53,30.43,38.68,23.42,10.38,0.77,1.60,22.42,39.23,37.35,21.77
1967,10.98,51.30,13.67,11.52,20.55,2.91,0.92,5.16,52.55,21.51,32.32,24.66
1968,49.05,31.68,20.69,18.05,9.76,23.58,0.02,0.93,10.13,11.82,14.53,27.13
1969,32.06,15.77,21.24,28.45,19.38,5.18,4.76,10.03,74.91,114.07,11.10,43.10
1970,20.54,9.36,20.07,26.90,13.55,6.23,1.22,0.72,22.74,18.90,2.55,58.61
1971,33.47,46.73,24.64,16.41,16.64,2.88,2.98,1.25,44.17,52.51,18.60,13.69
1972,35.71,19.40,49.02,61.18,23.62,9.28,0.90,3.55,27.58,49.90,11.13,51.83
1973,50.06,40.01,68.36,15.60,0.91,6.19,4.10,15.82,6.23,25.68,13.02,93.76
1974,6.06,29.73,37.49,26.71,4.47,10.38,1.74,1.87,37.51,57.38,18.66,19.39
1975,18.58,71.42,38.63,19.81,29.41,3.53,0.08,10.20,12.13,40.03,60.09,33.35
1976,71.96,52.34,79.03,19.27,53.24,21.01,9.15,10.71,15.83,40.05,55.33,15.02
1977,33.92,14.33,15.18,33.23,11.18,8.59,0.75,7.71,23.56,5.68,47.89,7.41
1978,34.99,47.12,21.71,18.71,24.32,3.59,0.02,13.10,3.64,55.21,38.58,8.05
1979,16.10,68.05,54.99,42.48,7.24,6.00,0.67,4.71,56.42,18.26,32.84,4.45
1980,17.33,29.62,48.71,38.32,19.51,2.78,0.13,2.74,13.17,26.18,28.23,56.52
1981,22.44,35.96,13.31,11.01,9.98,13.34,1.42,3.57,5.73,15.63,12.34,22.30
1982,47.39,29.75,28.96,47.43,17.81,2.07,0.09,6.06,21.15,65.65,74.29,53.70
1983,14.52,18.24,30.47,2.02,9.12,18.85,1.45,0.80,16.06,42.70,25.11,38.08
1984,25.78,32.36,37.66,20.59,9.94,3.77,0.10,2.52,16.67,107.87,17.47,79.63
1985,49.60,16.98,36.18,22.00,21.31,1.01,0.01,0.26,22.41,11.68,8.79,29.51
1986,20.47,13.57,47.69,33.89,11.00,4.06,6.79,3.42,23.81,40.54,59.18,54.48
1987,26.26,27.55,27.48,23.24,15.23,2.77,4.98,1.55,12.57,19.46,34.35,16.33
1988,20.13,11.81,23.77,12.20,8.78,20.17,2.03,3.29,21.26,6.32,44.18,45.75
1989,20.56,19.99,18.52,20.77,6.81,6.61,5.46,15.23,15.29,24.93,25.90,41.20
1990,89.19,2.41,28.36,43.69,35.08,3.69,3.33,19.13,7.00,13.83,61.17,75.73
1991,43.27,27.65,50.79,20.91,14.13,3.49,0.68,1.99,24.59,30.55,30.42,24.34
1992,49.28,41.66,32.84,36.11,35.00,5.20,6.51,3.44,7.85,17.99,39.01,46.63
1993,16.88,27.19,34.09,6.41,22.58,0.47,0.17,0.48,21.47,21.88,21.44,30.60
1994,36.71,40.75,16.10,38.24,15.50,4.41,2.11,0.37,20.47,60.42,5.52,15.98
1995,41.20,2.26,24.68,24.93,1.34,10.31,0.19,12.51,66.50,67.18,27.32,41.48
1996,39.83,73.84,44.11,35.21,25.60,18.81,3.26,10.81,22.32,19.99,8.61,13.17
1997,34.14,12.40,10.80,33.66,3.68,8.91,0.47,13.71,72.74,55.30,39.41,39.60
1998,22.94,16.96,16.83,26.73,15.18,6.52,0.05,9.94,27.25,46.98,33.65,20.59
1999,75.65,23.11,26.58,9.93,10.48,3.71,8.55,3.76,15.09,11.63,58.75,40.52
2000,17.28,19.14,6.07,17.45,34.80,10.66,1.11,2.23,9.31,48.94,10.83,21.06
2001,47.17,22.88,12.61,18.86,32.29,3.05,0.15,7.22,24.26,5.52,19.54,34.07
2002,10.08,14.18,16.54,23.08,23.12,3.12,4.90,15.07,16.17,22.22,58.86,32.34
2003,81.03,40.79,16.22,50.45,15.17,2.63,1.09,0.56,41.92,40.44,26.11,91.00
2004,31.96,6.24,47.11,28.89,14.87,12.04,1.29,2.65,22.98,19.24,50.14,42.79
2005,27.43,42.71,15.02,33.44,3.96,11.17,2.29,10.72,21.88,12.08,23.82,62.39
2006,79.95,24.35,10.85,13.57,23.92,3.53,2.14,9.36,31.78,26.19,27.95,65.42
2007,5.01,26.11,64.55,45.05,8.87,18.26,0.71,3.57,19.59,45.41,13.97,53.88
2008,15.68,7.14,28.59,6.27,15.51,6.21,3.49,4.85,31.25,25.41,23.70,27.01
2009,82.41,22.04,32.43,51.32,21.96,0.34,0.80,6.59,56.49,25.27,10.19,16.25
2010,29.58,15.53,25.01,41.83,16.49,7.63,2.53,3.12,22.50,44.82,43.12,17.17
2011,27.08,38.06,33.39,34.75,22.66,7.98,7.43,6.45,9.85,76.47,26.50,30.21
2012,27.48,37.67,38.09,25.67,5.41,4.91,1.68,7.65,21.03,25.35,12.19,10.46
2013,23.07,29.01,26.58,32.12,5.61,2.16,2.62,18.18,25.24,32.42,47.90,38.71
2014,24.74,15.29,57.66,8.17,12.33,6.70,4.25,0.92,11.61,30.78,22.84,39.38
2015,31.63,66.99,39.59,2.77,6.98,3.53,4.78,21.22,40.22,33.60,31.71,5.03
2016,17.64,12.11,27.11,22.68,29.05,4.35,0.45,1.16,40.92,14.90,22.03,59.70
2017,26.57,23.75,19.13,31.29,1.45,7.80,2.06,0.35,18.95,65.01,44.90,26.68
2018,13.78,42.28,27.16,10.96,23.00,4.74,2.60,15.34,33.48,74.51,28.58,9.78
2019,36.25,31.94,48.40,26.15,23.88,0.23,0.16,13.12,26.85,51.35,34.48,25.99
2020,18.39,11.80,44.38,33.32,4.57,3.69,3.22,2.15,44.56,11.05,35.60,38.35
2021,12.28,7.35,24.31,18.30,7.71,1.71,0.35,4.55,6.72,23.25,20.84,18.16
