Variable:,pr
Country:,"South Africa"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,60.75,86.12,80.45,41.24,15.49,11.83,10.05,15.01,52.92,61.95,64.86,56.56
1902,59.28,54.19,71.59,31.52,8.39,18.93,10.52,17.68,46.19,32.50,34.59,54.16
1903,41.94,43.31,26.58,41.49,21.57,14.66,7.92,10.59,7.57,30.65,64.36,45.69
1904,98.50,78.29,74.36,21.42,12.44,12.39,7.85,10.47,16.60,35.38,42.50,42.19
1905,55.59,64.31,60.74,30.83,26.81,15.45,3.77,13.34,36.83,29.16,48.70,63.39
1906,55.19,63.12,57.26,19.06,26.55,11.55,3.17,6.57,30.71,67.34,71.81,82.56
1907,90.32,94.44,64.11,74.14,32.30,6.16,4.38,3.01,26.01,40.76,55.62,70.66
1908,46.81,40.24,48.74,31.48,6.85,13.90,17.53,19.38,25.07,46.15,45.56,48.84
1909,112.62,117.50,84.87,38.62,43.63,4.56,7.32,17.87,28.77,26.13,45.60,93.25
1910,76.58,91.60,65.04,12.53,21.82,17.78,12.73,8.18,23.66,65.01,36.73,60.28
1911,81.76,48.18,86.30,41.46,47.97,14.35,23.57,20.21,21.92,48.95,57.24,30.28
1912,54.16,77.17,40.29,47.82,19.31,20.51,10.05,7.94,13.74,14.74,24.51,71.56
1913,53.48,92.57,78.36,33.60,11.69,17.05,12.18,18.81,36.28,52.10,38.01,26.25
1914,46.89,63.83,50.57,33.56,26.44,18.98,9.60,24.55,9.88,38.12,81.57,91.57
1915,108.46,79.77,25.45,19.97,21.29,15.12,24.95,6.65,17.66,51.56,54.14,54.41
1916,51.96,29.12,69.55,29.11,25.52,6.49,8.08,9.12,9.10,33.72,42.06,82.06
1917,66.02,81.48,70.97,39.24,17.10,27.28,28.54,36.19,27.47,46.33,85.06,79.81
1918,88.99,86.88,113.66,7.31,21.86,11.06,23.24,27.43,36.23,42.45,41.50,65.61
1919,55.30,46.47,58.44,34.43,8.61,7.22,7.56,13.31,15.06,15.65,62.27,29.34
1920,88.54,112.03,82.47,12.93,18.09,13.56,11.96,13.83,24.22,52.94,36.99,55.22
1921,38.66,90.62,113.43,44.75,23.69,19.83,9.10,7.41,20.42,35.50,88.12,85.67
1922,55.54,34.34,39.73,12.49,25.95,21.03,8.37,28.15,15.60,42.54,81.67,46.47
1923,113.25,88.32,43.48,29.95,24.81,18.56,19.64,7.65,5.38,20.02,49.84,48.44
1924,51.44,53.69,98.80,15.94,15.96,7.17,6.00,14.80,33.63,31.59,70.05,101.31
1925,62.23,66.10,144.12,62.48,37.14,25.32,17.99,6.71,43.18,26.41,41.20,41.31
1926,46.40,47.32,58.52,13.57,22.72,13.99,12.41,4.17,28.27,33.61,54.55,51.68
1927,46.45,51.20,71.96,19.44,9.96,3.59,18.69,14.77,6.98,54.50,29.91,62.19
1928,89.43,47.03,80.93,25.05,6.18,7.60,3.93,16.42,30.44,29.57,51.11,54.43
1929,62.04,44.18,91.36,20.20,19.24,27.26,23.23,19.51,63.08,44.85,54.95,76.10
1930,75.14,55.35,60.51,28.02,11.83,9.79,8.16,25.97,18.15,25.95,35.76,59.65
1931,81.89,46.39,57.82,47.78,4.03,4.45,33.49,9.03,8.39,40.27,60.99,56.29
1932,43.46,81.37,59.12,18.44,27.42,11.83,9.34,4.00,37.60,27.42,44.99,59.24
1933,45.72,33.09,44.05,23.93,7.19,12.56,12.56,16.44,8.66,12.59,95.51,91.98
1934,111.05,66.86,71.03,32.63,28.12,7.71,21.98,14.26,11.67,48.03,88.93,73.35
1935,37.69,53.19,60.71,37.12,43.82,16.62,8.27,14.93,17.74,18.49,31.95,47.64
1936,64.21,65.40,88.57,16.26,43.46,4.33,12.98,5.37,24.31,41.44,101.76,44.92
