Variable:,pr
Country:,Zimbabwe
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,175.09,186.42,118.31,32.65,4.64,6.87,0.20,2.28,11.45,18.29,95.37,223.42
1902,213.18,94.06,157.60,24.91,0.63,0.71,0.49,0.48,11.98,28.51,108.19,41.79
1903,202.70,32.76,60.21,13.65,13.03,0.19,0.32,5.02,2.03,28.49,111.59,106.57
1904,233.33,89.19,120.09,14.62,14.80,5.79,1.68,2.18,0.67,41.17,51.70,154.06
1905,108.08,171.62,86.82,2.67,7.67,0.28,2.91,0.33,2.04,1.69,38.70,108.66
1906,173.63,216.29,66.20,8.80,2.90,0.91,0.63,0.87,7.46,44.54,93.08,94.11
1907,142.03,283.14,67.83,36.01,4.71,3.06,7.07,3.33,4.01,24.37,130.21,180.68
1908,125.99,142.75,50.47,15.28,3.61,0.45,1.02,1.27,0.47,17.91,119.02,143.82
1909,250.18,132.25,100.13,18.52,4.37,1.36,2.33,1.23,3.68,15.46,38.81,133.51
1910,81.70,155.87,182.46,18.16,1.55,4.54,5.76,1.02,0.84,47.25,83.14,86.36
1911,276.23,178.32,87.49,19.16,31.23,2.94,0.78,2.35,2.58,18.78,38.05,96.70
1912,197.99,75.03,35.33,17.38,9.14,2.48,3.74,0.91,1.54,2.50,14.27,149.38
1913,87.81,213.98,72.01,52.26,15.19,1.00,0.04,1.45,4.61,21.66,69.20,40.30
1914,141.08,206.64,30.61,19.65,5.97,3.36,3.45,5.72,0.87,1.01,63.75,294.10
1915,325.81,147.21,84.47,16.64,7.53,1.39,0.90,1.08,13.14,19.55,62.14,87.18
1916,141.80,24.67,79.73,16.29,6.63,0.70,0.41,1.74,4.80,9.24,96.16,225.39
1917,102.46,62.08,76.23,35.69,12.35,1.01,0.95,4.38,3.11,5.07,109.66,285.37
1918,326.42,220.84,157.06,10.62,4.93,0.25,1.15,2.20,0.45,4.35,95.70,131.38
1919,303.16,178.19,28.15,11.23,5.03,1.60,0.42,0.32,5.62,23.61,82.13,130.94
1920,196.70,203.21,125.41,6.55,11.97,0.52,0.46,0.49,0.33,29.63,42.75,115.03
1921,178.26,177.34,162.95,31.35,19.91,0.95,1.51,1.94,1.33,23.02,116.81,141.38
1922,30.47,86.82,29.48,4.74,14.61,0.59,1.42,0.20,0.56,49.71,85.15,112.15
1923,218.61,226.60,228.96,13.30,3.19,0.79,3.48,2.15,1.93,4.76,47.01,107.80
1924,70.61,82.21,106.67,4.62,5.52,0.78,1.39,1.69,1.78,34.34,109.03,260.81
1925,308.69,209.71,225.29,55.07,25.80,0.18,5.09,0.13,24.25,22.26,32.84,85.75
1926,215.74,213.61,190.29,9.79,6.48,2.21,3.22,0.25,1.26,4.85,44.97,177.84
1927,121.18,140.48,53.83,22.86,2.56,1.58,5.12,0.76,0.71,36.11,72.51,124.55
1928,197.95,42.75,82.65,21.28,1.36,0.94,1.90,3.52,4.00,3.33,72.61,211.45
1929,277.78,151.32,149.84,4.81,5.08,4.44,1.26,3.23,0.34,14.34,116.18,160.99
1930,134.91,59.18,110.90,69.54,6.29,2.65,2.50,1.22,1.93,2.80,75.65,208.63
