Variable:,tas
Country:,Angola
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.50,22.65,22.68,21.48,20.19,18.43,18.01,19.90,22.03,23.01,22.62,22.45
1902,22.46,22.62,22.65,21.66,20.43,18.44,18.04,19.91,22.11,22.96,22.64,22.50
1903,22.49,22.65,22.73,22.14,20.04,18.43,18.02,19.91,22.03,23.00,22.63,22.45
1904,22.44,22.58,22.60,21.46,19.86,18.46,17.98,19.88,22.02,23.00,22.66,22.43
1905,22.49,22.63,22.63,21.78,19.83,18.46,17.98,19.92,22.08,23.06,22.65,22.49
1906,22.50,22.59,22.03,21.41,19.68,18.43,18.00,19.87,22.05,22.97,22.58,22.45
1907,22.45,22.60,22.08,21.45,19.83,18.42,17.97,19.85,22.04,22.99,22.62,22.44
1908,22.45,22.59,22.08,21.67,20.24,18.45,18.01,19.91,22.09,23.04,22.62,22.46
1909,22.45,22.62,22.07,21.53,20.59,18.42,18.03,19.91,22.06,23.00,22.62,22.48
1910,22.44,22.60,22.62,21.42,20.81,18.44,18.01,19.90,22.03,22.97,22.57,22.45
1911,22.43,22.59,22.62,22.19,20.79,18.39,17.98,19.87,22.01,23.03,22.65,22.53
1912,22.47,22.66,22.39,21.99,20.37,18.44,17.98,19.87,22.04,22.98,22.71,22.48
1913,22.49,22.63,22.06,21.88,20.86,18.41,18.03,19.90,22.06,23.02,22.63,22.54
1914,22.51,22.61,22.68,21.53,19.64,18.46,17.99,19.87,22.11,23.04,22.66,22.47
1915,22.46,22.60,22.29,22.04,19.83,18.44,18.05,19.88,22.05,23.01,22.65,22.48
1916,22.46,22.67,22.24,21.43,20.09,18.45,18.02,19.87,22.06,23.05,22.62,22.45
1917,22.45,22.64,22.11,21.81,20.52,18.47,18.02,19.88,22.05,23.04,22.65,22.42
1918,22.19,22.46,22.40,21.30,19.64,18.48,18.16,19.51,21.91,22.96,22.37,22.28
1919,22.30,22.51,22.47,22.31,18.94,18.29,18.17,19.70,21.99,22.77,22.55,22.36
1920,22.76,22.66,22.53,21.46,20.05,18.44,18.01,19.69,22.09,22.78,22.65,22.70
1921,22.68,22.71,22.25,21.86,20.23,18.46,17.98,19.85,22.03,22.97,22.51,22.44
1922,22.92,22.85,22.41,21.96,20.28,18.89,18.14,20.13,21.97,22.43,22.63,22.77
1923,22.27,22.58,21.99,21.74,20.01,18.76,18.05,20.14,21.69,22.96,22.87,22.78
1924,22.90,22.75,22.76,21.68,20.71,18.67,17.85,19.67,21.93,22.79,22.54,22.31
1925,22.37,22.40,22.51,21.64,19.76,18.60,17.81,19.59,21.53,22.76,22.76,22.72
1926,22.74,22.76,22.20,22.07,20.03,18.38,17.69,19.47,21.96,22.82,22.65,22.47
1927,22.65,22.70,22.12,22.01,20.43,18.20,17.81,19.56,21.82,22.75,22.62,22.61
1928,22.64,23.00,22.87,21.91,20.41,18.67,17.70,19.58,22.24,23.23,22.88,22.70
1929,22.55,22.78,22.50,21.61,19.39,18.61,17.98,19.64,22.21,23.34,22.94,22.39
1930,22.54,22.92,22.61,21.48,20.02,18.26,17.78,19.64,21.78,23.03,22.99,22.63
1931,22.78,23.14,22.83,22.09,20.88,18.44,18.10,19.95,21.96,23.06,22.21,22.51
