Variable:,tas
Country:,"Burkina Faso"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.11,27.83,29.80,32.12,30.78,29.79,27.81,27.15,27.72,29.34,28.06,23.76
1902,23.84,27.55,30.67,33.73,32.64,28.35,27.96,27.41,27.48,27.85,28.18,25.42
1903,25.29,28.18,31.07,32.80,32.27,29.76,27.71,27.05,27.61,29.44,27.99,25.44
1904,25.17,27.87,31.11,32.76,32.37,29.88,27.80,27.15,27.80,29.44,28.11,25.55
1905,24.34,25.36,29.84,33.19,32.05,29.16,27.89,26.33,27.44,29.40,28.65,25.85
1906,24.71,26.62,31.28,34.43,32.27,29.75,27.20,25.99,28.17,29.37,28.02,25.57
1907,24.72,25.72,29.44,31.69,32.40,29.31,28.75,26.65,27.97,30.77,28.23,24.53
1908,25.00,26.97,30.34,33.10,32.98,30.48,28.48,26.42,27.93,29.04,27.43,24.86
1909,25.12,29.05,33.11,32.81,31.91,28.29,26.75,25.52,27.72,28.25,28.35,25.46
1910,23.46,27.65,30.83,31.93,32.08,30.81,28.34,27.19,27.92,28.94,28.09,25.55
1911,24.74,27.17,30.10,32.55,31.40,28.48,27.90,26.67,27.42,28.73,27.43,23.92
1912,24.85,28.17,30.80,33.43,32.07,29.64,28.56,27.31,28.14,28.85,26.56,25.28
1913,25.49,27.65,28.89,32.35,32.42,30.93,29.67,28.71,29.12,28.80,25.62,24.02
1914,27.38,27.52,30.29,32.48,33.36,31.01,28.73,26.55,27.60,29.26,28.73,24.65
1915,22.95,26.31,31.90,31.47,32.07,28.29,27.97,27.00,27.04,28.06,27.00,24.12
1916,22.74,25.27,30.54,31.06,30.87,28.51,28.03,25.71,25.82,27.30,25.25,25.47
1917,25.31,28.17,28.78,31.21,30.33,28.36,27.82,27.15,26.04,27.52,24.48,24.79
1918,24.01,24.34,27.57,31.43,30.78,29.78,27.79,25.09,25.83,28.43,26.77,25.45
1919,25.30,28.20,31.11,32.76,32.26,29.78,27.79,27.13,27.69,29.33,28.05,25.48
1920,25.38,28.20,31.11,32.78,32.64,29.78,27.80,27.13,27.70,29.32,28.03,25.48
1921,24.72,28.19,31.12,32.78,32.80,29.75,27.80,27.15,27.71,29.35,28.04,25.47
1922,25.31,28.20,31.14,32.78,32.39,29.79,27.80,25.25,25.44,27.89,26.83,24.48
1923,24.83,27.13,30.52,30.74,31.56,29.43,27.33,26.26,26.95,28.95,28.00,26.11
1924,25.62,29.68,31.83,32.32,32.35,29.15,27.06,26.34,27.23,29.28,27.88,24.80
1925,22.43,27.35,31.48,33.35,32.48,29.03,27.86,27.12,27.54,27.79,27.62,25.02
1926,24.95,27.40,30.39,31.79,31.41,28.54,27.23,27.27,27.84,29.49,27.51,25.60
1927,22.88,26.86,29.45,32.23,31.24,28.39,27.33,25.54,26.90,28.39,27.00,24.56
1928,23.48,26.38,29.44,31.37,31.69,29.49,27.72,25.75,27.37,28.69,27.13,24.51
1929,24.01,26.39,29.78,32.39,31.54,28.23,27.66,26.00,27.49,28.25,26.62,23.40
1930,24.38,28.34,29.95,32.13,31.37,28.87,27.21,26.19,27.55,28.32,28.13,26.45
1931,25.96,27.68,31.01,33.24,32.18,29.51,28.20,27.89,26.85,29.03,27.89,26.74
1932,24.53,27.39,30.02,33.52,31.69,29.97,27.37,27.02,27.65,30.00,28.35,25.69
1933,26.05,28.63,30.90,32.15,32.13,28.94,27.69,26.72,27.54,28.89,27.49,25.55
1934,24.56,27.63,30.32,32.71,33.40,29.86,28.03,26.97,28.39,29.34,28.82,25.74
1935,25.75,29.14,33.29,34.07,32.95,29.60,27.97,26.92,27.98,29.87,28.56,26.65
1936,25.11,29.13,32.70,32.52,31.79,29.22,27.30,26.18,27.08,29.33,28.84,25.33
1937,25.42,28.66,32.74,34.46,33.91,31.19,28.86,27.48,28.33,30.58,30.15,27.67
1938,26.71,30.48,31.30,34.46,34.38,32.00,28.71,27.41,28.67,30.89,30.09,26.60
1939,26.19,28.19,32.29,32.82,32.89,30.78,28.83,27.39,27.90,30.03,29.47,27.24
1940,25.66,28.16,31.11,32.80,32.60,29.81,27.81,27.15,27.72,29.33,28.03,25.45
1941,26.24,27.58,31.91,32.97,32.59,29.78,28.06,27.58,28.36,30.45,29.20,26.52
1942,24.70,28.58,31.63,33.34,32.12,30.40,28.35,26.61,28.88,29.87,29.53,25.49
1943,24.62,27.61,31.27,32.12,31.80,29.57,27.80,26.59,27.44,29.43,28.01,26.72
1944,24.58,27.71,30.39,32.75,33.09,30.52,28.69,27.34,28.00,29.92,29.00,26.38
1945,26.00,27.68,30.36,32.56,32.32,30.16,28.18,26.48,27.75,29.09,28.35,25.11
1946,25.97,26.90,31.97,32.71,32.58,29.48,27.66,26.20,27.17,28.81,28.53,24.54
1947,24.95,29.88,30.88,32.51,33.33,30.26,28.64,27.33,27.84,29.67,27.90,25.91
1948,23.97,28.01,30.22,32.40,32.38,29.00,27.89,27.04,28.03,29.63,27.47,25.34
1949,25.18,27.10,32.15,33.36,32.52,30.33,28.34,26.92,28.06,29.95,28.95,26.16
1950,24.68,26.40,29.91,32.29,32.39,30.27,27.41,25.90,26.92,28.68,27.62,25.27
1951,25.77,28.50,31.61,32.60,31.92,30.28,27.75,27.28,27.64,28.94,27.87,25.14
1952,25.30,27.18,30.68,32.93,32.22,30.08,27.61,26.55,26.74,28.66,28.06,25.42
1953,26.74,28.56,30.62,32.37,31.12,28.42,26.88,26.70,27.54,29.24,28.64,24.74
1954,25.33,28.04,31.03,32.29,31.54,28.79,26.94,26.04,27.40,28.60,28.52,25.94
1955,25.99,28.04,30.92,31.85,31.69,28.85,27.05,26.54,26.95,28.87,27.64,25.10
1956,25.07,28.97,30.68,32.60,32.13,29.12,27.09,26.36,27.10,28.51,28.32,25.57
1957,24.27,27.07,30.44,32.22,31.18,29.12,27.66,26.73,27.37,29.06,28.96,26.64
1958,26.95,27.48,31.73,33.43,32.45,28.92,27.24,26.53,27.50,29.34,29.25,26.07
1959,25.79,28.41,31.60,33.33,32.14,30.00,27.96,26.22,27.29,29.58,28.70,24.94
1960,25.42,27.99,30.29,32.20,31.79,29.50,27.07,27.38,27.33,29.75,27.87,25.73
1961,24.71,26.41,29.62,32.35,32.41,29.38,27.20,26.53,27.38,29.47,27.66,24.66
1962,24.55,27.59,30.42,31.81,31.94,28.99,27.73,26.32,27.21,29.12,29.08,25.19
1963,26.46,30.30,30.21,32.10,31.21,30.03,27.92,27.10,28.06,28.36,27.52,25.38
1964,25.67,27.68,31.75,32.13,31.74,28.68,27.07,26.31,26.82,28.77,27.56,26.45
1965,25.61,28.23,30.34,31.42,32.09,29.26,27.68,26.58,27.45,29.46,27.22,24.11
1966,25.22,27.02,30.90,32.58,32.24,29.35,28.65,27.26,27.23,28.84,28.23,26.00
1967,24.28,28.12,30.34,32.79,32.48,29.54,27.56,26.52,26.63,28.84,27.81,25.23
1968,24.42,28.75,30.77,31.57,31.28,28.72,27.50,27.88,27.74,29.50,28.24,26.93
1969,26.18,29.72,32.79,32.81,33.01,30.19,27.75,26.95,27.76,28.96,27.97,26.28
1970,26.68,28.50,31.20,33.16,32.30,30.91,27.78,26.95,27.49,29.77,27.78,25.17
1971,24.31,28.65,31.62,32.59,32.28,30.04,27.42,26.18,27.17,28.94,28.02,25.62
1972,25.48,28.44,31.24,32.03,31.30,28.98,28.48,27.56,28.34,29.42,27.40,25.84
1973,25.60,28.84,31.32,33.35,32.93,30.74,28.57,27.26,27.98,29.76,27.88,25.19
1974,24.28,27.26,31.25,32.58,32.43,30.40,27.02,26.68,27.13,28.88,27.11,24.49
1975,23.61,26.96,30.68,32.84,31.40,29.75,26.85,26.87,26.83,28.97,27.31,25.81
1976,24.64,27.70,29.95,31.87,31.20,28.63,27.53,26.83,27.49,27.93,27.72,25.51
1977,26.64,27.41,30.16,32.94,32.03,29.96,27.91,27.07,27.61,29.33,27.34,24.90
1978,26.06,29.23,31.34,31.83,31.58,29.08,27.08,27.38,27.32,29.01,27.71,26.19
1979,27.20,27.03,31.65,32.83,31.54,28.51,28.02,27.51,27.58,29.56,28.28,24.96
1980,27.61,28.73,31.54,33.63,32.59,29.73,27.33,26.75,28.28,29.57,28.62,24.60
1981,24.29,28.74,31.80,33.21,31.78,30.36,27.68,27.40,28.05,30.16,27.65,25.71
1982,24.23,27.81,30.72,32.91,31.96,29.74,28.60,27.14,28.74,29.42,27.40,25.05
1983,23.40,29.26,31.07,34.21,33.38,29.80,28.39,27.87,28.51,29.76,28.56,26.06
1984,25.16,27.07,31.81,33.31,32.37,30.27,29.05,28.76,28.21,29.77,29.06,25.06
1985,26.50,27.70,32.30,32.79,33.26,30.39,27.37,27.31,27.77,29.81,28.84,24.53
1986,24.33,29.37,31.36,33.88,32.68,30.32,27.52,27.31,27.30,29.59,27.93,24.25
1987,26.41,29.01,31.54,33.42,33.91,30.09,29.33,28.04,28.71,29.70,28.94,26.14
1988,25.01,28.56,32.61,33.27,33.57,29.93,27.36,26.67,27.44,29.54,28.10,24.38
1989,24.06,26.67,30.66,33.28,33.07,30.36,27.80,26.38,27.93,28.82,28.69,25.95
1990,25.74,27.69,30.86,33.84,32.64,30.23,27.57,27.83,28.20,29.91,28.93,26.39
1991,26.70,29.67,31.93,32.83,31.02,29.63,27.79,26.91,28.59,28.85,27.92,24.99
1992,24.24,28.20,31.15,33.00,31.80,29.74,27.51,26.78,27.79,29.46,27.11,25.71
1993,23.89,28.43,31.46,33.62,32.96,30.23,28.07,27.47,27.89,29.76,29.25,25.66
1994,24.91,28.06,31.83,33.41,32.13,29.93,27.78,26.51,27.25,28.19,27.92,24.44
1995,23.71,26.79,32.32,32.99,32.36,30.33,28.28,27.21,28.28,29.64,28.10,26.65
1996,26.79,29.18,32.24,32.75,32.49,30.00,28.59,27.20,27.36,29.22,27.43,26.29
1997,27.22,27.17,30.45,32.42,31.88,29.33,28.47,27.93,28.67,30.27,29.20,26.32
1998,25.85,30.07,31.49,34.68,33.08,30.12,28.59,27.38,27.60,29.89,28.84,26.27
1999,26.00,27.27,32.36,33.22,32.61,31.20,27.79,26.50,27.01,28.96,28.62,25.43
2000,27.74,26.23,30.87,34.07,32.81,29.85,27.76,27.26,28.43,29.47,28.75,25.48
2001,25.44,27.11,32.04,33.76,33.16,29.68,27.94,27.22,28.03,29.96,28.62,27.25
2002,25.16,27.58,32.74,33.86,33.56,30.69,29.07,27.75,28.56,29.21,28.93,26.48
2003,26.28,30.21,31.65,33.87,33.16,29.18,27.71,27.17,27.66,30.25,29.32,25.78
2004,26.24,28.87,31.01,33.31,32.44,30.03,27.67,27.66,28.45,30.15,29.26,27.95
2005,25.44,30.69,33.42,34.25,32.75,29.82,28.02,27.42,28.45,29.80,28.99,26.86
2006,26.44,28.88,32.08,33.63,32.60,30.85,28.78,27.48,27.84,29.84,27.78,25.34
2007,24.87,28.68,32.01,33.59,32.96,31.02,28.26,27.06,28.31,30.20,29.67,26.06
2008,23.20,28.03,31.98,33.23,32.71,30.09,27.79,27.05,28.18,29.68,28.34,26.51
2009,25.00,30.43,32.88,33.61,32.95,30.50,28.63,27.75,28.16,29.79,28.03,27.03
2010,26.67,29.87,33.06,34.17,33.36,30.36,28.30,27.35,27.60,29.24,29.30,26.08
