Variable:,tas
Country:,Botswana
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.36,25.52,24.01,21.77,17.17,14.08,13.55,17.18,19.93,23.52,24.94,25.39
1902,25.19,25.08,23.59,21.66,17.43,13.85,14.66,16.93,20.87,23.05,24.94,26.40
1903,26.15,25.54,24.29,21.82,18.08,13.85,14.08,17.09,20.38,23.58,24.91,25.52
1904,24.86,24.13,22.94,21.33,16.85,14.65,13.74,16.50,19.73,23.73,25.76,24.58
1905,25.94,24.88,23.07,21.35,17.00,14.34,13.75,16.79,21.20,25.08,25.51,26.33
1906,26.54,24.26,23.43,20.57,17.46,14.26,13.56,15.80,20.59,22.88,24.17,25.08
1907,25.16,24.40,23.66,20.50,16.70,13.87,12.85,15.84,20.34,23.22,24.51,24.76
1908,25.19,24.93,23.63,20.23,16.80,14.55,13.90,17.31,21.49,24.36,24.99,25.82
1909,25.37,24.45,22.99,20.42,17.00,13.97,14.14,17.17,20.59,23.63,25.13,25.70
1910,25.40,24.59,23.60,20.81,16.60,13.71,13.64,16.70,20.32,22.96,23.60,25.43
1911,25.18,24.78,22.85,20.33,16.37,12.89,13.01,16.05,19.85,24.62,25.45,27.37
1912,26.23,25.51,23.43,21.78,18.40,13.59,13.47,16.31,19.93,23.78,26.82,25.97
1913,26.37,25.38,23.60,21.36,17.32,13.96,14.22,17.34,20.65,24.03,25.40,27.11
1914,26.89,25.07,24.35,22.15,17.93,14.36,13.59,16.29,22.10,24.94,25.29,25.79
1915,26.24,24.98,23.59,21.27,16.78,14.22,13.98,16.86,20.65,24.05,25.44,25.99
1916,25.70,26.25,24.14,21.23,16.29,14.23,14.42,15.99,20.94,24.97,25.26,25.63
1917,25.58,25.25,23.75,20.92,17.33,14.39,13.65,15.96,20.29,24.47,25.20,24.82
1918,24.34,24.71,23.11,19.83,15.91,13.88,14.25,15.25,21.00,24.55,24.84,25.45
1919,25.70,24.91,23.52,21.90,16.00,14.28,14.48,16.34,20.40,23.81,24.81,25.77
1920,26.76,24.97,23.09,20.52,17.32,13.78,14.30,16.59,21.27,23.69,25.94,26.39
1921,26.08,25.07,24.05,20.99,16.82,14.50,12.88,15.85,20.25,24.21,24.54,25.16
1922,26.96,25.57,25.08,21.95,17.43,15.27,14.59,17.84,21.18,23.11,25.49,26.69
1923,25.44,24.80,23.83,20.68,17.11,14.89,14.16,17.43,20.65,24.93,26.65,26.46
1924,26.89,24.83,24.20,20.44,17.38,14.50,13.37,16.09,20.66,23.55,24.85,24.77
1925,25.06,24.76,23.40,21.26,16.29,14.05,13.33,16.39,19.17,23.24,25.71,26.99
1926,27.05,26.38,23.68,21.24,17.15,14.09,12.64,15.85,20.63,23.94,25.11,25.80
1927,26.67,25.41,23.86,21.65,16.77,13.61,13.88,16.11,21.05,23.74,25.49,26.21
1928,26.10,25.76,24.72,21.55,16.63,15.25,13.23,16.01,21.63,25.20,26.37,26.46
1929,25.96,25.44,23.04,20.70,17.90,15.02,14.02,16.08,21.59,25.39,26.30,25.24
1930,25.64,25.49,23.83,21.01,16.11,13.62,13.63,15.96,19.85,24.34,26.48,26.36
1931,26.56,26.67,25.22,21.39,19.23,14.57,14.00,17.41,20.87,24.06,24.66,25.98
1932,26.37,25.72,24.15,22.57,17.70,14.01,13.01,16.38,21.24,24.79,26.36,25.91
1933,25.91,25.89,25.15,21.86,17.88,14.55,14.64,16.82,20.36,25.06,24.80,25.29
1934,25.70,24.92,24.06,22.22,18.68,15.57,14.79,17.98,20.45,23.95,25.07,25.45
1935,26.01,24.38,23.56,20.81,17.16,13.23,14.31,14.80,20.99,25.29,25.01,25.86
1936,25.81,25.39,23.47,21.18,16.62,14.59,14.31,16.94,19.90,23.84,24.98,25.70
1937,26.17,25.07,23.97,21.25,17.58,14.21,13.00,16.69,20.09,23.91,26.16,24.97
1938,26.03,25.23,24.39,22.33,18.17,14.60,14.25,16.81,20.62,24.71,24.29,25.28
1939,25.73,25.02,23.25,20.38,17.83,14.06,14.00,16.51,19.38,23.91,24.47,25.48
1940,26.10,25.52,24.29,21.23,17.20,14.65,13.80,17.75,21.41,23.67,25.45,27.04
1941,25.63,25.37,24.37,22.47,18.57,14.88,14.74,17.66,20.64,25.34,26.41,26.25
1942,26.95,27.04,24.89,21.72,17.63,15.45,14.44,17.75,21.54,23.02,25.63,25.59
