Variable:,tas
Country:,"Congo (Democratic Republic of the)"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.12,24.50,24.67,24.51,24.21,23.23,22.84,23.48,24.07,24.34,24.21,24.11
1902,24.12,24.48,24.67,24.52,24.55,23.69,22.87,23.73,24.08,24.28,24.05,23.79
1903,24.14,24.53,24.63,24.60,24.22,23.51,22.85,23.72,24.10,24.25,24.07,23.93
1904,24.07,24.43,24.61,24.50,24.24,23.54,22.83,23.73,24.17,24.19,24.06,23.88
1905,24.14,24.57,24.61,24.35,24.20,23.50,22.81,23.49,24.11,24.39,24.12,23.83
1906,24.09,24.47,24.38,24.31,24.09,23.26,22.80,23.28,23.92,24.18,24.27,24.03
1907,24.09,24.42,24.54,24.32,24.05,23.19,22.83,23.25,23.93,24.24,24.06,23.92
1908,24.11,24.48,24.59,24.54,24.18,23.33,22.86,23.49,24.06,24.26,24.08,23.90
1909,24.05,24.42,24.56,24.49,24.25,23.33,22.86,23.44,24.04,24.21,24.02,23.89
1910,24.05,24.41,24.59,24.41,24.22,23.38,22.80,23.44,23.96,24.15,24.01,23.93
1911,24.07,24.45,24.59,24.42,24.33,23.27,22.79,23.40,23.86,24.20,24.00,24.04
1912,24.10,24.49,24.60,24.55,24.25,23.36,22.78,23.44,24.02,24.20,24.08,23.87
1913,24.06,24.43,24.50,24.49,24.27,23.27,22.80,23.44,24.04,24.23,24.06,23.91
1914,24.13,24.46,24.70,24.50,24.11,23.35,22.80,23.47,24.07,24.25,24.08,23.93
1915,24.10,24.47,24.61,24.56,24.06,23.34,22.86,23.45,24.04,24.24,24.05,23.90
1916,24.08,24.49,24.57,24.43,24.14,23.31,22.79,23.41,24.01,24.27,24.02,23.88
1917,24.05,24.45,24.51,24.46,24.22,23.31,22.80,23.44,23.99,24.18,24.02,23.85
1918,24.00,24.41,24.58,24.35,24.02,23.30,22.83,23.36,23.99,24.23,24.00,23.88
