Variable:,tas
Country:,"Cape Verde"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.22,21.14,20.22,21.83,21.29,23.62,24.38,25.39,25.88,24.50,22.09,21.21
1902,21.12,21.02,19.61,21.02,21.59,23.40,24.08,25.29,25.68,25.81,23.71,21.11
1903,20.01,21.32,21.74,21.02,21.79,23.10,25.08,25.39,25.79,25.41,24.51,21.52
1904,21.01,21.52,20.22,21.54,21.29,22.59,24.28,24.59,25.38,24.41,24.11,21.61
1905,21.12,20.72,20.54,20.32,20.89,23.50,24.68,25.09,26.49,25.31,23.40,22.42
1906,21.92,20.94,21.22,20.72,21.70,24.40,24.48,24.58,25.78,25.11,24.21,22.01
1907,20.61,20.11,20.12,20.31,20.29,22.39,24.18,24.58,25.48,24.61,21.99,21.01
1908,20.51,20.22,20.44,21.52,21.70,23.30,24.68,24.89,25.78,25.11,24.21,23.24
1909,20.51,19.91,21.02,20.84,22.09,23.50,24.58,24.89,25.48,24.91,23.20,22.72
1910,20.51,20.73,20.22,21.22,21.49,22.70,24.08,25.09,25.78,25.31,25.12,22.32
1911,20.21,20.01,19.31,21.02,21.49,22.89,24.58,25.19,25.99,25.91,24.29,23.12
1912,20.91,20.32,21.00,20.22,21.39,23.10,24.58,24.99,25.78,24.71,24.21,21.72
1913,21.01,20.82,20.62,21.42,21.19,23.40,24.18,25.19,25.78,25.21,24.41,23.13
1914,20.91,20.11,20.52,20.52,22.09,22.49,23.77,24.89,25.58,25.31,23.39,22.02
1915,21.72,20.11,19.83,20.94,21.79,24.10,24.78,25.09,26.08,25.61,23.81,23.52
1916,21.21,20.02,19.73,20.42,21.39,23.28,24.08,25.09,25.59,25.61,23.79,22.62
1917,21.73,19.83,20.82,20.52,21.41,22.69,24.78,24.99,25.48,24.50,23.00,21.72
1918,21.72,20.72,20.32,21.14,22.31,24.10,24.38,25.19,25.68,24.91,23.10,22.22
1919,21.22,21.72,21.93,21.04,21.79,24.10,24.68,25.59,26.08,25.41,25.11,22.42
1920,21.41,19.53,20.22,21.74,21.79,23.20,23.77,24.89,25.38,25.21,23.60,22.42
1921,21.42,19.81,19.82,21.42,21.40,23.20,24.28,25.19,25.88,25.11,23.21,21.91
1922,20.41,20.22,19.81,20.01,21.19,22.29,23.57,24.89,25.20,24.91,24.01,22.52
1923,20.71,20.72,20.10,20.42,21.39,22.50,24.08,24.89,25.89,25.31,23.91,23.12
1924,21.11,19.51,20.72,20.72,21.79,22.89,24.28,24.89,25.48,24.42,24.21,22.02
1925,20.91,20.23,20.11,20.82,22.11,23.11,24.18,24.88,25.48,24.71,24.01,23.12
1926,21.82,20.90,20.72,21.50,21.39,23.70,24.46,25.29,25.68,25.61,24.01,22.92
1927,20.79,20.72,20.42,21.42,22.30,23.30,24.28,24.87,25.48,24.81,24.59,22.62
1928,20.41,19.61,19.82,20.30,21.59,23.70,24.48,24.89,25.68,25.21,23.50,22.40
1929,21.70,20.72,19.61,20.50,21.09,23.01,24.39,24.58,25.48,25.11,23.61,22.32
1930,20.11,19.01,19.31,20.03,20.49,22.59,23.98,24.79,25.87,25.41,25.10,22.22
1931,20.60,20.10,20.34,21.12,21.39,22.49,23.97,25.39,25.38,25.51,24.21,22.70
1932,21.20,20.31,20.01,21.53,21.79,23.40,24.28,24.60,25.68,25.31,24.01,21.92
1933,20.82,20.52,21.12,21.73,22.00,23.10,24.18,24.99,25.68,25.11,23.50,21.62
1934,20.91,19.82,20.22,20.72,21.40,22.70,24.08,24.97,25.69,24.91,23.19,22.30
1935,21.11,19.51,19.31,20.72,21.41,23.00,24.08,24.59,25.78,24.60,23.31,22.92
1936,21.82,20.12,20.82,21.02,21.89,23.60,24.38,24.79,25.58,25.21,23.71,22.82
1937,21.32,21.62,20.92,20.52,21.60,23.70,24.28,25.27,25.78,25.11,24.61,23.62
1938,21.02,20.74,20.82,21.12,22.32,23.22,24.28,25.09,25.58,25.01,24.41,21.72
1939,21.01,19.71,19.82,20.62,21.29,23.40,24.38,24.79,25.68,24.81,23.61,22.52
1940,20.82,20.02,20.92,20.32,21.70,23.80,24.48,24.79,25.78,24.40,23.51,22.12
1941,20.91,20.52,20.32,21.12,22.00,22.49,24.38,25.20,25.79,25.61,24.21,21.93
1942,20.21,19.51,20.22,21.02,21.58,23.30,24.28,24.59,25.59,25.01,23.71,22.32
1943,20.21,20.30,19.92,21.53,22.90,23.50,24.38,24.77,25.48,24.91,23.81,21.52
1944,21.11,20.02,20.42,21.51,22.40,23.80,24.68,25.29,25.77,25.31,24.31,21.72
1945,21.61,20.92,22.03,22.03,22.10,23.20,24.48,24.89,25.69,25.61,24.11,23.62
