Variable:,tas
Country:,Eritrea
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.41,24.43,25.19,26.57,28.28,28.71,29.84,28.92,28.38,26.89,24.94,23.32
1902,21.06,23.44,24.63,26.13,27.67,29.40,29.31,29.67,28.06,25.91,24.02,21.67
1903,21.18,21.47,23.38,26.58,27.60,29.26,29.54,28.94,27.24,25.99,24.45,23.12
1904,21.94,22.73,24.25,26.12,27.75,29.53,28.99,29.53,27.69,26.05,23.98,21.58
1905,21.83,21.49,23.21,25.36,27.14,29.51,29.39,28.63,27.81,26.59,25.35,22.63
1906,21.79,23.75,24.03,25.96,28.73,30.02,29.24,28.51,27.67,26.29,24.19,22.48
1907,22.03,23.39,24.61,26.59,27.88,29.41,28.72,27.46,27.58,26.30,23.73,21.14
1908,21.46,21.97,25.17,27.07,28.57,29.49,28.43,28.26,28.06,26.26,23.75,21.75
1909,21.46,22.96,24.79,25.47,27.86,28.75,28.78,28.46,27.29,26.37,24.77,22.81
1910,21.61,22.93,23.65,26.82,28.41,29.41,29.30,28.58,27.25,26.16,24.26,22.32
1911,22.71,22.04,24.46,26.36,27.89,29.46,28.94,28.70,27.78,26.70,24.90,22.46
1912,21.31,22.21,23.96,25.79,28.04,29.29,28.92,28.13,27.75,25.97,24.68,22.04
1913,21.70,22.11,22.35,26.43,27.50,28.46,29.28,28.47,28.13,26.21,23.41,21.50
1914,23.24,22.55,25.06,25.64,27.72,29.50,28.55,27.80,27.50,26.06,25.11,22.90
1915,22.96,23.35,24.69,26.41,27.77,29.32,29.38,28.53,27.50,26.49,25.27,22.73
1916,20.32,22.69,24.57,26.79,27.54,28.75,28.23,27.67,26.97,25.48,24.81,22.23
1917,21.82,22.60,24.13,25.91,26.56,28.42,29.36,28.35,26.80,25.25,24.86,22.30
1918,21.01,21.98,23.88,25.19,27.25,28.95,29.12,28.20,27.92,26.44,24.77,22.85
1919,23.74,23.54,25.21,25.76,27.84,28.97,28.84,28.94,27.82,26.45,24.28,22.37
1920,21.34,21.01,23.41,25.88,27.09,29.04,28.60,27.23,26.91,26.11,24.23,22.15
1921,21.20,21.36,22.81,27.31,27.47,29.03,28.75,27.55,27.15,26.14,24.48,23.71
1922,22.33,22.56,23.44,26.59,27.36,29.55,27.87,27.10,26.86,26.10,25.10,22.38
1923,23.50,21.72,24.50,25.54,27.18,28.94,28.06,27.13,27.20,25.70,23.98,22.57
1924,22.36,23.22,25.42,26.62,27.23,29.33,28.31,28.09,27.01,26.32,24.34,22.94
1925,20.06,21.13,24.75,26.50,27.70,28.91,28.76,28.27,28.01,26.34,24.73,23.38
1926,21.32,22.19,23.45,25.89,28.63,29.67,28.72,29.07,27.97,26.34,23.70,22.71
1927,22.91,22.09,24.34,25.40,28.03,29.58,28.47,28.38,27.37,27.31,24.83,24.38
1928,24.17,23.01,25.76,27.09,28.14,29.74,29.36,28.25,28.43,26.68,24.43,23.42
1929,22.45,23.76,24.82,26.95,28.01,29.10,27.15,27.81,27.58,26.31,24.77,21.13
1930,20.51,23.10,23.75,25.98,27.92,28.69,28.45,28.06,27.93,26.59,24.20,23.40
1931,22.99,23.64,24.68,26.43,27.61,29.55,29.02,27.73,27.60,26.71,24.85,23.10
1932,22.15,22.90,24.52,26.54,27.21,29.14,28.24,27.70,27.30,26.66,24.76,22.48
1933,23.41,23.93,25.43,25.70,27.96,29.10,28.71,27.55,27.10,26.48,25.89,23.80
1934,22.57,21.99,24.97,26.67,27.69,28.24,28.17,27.87,27.58,26.98,25.34,22.21
1935,23.58,22.71,25.98,25.90,27.34,28.77,28.75,27.40,27.29,26.76,24.10,23.31
1936,21.86,23.77,25.79,27.01,28.84,29.14,28.48,27.74,27.44,26.97,25.58,23.27
1937,21.33,23.45,24.48,26.50,27.54,29.21,28.30,27.88,27.75,27.12,24.76,24.13
1938,22.97,23.94,23.55,27.86,28.12,28.70,27.61,26.96,26.70,26.47,25.01,23.72
1939,22.92,23.35,25.10,26.94,28.54,29.54,29.13,28.58,27.58,27.06,25.15,24.39
1940,22.97,23.42,23.90,27.39,28.47,30.18,28.83,28.50,28.63,27.15,24.90,24.37
1941,22.87,23.54,24.45,26.64,27.69,28.57,29.03,27.68,27.20,26.17,24.34,21.30
1942,22.07,23.97,23.94,26.23,27.00,29.17,26.78,26.87,26.61,25.57,24.56,22.92
1943,21.41,20.40,22.46,23.66,26.85,27.14,27.77,26.19,26.61,25.41,24.71,23.55
1944,22.05,21.87,25.05,25.70,26.91,28.87,27.40,27.72,26.72,26.27,23.00,21.83
1945,22.46,20.52,23.06,25.51,26.71,28.12,28.41,27.30,26.57,25.23,24.06,22.26
1946,22.60,22.65,23.31,25.39,27.24,27.84,27.83,26.84,27.14,26.06,24.55,22.78
1947,21.69,22.61,23.43,26.12,27.30,29.36,28.80,27.83,26.87,26.36,24.20,23.55
1948,21.85,21.87,22.60,25.89,27.50,27.73,28.50,27.61,27.02,25.09,23.59,21.69
1949,21.33,20.63,23.74,25.27,27.32,28.36,28.23,27.44,26.40,25.85,24.13,20.45
1950,21.61,21.69,23.87,26.62,27.93,29.07,27.01,27.07,26.63,25.80,24.59,22.83
1951,22.41,21.74,23.85,24.74,27.62,28.77,28.82,27.97,27.01,26.53,24.37,20.14
1952,22.77,23.07,23.50,26.14,28.08,28.96,28.51,27.30,26.68,25.60,24.65,23.82
1953,23.39,24.15,24.41,26.06,28.71,29.30,27.47,27.41,26.95,25.85,24.14,21.48
1954,21.85,24.31,25.14,26.64,27.97,28.94,27.49,27.15,27.00,25.93,25.30,22.74
1955,22.11,23.71,25.06,27.21,28.44,28.96,28.64,27.99,27.21,26.15,24.68,22.24
1956,21.06,23.97,25.56,25.83,27.58,28.38,27.32,26.56,26.64,25.27,24.27,22.50
1957,21.03,20.68,23.79,25.11,27.25,28.88,28.40,27.61,27.45,26.77,25.34,23.43
1958,22.12,21.45,24.92,27.88,28.36,28.33,27.75,27.62,27.43,26.20,25.15,23.53
1959,21.84,21.65,23.43,27.07,28.04,29.10,27.68,26.79,26.43,25.53,24.39,22.79
1960,21.49,23.37,23.26,26.69,27.56,28.85,28.29,28.45,27.29,26.33,24.36,24.13
1961,23.46,21.66,23.82,25.92,27.99,28.52,26.75,26.64,26.41,25.47,23.02,20.93
1962,20.91,22.39,25.19,26.14,27.96,28.75,28.09,27.02,26.47,25.88,24.75,22.85
