Variable:,tas
Country:,Ethiopia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.75,23.24,24.08,24.15,24.08,23.45,23.04,22.75,23.11,22.64,21.78,21.39
1902,21.07,22.57,23.46,23.19,22.87,23.93,24.22,24.40,23.85,22.53,21.63,20.81
1903,22.25,22.90,23.89,24.67,23.93,23.75,23.79,23.03,22.83,22.29,21.06,21.02
1904,21.00,22.72,23.60,24.11,23.97,24.24,22.88,22.95,22.82,22.17,21.41,20.75
1905,21.58,22.16,23.37,23.70,23.59,23.64,23.33,22.63,22.96,22.95,22.31,21.49
1906,21.13,23.71,23.59,23.76,24.79,24.59,23.17,23.01,23.20,22.40,20.91,19.87
1907,20.80,23.10,24.17,24.36,24.24,24.02,22.91,22.08,22.76,22.36,20.96,19.04
1908,21.20,21.96,24.79,25.07,25.66,24.34,22.97,22.60,23.85,22.40,20.52,19.66
1909,20.34,21.96,23.25,22.65,23.50,22.82,23.05,22.90,22.75,22.25,21.08,21.08
1910,21.12,22.59,23.64,24.56,24.55,24.18,23.73,23.04,22.51,22.13,21.47,21.61
1911,22.06,22.17,24.03,23.95,24.10,24.14,22.76,22.71,22.74,22.69,21.87,21.00
1912,20.96,22.23,23.27,23.42,23.52,23.30,22.08,21.96,22.28,21.98,21.50,20.30
1913,20.96,22.01,22.60,23.63,23.59,22.93,22.67,22.44,22.96,22.29,21.09,20.61
1914,21.83,22.52,23.86,23.67,23.70,23.63,22.52,22.30,22.71,22.28,21.67,21.27
1915,21.75,22.79,23.78,24.09,23.65,23.36,22.67,22.38,22.69,22.34,21.73,20.78
1916,20.70,22.63,23.35,23.82,23.67,23.18,22.17,22.11,22.41,22.11,21.57,20.73
1917,21.31,22.59,23.31,23.46,23.37,23.08,22.63,22.33,22.33,21.81,21.50,20.90
1918,20.96,22.43,23.34,23.28,23.56,23.30,22.68,22.33,22.80,22.35,21.47,21.04
1919,22.05,22.88,23.88,23.62,23.75,23.33,22.52,22.66,22.84,22.24,21.29,20.84
1920,21.17,21.92,23.23,23.51,23.45,23.23,22.45,21.99,22.64,22.33,21.54,20.59
1921,21.18,22.10,23.27,24.34,23.81,23.50,22.78,22.28,22.92,22.54,22.01,21.97
1922,22.09,23.06,23.82,24.21,23.91,24.07,22.27,22.13,22.76,22.51,22.24,21.51
1923,22.11,22.39,23.81,23.75,23.69,23.44,22.43,22.12,22.70,22.21,21.35,21.12
1924,21.98,23.32,24.45,24.42,24.09,23.94,23.20,22.93,23.12,22.94,22.11,21.69
1925,21.00,22.04,23.86,24.08,24.13,24.03,23.41,23.17,23.29,22.40,21.69,21.28
1926,21.37,22.66,23.26,23.52,24.39,24.08,23.20,23.36,23.42,22.49,21.48,20.83
1927,21.99,22.57,23.81,23.14,23.50,23.35,22.63,23.07,23.22,23.18,22.33,22.03
1928,22.31,22.93,24.65,24.77,24.35,23.74,23.07,22.67,23.50,23.03,22.25,21.56
1929,21.54,23.42,24.18,23.99,23.83,23.17,21.79,21.92,22.42,22.23,21.47,20.62
1930,21.09,22.67,23.30,23.66,23.40,22.81,22.08,21.99,22.64,22.14,21.25,21.21
1931,21.78,23.03,23.71,23.91,24.12,23.84,22.91,22.48,22.96,22.70,21.73,21.27
1932,21.48,23.06,23.63,23.91,23.51,23.40,22.35,22.20,22.70,22.40,21.60,20.91
1933,21.87,23.12,24.13,24.08,24.05,23.66,22.71,22.32,22.68,22.55,22.00,21.35
1934,21.48,22.07,23.70,24.24,23.93,23.35,22.55,22.34,22.84,22.65,22.07,21.13
1935,22.29,22.87,24.39,23.86,23.59,23.13,22.38,21.94,22.70,22.56,21.60,21.29
1936,21.38,22.95,24.12,24.22,24.35,23.31,22.23,22.07,22.59,22.73,22.06,21.40
1937,21.46,23.07,23.85,24.38,24.11,23.65,22.47,22.42,23.05,22.76,21.90,21.47
1938,21.74,22.98,23.65,24.57,23.89,23.42,22.25,22.08,22.50,22.47,21.76,21.32
1939,21.68,22.84,24.11,24.40,24.40,23.60,22.91,22.77,23.10,22.75,22.09,21.85
1940,22.07,23.21,23.77,24.45,24.40,24.04,22.84,22.71,23.34,22.91,22.06,21.73
1941,21.84,23.14,23.94,24.47,24.12,23.28,22.76,22.37,22.94,22.56,21.70,20.80
1942,21.68,23.31,23.78,24.28,23.70,23.75,21.93,21.97,22.59,22.39,21.93,21.36
1943,21.39,21.84,23.08,23.42,23.85,22.95,22.27,21.85,22.36,22.06,21.87,21.63
1944,21.58,22.56,23.95,24.04,23.83,23.68,22.21,22.32,22.56,22.59,21.40,21.05
1945,21.87,21.85,23.48,24.31,23.67,23.16,22.55,21.96,22.35,22.00,21.57,20.97
1946,21.73,23.03,23.43,23.76,24.17,22.96,22.43,21.87,22.90,22.63,21.90,21.48
1947,21.72,22.78,23.30,23.60,23.80,24.14,22.96,22.41,22.60,22.61,22.05,21.68
1948,22.07,22.65,23.05,24.09,24.13,22.37,22.49,21.97,22.48,21.73,20.78,20.64
1949,21.24,21.63,23.57,23.94,23.51,22.84,22.15,22.06,22.06,22.34,21.43,19.99
1950,21.27,21.82,23.72,24.02,23.87,23.19,21.73,21.52,21.92,21.69,21.17,20.97
1951,21.92,22.62,23.88,23.39,24.19,23.97,22.74,22.24,22.10,23.06,22.33,20.83
1952,21.95,22.84,24.49,24.06,24.69,23.92,22.31,22.07,22.78,22.17,22.14,22.03
1953,22.63,24.03,24.51,24.36,24.81,24.25,21.98,22.36,22.67,22.30,22.37,21.64
1954,22.12,24.19,24.69,24.74,24.76,23.71,21.74,21.77,22.97,22.33,22.69,21.77
1955,22.06,23.46,24.99,24.95,25.11,23.69,22.89,22.11,23.10,22.52,21.73,21.38
1956,20.83,23.13,25.08,23.58,24.15,22.86,21.68,21.35,22.21,21.95,21.27,21.17
1957,21.38,21.41,22.77,23.40,23.58,23.41,22.28,22.06,22.78,22.71,22.38,21.67
1958,21.93,21.98,24.27,24.72,24.68,23.18,22.08,22.05,23.01,22.53,22.10,21.65
1959,21.99,22.71,23.29,24.83,24.00,23.65,22.27,21.72,22.53,22.45,21.83,21.27
1960,21.22,22.72,22.99,23.92,23.58,23.20,22.22,22.52,22.74,22.31,21.70,22.03
1961,22.28,22.45,23.58,23.98,24.57,23.30,21.57,21.31,22.30,21.76,20.46,20.11
1962,20.63,22.21,23.94,23.91,23.74,22.95,22.31,21.59,22.30,21.92,21.68,21.13
1963,21.58,22.94,24.08,23.43,23.16,23.12,22.32,22.11,22.59,22.76,21.82,20.90
1964,21.16,22.06,24.18,23.98,23.85,23.04,21.54,21.52,22.19,21.42,20.97,19.91
1965,21.05,22.63,23.54,23.57,24.45,23.60,22.57,22.06,22.77,22.04,21.23,20.99
1966,21.85,22.35,23.57,23.59,24.07,23.24,22.97,22.68,22.72,22.43,21.35,20.90
1967,21.23,22.83,23.52,23.46,23.41,23.09,21.80,21.66,22.28,21.62,20.46,20.45
1968,20.88,21.08,22.90,22.79,23.40,22.61,21.95,22.28,22.78,22.43,21.52,21.32
1969,21.66,21.94,23.92,24.41,24.10,23.82,22.76,22.30,22.93,22.66,22.36,21.76
1970,21.68,23.38,23.35,24.31,24.52,24.25,22.72,22.35,22.84,22.42,21.24,20.72
1971,21.18,22.50,23.61,23.93,23.29,23.07,22.24,22.10,22.26,22.16,21.22,20.08
1972,21.73,21.84,23.72,23.87,23.94,23.19,22.85,22.70,22.89,22.76,21.88,21.60
1973,22.17,23.93,25.20,25.56,24.06,23.91,22.86,22.48,22.69,22.45,21.55,20.69
1974,21.66,22.77,23.03,24.64,23.42,23.07,22.15,22.18,22.18,22.57,21.20,21.04
1975,21.57,23.68,24.22,24.26,24.21,22.94,22.29,21.45,22.17,22.33,21.47,20.80
1976,21.61,23.06,24.11,24.01,23.74,23.82,22.37,22.43,23.11,22.70,21.86,22.22
1977,21.90,22.90,24.03,24.69,24.07,23.61,22.94,22.49,23.10,22.25,21.48,21.47
1978,21.90,22.99,23.71,24.77,24.36,24.01,22.19,22.70,22.98,22.55,21.67,21.50
1979,21.62,23.08,23.85,24.79,23.85,23.58,23.02,22.82,23.34,22.98,22.20,21.81
1980,22.34,23.72,24.82,24.79,24.63,24.00,22.84,22.70,23.35,23.06,22.65,21.62
1981,22.10,22.73,23.46,23.70,24.05,23.99,22.51,22.77,22.62,22.30,21.44,21.02
