Variable:,tas
Country:,Guinea
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.10,26.42,27.43,28.52,27.34,26.28,25.17,25.13,25.45,25.25,23.94,23.41
1902,24.52,25.93,26.99,28.37,27.98,26.78,25.46,25.57,24.90,25.72,24.98,22.89
1903,23.70,25.88,27.43,28.20,27.69,25.86,24.79,24.49,24.82,25.86,24.51,23.07
1904,23.36,24.81,26.69,27.91,27.63,26.07,24.66,24.64,25.18,25.41,24.70,23.39
1905,23.97,25.16,27.18,28.56,27.68,25.60,25.02,24.81,25.01,25.13,24.26,23.69
1906,24.44,25.48,28.20,28.71,27.55,25.85,24.45,24.41,24.92,25.13,24.43,22.48
1907,23.34,24.91,26.94,27.81,27.04,25.25,24.70,24.40,24.80,24.94,24.33,23.21
1908,24.10,25.32,27.34,28.54,27.84,26.21,25.02,24.54,25.10,25.37,24.67,23.77
1909,23.63,25.58,27.79,28.10,27.30,25.38,24.89,24.87,25.04,25.39,24.50,23.39
1910,22.91,25.93,27.62,28.52,27.93,26.44,24.58,24.65,25.34,25.52,25.10,23.80
1911,23.49,25.42,26.60,28.50,27.12,25.27,24.86,24.59,25.25,25.65,24.51,23.43
1912,23.98,26.22,28.04,28.67,28.15,26.47,25.13,24.84,25.13,25.39,24.62,23.53
1913,24.29,25.39,26.54,28.26,27.08,26.67,25.12,24.92,25.07,25.37,24.67,23.57
1914,24.05,25.04,27.23,28.32,28.10,25.74,24.71,24.45,24.81,25.39,24.35,23.18
1915,24.17,25.43,26.87,28.31,27.45,26.72,25.25,24.94,25.25,25.99,24.72,24.19
1916,24.20,25.41,26.70,27.37,27.27,25.95,24.45,24.79,24.81,25.46,24.22,23.39
1917,24.62,24.75,26.99,27.84,27.31,25.79,25.48,24.74,24.70,25.09,23.71,23.18
1918,24.22,25.49,26.76,27.62,27.55,26.07,24.49,24.38,25.27,25.30,24.24,23.01
1919,24.25,26.40,27.19,27.26,26.74,26.09,24.53,24.79,24.77,25.49,25.22,23.79
1920,24.24,25.33,26.62,27.90,27.41,25.88,24.32,24.46,24.69,25.25,24.02,23.43
1921,23.75,25.05,26.31,27.74,26.72,25.22,24.72,24.83,25.21,25.67,24.04,23.07
1922,23.80,25.51,26.56,26.73,27.05,25.45,24.42,24.43,24.44,24.98,24.36,23.23
1923,23.39,25.27,26.26,27.80,27.17,25.84,24.97,24.84,24.93,25.52,24.72,24.04
1924,23.53,24.57,27.26,27.88,27.80,25.41,24.47,24.48,24.30,24.79,24.23,22.48
1925,21.98,25.07,26.34,28.11,28.39,25.99,25.01,24.64,24.50,24.44,24.12,23.91
1926,24.03,25.12,26.63,27.58,27.42,25.65,24.42,24.97,24.90,25.28,23.91,23.72
1927,21.91,24.59,26.23,28.13,26.76,24.97,24.46,23.88,24.52,24.81,24.04,23.07
1928,22.61,24.11,25.82,27.07,26.76,25.79,24.61,23.90,24.44,24.86,23.47,22.81
1929,23.08,24.48,25.84,27.82,26.71,24.16,24.10,23.75,24.29,24.85,23.85,22.16
1930,22.37,24.05,25.12,27.32,26.46,24.86,24.53,24.07,24.76,24.96,24.34,23.35
1931,23.73,24.98,27.07,28.38,27.37,25.42,24.32,24.99,24.22,25.40,24.46,23.77
1932,23.19,24.94,26.24,28.31,27.22,26.24,24.34,24.55,24.90,25.58,24.43,22.41
1933,23.86,24.91,26.68,28.19,28.18,25.41,24.71,25.18,25.15,25.04,23.83,22.49
1934,23.05,24.73,26.26,28.27,27.78,25.94,25.04,24.78,25.22,25.15,24.40,22.99
1935,23.72,24.92,26.38,28.13,27.96,25.65,24.69,24.27,25.07,24.82,23.93,23.51
1936,24.12,25.15,26.93,28.08,26.82,25.67,24.43,24.24,24.82,25.49,24.19,23.83
1937,23.81,25.76,26.97,27.69,27.55,26.29,24.83,24.57,24.88,25.21,25.09,24.20
1938,23.90,26.40,26.94,28.45,28.21,26.63,24.63,24.71,24.79,25.21,24.51,23.17
1939,24.11,24.35,26.63,28.44,27.53,26.56,25.20,24.91,25.02,25.16,24.47,23.84
1940,23.82,24.64,27.09,27.82,28.05,26.77,25.23,24.81,25.43,24.86,24.04,23.01
1941,24.08,25.08,27.00,28.27,27.83,26.06,25.33,25.56,25.26,26.27,24.95,23.40
1942,23.13,24.82,27.16,28.61,27.61,26.21,24.98,24.34,25.59,25.56,25.08,22.94
1943,23.05,24.82,26.85,28.01,27.73,25.69,24.68,24.40,24.65,25.02,23.77,23.01
1944,23.35,25.37,26.68,28.19,28.39,26.47,25.54,25.17,25.15,25.41,25.10,23.41
1945,24.63,25.84,27.35,28.83,27.78,26.58,24.89,24.40,24.86,25.09,24.47,23.76
1946,23.55,24.85,27.73,28.16,27.99,26.06,24.86,24.41,24.63,24.79,24.67,22.97
1947,23.38,25.52,27.25,28.37,28.16,26.34,25.16,24.81,24.86,25.29,23.93,23.30
1948,22.73,24.80,27.16,27.69,27.83,25.20,24.67,24.77,25.02,25.35,23.97,23.31
1949,23.26,24.58,26.83,28.75,27.64,25.90,24.87,24.55,25.15,25.47,24.37,23.57
1950,23.29,25.12,27.05,28.65,27.99,25.84,24.55,24.20,24.48,24.44,23.88,22.92
1951,23.98,25.27,26.91,27.89,27.08,25.86,24.79,24.95,25.07,24.76,24.32,23.21
1952,23.19,25.03,26.87,28.13,27.48,25.79,24.45,24.69,24.62,24.87,24.27,23.03
1953,24.87,25.40,26.72,28.11,27.63,25.23,24.49,24.79,24.92,25.10,24.66,23.52
1954,23.61,24.82,26.84,27.45,27.27,24.97,23.96,24.02,24.92,24.74,24.51,23.62
1955,24.23,25.49,26.77,27.33,27.11,25.24,24.13,24.51,24.55,24.94,24.32,22.82
1956,23.58,25.40,26.41,27.87,27.31,25.22,24.08,24.04,24.55,24.75,24.20,23.35
1957,22.84,24.97,26.44,27.79,27.51,25.92,24.64,24.73,24.80,24.90,24.66,24.02
1958,25.09,25.50,27.19,28.46,27.31,25.32,24.32,24.19,25.03,25.12,24.57,22.93
1959,23.60,25.10,27.04,28.35,27.16,25.91,24.72,24.23,24.81,25.30,24.59,22.73
1960,23.63,25.59,26.16,28.05,27.45,25.71,24.40,25.14,24.92,25.39,24.20,23.32
1961,22.98,24.36,26.76,28.04,28.07,25.83,24.27,24.33,24.54,25.21,23.98,22.71
1962,23.58,25.22,26.74,27.43,27.38,25.27,24.74,24.38,24.65,25.01,24.56,22.74
1963,24.34,25.96,26.49,28.00,27.66,26.56,25.16,24.83,25.32,24.49,23.87,22.69
1964,23.80,25.37,27.38,27.89,27.16,25.09,24.24,24.09,24.12,24.87,23.95,23.49
1965,22.82,24.79,26.60,27.63,27.50,25.59,24.59,24.51,24.55,25.19,24.20,22.24
1966,23.12,24.96,26.80,28.17,27.72,25.84,25.27,24.98,24.54,24.87,24.08,23.31
1967,23.04,25.08,26.26,27.92,27.47,25.37,24.31,24.43,24.48,24.86,24.29,22.31
1968,23.01,25.31,26.35,27.42,26.97,25.68,24.79,25.35,25.02,25.08,24.55,24.09
1969,24.71,26.21,27.78,28.63,28.29,26.08,24.63,24.84,24.94,24.72,24.19,23.61
1970,24.03,25.83,27.11,28.30,27.58,26.16,24.76,24.66,24.71,25.61,24.27,23.02
1971,22.92,25.02,26.68,27.74,27.51,26.02,24.33,24.05,24.43,24.83,24.23,23.03
1972,23.55,25.05,26.59,27.59,27.27,25.47,25.28,25.31,25.18,25.43,24.41,23.28
1973,23.76,26.05,27.30,28.76,27.81,26.13,25.29,24.87,25.10,25.32,24.51,22.37
1974,22.61,25.03,26.50,27.97,27.54,25.99,24.21,24.50,24.34,24.71,23.50,22.63
1975,22.81,24.42,26.31,27.97,26.90,25.79,23.88,24.52,24.04,24.77,23.13,23.05
1976,22.93,25.05,26.16,27.38,26.66,25.05,24.27,24.40,24.75,24.36,23.19,22.62
1977,24.04,24.88,26.60,28.01,27.65,25.89,24.91,24.95,24.76,25.10,23.96,23.27
1978,24.55,25.70,26.40,27.73,27.19,25.22,24.23,24.79,24.71,24.67,23.49,22.99
1979,24.87,24.71,26.85,28.16,27.30,25.30,24.94,25.12,25.06,25.24,24.43,23.05
1980,25.13,25.35,27.28,28.47,27.64,25.84,25.00,24.73,25.10,25.54,24.50,22.82
1981,23.00,25.70,27.12,28.62,26.95,26.22,24.62,24.89,25.11,25.68,24.35,23.09
1982,22.67,25.00,26.70,28.18,27.53,25.68,24.78,24.81,25.26,24.98,23.84,22.27
1983,23.14,25.88,27.79,29.01,28.19,26.02,25.23,25.43,25.29,25.67,24.88,23.01
1984,23.49,24.52,27.67,28.36,27.55,25.85,24.65,25.36,25.03,25.11,24.43,22.79
1985,24.08,25.05,27.37,27.91,28.15,25.94,24.19,24.93,24.63,25.25,24.74,22.46
1986,22.41,25.46,26.28,28.49,27.53,26.12,24.52,24.64,24.64,25.01,23.60,22.25
1987,24.17,25.48,26.75,28.89,28.22,26.31,25.84,25.24,25.46,25.34,24.89,23.47
1988,22.79,25.76,27.54,28.90,28.73,26.00,24.28,24.61,24.82,25.47,24.28,22.25
1989,22.89,24.68,26.52,28.10,27.81,25.63,24.79,24.50,24.83,25.00,24.99,23.42
1990,23.08,25.24,27.24,28.58,27.87,26.28,24.51,25.07,25.10,25.35,24.78,23.37
1991,24.27,25.67,27.18,27.90,27.61,26.74,25.10,24.76,24.99,24.53,24.57,24.09
1992,23.56,25.62,27.06,28.32,27.18,25.58,24.41,24.80,24.85,25.19,23.90,23.93
1993,23.71,25.66,27.10,28.07,28.20,26.12,24.95,25.09,24.88,25.48,24.72,23.08
1994,22.99,25.21,27.37,28.36,27.60,25.87,24.62,24.65,24.67,24.60,23.93,22.82
1995,22.64,24.94,27.46,28.27,27.72,26.68,25.17,24.96,24.85,25.01,24.43,23.51
1996,24.85,26.35,26.96,28.24,27.81,26.15,25.25,24.85,24.90,25.13,23.87,23.83
1997,25.12,25.14,26.87,27.97,27.25,25.24,25.45,25.32,25.00,25.71,25.24,23.37
1998,24.16,27.54,28.37,29.90,28.63,26.76,25.30,25.06,24.89,25.64,24.71,23.70
1999,23.94,24.36,27.36,28.40,27.91,26.28,24.62,24.49,24.58,24.60,24.57,23.15
2000,25.10,24.70,27.46,28.99,27.75,25.70,24.73,24.57,24.90,24.76,23.91,23.37
2001,23.92,25.32,27.87,28.72,27.78,25.70,24.62,25.27,25.00,25.45,24.93,24.95
