Variable:,tas
Country:,"Gambia, The"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.19,27.77,28.19,30.19,29.65,30.22,28.55,27.94,27.98,27.96,25.65,24.12
1902,25.36,27.41,27.75,29.64,30.36,30.62,28.81,28.28,27.62,29.21,27.76,23.78
1903,24.08,27.51,29.21,29.44,30.14,29.61,28.65,27.49,27.58,29.04,27.53,24.11
1904,24.41,26.83,27.88,29.66,29.89,29.49,28.15,27.19,27.62,28.17,27.47,24.36
1905,24.92,26.73,28.48,29.38,29.78,29.66,28.61,27.60,28.07,28.44,26.83,25.05
1906,25.66,27.03,29.52,29.74,30.10,30.32,28.08,27.00,27.69,28.34,27.36,24.00
1907,24.19,26.27,28.14,28.94,29.02,28.84,28.05,27.00,27.32,27.95,26.17,23.95
1908,24.71,26.60,28.56,30.04,30.33,30.07,28.55,27.30,27.78,28.54,27.52,25.53
1909,24.36,26.50,29.12,29.35,30.07,29.44,28.43,27.47,27.52,28.44,26.84,24.96
1910,23.87,27.24,28.53,29.89,30.27,29.83,27.96,27.42,27.92,28.81,28.36,25.02
1911,24.03,26.48,27.33,29.80,29.64,29.12,28.40,27.48,28.03,29.18,27.53,25.31
1912,24.86,27.21,29.28,29.48,30.31,30.12,28.56,27.50,27.82,28.32,27.56,24.61
1913,25.05,27.07,28.02,29.75,29.28,30.31,28.33,27.71,27.76,28.65,27.81,25.62
1914,24.84,26.26,28.50,29.34,30.65,29.24,27.88,27.27,27.52,28.65,26.90,24.52
1915,25.57,26.40,27.43,29.44,29.97,30.99,28.86,27.70,28.13,29.33,27.42,26.21
1916,25.18,26.46,27.36,28.56,29.62,29.96,27.89,27.61,27.62,29.06,27.17,25.08
1917,25.66,25.74,28.43,28.91,29.73,29.36,28.93,27.40,27.42,27.99,26.36,24.36
1918,25.58,27.03,28.02,29.17,30.42,30.40,28.15,27.40,27.87,28.40,26.59,24.51
1919,25.16,28.06,29.25,28.90,29.57,30.43,28.33,27.88,27.73,28.92,28.39,25.11
1920,25.22,25.93,27.74,29.69,29.90,29.67,27.44,27.19,27.17,28.43,26.61,24.89
1921,25.07,25.91,27.26,29.41,29.26,29.37,28.14,27.70,27.91,28.72,26.48,24.29
1922,24.16,26.65,27.25,27.69,29.21,28.62,27.37,27.33,27.08,28.24,27.37,24.82
1923,24.30,27.00,27.43,29.13,29.63,29.35,28.19,27.58,27.86,28.96,27.38,25.71
1924,24.45,25.22,28.52,29.26,30.45,29.28,28.06,27.39,27.06,27.64,27.15,24.11
1925,23.65,26.37,27.52,29.11,30.71,29.59,28.26,27.21,27.28,27.85,27.02,26.08
1926,25.54,26.62,28.07,29.53,29.86,30.26,28.27,27.86,27.71,28.84,27.03,25.51
1927,23.49,26.45,27.99,29.85,30.02,29.38,28.12,26.87,27.29,28.17,27.67,25.03
1928,23.66,25.25,27.43,28.51,29.71,30.24,28.43,27.07,27.34,28.42,26.40,24.54
1929,24.82,26.43,27.00,29.05,29.07,28.67,27.85,26.68,26.96,28.30,26.69,24.14
1930,23.42,24.79,26.14,28.46,28.58,28.80,28.15,27.06,27.75,28.66,28.06,24.68
1931,24.61,26.41,28.35,29.90,29.92,28.97,27.77,27.92,27.09,28.87,27.50,25.08
1932,24.62,26.44,27.39,30.02,30.01,30.08,28.06,27.05,27.63,28.82,27.38,24.11
1933,24.72,26.54,28.71,30.31,30.73,29.48,28.12,27.69,27.76,28.38,26.43,23.53
1934,24.30,25.98,27.68,29.42,29.78,29.44,28.26,27.37,27.82,28.44,26.63,24.42
1935,24.77,25.84,27.33,29.43,30.33,29.47,28.12,26.90,27.80,27.84,26.57,25.25
1936,25.44,26.22,28.42,29.69,29.63,29.87,28.06,27.01,27.58,28.72,26.88,25.51
1937,24.90,27.47,28.30,28.65,29.86,30.25,28.25,27.34,27.61,28.44,28.04,26.03
1938,24.76,27.54,28.37,29.72,30.97,30.24,28.08,27.58,27.45,28.25,27.60,24.21
1939,24.99,25.54,27.61,29.58,29.86,30.30,28.46,27.40,27.71,28.23,27.06,25.24
1940,24.70,25.98,28.58,28.70,30.33,30.75,28.65,27.34,28.01,27.72,26.75,24.42
1941,24.81,26.58,27.84,29.52,30.39,29.28,28.71,28.09,27.77,29.53,27.67,24.43
1942,23.80,25.56,28.06,29.71,30.09,30.09,28.32,27.00,27.88,28.57,27.42,24.54
1943,23.68,26.18,27.70,29.90,31.14,29.73,28.33,27.00,27.33,28.30,27.00,23.93
1944,24.60,26.56,28.12,29.84,31.07,30.58,28.95,27.84,27.63,28.74,27.94,24.30
1945,25.56,27.38,29.52,31.03,30.64,30.17,28.36,27.16,27.58,28.70,27.25,26.05
1946,23.79,26.74,28.94,29.39,30.77,29.80,28.35,27.26,27.45,28.27,27.27,24.53
1947,23.93,26.12,29.35,30.22,30.26,29.49,28.35,27.59,27.48,28.72,26.67,25.11
1948,23.92,26.45,29.44,28.65,30.60,29.24,27.98,27.38,27.80,28.43,27.06,24.55
1949,24.00,26.28,27.42,30.59,29.64,29.71,28.05,27.10,27.98,29.10,27.35,25.55
1950,24.04,26.38,29.31,29.99,30.32,29.86,27.96,26.84,26.95,27.73,26.75,24.35
1951,24.21,25.89,27.96,29.45,30.49,29.89,28.06,27.39,27.54,27.26,26.48,23.32
1952,22.76,25.62,28.21,29.40,29.91,30.05,27.73,27.14,26.82,27.55,27.08,24.03
1953,25.67,26.10,27.92,28.74,29.48,29.15,27.23,27.32,27.20,27.69,27.08,24.75
1954,24.07,24.25,28.06,29.57,30.72,29.36,27.37,26.49,27.39,28.26,27.56,24.96
1955,24.82,26.64,27.94,30.01,30.56,29.38,26.97,26.76,26.95,28.06,27.82,24.60
1956,25.00,25.76,27.53,28.88,30.22,28.80,27.39,27.08,26.85,27.79,27.36,24.32
1957,23.67,26.59,27.96,29.03,28.90,29.31,27.76,26.94,27.16,27.49,27.32,24.91
1958,25.05,26.85,28.74,30.34,30.70,29.83,28.08,26.41,27.80,27.87,27.28,24.16
1959,24.76,26.25,27.80,29.35,29.96,29.62,27.86,27.11,27.50,28.80,26.91,23.68
1960,24.41,27.47,27.47,29.37,30.46,29.84,27.97,27.54,27.48,28.38,27.17,24.02
1961,24.13,26.34,28.42,30.09,31.51,30.01,28.19,27.19,27.19,28.02,26.59,24.40
1962,24.66,27.02,29.11,29.41,30.80,29.48,28.13,26.95,27.55,28.21,27.87,24.41
1963,25.77,27.86,28.71,29.42,30.42,30.56,28.12,27.62,28.29,27.30,26.92,23.56
1964,24.78,27.70,28.74,29.78,31.29,29.38,27.96,27.04,26.77,27.89,26.77,24.23
1965,22.63,25.91,28.68,29.00,30.85,29.35,28.14,27.23,27.24,28.02,26.94,23.34
1966,24.14,27.40,28.21,29.84,30.93,29.46,28.99,27.97,26.92,27.38,27.11,24.47
1967,24.65,25.87,27.87,29.00,29.79,29.23,27.61,26.99,26.65,27.49,26.09,22.87
1968,23.02,25.75,27.15,28.28,29.45,28.92,28.06,28.49,27.57,28.37,27.82,25.54
1969,26.23,28.14,29.94,31.38,31.60,30.68,28.06,27.22,27.48,27.83,26.95,24.63
1970,24.73,27.21,28.82,30.72,30.52,30.25,28.56,27.19,27.30,29.14,27.38,25.36
1971,24.44,26.06,27.23,29.34,29.60,29.00,27.41,26.39,27.00,27.90,26.34,24.39
1972,24.09,25.84,27.72,28.40,29.36,29.17,28.44,28.24,27.83,28.69,27.86,24.58
1973,24.77,26.81,28.47,30.58,30.12,30.12,28.09,27.06,27.67,28.45,27.20,23.67
1974,23.85,25.94,27.70,28.53,29.45,29.34,27.35,26.72,26.92,27.46,25.78,23.93
1975,24.39,26.18,27.17,29.22,29.32,29.60,27.08,27.08,26.52,28.38,25.41,24.31
1976,23.23,26.06,27.54,29.15,28.96,28.91,27.58,27.22,27.30,27.62,26.82,23.81
1977,24.61,26.79,28.86,29.83,29.38,29.69,28.24,27.72,27.28,28.33,26.60,25.63
1978,25.73,26.64,28.22,29.22,30.34,29.17,27.66,27.24,27.08,27.86,26.40,24.11
1979,24.75,26.98,27.82,30.08,30.10,29.19,28.05,27.68,27.87,28.41,27.67,25.46
1980,24.98,26.79,28.44,30.34,30.26,29.36,28.21,27.33,27.73,28.61,27.21,24.13
1981,24.84,26.25,29.27,30.31,30.05,29.61,27.84,27.23,27.58,28.66,27.54,24.65
1982,24.16,25.53,27.85,29.46,29.59,29.63,28.29,27.33,27.75,27.93,26.71,23.60
1983,25.21,27.52,30.03,29.89,30.89,29.30,28.41,28.41,28.19,29.29,27.77,24.81
1984,24.77,26.24,27.93,29.27,30.87,29.32,27.79,28.27,27.76,28.36,26.90,24.56
1985,24.44,27.31,28.57,29.24,29.43,29.13,27.55,27.27,27.08,28.81,27.29,24.03
1986,23.51,26.11,27.66,30.35,30.41,29.64,28.54,27.45,26.89,28.38,26.06,24.06
1987,24.38,26.60,28.50,30.07,31.27,30.29,29.37,28.10,27.83,28.13,27.61,25.31
1988,23.57,26.81,29.45,30.42,30.60,29.72,28.21,27.20,27.46,28.71,26.84,24.33
1989,24.57,27.09,28.14,29.48,29.77,29.47,27.65,26.95,27.64,28.26,27.06,25.14
1990,24.10,28.03,29.99,30.02,31.02,29.64,28.35,27.80,28.31,28.85,27.51,24.45
1991,24.54,26.75,28.52,29.50,29.44,30.04,28.56,27.83,27.69,28.44,27.98,26.61
1992,25.50,26.65,28.69,29.66,30.02,29.89,27.70,27.71,27.75,28.60,27.25,25.61
1993,25.27,26.97,28.53,29.96,31.29,30.01,28.35,27.71,27.91,28.64,26.98,24.81
1994,23.62,27.09,28.48,30.15,30.56,29.47,28.21,26.97,27.50,28.10,27.41,25.24
1995,24.49,27.29,27.93,29.33,30.27,30.18,28.62,27.60,27.00,28.83,27.80,25.34
1996,26.09,28.09,28.41,29.84,30.13,30.35,28.56,27.92,28.14,28.84,27.71,25.79
1997,26.36,28.89,28.57,29.53,30.85,29.57,28.89,28.14,28.05,29.02,28.67,25.35
1998,25.79,29.71,30.39,31.18,31.65,30.63,28.47,27.82,27.70,29.32,27.99,25.78
1999,24.69,26.33,28.51,29.75,30.43,30.17,28.26,27.39,27.61,28.16,27.98,25.42
2000,26.03,27.39,29.60,31.01,30.35,29.42,28.14,27.45,27.81,27.76,26.64,25.06
2001,25.62,27.65,29.29,30.11,30.38,29.77,28.37,28.36,28.10,29.07,28.09,27.02
2002,25.63,27.58,28.32,29.57,30.75,30.07,28.85,28.45,28.54,29.22,27.99,26.43
2003,25.45,26.76,29.92,30.88,31.30,29.77,28.33,27.74,27.70,28.79,27.88,26.01
2004,25.31,27.41,29.12,30.06,31.01,30.08,28.14,27.85,28.02,29.54,28.49,26.34
2005,25.76,26.63,29.89,30.64,31.54,30.59,28.51,28.29,28.05,29.15,28.00,26.91
2006,25.66,26.95,29.50,29.98,30.51,30.19,28.92,28.10,27.85,29.32,28.32,24.90
2007,25.67,28.08,29.59,30.23,31.19,29.97,28.45,27.62,27.76,29.48,27.73,25.29
2008,24.98,27.97,29.45,30.67,31.77,30.26,28.25,27.47,28.01,28.63,28.07,25.62
2009,23.83,26.60,28.21,30.22,30.70,30.17,28.74,27.72,27.74,29.21,27.68,25.94
2010,26.06,28.71,30.70,30.91,31.80,30.65,28.43,28.00,27.49,28.77,27.91,26.68
2011,25.70,26.59,28.74,30.43,30.38,30.20,28.84,27.93,28.34,29.23,28.15,25.23
2012,25.35,26.63,29.35,30.41,30.93,30.23,28.21,27.66,27.77,29.11,28.95,25.19
2013,24.78,27.63,29.93,29.59,31.47,30.52,28.89,27.32,28.10,29.00,27.89,25.85
2014,25.56,26.36,28.28,30.33,30.13,30.59,29.61,27.89,28.09,29.75,28.07,25.88
2015,25.39,27.38,28.55,30.21,31.25,30.74,29.25,28.12,29.06,29.09,28.25,25.25
2016,27.39,27.91,29.06,30.60,30.45,29.99,28.46,28.27,28.00,29.79,28.73,26.65
2017,25.64,27.39,30.40,31.49,30.90,30.46,28.74,28.10,28.83,30.06,28.57,24.92
