Variable:,tas
Country:,Guinea-Bissau
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.97,27.91,28.58,30.11,29.49,29.07,27.44,27.29,27.33,27.25,25.69,24.58
1902,26.16,27.51,28.03,29.53,30.14,29.49,27.73,27.59,26.93,28.31,27.53,24.20
1903,25.01,27.59,29.34,29.45,29.98,28.55,27.48,26.82,26.92,28.15,27.30,24.50
1904,25.22,26.95,28.09,29.54,29.69,28.44,27.04,26.59,26.94,27.40,27.24,24.70
1905,25.74,26.91,28.69,29.43,29.64,28.53,27.44,26.99,27.30,27.63,26.65,25.36
1906,26.42,27.23,29.74,29.73,29.89,29.10,26.94,26.49,26.93,27.51,27.14,24.30
1907,25.06,26.49,28.42,28.95,28.91,27.83,26.90,26.39,26.63,27.21,26.13,24.36
1908,25.56,26.77,28.73,29.95,30.08,28.96,27.44,26.69,27.03,27.71,27.24,25.73
1909,25.18,26.72,29.25,29.28,29.78,28.32,27.33,26.89,26.84,27.61,26.68,25.21
1910,24.72,27.46,28.83,29.90,30.10,28.84,26.89,26.79,27.23,27.91,28.04,25.37
1911,25.00,26.73,27.70,29.75,29.43,28.04,27.24,26.79,27.33,28.26,27.28,25.52
1912,25.68,27.40,29.51,29.52,30.17,29.01,27.44,26.89,27.13,27.61,27.35,24.97
1913,25.94,27.15,28.24,29.75,29.23,29.32,27.24,27.05,27.03,27.81,27.54,25.75
1914,25.64,26.51,28.66,29.34,30.39,28.18,26.84,26.59,26.83,27.82,26.73,24.86
1915,26.32,26.76,27.89,29.54,29.79,29.78,27.68,27.08,27.36,28.51,27.24,26.36
1916,26.07,26.80,27.85,28.63,29.53,28.76,26.74,26.99,26.93,28.16,26.94,25.25
1917,26.42,25.99,28.64,28.98,29.59,28.35,27.81,26.79,26.73,27.25,26.23,24.67
1918,26.27,27.17,28.28,29.13,30.17,29.18,26.97,26.75,27.23,27.61,26.50,24.75
1919,25.94,28.10,29.27,28.84,29.29,29.19,27.15,27.18,26.96,28.01,28.08,25.36
1920,26.02,26.24,27.99,29.58,29.69,28.57,26.44,26.59,26.53,27.61,26.48,25.16
1921,25.82,26.22,27.61,29.32,28.99,28.13,27.04,27.00,27.20,27.91,26.36,24.65
1922,25.18,26.86,27.68,27.77,29.09,27.74,26.43,26.68,26.43,27.41,27.08,25.12
1923,25.18,27.11,27.73,29.09,29.42,28.36,27.05,26.90,27.07,28.07,27.24,25.95
1924,25.24,25.47,28.71,29.27,30.19,28.17,26.94,26.63,26.22,26.91,26.86,24.35
1925,24.40,26.57,27.73,29.19,30.54,28.57,27.15,26.58,26.51,27.02,26.75,26.15
1926,26.15,26.76,28.29,29.34,29.74,29.00,27.05,27.17,26.96,27.91,26.76,25.75
1927,24.16,26.54,28.04,29.74,29.59,28.14,26.96,26.18,26.54,27.32,27.21,25.21
1928,24.49,25.46,27.54,28.45,29.34,28.95,27.18,26.25,26.58,27.51,26.20,24.81
1929,25.42,26.46,27.27,28.96,28.94,27.43,26.69,26.01,26.26,27.41,26.50,24.31
1930,24.29,25.20,26.45,28.48,28.46,27.70,27.00,26.32,26.88,27.68,27.56,24.96
1931,25.34,26.48,28.57,29.79,29.63,27.86,26.59,27.13,26.33,27.92,27.24,25.35
1932,25.23,26.57,27.73,29.76,29.76,28.88,26.86,26.48,26.93,27.92,27.13,24.33
1933,25.45,26.56,28.77,30.15,30.49,28.33,26.94,27.12,27.12,27.51,26.33,23.86
1934,24.95,26.05,27.84,29.40,29.49,28.36,27.17,26.69,27.13,27.59,26.50,24.67
1935,25.54,26.05,27.49,29.35,30.10,28.36,26.94,26.29,27.03,27.11,26.35,25.42
1936,26.14,26.37,28.54,29.51,29.31,28.65,26.85,26.38,26.83,27.88,26.64,25.72
1937,25.71,27.56,28.49,28.71,29.60,29.08,27.06,26.68,26.84,27.52,27.71,26.16
