Variable:,tas
Country:,"Equatorial Guinea"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.62,25.01,24.22,24.74,24.00,23.50,22.86,22.47,23.26,23.98,24.26,24.45
1902,24.92,24.51,24.75,24.46,24.90,24.00,22.76,23.47,24.06,23.98,24.26,24.45
1903,25.32,25.41,25.24,24.76,24.70,23.40,22.96,23.37,24.36,23.98,24.26,24.45
1904,24.92,24.71,24.35,24.46,24.50,23.80,22.26,22.57,24.36,23.98,24.26,24.45
1905,25.32,25.61,25.64,25.54,25.30,23.70,22.66,23.57,23.76,23.98,24.26,24.45
1906,24.72,25.11,25.63,25.75,24.70,23.90,23.06,23.17,24.36,23.98,24.26,24.45
1907,24.52,25.31,25.23,24.96,25.00,23.90,23.96,23.87,24.26,23.98,24.26,24.45
1908,24.52,24.71,25.04,24.96,24.90,22.90,22.96,22.07,23.66,23.98,24.26,24.45
1909,24.92,25.31,25.33,25.54,24.90,24.99,24.06,23.07,24.76,23.98,24.26,24.45
1910,24.22,24.41,24.25,23.96,24.30,24.70,23.56,23.07,23.56,23.98,23.46,23.95
1911,24.42,24.81,25.44,25.06,25.20,24.40,23.56,23.37,24.06,23.98,24.26,24.45
1912,25.02,26.01,26.13,25.86,25.30,24.60,22.86,23.17,23.76,23.51,23.35,24.35
1913,24.62,24.51,24.65,24.56,24.50,23.30,22.76,23.27,23.66,23.98,24.26,24.45
1914,25.52,25.41,25.74,25.45,25.10,23.70,22.76,23.27,24.46,23.98,24.26,24.45
1915,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1916,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1917,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1918,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1919,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1920,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1921,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1922,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1923,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1924,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1925,24.91,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1926,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.87,23.98,24.26,24.45
1927,24.92,25.31,25.14,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1928,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1929,24.92,25.31,25.14,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1930,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.46
1931,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.46
1932,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.46
1933,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1934,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1935,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1936,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1937,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1938,24.92,25.31,25.15,24.96,24.91,24.00,22.96,23.07,23.86,23.98,24.26,24.46
1939,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.46
1940,24.92,25.31,25.15,24.96,24.90,24.00,22.96,23.07,23.86,23.98,24.26,24.45
1941,25.72,26.00,26.11,25.95,25.69,24.82,22.76,23.41,24.21,24.98,24.36,24.77
1942,25.65,26.17,25.94,25.89,25.18,24.42,23.35,23.17,23.92,24.25,24.73,24.62
1943,25.11,25.31,25.16,24.97,24.37,22.58,22.07,23.07,23.95,24.41,24.17,24.73
1944,25.09,25.40,25.01,25.35,25.62,24.89,23.76,23.30,24.70,24.38,24.80,24.91
1945,25.66,25.76,25.65,25.44,25.24,24.45,23.88,23.56,24.41,24.27,24.54,24.84
1946,25.82,25.80,25.49,25.57,24.54,24.08,23.45,23.22,23.64,23.81,24.46,24.71
1947,25.24,25.50,25.47,25.15,25.73,25.36,23.41,23.69,24.38,24.71,24.75,24.46
1948,25.07,25.12,25.14,24.85,24.72,24.08,22.78,23.17,24.26,24.36,24.61,24.85
1949,25.70,25.61,25.54,25.63,25.67,24.77,23.24,23.26,24.53,24.48,24.78,24.65
1950,25.29,25.22,25.66,25.45,25.32,25.25,23.33,23.23,23.83,24.19,24.46,24.80
1951,24.92,25.02,25.30,25.76,25.32,24.39,23.46,23.47,24.22,24.37,24.59,25.07
1952,25.24,25.58,25.45,25.46,25.08,24.40,22.77,23.03,24.01,24.37,24.45,24.76
1953,24.93,24.92,24.97,25.51,25.11,24.30,23.36,22.87,24.01,24.27,24.46,25.04
1954,25.21,24.49,25.16,25.05,24.72,23.60,22.13,22.28,23.86,23.78,24.05,24.73
1955,24.76,25.05,24.80,24.97,25.05,24.20,22.66,22.77,23.76,24.11,24.44,24.41
1956,24.62,25.01,24.66,24.90,24.86,23.90,22.46,22.56,23.76,23.94,24.12,24.51
1957,24.51,25.39,24.95,25.28,25.61,24.30,22.86,23.27,23.86,24.16,24.73,25.11
1958,25.53,25.57,25.57,25.30,24.44,23.29,22.56,22.67,23.76,24.28,24.55,25.10
1959,25.11,25.45,25.48,25.26,25.01,23.58,22.95,23.54,24.00,24.18,24.36,25.09
1960,25.20,24.98,25.05,24.98,25.08,24.10,23.26,23.74,24.16,24.37,24.56,25.11
1961,24.98,24.79,25.36,25.18,25.06,23.58,22.72,22.98,24.08,24.12,24.16,24.68
1962,24.83,25.49,24.85,25.04,25.10,23.81,22.86,22.97,23.96,24.37,24.36,24.92
1963,24.80,25.21,25.10,25.16,25.37,25.17,23.66,23.48,24.76,24.48,24.75,24.73
1964,25.41,25.47,25.48,25.18,25.04,23.98,22.82,22.76,23.76,23.78,24.20,24.31
1965,24.63,24.82,24.84,24.77,25.21,24.21,22.76,23.07,23.95,24.37,24.55,24.46
1966,25.02,25.34,25.64,24.95,25.25,24.77,23.66,23.47,23.86,24.45,24.55,24.78
1967,25.17,25.39,25.45,25.26,24.91,24.00,22.57,22.99,23.78,23.88,24.56,24.81
1968,24.71,25.29,24.89,25.02,24.81,23.91,22.86,23.28,23.81,24.48,24.48,24.73
1969,24.91,25.68,25.53,25.56,25.52,23.81,22.46,23.39,23.96,24.18,24.46,25.09
1970,24.99,25.69,25.34,25.46,25.28,24.29,22.76,23.52,23.86,23.98,24.46,24.62
1971,24.67,24.89,24.80,24.59,24.80,24.21,22.96,22.77,24.06,23.78,23.76,23.75
1972,24.77,25.03,24.58,24.46,24.76,23.46,23.03,22.69,23.81,23.94,24.28,24.87
1973,25.36,25.89,25.62,25.16,24.88,24.28,23.46,23.27,23.95,23.88,24.39,23.88
1974,24.41,24.89,24.79,24.82,24.55,24.17,22.91,22.77,23.46,23.67,23.86,23.79
1975,24.82,25.04,24.84,24.76,24.80,24.10,22.76,22.49,23.38,23.48,23.58,23.90
1976,24.45,24.51,24.76,24.39,24.50,23.29,22.26,22.37,23.60,23.58,23.67,24.01
1977,24.72,25.17,25.26,25.19,25.01,23.60,22.56,23.06,23.97,24.08,24.37,24.27
1978,25.14,25.82,25.28,24.36,24.69,23.63,22.91,22.82,23.46,23.87,24.16,24.56
1979,25.32,25.58,25.24,24.87,24.97,24.08,23.65,22.73,23.97,24.24,24.62,24.82
1980,25.23,25.59,25.37,25.26,25.28,23.82,22.92,23.04,24.06,24.07,24.53,24.61
1981,24.72,25.71,24.95,25.07,24.51,24.10,22.75,22.87,23.80,24.02,24.08,24.17
1982,24.89,25.31,25.05,24.76,24.63,23.21,22.46,22.57,23.27,23.76,24.17,24.66
1983,25.20,26.01,26.21,25.46,25.31,23.48,22.84,22.39,24.24,23.36,24.17,24.12
1984,24.99,25.35,24.84,24.82,24.70,24.31,23.81,23.96,24.18,24.23,24.14,24.28
1985,24.81,25.08,25.05,24.33,24.53,23.79,23.06,23.37,23.76,23.77,24.16,24.36
1986,24.91,24.82,24.42,24.84,24.90,23.80,22.71,23.03,23.91,23.33,23.76,24.10
1987,25.45,25.42,25.34,25.10,25.43,24.90,23.96,23.57,23.87,23.99,24.73,24.84
1988,25.32,25.64,25.52,25.06,25.29,24.02,23.12,23.54,23.77,23.79,24.22,23.99
1989,24.76,25.23,25.04,24.68,24.47,24.29,22.96,23.76,24.26,24.39,24.57,24.77
1990,25.49,25.51,25.75,25.01,25.00,24.46,23.08,23.07,23.67,24.42,24.45,24.81
1991,24.91,25.40,25.43,24.78,25.19,24.59,23.25,23.03,24.05,23.48,24.05,24.44
1992,24.64,25.62,25.43,25.07,24.98,23.59,22.37,22.57,23.56,23.78,23.91,24.28
1993,24.79,24.99,24.76,24.89,24.89,24.00,23.61,23.12,23.77,24.20,24.20,24.54
1994,24.71,25.41,25.07,24.80,24.81,24.01,22.86,23.13,23.91,23.84,24.43,24.64
1995,25.21,25.14,25.13,25.09,25.10,24.40,23.60,23.47,24.15,24.28,24.55,24.45
1996,25.08,25.46,25.26,24.96,24.64,24.22,23.27,22.93,23.95,23.85,24.18,24.19
1997,24.73,25.00,24.97,24.54,24.22,23.52,23.33,23.20,24.36,24.40,24.57,24.85
1998,25.58,26.75,26.33,25.99,25.54,24.83,23.78,23.58,24.43,24.47,24.83,24.66
1999,25.02,25.22,25.64,25.03,25.00,24.49,23.48,23.48,23.84,23.87,24.47,24.59
2000,25.23,25.22,25.57,25.03,25.35,24.20,23.20,23.02,23.86,24.04,24.59,24.42
2001,24.97,25.62,25.43,25.16,25.50,24.49,23.44,22.96,23.58,23.90,24.64,24.94
2002,25.19,25.58,25.43,25.61,25.80,24.74,23.88,23.63,24.15,24.08,24.50,24.75
2003,25.31,25.82,25.48,25.26,25.47,24.13,23.71,23.75,24.48,24.22,24.75,24.88
2004,25.42,25.81,25.94,25.25,24.93,24.07,23.77,23.62,23.97,24.44,24.75,25.16
2005,25.32,26.01,25.64,25.47,24.93,23.91,23.31,23.56,24.57,24.46,24.58,24.93
2006,25.72,25.52,25.34,25.32,24.96,25.29,23.72,23.82,24.07,24.58,24.23,24.83
2007,25.45,25.76,25.82,25.25,25.42,24.29,23.92,23.62,24.31,24.14,24.37,24.56
2008,24.80,25.25,25.05,24.87,25.14,24.19,23.59,23.45,24.39,24.39,24.79,24.80
2009,25.04,25.47,25.64,25.45,25.32,24.51,23.46,23.34,24.33,24.49,24.53,24.91
2010,25.83,25.97,25.69,25.58,25.51,24.51,23.95,23.46,24.29,24.75,24.71,24.88
2011,24.75,25.40,25.54,25.33,25.44,24.41,23.55,23.35,24.17,24.19,24.33,24.56
2012,25.26,25.12,25.35,25.48,25.19,24.47,23.34,23.56,24.14,24.23,24.51,25.04
2013,25.09,25.74,25.55,25.45,25.33,24.53,23.47,23.08,24.22,24.21,24.41,24.87
2014,25.80,25.83,25.53,25.23,25.33,24.61,22.96,23.54,24.04,24.18,24.53,24.70
2015,25.46,25.78,25.85,25.46,25.52,24.20,23.90,23.70,24.06,24.69,24.94,24.89
2016,25.88,26.41,25.79,25.54,25.44,24.60,23.83,23.59,24.65,24.72,24.86,25.45
2017,25.79,25.86,25.11,25.45,25.30,24.89,23.63,23.42,24.35,24.49,24.49,25.26
2018,25.72,25.68,25.61,25.42,25.25,24.72,23.66,23.99,24.70,24.45,25.06,25.08
2019,25.95,25.31,25.64,24.96,24.90,24.00,23.85,23.91,24.75,24.27,24.96,25.47
2020,25.97,26.22,25.94,25.76,25.69,24.63,23.82,24.15,24.34,24.53,24.87,25.15
2021,25.58,25.96,25.55,25.57,25.50,25.24,23.93,24.16,24.64,24.61,25.04,25.25
