Variable:,tas
Country:,Kenya
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.04,25.31,26.08,25.23,24.26,23.22,22.50,22.89,23.72,24.76,24.63,24.84
1902,24.84,25.46,25.99,25.05,24.43,23.86,23.29,23.81,24.25,24.87,24.57,24.20
1903,25.24,25.72,26.05,25.34,24.36,23.71,23.06,23.40,23.75,24.58,24.54,24.32
1904,23.96,24.80,25.33,24.51,24.24,23.52,22.99,23.38,23.32,23.30,23.55,23.58
1905,24.95,24.68,25.23,24.48,23.72,23.26,22.47,22.73,23.66,24.85,24.35,24.03
1906,23.71,25.64,25.07,24.32,23.87,22.80,21.82,22.32,23.22,24.47,24.00,23.80
1907,24.00,24.63,25.53,24.83,23.76,22.65,22.09,21.94,23.32,24.81,24.38,23.83
1908,24.97,25.47,26.03,25.79,24.52,23.69,23.01,23.69,23.99,24.70,24.16,23.45
1909,23.15,23.49,24.98,24.22,23.61,21.99,22.12,21.84,23.03,24.07,23.09,23.01
1910,23.45,24.03,24.95,24.52,22.54,23.32,21.60,22.08,22.16,23.16,23.35,24.69
1911,24.31,24.80,25.40,24.09,23.76,22.77,21.22,22.19,22.53,23.88,23.91,23.67
1912,23.73,24.35,24.54,23.88,23.24,22.65,21.09,21.61,22.52,23.92,23.53,22.62
1913,22.89,23.98,23.95,23.63,23.23,21.61,20.62,21.12,23.07,23.69,23.30,23.04
1914,23.25,24.27,24.89,23.78,23.00,22.53,21.35,22.13,22.71,23.87,23.49,23.91
1915,23.79,24.82,25.68,24.64,22.51,22.40,21.91,21.89,23.13,23.97,23.02,22.65
1916,23.47,24.36,24.16,23.89,23.36,21.90,20.77,20.94,21.70,24.79,22.85,22.76
1917,22.67,23.62,23.15,23.22,22.77,21.47,21.03,21.91,22.13,22.99,22.83,22.68
1918,22.94,23.99,24.35,23.39,22.60,21.91,21.08,21.39,22.25,23.78,22.75,22.86
1919,23.80,24.82,24.89,23.69,22.73,21.52,20.62,21.67,22.71,22.50,22.48,22.31
1920,23.06,23.54,24.15,22.50,22.28,20.70,20.62,21.39,23.90,24.79,25.05,21.30
1921,24.07,24.82,26.45,25.53,24.28,22.81,23.19,22.95,23.79,24.80,24.89,25.16
