Variable:,tas
Country:,Liberia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.32,26.96,27.68,26.66,26.01,25.35,24.57,24.20,25.19,25.53,25.82,25.78
1902,25.70,26.39,26.72,26.27,26.25,25.98,24.83,24.58,24.51,25.40,25.60,24.84
1903,25.22,26.28,26.91,26.56,26.28,25.21,24.16,23.67,24.65,25.60,25.45,24.93
1904,24.54,25.48,26.29,25.95,26.04,25.37,24.05,23.93,24.81,25.34,25.54,25.02
1905,25.11,26.06,26.90,26.83,26.37,24.80,24.34,24.03,24.54,25.17,25.45,25.45
1906,25.45,26.40,27.70,27.03,26.10,24.98,23.96,23.92,24.53,25.05,25.30,24.35
1907,24.81,26.04,27.06,26.33,25.79,24.93,23.90,23.70,24.41,24.98,25.70,25.09
1908,25.26,25.92,26.82,26.60,26.01,25.36,24.28,23.84,24.55,25.10,25.42,24.91
1909,24.86,26.11,26.99,26.12,25.47,24.64,24.34,24.13,24.83,25.32,25.41,24.80
1910,24.21,26.49,27.36,27.00,26.60,25.93,24.29,23.84,24.92,25.21,25.61,25.25
1911,25.11,26.23,26.76,26.79,25.71,24.72,24.25,23.66,24.82,25.22,25.53,24.84
1912,25.27,26.69,27.62,27.18,26.87,25.64,24.52,24.11,24.77,25.43,25.60,25.28
1913,25.62,25.75,26.23,26.51,25.94,26.17,24.63,23.93,24.65,25.21,25.50,24.58
1914,25.17,25.99,26.78,26.66,26.33,25.16,24.29,23.65,24.60,25.34,25.46,25.05
1915,25.21,26.55,27.13,27.10,25.96,25.85,24.51,24.23,24.99,25.85,25.86,25.36
1916,25.73,26.72,27.09,26.18,26.20,25.41,23.92,24.12,24.65,25.35,25.52,24.79
1917,25.50,25.54,26.78,26.65,26.10,25.43,24.82,23.93,24.51,25.45,25.19,24.96
1918,25.08,26.29,26.85,25.91,25.85,24.77,23.73,23.54,25.27,25.37,25.67,24.40
1919,25.25,26.47,26.04,25.34,24.94,24.77,23.59,23.63,24.11,25.12,25.70,25.29
1920,25.12,26.44,26.37,25.84,25.89,25.10,23.90,23.65,24.40,25.00,25.10,24.95
1921,24.42,26.03,26.35,25.70,25.28,24.15,24.22,23.98,24.80,25.66,25.25,24.83
1922,25.35,26.29,26.74,25.50,25.80,25.23,24.23,23.73,24.39,24.95,25.28,24.68
1923,24.96,25.67,26.05,26.25,25.92,25.34,24.73,24.08,24.61,25.08,25.60,25.48
1924,25.16,25.28,26.81,25.81,26.28,24.77,23.88,23.78,24.52,24.67,24.80,23.88
1925,23.24,25.27,25.84,26.51,26.53,25.32,24.22,23.74,23.99,24.45,25.04,24.64
1926,24.63,26.24,26.69,26.28,26.09,24.71,23.82,24.27,24.75,25.34,24.82,24.95
1927,23.43,25.46,25.78,26.05,25.27,24.21,23.95,23.46,24.57,24.70,24.73,24.26
1928,24.19,24.96,25.67,25.25,25.01,24.81,24.03,23.09,24.03,24.51,24.56,24.42
1929,23.97,25.04,25.88,26.29,25.54,23.56,23.59,23.12,24.07,24.66,24.81,23.69
1930,23.83,25.11,25.04,25.64,25.36,24.27,23.82,23.27,24.25,24.59,24.90,24.79
1931,24.74,25.46,26.42,26.33,25.74,24.98,23.70,23.77,23.71,25.00,24.89,25.03
1932,23.92,25.60,26.17,26.09,25.68,25.21,23.59,23.89,24.47,25.31,25.27,23.99
1933,24.91,25.26,25.93,26.30,26.43,24.65,24.09,24.54,24.72,24.57,25.08,24.01
1934,23.78,24.91,25.89,26.49,25.96,25.02,24.44,24.38,25.15,25.09,25.43,24.36
1935,24.47,25.54,25.90,26.22,26.13,24.81,23.98,23.57,24.51,24.79,24.85,24.56
1936,24.87,25.66,26.32,26.05,25.39,24.57,23.54,23.53,24.44,25.25,25.12,25.05
1937,24.65,26.12,26.38,26.23,26.03,25.32,24.12,23.65,24.38,24.96,25.52,25.13
1938,24.85,26.48,26.31,26.50,26.05,25.50,23.96,23.59,24.35,25.17,25.22,24.84
1939,24.65,25.08,26.27,26.38,25.87,25.61,24.70,24.28,24.58,24.88,25.16,24.89
1940,24.78,25.00,26.32,26.50,26.52,25.73,24.57,24.21,25.11,25.03,25.01,24.41
1941,25.14,25.71,26.71,26.53,26.26,25.50,24.65,24.71,25.20,25.98,25.63,24.80
1942,24.29,25.61,26.72,26.72,25.90,25.29,24.30,23.70,25.44,25.45,25.77,24.18
1943,24.32,25.49,26.39,26.27,25.85,24.99,24.15,23.72,24.62,25.10,24.83,24.47
1944,24.29,25.66,26.10,26.46,26.72,25.60,24.94,24.54,24.94,25.40,25.80,24.99
