Variable:,tas
Country:,Libya
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,11.86,14.32,18.23,23.41,25.64,28.99,29.32,28.90,27.65,23.47,17.86,13.55
1902,12.02,14.70,18.06,23.42,25.68,28.66,29.14,29.09,27.41,23.55,17.51,13.25
1903,12.15,14.01,17.86,22.93,26.20,28.34,28.48,28.72,27.35,23.58,17.72,13.72
1904,11.83,14.87,18.12,23.20,25.93,29.09,29.15,28.79,27.26,23.32,17.18,13.06
1905,11.03,13.23,17.60,23.18,26.47,29.25,29.16,29.20,27.81,23.27,18.07,13.22
1906,11.97,14.03,18.15,23.01,26.36,29.31,29.23,29.28,27.32,23.25,17.90,13.21
1907,11.65,13.90,17.32,22.61,25.87,28.26,29.03,28.89,27.12,23.89,18.33,13.80
1908,12.34,14.18,17.93,22.53,26.63,28.78,28.93,28.84,27.00,23.51,17.61,13.14
1909,11.55,13.62,18.48,22.66,25.88,28.69,28.58,28.86,27.71,23.60,18.11,13.83
1910,11.97,14.11,17.40,22.94,25.77,28.55,28.80,28.77,26.60,23.84,17.75,13.70
1911,11.47,13.77,17.92,22.69,25.76,29.37,29.37,29.51,27.49,23.62,17.93,13.64
1912,12.35,15.31,18.54,23.07,26.13,28.67,29.36,28.91,26.86,23.59,17.33,13.24
1913,12.41,14.14,18.20,22.96,26.00,28.49,28.88,28.77,27.73,23.59,18.53,13.58
1914,11.78,14.37,18.43,22.77,26.25,28.59,29.02,28.62,26.86,23.08,17.81,13.53
1915,12.45,14.38,18.23,22.94,25.97,28.95,28.93,29.13,27.04,23.40,17.96,13.83
1916,11.92,14.47,18.46,23.28,26.79,29.90,29.75,29.21,27.22,23.34,18.04,13.86
1917,12.13,14.38,18.13,23.08,26.48,29.48,29.32,29.62,27.62,23.33,17.77,12.93
1918,11.95,14.08,17.82,23.12,26.55,29.18,29.29,29.07,27.89,23.51,17.92,13.34
1919,12.22,14.61,18.73,23.28,25.48,28.78,29.42,28.80,27.62,23.99,18.52,13.19
1920,12.28,13.97,17.99,23.21,26.35,29.12,29.41,29.37,27.22,23.80,17.70,13.51
1921,12.21,14.21,17.56,22.57,26.16,28.41,29.33,29.10,27.41,23.37,17.70,13.18
1922,12.03,14.50,18.30,23.46,26.65,29.65,29.39,29.55,27.49,23.69,17.66,13.01
1923,11.86,14.32,17.87,23.08,26.70,29.16,29.30,29.37,27.44,23.53,18.21,13.31
1924,11.78,14.43,18.09,23.43,26.91,29.74,29.55,29.31,27.98,23.56,17.78,13.33
1925,11.86,14.38,17.97,23.14,26.48,29.52,29.32,29.45,27.65,23.45,18.13,13.42
1926,12.17,14.65,18.04,23.35,26.74,29.42,29.06,28.97,27.59,23.77,18.46,13.32
1927,12.10,14.03,18.21,23.16,26.93,29.83,29.66,29.62,27.69,23.53,18.25,13.73
1928,12.38,14.16,17.96,23.50,26.68,29.59,29.61,29.73,27.84,23.65,17.88,13.12
1929,11.68,13.73,17.68,23.12,26.89,29.52,29.32,29.23,27.49,23.25,17.94,13.25
1930,12.14,14.22,18.20,23.30,26.52,29.65,29.50,29.33,27.46,23.35,17.87,13.76
1931,12.34,14.16,18.48,23.21,26.68,29.97,29.77,29.74,27.56,23.47,17.96,13.25
1932,12.03,14.13,18.12,23.12,26.60,29.37,29.23,29.33,27.88,23.99,18.00,13.72
1933,12.09,14.57,18.01,23.07,26.48,29.26,29.21,29.23,27.41,23.68,18.30,13.57
1934,11.95,13.99,18.14,23.49,26.81,29.69,29.53,29.38,27.45,23.60,18.24,13.59
1935,11.76,14.38,17.88,23.16,26.68,29.76,29.53,29.42,27.59,23.81,18.01,13.50
1936,12.62,14.74,18.38,23.48,26.50,29.22,29.40,29.24,27.46,23.40,17.94,13.20
1937,12.03,14.71,18.24,23.27,26.65,29.70,29.33,29.44,27.68,23.69,18.20,13.34
1938,12.07,14.04,17.64,22.95,26.41,29.48,29.40,29.54,27.49,23.62,17.92,13.61
1939,12.34,14.48,17.72,23.16,26.50,29.27,29.56,29.38,27.61,23.91,17.92,13.62
1940,12.12,14.63,18.01,23.14,26.56,29.10,29.13,29.05,27.48,23.66,17.86,12.93
1941,12.27,14.78,18.22,23.23,26.47,29.43,29.57,29.46,27.15,23.18,17.75,12.96
1942,11.63,14.28,18.19,23.50,26.99,29.66,29.24,29.16,27.54,23.67,17.95,13.65
1943,12.03,14.29,17.85,23.04,26.75,29.26,29.51,29.50,27.92,23.81,18.24,13.79
1944,11.60,13.80,17.33,23.34,26.99,29.58,29.66,29.50,27.70,23.60,17.64,13.13
1945,11.22,13.61,16.84,22.86,27.57,28.80,29.86,31.37,27.41,22.46,18.59,13.28
1946,12.38,13.74,17.50,23.55,27.01,29.37,29.33,30.08,27.75,24.24,19.90,12.75
1947,12.15,16.70,20.47,22.14,26.95,29.48,30.29,30.71,28.02,23.93,18.35,13.83
1948,12.83,14.91,16.17,22.97,27.48,28.51,28.83,28.84,26.90,23.97,16.87,12.46
1949,11.31,12.80,16.60,22.09,27.29,29.24,28.90,28.05,26.51,23.22,18.75,14.45
1950,11.94,13.77,16.80,22.54,25.86,28.96,29.18,29.42,27.59,23.52,17.37,13.37
1951,11.99,14.43,19.19,22.99,27.34,29.30,29.53,29.45,28.34,24.30,17.75,11.89
1952,12.00,13.36,18.23,23.03,26.80,29.18,29.45,29.82,28.65,24.61,17.51,13.14
1953,10.33,14.27,16.07,23.28,27.16,29.71,29.75,29.17,27.26,24.05,17.17,13.18
1954,10.72,13.89,18.49,22.65,26.60,29.34,29.02,28.81,26.25,22.60,17.93,13.09
1955,13.90,16.50,18.57,22.53,26.80,29.71,29.98,29.48,27.97,24.04,18.89,13.51
1956,12.77,15.05,17.59,22.90,25.66,29.07,29.49,29.37,27.36,21.70,18.13,12.30
1957,11.23,14.50,17.24,22.22,26.24,29.53,28.70,29.45,27.78,23.98,18.74,13.39
1958,11.97,14.75,18.60,23.30,26.10,29.41,29.43,29.32,26.89,23.17,19.28,15.21
1959,11.88,12.60,17.92,22.51,27.40,28.56,28.27,29.36,27.69,22.77,17.91,13.36
1960,12.17,15.17,18.56,23.09,26.48,29.26,29.31,29.28,27.30,25.20,18.79,14.61
1961,12.02,12.60,16.66,23.27,26.69,30.21,28.81,28.67,26.60,22.81,18.37,13.22
1962,12.40,13.00,19.06,23.07,26.45,28.80,29.60,29.09,27.44,23.63,20.35,12.99
1963,13.31,15.27,17.07,23.25,25.64,29.09,30.03,29.72,28.14,23.58,18.15,15.26
1964,11.30,13.81,19.25,23.27,25.36,29.83,28.72,29.60,25.47,23.37,17.59,14.16
1965,12.79,13.95,17.86,21.68,25.16,29.19,30.17,29.05,27.75,23.70,17.46,12.89
1966,12.61,15.15,16.85,23.07,26.00,29.27,29.64,29.78,27.37,25.04,19.15,12.21
1967,10.78,14.13,16.27,23.86,26.20,29.07,28.62,29.29,27.51,22.90,17.68,13.33
1968,10.81,14.89,17.51,23.73,27.71,29.99,29.47,29.98,27.52,22.02,17.94,13.70
1969,11.72,16.56,20.55,22.45,26.78,30.35,27.98,29.39,29.02,23.90,18.70,12.88
1970,13.89,14.70,18.17,22.69,26.30,28.89,28.88,29.31,26.94,22.20,17.24,13.16
1971,12.67,13.68,18.81,22.94,27.76,29.08,28.60,29.07,26.86,21.67,16.93,13.10
1972,12.06,14.56,18.18,22.96,26.18,29.94,29.65,29.36,29.00,23.43,17.33,13.12
1973,11.83,14.14,16.69,22.02,26.76,29.56,30.26,28.55,27.24,23.67,16.44,13.86
1974,11.68,13.95,18.84,23.77,26.17,29.58,28.69,28.64,27.43,24.21,16.78,12.28
1975,10.85,13.81,17.91,23.80,26.84,28.79,28.64,28.70,27.34,22.92,17.91,13.89
1976,11.51,13.46,16.85,22.38,26.72,28.92,29.62,28.79,27.41,24.29,17.56,13.84
1977,12.70,15.26,17.34,22.20,27.42,29.60,30.23,29.74,27.07,22.02,17.80,12.34
1978,11.85,15.55,17.89,23.79,27.78,29.12,28.63,28.52,26.56,23.27,16.21,14.05
1979,13.10,15.42,19.71,22.79,26.24,30.09,29.48,29.80,27.32,24.52,17.48,12.59
1980,12.16,13.76,18.23,22.60,27.13,29.47,29.33,29.26,26.71,23.68,19.03,12.12
1981,9.97,13.36,19.13,24.68,26.52,30.11,29.72,29.66,27.53,24.62,16.06,14.14
1982,13.01,13.48,17.01,23.62,25.69,29.84,29.92,30.03,28.00,25.38,16.91,12.67
