Variable:,tas
Country:,Lesotho
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,16.93,16.16,13.05,11.48,6.78,4.93,4.37,7.15,9.39,11.08,13.25,15.11
1902,15.07,15.86,13.90,10.05,8.05,4.02,5.33,6.33,9.37,11.76,12.51,15.40
1903,16.56,15.52,13.57,9.66,7.21,3.90,4.62,6.84,10.06,11.42,12.79,15.30
1904,15.88,15.06,13.52,10.77,7.39,5.08,5.34,6.72,9.92,11.71,13.72,13.82
1905,16.27,14.93,13.07,11.20,6.93,3.85,5.66,5.62,10.20,12.31,13.23,15.28
1906,16.97,15.11,13.40,9.59,7.26,5.37,4.55,5.63,9.94,10.83,13.10,14.29
1907,15.45,15.27,14.25,9.57,6.09,4.36,4.85,7.04,10.29,10.73,12.29,13.96
1908,15.43,15.61,13.48,8.52,7.16,4.43,5.02,6.52,10.53,11.30,13.06,15.32
1909,16.12,14.27,12.74,10.70,6.96,5.46,5.16,6.86,10.15,11.41,13.20,14.36
1910,15.86,14.65,13.73,10.14,7.17,4.03,4.89,6.20,9.79,11.15,11.94,14.46
1911,16.02,16.16,13.56,9.92,6.47,3.67,4.27,5.92,9.97,12.74,13.51,16.06
1912,16.44,15.83,13.53,10.69,7.63,4.80,4.88,6.75,9.66,12.36,14.20,15.37
1913,16.77,16.05,13.54,10.71,7.68,5.40,5.20,7.62,10.14,11.76,13.95,15.44
1914,17.19,15.73,14.29,10.94,8.27,4.44,5.25,6.55,11.57,12.82,13.06,15.28
1915,17.57,16.18,14.53,10.39,6.98,4.75,4.14,6.99,10.33,11.80,13.55,14.95
1916,15.82,16.00,13.74,10.91,6.02,4.47,5.75,6.28,10.66,12.56,13.98,15.46
1917,16.20,15.43,13.92,10.17,6.66,4.44,4.31,5.29,9.58,11.70,12.78,14.80
1918,15.04,15.63,13.73,10.50,6.49,4.61,4.84,6.31,11.03,12.92,13.55,15.24
1919,16.57,15.88,14.35,11.80,6.96,5.47,5.42,6.83,9.66,12.66,12.81,15.34
1920,17.16,15.29,13.37,10.75,7.58,4.27,5.85,7.41,10.19,11.85,14.74,15.04
1921,15.83,15.94,14.42,10.14,6.59,4.92,3.72,6.17,9.94,11.97,13.13,14.71
1922,16.55,15.45,14.48,11.28,6.66,4.56,5.68,7.02,11.25,12.55,13.52,15.53
1923,16.16,15.51,14.70,10.20,6.94,4.78,5.27,7.35,11.04,13.86,14.85,15.16
1924,16.50,14.79,13.42,10.37,6.97,4.57,4.42,6.14,9.93,11.77,13.14,14.91
1925,15.97,16.44,13.82,10.71,6.89,4.20,5.04,7.64,10.17,11.93,13.98,15.84
1926,17.80,16.92,14.16,10.84,7.50,4.99,4.15,6.80,9.89,12.39,13.06,15.27
1927,17.10,16.06,14.00,11.25,7.19,5.00,5.77,7.18,11.66,12.69,14.58,15.38
1928,16.29,15.29,14.28,10.81,7.42,5.20,5.47,6.61,9.86,12.20,13.99,15.47
1929,16.39,15.64,13.22,10.55,8.16,5.35,4.98,6.83,10.77,12.85,14.13,15.43
1930,16.05,15.00,14.08,10.40,7.54,4.71,5.48,6.46,9.40,12.59,14.11,16.23
1931,16.62,16.68,14.73,10.22,8.71,5.11,4.73,7.50,10.76,12.46,14.35,15.83
1932,16.02,15.99,14.85,12.75,8.24,5.57,5.35,7.79,11.57,13.03,14.69,15.52
1933,16.76,16.38,15.02,11.45,8.51,5.04,5.88,7.12,10.99,13.36,13.83,15.34
1934,16.17,15.42,14.40,12.20,9.31,6.56,5.31,8.30,11.28,12.75,14.11,15.27
1935,16.69,15.11,13.15,10.46,6.99,4.64,5.55,5.63,10.46,13.28,13.20,14.65
1936,15.85,15.31,14.45,11.25,6.90,6.02,6.16,8.01,10.54,11.61,13.07,15.33
1937,16.66,16.54,14.85,10.99,8.39,5.42,5.16,7.91,10.27,12.78,14.92,15.00
1938,16.50,15.58,15.14,11.70,8.09,5.75,6.15,6.86,11.08,12.96,13.47,15.63
1939,16.51,16.02,13.99,10.49,8.18,5.63,5.18,6.98,9.71,12.98,13.55,15.48
1940,16.93,16.88,14.71,10.67,7.92,5.77,5.88,8.66,11.01,12.65,13.92,16.39
1941,16.73,15.82,14.86,12.01,8.96,5.73,6.45,8.35,10.42,13.77,14.35,16.71
1942,17.47,17.12,14.61,11.20,7.75,5.67,6.05,7.87,10.77,12.14,14.05,14.67
1943,16.02,15.20,14.44,10.92,6.98,4.88,5.09,5.58,10.12,12.65,13.91,14.63
1944,17.66,15.55,14.10,11.11,6.47,4.62,5.95,9.07,10.70,14.22,14.90,15.54
1945,16.74,17.27,13.82,11.84,7.58,4.69,5.58,7.82,12.82,12.18,15.18,15.48
1946,16.36,16.41,14.75,11.80,8.78,5.03,5.98,7.37,12.39,12.66,14.98,16.28
1947,17.14,17.54,14.60,11.45,7.97,5.38,4.19,8.69,10.38,13.55,15.21,15.09
1948,16.31,15.36,13.90,10.31,8.71,5.77,6.29,8.27,10.30,13.13,13.71,16.02
1949,18.08,15.64,14.11,11.70,7.70,6.55,5.93,7.70,12.03,13.15,13.59,15.75
