Variable:,tas
Country:,Madagascar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.65,24.62,24.83,23.22,21.59,19.96,19.21,19.02,20.79,23.01,25.77,24.08
1902,25.83,24.80,24.10,24.22,22.22,19.96,19.84,19.38,23.05,23.64,25.04,24.72
1903,25.11,24.53,24.92,24.04,22.68,20.95,19.12,20.12,20.24,22.56,24.32,24.45
1904,24.38,24.43,24.47,23.22,22.31,19.69,18.65,20.12,20.50,24.00,25.59,24.99
1905,25.29,24.62,24.20,22.76,22.49,21.32,19.12,20.39,23.50,24.19,24.05,24.45
1906,26.10,24.98,25.37,24.04,22.04,19.96,19.12,19.57,21.15,22.92,24.23,24.45
1907,25.02,24.71,24.00,23.59,22.04,20.14,18.11,19.93,21.79,24.73,24.68,23.98
1908,25.29,24.43,25.01,23.76,21.31,20.68,19.21,20.57,22.42,24.73,25.23,24.27
1909,24.75,24.62,24.47,23.59,21.41,18.95,20.02,19.93,22.42,22.56,24.86,25.80
1910,25.20,24.80,24.47,23.95,21.50,19.22,18.92,20.12,21.88,23.91,23.13,23.80
1911,24.84,23.98,24.10,22.40,21.31,19.60,19.48,19.93,21.79,23.91,24.32,25.62
1912,25.65,24.34,25.37,24.04,22.58,20.32,19.30,20.48,22.96,24.00,25.68,24.72
1913,24.48,24.34,25.19,22.76,22.85,19.78,18.74,20.84,22.06,24.54,24.41,24.18
1914,24.66,25.26,24.65,23.95,22.13,20.68,19.02,20.48,22.24,23.64,23.87,25.53
1915,25.29,24.98,24.74,24.40,22.31,19.96,19.93,19.38,21.33,24.64,24.68,24.63
1916,25.20,24.43,24.83,23.86,21.68,19.87,17.93,20.21,21.52,23.55,23.42,23.26
1917,24.38,23.44,23.91,23.31,22.67,20.41,19.84,20.02,21.15,21.73,24.05,23.44
1918,25.29,24.16,24.29,22.94,21.59,20.32,18.83,19.57,21.60,24.00,24.50,24.81
1919,25.20,24.89,24.83,22.76,20.76,19.87,18.29,21.11,22.96,23.55,25.41,25.17
1920,24.93,24.43,24.38,22.67,22.04,18.95,18.11,20.21,22.96,24.64,24.14,23.98
1921,24.66,24.43,23.91,22.76,21.68,19.78,19.12,20.02,21.88,24.18,24.32,23.89
1922,24.19,24.33,24.47,21.95,21.50,19.32,18.20,19.93,20.97,23.10,24.59,24.99
1923,25.56,24.89,25.10,24.13,22.58,20.05,19.93,19.48,22.42,23.91,25.23,24.81
1924,25.20,24.62,25.28,23.31,22.40,20.14,19.75,20.48,22.06,23.37,24.41,24.27
1925,24.84,24.62,24.29,24.04,21.31,21.31,20.29,19.75,23.32,24.09,24.41,24.81
1926,25.78,25.38,25.73,24.77,22.62,21.33,19.85,20.67,22.82,24.14,25.55,25.02
1927,25.05,24.95,24.23,23.69,22.01,20.13,18.70,20.43,21.91,23.87,24.55,25.36
1928,24.45,25.04,25.04,24.54,22.68,19.91,19.24,20.20,21.82,24.07,24.92,24.61
1929,25.55,23.68,25.43,24.10,21.98,20.73,19.99,20.27,22.02,24.83,25.15,24.29
1930,24.33,25.04,24.47,23.63,20.91,19.54,18.92,19.29,23.14,23.21,24.96,24.92
1931,24.38,24.46,24.13,23.24,21.46,19.52,19.06,19.50,20.67,22.32,23.35,24.12
1932,25.10,24.39,24.63,22.90,20.76,19.74,19.13,19.90,21.04,22.82,24.77,24.36
