Variable:,tas
Country:,Mali
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.62,24.25,26.51,30.32,31.98,33.73,32.22,31.13,31.15,30.00,25.96,20.40
1902,20.39,23.98,27.34,31.82,33.78,32.44,32.42,31.43,30.89,28.77,26.35,21.90
1903,21.56,24.56,27.73,30.87,33.34,33.58,32.03,30.87,30.96,30.30,25.98,21.94
1904,21.39,23.96,27.68,30.79,33.48,33.78,32.14,31.03,31.29,30.23,26.19,22.17
1905,21.02,22.03,26.82,31.62,33.10,33.10,32.24,30.26,30.77,30.17,26.28,22.10
1906,21.43,22.58,28.03,32.08,33.24,33.30,31.48,29.72,31.16,29.81,25.75,21.49
1907,20.82,22.07,25.93,29.59,32.98,32.93,33.20,30.42,31.26,30.63,26.14,21.37
1908,21.43,23.31,27.07,31.11,33.77,34.14,32.76,30.29,31.34,29.83,25.86,21.92
1909,21.49,24.96,28.93,30.95,33.18,32.77,31.68,30.29,31.13,29.59,26.29,22.06
1910,19.68,23.64,27.64,29.85,32.94,34.28,32.44,30.95,31.14,29.71,26.26,22.23
1911,21.20,23.34,26.41,30.62,32.34,32.35,32.24,30.60,30.93,29.57,25.11,20.47
1912,20.96,24.76,27.73,31.34,33.09,33.47,32.72,31.00,31.27,29.45,24.47,21.88
1913,21.76,23.78,25.76,30.48,33.11,34.32,33.71,32.16,31.94,29.57,23.83,20.74
1914,22.58,23.95,27.45,30.66,34.20,34.37,32.66,30.13,30.55,29.62,25.99,20.90
1915,19.47,22.72,28.43,29.61,33.17,32.30,32.36,30.91,30.51,28.93,25.09,20.88
1916,19.25,21.74,27.14,29.16,32.02,32.43,32.35,29.69,29.33,28.15,23.40,22.06
1917,21.72,24.38,25.54,29.33,31.51,32.25,32.25,31.03,29.53,28.31,22.63,21.38
1918,20.46,20.88,24.39,29.53,31.96,33.65,32.14,29.09,29.37,29.19,24.80,22.00
1919,21.67,24.63,27.79,30.74,33.27,33.65,32.13,31.04,31.09,30.09,26.15,22.10
1920,21.66,24.46,27.69,30.82,33.38,33.61,32.10,30.99,31.07,30.03,25.97,22.06
1921,21.57,24.44,27.66,30.81,33.32,33.54,32.16,31.05,31.15,30.10,25.99,22.01
1922,21.61,24.53,27.70,30.69,33.33,33.56,32.11,29.24,28.94,28.67,24.91,21.11
1923,20.15,23.19,27.23,28.89,32.46,33.16,31.75,30.31,30.25,29.70,26.23,22.62
1924,21.71,25.32,28.34,30.82,33.42,32.85,31.46,30.22,30.70,29.85,26.02,21.40
1925,19.24,23.99,27.98,31.24,33.53,33.12,32.50,31.27,31.11,28.59,25.43,22.27
1926,21.63,23.59,26.94,29.76,32.63,32.69,31.96,31.10,31.02,30.13,25.15,22.02
1927,19.62,23.16,26.64,30.37,32.42,32.55,31.73,29.47,30.13,29.43,24.99,21.27
1928,19.29,22.38,26.58,29.96,32.91,33.50,32.21,30.01,30.91,29.71,25.20,21.23
1929,20.42,22.90,26.50,30.83,32.41,32.08,31.89,30.01,30.81,29.20,24.73,20.19
1930,20.56,24.24,26.37,30.42,32.33,32.75,31.54,29.98,30.77,29.46,25.94,22.42
1931,22.15,23.76,27.69,31.37,33.24,33.22,32.47,31.79,30.46,29.82,25.82,22.64
1932,20.76,23.48,26.81,31.30,32.61,33.91,31.77,30.59,30.88,30.08,25.55,21.58
1933,21.97,24.58,27.38,30.20,33.54,32.84,31.74,30.34,30.40,29.61,24.83,21.24
1934,20.28,23.45,26.33,30.49,34.14,33.43,32.15,30.41,31.64,29.60,26.08,21.76
