Variable:,tas
Country:,Mozambique
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.44,25.89,25.59,24.28,21.93,19.61,19.30,20.84,22.48,24.58,25.85,25.92
1902,25.87,25.84,25.43,24.85,21.98,20.25,20.37,21.36,23.67,24.28,26.14,26.56
1903,26.24,26.18,25.76,24.93,22.95,20.27,19.61,21.33,23.57,25.30,25.80,25.69
1904,25.45,25.18,24.55,24.32,21.66,20.45,19.16,20.73,21.99,24.87,26.19,25.29
1905,26.17,25.81,24.74,23.75,21.87,20.97,19.19,21.35,23.76,26.11,26.26,26.52
1906,26.73,25.29,25.09,23.57,22.17,20.00,19.47,20.45,22.78,24.46,25.12,25.83
1907,25.83,25.38,25.28,23.76,21.90,19.68,18.55,19.86,22.56,24.90,25.68,25.93
1908,25.88,25.48,25.33,24.21,21.31,20.35,19.53,21.41,23.44,25.78,26.20,26.20
1909,25.85,25.82,25.24,23.78,21.85,19.60,19.75,21.19,22.79,25.06,25.76,26.33
1910,25.62,25.47,25.06,23.63,21.41,19.63,19.15,20.72,22.42,24.30,25.14,25.69
1911,25.44,25.28,24.67,23.28,21.53,19.02,18.70,20.19,22.08,25.39,26.09,27.23
1912,26.41,26.34,24.84,24.71,23.14,19.72,19.01,20.37,22.98,24.70,27.31,25.80
1913,26.15,26.10,25.11,24.29,22.25,19.61,20.08,21.21,23.24,25.64,26.52,26.74
1914,26.65,25.67,26.09,25.44,22.61,20.50,19.46,20.96,24.15,26.02,26.66,26.55
1915,26.33,25.79,25.30,24.79,21.76,20.28,20.39,21.03,23.29,25.78,26.56,26.40
1916,26.04,26.85,25.98,24.45,21.74,20.29,19.89,20.62,23.45,26.15,26.01,26.15
1917,26.08,26.31,25.68,24.24,22.73,20.64,19.84,20.68,22.65,25.44,26.24,25.24
1918,24.82,25.45,25.08,23.07,21.29,19.39,19.51,19.51,23.33,26.39,26.32,26.16
1919,26.08,25.56,25.38,24.75,20.98,19.93,19.63,20.40,22.85,24.65,25.70,26.22
1920,26.65,26.15,25.26,23.60,22.46,20.05,19.71,20.91,23.99,25.72,26.62,26.58
1921,26.21,26.28,25.90,24.02,21.73,20.56,19.20,20.31,22.79,25.49,25.81,25.89
1922,26.70,25.88,26.49,24.50,22.28,20.74,19.83,22.18,23.52,25.04,26.68,26.72
1923,26.14,25.75,25.43,24.27,22.02,20.34,19.83,20.96,23.19,25.69,27.51,26.28
1924,25.97,25.76,25.95,23.51,22.43,20.48,19.37,20.59,23.08,25.03,26.09,25.66
1925,25.38,25.69,25.41,24.48,21.77,20.40,19.36,20.58,21.98,24.66,26.49,26.94
1926,26.22,27.11,25.71,23.96,22.06,20.07,19.28,20.43,23.14,25.71,26.68,26.35
