Variable:,tas
Country:,Mauritania
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,19.91,23.06,24.95,28.80,30.93,33.84,33.86,33.24,32.35,29.55,24.70,19.78
1902,20.38,23.04,25.40,28.93,31.68,33.37,34.12,33.52,32.35,30.22,26.10,20.38
1903,19.90,23.19,25.90,28.38,31.22,33.28,33.74,32.60,32.06,30.60,25.55,20.29
1904,19.92,22.20,25.26,28.27,31.19,33.35,33.84,33.12,32.53,30.24,25.80,20.83
1905,20.26,21.75,25.37,28.75,31.02,33.35,34.10,32.74,32.32,30.13,25.13,20.89
1906,20.65,21.79,26.16,28.59,31.15,33.45,33.47,32.21,32.40,30.15,25.42,20.03
1907,19.54,21.39,24.62,27.59,30.62,32.57,34.07,32.60,32.45,29.89,24.80,20.44
1908,20.27,22.27,25.54,28.59,31.69,33.62,34.07,32.56,32.68,30.41,25.91,21.47
1909,20.06,22.68,26.32,28.65,31.68,32.97,33.77,32.68,32.22,30.29,25.54,21.10
1910,19.41,22.51,25.65,28.10,31.16,33.32,33.51,32.73,32.62,30.39,26.36,21.08
1911,19.50,22.15,24.55,28.56,30.87,32.80,33.74,32.86,32.76,30.54,25.15,20.82
1912,20.09,23.50,26.24,28.55,31.66,33.66,33.69,32.72,32.42,29.82,25.16,20.73
1913,20.48,22.79,25.01,28.36,30.77,33.71,34.22,33.13,32.32,30.21,25.11,21.02
1914,20.17,21.89,25.86,28.41,31.96,33.19,33.64,32.55,32.03,30.06,25.18,20.27
1915,19.96,21.90,25.36,27.81,31.29,33.26,34.11,32.92,32.32,30.10,25.19,21.05
1916,19.51,21.48,24.77,27.38,30.79,32.99,33.78,32.60,31.74,29.77,24.74,21.01
1917,20.45,21.78,24.79,27.39,30.49,32.58,34.18,32.94,32.01,29.05,23.99,20.58
1918,20.43,21.30,24.02,27.53,30.92,33.71,33.72,32.20,31.88,29.56,24.66,20.93
1919,20.59,23.67,26.31,28.03,31.27,33.67,33.86,33.33,32.52,30.47,26.05,20.75
1920,20.25,21.61,25.01,28.68,30.90,33.20,33.37,32.58,31.97,30.09,25.00,20.98
1921,20.64,22.14,24.92,28.28,31.18,33.28,33.77,33.00,32.36,30.15,24.86,20.38
1922,19.79,22.48,24.85,28.06,31.16,32.65,33.58,32.30,31.44,29.73,25.17,20.40
1923,19.15,22.43,25.27,27.46,31.22,32.87,33.78,33.03,32.48,30.93,25.56,21.96
1924,20.54,21.62,26.18,28.56,31.95,33.03,33.79,32.90,32.40,29.50,25.15,20.17
1925,18.99,22.08,24.82,28.22,31.57,33.11,33.78,32.91,32.13,29.42,25.21,22.35
1926,21.50,23.06,25.50,28.78,31.33,33.67,34.07,33.29,32.85,30.86,24.30,21.05
1927,19.52,21.70,25.99,28.47,31.63,33.01,33.69,32.36,31.92,30.21,25.53,21.00
1928,18.65,21.31,25.70,27.97,31.04,33.83,34.41,32.86,32.35,30.21,24.48,20.20
1929,20.55,22.12,24.73,28.73,29.98,32.64,33.58,32.24,31.69,29.87,24.40,20.26
1930,19.17,21.35,24.31,27.66,30.69,32.58,33.58,32.77,32.70,30.43,26.17,20.86
1931,20.54,22.29,25.64,28.72,31.60,33.03,33.90,33.54,32.03,30.93,25.49,20.79
1932,20.28,22.20,24.91,28.84,31.07,33.58,33.54,32.60,32.18,30.20,25.27,20.27
1933,20.71,23.01,25.69,28.79,32.01,33.16,33.65,32.88,31.70,29.57,23.83,19.16
1934,19.50,22.09,24.63,28.66,31.58,33.51,34.07,32.79,32.93,30.35,25.44,21.38
1935,20.76,21.97,26.25,29.64,31.59,33.85,34.03,32.60,33.15,29.72,25.78,22.71
1936,21.88,23.14,26.15,29.34,30.70,33.47,33.70,32.70,33.00,30.37,25.05,21.40
1937,20.39,23.44,25.94,28.71,31.60,33.77,34.25,33.09,32.54,30.21,26.50,21.78
1938,20.36,23.63,25.87,28.79,32.10,34.35,33.91,33.01,32.15,30.29,25.88,20.65
1939,20.74,21.94,25.31,28.75,31.51,33.78,34.07,32.78,32.64,30.18,25.67,21.48
1940,20.40,22.76,26.26,28.34,31.51,33.84,33.95,33.27,32.54,29.82,25.33,20.76
1941,20.88,23.01,25.54,28.09,31.43,33.23,33.99,33.22,32.45,31.60,25.86,20.45
1942,19.30,21.92,25.66,29.20,32.08,33.67,33.70,32.30,32.68,29.82,25.69,20.62
1943,19.49,22.12,25.32,28.90,32.43,33.63,33.72,32.72,32.13,30.29,24.68,20.18
1944,19.85,22.64,25.12,29.13,32.47,34.04,34.51,33.06,32.51,30.22,26.00,20.17
1945,20.62,22.82,26.11,30.27,31.84,33.84,34.09,32.36,32.43,30.41,26.01,22.14
1946,19.72,22.20,26.04,28.42,31.70,33.49,34.05,32.48,32.46,30.08,25.75,20.39
1947,19.88,22.63,27.14,29.64,31.51,33.61,34.02,32.89,32.60,30.51,25.72,21.18
1948,19.86,22.84,26.44,27.82,31.76,33.24,33.83,32.88,32.54,30.21,25.73,20.78
1949,19.87,22.32,24.62,29.22,31.27,33.66,33.92,33.21,32.42,30.82,25.64,22.01
1950,19.52,22.69,26.52,28.44,31.66,34.31,33.93,31.91,31.69,29.54,25.72,20.42
1951,19.58,22.17,26.01,29.13,31.14,33.83,33.68,32.68,31.84,28.53,25.31,19.85
1952,18.21,21.74,25.93,27.26,31.14,34.36,33.36,32.42,30.99,29.75,25.99,20.36
1953,21.83,22.05,24.31,29.02,32.10,32.53,33.24,32.99,32.04,29.68,26.07,20.63
1954,19.66,20.96,24.98,27.45,32.36,33.01,33.15,31.97,32.12,30.37,25.69,20.73
1955,21.10,23.51,25.85,28.82,32.39,33.27,32.97,32.23,31.85,29.92,26.38,20.82
1956,20.76,22.18,24.48,27.66,31.86,33.34,33.30,32.22,31.35,29.68,25.42,19.58
1957,18.96,22.48,25.73,27.88,30.39,33.21,33.65,32.53,32.22,29.05,25.42,20.63
1958,21.18,23.61,26.33,29.10,32.30,33.23,33.20,32.22,32.48,29.78,25.12,20.33
1959,20.55,21.88,25.50,29.31,31.24,33.77,33.64,32.31,31.94,30.32,25.10,20.14
1960,20.06,23.94,24.92,27.83,31.61,33.16,33.37,33.11,31.83,30.32,25.77,19.08
1961,19.30,22.22,25.79,29.39,32.66,33.09,33.90,32.97,32.34,30.03,25.54,21.39
1962,20.90,22.29,25.19,27.95,31.75,33.14,33.80,32.63,32.31,30.37,25.77,20.59
1963,21.73,23.77,25.58,28.11,30.58,33.41,34.00,32.54,32.22,29.34,25.65,20.04
1964,20.50,23.30,27.04,27.81,32.72,33.07,33.62,32.16,31.54,29.84,25.02,20.91
1965,18.93,22.75,25.76,27.41,31.75,33.45,33.11,32.28,31.40,29.60,25.24,20.03
1966,21.19,23.79,25.66,28.69,31.55,33.69,33.76,33.50,31.89,28.73,24.79,21.31
1967,20.36,22.20,25.15,27.17,31.98,33.10,33.83,32.57,31.40,29.53,25.04,18.76
1968,18.78,22.73,24.34,27.85,30.83,32.91,33.50,32.96,32.52,30.17,25.72,21.86
1969,22.19,25.48,28.14,27.27,32.05,33.38,33.57,32.36,31.76,29.39,25.69,20.97
1970,21.09,24.10,25.92,29.10,31.71,33.93,34.39,32.72,32.39,30.49,25.72,20.64
1971,20.44,22.38,24.93,28.10,29.84,32.99,33.29,32.14,31.73,30.64,24.89,21.03
1972,20.19,21.97,24.57,27.75,30.25,32.18,33.99,33.26,32.19,31.23,25.50,20.16
1973,19.55,22.30,25.99,29.42,33.19,33.54,33.76,32.98,32.90,30.52,26.03,18.72
1974,19.19,22.41,23.50,26.90,31.31,33.60,33.28,32.61,32.13,29.01,25.01,21.07
