Variable:,tas
Country:,Malawi
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.55,23.14,23.52,22.20,20.34,17.97,17.66,19.29,21.42,23.82,24.69,24.03
1902,23.29,23.22,23.17,22.86,20.45,18.95,18.74,20.11,22.40,23.66,24.87,24.29
1903,23.52,23.58,23.36,22.90,21.06,18.81,17.95,19.95,22.85,24.63,24.57,23.58
1904,22.81,22.63,22.24,22.47,19.97,18.87,17.49,19.40,21.03,23.99,24.73,23.19
1905,23.50,23.36,22.58,21.68,20.24,19.53,17.59,19.91,22.58,25.31,25.09,24.31
1906,23.97,22.82,22.69,21.63,20.41,18.29,17.87,18.93,21.59,23.82,24.18,23.91
1907,23.25,22.81,22.99,21.90,20.16,18.04,17.03,18.33,21.36,24.25,24.52,24.12
1908,23.39,22.90,23.09,22.52,19.49,18.61,17.90,19.87,22.13,24.99,25.08,24.20
1909,23.27,23.39,23.15,22.05,20.14,18.02,18.07,19.58,21.65,24.35,24.56,24.21
1910,23.14,23.13,22.97,21.81,19.74,18.15,17.57,19.29,21.34,23.57,24.48,23.90
1911,22.96,22.82,22.59,21.54,20.20,17.60,17.03,18.90,20.86,24.48,24.89,25.16
1912,24.04,23.76,22.70,22.81,21.48,18.22,17.47,18.90,21.95,23.96,26.07,23.55
1913,23.52,23.47,22.91,22.46,20.52,17.85,18.41,19.76,22.20,25.11,25.50,24.52
1914,24.16,23.18,24.16,23.88,21.06,19.13,17.82,19.73,23.03,25.57,25.78,24.57
1915,23.69,23.29,23.21,23.06,20.22,18.94,19.18,19.71,22.44,25.45,25.65,24.72
1916,23.68,24.73,24.08,22.77,20.30,18.77,18.27,19.19,22.39,25.66,24.79,24.25
1917,23.73,24.24,23.60,22.55,21.36,19.24,18.47,19.55,21.65,24.93,25.21,23.20
1918,22.28,22.95,22.89,21.25,19.74,17.75,17.86,17.95,21.99,25.74,25.24,24.25
1919,23.56,23.05,23.25,22.98,19.34,18.31,17.96,18.90,21.76,23.70,24.62,24.37
1920,24.23,23.83,23.21,21.84,21.00,18.71,18.12,19.47,23.05,25.41,25.53,24.84
1921,23.93,23.95,23.85,22.38,20.27,19.01,17.80,18.90,21.72,24.89,24.72,24.00
1922,24.34,23.47,24.64,22.90,20.99,19.37,18.21,20.99,22.54,24.32,25.65,24.87
1923,23.74,23.29,23.25,22.59,20.48,18.90,18.18,19.48,21.94,24.87,26.47,24.47
1924,23.32,23.62,24.04,21.72,21.00,19.16,17.95,19.27,22.12,24.42,25.04,23.77
1925,22.81,23.03,23.26,22.76,20.34,18.99,17.86,19.05,20.67,23.86,25.42,25.04
1926,23.57,24.32,23.47,22.21,20.49,18.54,17.87,19.08,22.20,24.92,25.44,24.29
1927,23.63,23.41,22.84,22.30,20.04,17.92,18.16,19.18,21.75,24.56,24.94,24.37
1928,23.96,23.63,23.78,22.36,19.85,19.33,17.58,19.16,22.62,25.41,25.72,24.33
1929,23.30,23.27,22.93,21.91,20.60,19.00,18.45,18.86,22.87,25.73,26.10,23.88
1930,23.07,23.36,23.30,22.39,19.60,17.95,17.64,19.05,21.91,24.25,25.49,24.56
1931,23.54,24.10,23.61,22.62,21.45,18.48,18.66,20.37,22.57,25.37,24.66,23.82
1932,23.55,23.47,22.97,22.33,19.94,18.23,17.53,18.83,22.80,24.80,25.13,23.89
1933,23.02,23.06,23.31,22.02,20.24,19.06,18.38,19.21,21.08,24.50,25.10,23.37
1934,23.33,23.02,23.08,22.39,20.97,18.86,18.68,20.06,21.42,24.28,24.40,23.49
1935,23.16,22.15,22.84,21.29,20.43,17.87,17.79,17.98,22.58,25.08,24.65,23.76
1936,23.23,23.43,22.90,21.69,20.45,18.32,18.18,18.91,21.21,24.64,25.29,23.67
1937,23.62,23.51,23.22,22.07,20.23,18.62,17.56,18.72,22.09,24.25,25.52,23.82
1938,23.54,23.22,22.84,22.88,20.60,18.63,18.44,19.41,22.21,25.17,24.81,23.82
1939,23.05,23.67,22.38,21.58,20.44,17.70,17.80,19.67,21.25,24.57,24.45,23.73
1940,23.12,23.10,23.39,22.34,20.37,18.92,17.59,19.63,22.90,23.57,25.04,25.05
1941,23.49,24.00,23.22,23.19,21.08,18.99,18.17,19.68,22.62,25.40,25.45,24.42
1942,24.31,24.10,24.05,22.34,20.49,19.66,18.18,20.17,22.39,23.70,24.28,24.18
1943,23.40,22.78,22.89,22.52,20.17,18.12,18.18,19.81,21.49,24.78,25.42,24.21
1944,24.07,23.48,22.65,22.14,19.99,19.09,18.62,19.84,22.18,24.93,24.98,24.15
1945,23.09,23.30,23.35,22.12,20.13,17.26,17.55,18.90,21.24,25.27,24.70,24.28
1946,23.93,23.72,23.25,22.25,20.24,17.97,17.41,18.55,22.00,25.15,24.60,24.31
1947,23.83,23.78,23.07,22.94,20.02,18.40,18.11,19.13,21.92,24.58,25.64,24.14
1948,23.64,23.58,23.55,22.63,20.69,18.60,18.26,19.41,21.55,24.93,25.04,24.71
1949,24.36,23.32,23.41,22.54,20.80,18.59,18.66,20.27,22.64,24.77,25.97,24.69
1950,23.22,23.36,23.28,22.66,19.37,18.24,18.52,19.09,21.66,23.43,24.47,24.59
1951,22.70,22.83,23.29,22.78,20.66,18.19,17.72,19.75,22.11,25.13,24.87,24.02
1952,23.90,23.44,23.31,22.51,20.15,18.53,18.28,20.06,22.29,24.70,24.17,24.39
1953,23.68,23.78,23.09,22.73,20.41,18.03,17.69,19.59,20.57,24.72,26.24,24.16
1954,23.56,23.78,23.00,22.37,21.03,17.61,17.98,19.77,22.10,25.35,24.57,24.20
1955,23.40,23.33,22.69,21.93,19.90,18.15,18.45,19.33,21.65,24.79,25.60,23.94
1956,22.74,23.24,23.28,21.92,20.44,18.39,17.47,19.92,21.24,24.18,24.25,23.27
1957,23.09,23.33,23.15,22.56,19.99,18.15,18.65,20.07,23.08,25.43,26.65,24.07
1958,23.98,23.50,23.22,23.14,20.56,18.47,17.50,19.10,22.92,24.76,25.90,24.77
1959,23.82,23.38,23.29,22.71,21.78,19.06,18.88,19.84,21.65,24.40,24.77,24.32
1960,23.30,23.29,22.61,22.08,20.42,19.05,17.50,20.04,21.97,24.83,25.12,24.88
1961,23.43,23.15,23.37,23.06,21.65,19.29,18.53,18.81,22.22,25.06,23.98,23.61
1962,22.82,23.21,22.81,22.38,18.86,18.67,18.20,19.98,21.89,24.62,24.82,23.46
1963,22.80,22.56,22.27,21.51,19.11,17.58,18.42,19.24,21.89,24.86,23.87,23.74
1964,23.15,23.53,23.70,22.18,19.57,18.26,16.84,19.11,21.25,24.72,24.62,23.31
