Variable:,tas
Country:,Namibia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.93,23.44,22.25,20.32,16.79,14.40,13.94,16.04,18.87,21.30,22.70,23.70
1902,23.66,23.38,22.27,20.06,17.06,14.19,14.13,15.81,18.89,21.34,22.47,23.88
1903,23.96,23.39,22.33,20.06,16.84,14.12,14.00,15.80,19.01,21.15,22.55,23.73
1904,23.73,23.22,22.18,20.08,16.78,14.35,14.12,15.75,18.86,21.28,22.73,23.43
1905,23.96,23.30,22.22,20.29,16.80,14.21,14.17,15.66,19.07,21.53,22.75,23.81
1906,24.00,23.27,22.28,19.98,16.91,14.40,13.82,15.45,18.97,21.12,22.64,23.51
1907,23.78,23.21,22.33,19.97,16.59,14.27,13.93,15.75,19.00,21.20,22.49,23.46
1908,23.75,23.35,22.29,19.68,16.96,14.31,14.06,15.87,19.14,21.38,22.62,23.81
1909,23.90,23.25,22.09,20.12,16.87,14.47,14.09,15.93,19.14,21.23,22.86,23.52
1910,23.93,23.32,22.38,20.19,16.88,14.24,14.02,15.75,19.02,21.21,22.36,23.80
1911,23.92,23.52,22.16,20.07,16.79,14.15,13.87,15.67,18.90,21.62,22.81,24.05
1912,24.11,23.35,22.33,20.25,17.06,14.28,14.03,15.82,18.70,21.52,22.98,23.90
1913,24.16,23.47,22.36,20.12,16.96,14.42,13.96,16.06,18.93,21.33,22.81,23.87
1914,24.21,23.46,22.48,20.21,17.09,14.28,14.02,15.66,19.29,21.71,22.64,23.64
1915,24.20,23.54,22.42,19.99,16.87,14.38,13.77,15.91,19.00,21.39,22.79,23.86
1916,24.01,23.69,22.34,20.24,16.58,14.22,14.12,15.63,19.04,21.60,22.83,23.81
1917,24.00,23.46,22.30,20.10,16.74,14.27,13.94,15.55,18.95,21.52,22.64,23.65
1918,23.63,23.41,22.08,19.87,16.49,14.36,14.18,15.35,19.05,21.43,22.52,23.63
1919,23.90,23.47,22.31,20.48,16.56,14.44,14.19,15.76,18.80,21.38,22.64,23.80
1920,24.38,23.33,22.10,20.10,16.91,14.16,14.22,15.81,19.03,21.18,23.03,24.02
1921,24.07,23.48,22.36,20.15,16.84,14.33,13.71,15.57,18.92,21.38,22.55,23.57
1922,24.35,23.62,22.72,20.49,17.03,14.63,14.29,15.98,19.17,21.03,22.77,24.10
1923,23.81,23.34,22.38,19.97,16.80,14.60,14.08,16.15,18.90,21.78,23.14,24.14
1924,24.49,23.44,22.34,20.04,16.80,14.41,13.84,15.58,18.98,21.22,22.49,23.57
1925,23.80,23.37,22.16,20.21,16.62,14.23,13.88,15.76,18.62,21.21,22.86,24.08
1926,24.55,23.72,22.34,20.31,16.89,14.35,13.53,15.51,18.88,21.25,22.65,23.76
1927,24.41,23.62,22.42,20.41,16.74,14.34,14.08,15.67,19.17,21.41,23.02,23.92
1928,24.12,23.69,22.59,20.34,16.81,14.59,13.92,15.73,19.24,21.73,23.03,24.03
1929,24.21,23.62,22.20,20.03,17.10,14.73,14.00,15.74,19.24,21.84,23.09,23.72
1930,23.98,23.59,22.36,20.09,16.71,14.33,14.04,15.62,18.67,21.60,23.25,24.03
1931,24.83,24.73,23.22,19.50,18.55,15.30,13.35,15.91,18.75,20.64,23.26,23.68
1932,24.01,23.57,22.84,22.29,17.46,14.30,13.06,16.24,18.00,21.74,23.25,24.06
1933,24.64,24.40,23.39,21.25,17.73,14.26,14.08,16.03,19.11,22.29,22.31,23.94
1934,23.59,22.66,21.84,21.06,17.97,15.94,13.86,16.38,19.19,20.47,22.29,23.56
1935,24.18,23.30,21.67,19.86,16.36,13.68,14.16,14.80,18.12,22.59,22.18,23.67
1936,23.19,22.86,21.91,21.03,15.93,15.49,14.56,16.83,18.69,20.91,22.35,23.50
1937,23.92,23.29,22.27,20.60,17.34,14.00,13.13,16.68,18.20,21.72,23.31,23.56
1938,24.07,23.49,22.95,20.12,17.35,15.06,14.20,15.63,18.10,21.34,21.38,23.40
1939,24.13,22.81,22.08,19.77,17.19,14.95,14.48,15.29,18.70,21.42,22.62,23.81
1940,24.26,23.69,22.43,19.81,16.81,14.83,14.25,17.11,18.61,22.09,22.22,24.57
1941,24.36,23.87,23.25,20.89,17.99,15.11,14.99,16.86,18.06,22.34,22.61,23.69
1942,24.54,24.79,22.86,20.59,16.99,14.70,14.70,16.18,19.25,20.81,23.20,23.37
1943,23.85,23.11,22.86,20.19,16.88,14.42,13.69,14.71,18.70,21.96,22.24,23.39
1944,24.43,23.61,22.87,21.00,16.08,13.84,14.46,16.70,18.36,22.72,23.21,24.16
1945,24.78,25.24,22.67,21.58,16.85,13.92,14.36,17.05,20.93,21.06,23.59,23.72
1946,24.10,24.17,22.56,21.05,17.48,14.86,14.34,15.93,19.23,21.29,23.27,24.53
1947,24.57,25.08,22.88,20.85,17.55,14.52,12.70,16.61,18.70,22.11,23.42,23.72
