Variable:,tas
Country:,Niger
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,18.63,21.69,25.87,30.43,32.85,33.07,31.56,30.73,30.89,28.65,23.85,19.78
1902,18.69,21.64,25.97,30.64,33.10,32.84,31.56,30.75,30.86,28.41,23.85,20.02
1903,18.93,21.74,26.05,30.52,33.06,33.07,31.55,30.73,30.89,28.65,23.85,20.02
1904,18.93,21.74,26.05,30.52,33.06,33.07,31.56,30.73,30.89,28.65,23.85,20.02
1905,18.41,20.60,25.44,30.43,33.02,32.79,31.59,30.46,30.86,28.61,24.28,20.37
1906,18.54,21.47,26.10,31.36,33.13,33.27,31.40,30.45,31.32,28.84,24.03,20.41
1907,18.84,20.89,25.60,30.26,33.39,33.00,31.79,30.62,31.04,29.35,23.93,19.54
1908,18.79,21.34,25.78,30.71,33.52,33.44,31.84,30.50,30.98,28.53,23.54,19.70
1909,18.86,22.13,26.93,30.48,32.89,32.41,31.07,29.96,30.89,28.13,23.96,20.02
1910,18.37,21.84,25.88,30.37,33.18,33.67,31.87,30.82,31.12,28.53,23.85,20.02
1911,18.72,21.52,25.88,30.47,32.86,32.89,31.57,30.66,30.84,28.54,23.89,19.58
1912,18.95,21.64,25.85,30.85,33.10,33.10,31.91,30.92,31.22,28.57,23.48,19.96
1913,19.04,21.72,25.21,30.34,33.33,33.76,32.32,31.49,31.68,28.58,23.53,19.82
1914,19.84,21.50,25.63,30.36,33.63,33.75,32.11,30.74,31.15,28.88,24.56,19.97
1915,18.61,21.49,26.16,30.33,33.03,32.87,31.57,30.71,30.80,28.47,23.71,19.83
1916,18.58,21.34,25.97,30.28,32.87,32.90,31.59,30.54,30.63,28.37,23.47,20.02
1917,18.93,21.74,25.73,30.30,32.80,32.88,31.56,30.73,30.66,28.40,23.37,19.92
1918,18.75,21.22,25.57,30.33,32.86,33.07,31.56,30.45,30.63,28.52,23.68,20.02
1919,18.93,21.74,26.06,30.52,33.06,33.07,31.56,30.73,30.89,28.65,23.86,20.02
1920,18.93,21.74,26.05,30.52,33.08,33.07,31.56,30.73,30.89,28.65,23.85,20.02
1921,18.90,21.74,26.05,30.52,33.08,33.07,31.56,30.73,30.89,28.65,23.85,20.02
1922,18.93,21.74,26.05,30.52,33.07,33.07,31.56,30.47,30.58,28.45,23.69,19.88
1923,20.20,21.47,26.89,30.71,33.27,33.30,31.04,29.77,30.86,29.01,24.75,21.06
1924,19.58,24.10,27.97,31.24,33.69,32.99,30.63,29.69,29.73,28.77,23.68,19.53
1925,15.99,20.23,26.93,30.68,32.80,32.26,31.38,29.93,30.83,27.82,24.55,20.13
1926,19.50,21.42,25.32,29.56,33.15,33.20,32.88,31.34,31.66,29.08,25.03,20.94
1927,18.74,22.04,26.80,30.21,34.02,33.21,31.65,29.58,31.42,29.72,24.92,21.67
1928,19.69,21.08,27.22,30.32,33.36,32.46,32.37,29.11,31.28,29.22,24.69,19.74
1929,18.05,22.06,26.61,30.27,33.97,32.50,30.37,29.53,31.17,29.28,25.49,18.54
1930,19.00,23.93,26.85,32.04,33.73,33.44,31.27,30.67,31.79,29.53,25.87,23.29
1931,20.65,23.30,27.76,32.73,34.30,33.09,32.10,31.15,30.69,29.91,26.03,22.46
1932,18.72,22.32,27.59,31.18,33.30,33.43,31.34,30.35,31.07,27.78,25.20,20.83
1933,19.75,22.02,25.73,30.96,32.02,32.24,31.67,30.52,31.10,27.57,25.84,21.28
1934,18.20,20.83,26.70,31.52,33.30,33.21,31.82,30.06,31.69,30.53,26.31,20.92
1935,19.97,22.50,27.71,30.60,33.96,32.87,32.01,30.40,30.96,29.31,26.10,21.55
1936,18.78,23.56,28.83,31.44,34.19,33.29,30.16,29.29,29.74,28.64,25.66,20.51
1937,18.86,22.09,27.22,30.99,33.60,33.92,31.75,30.78,31.35,30.38,25.43,21.60
1938,19.91,22.89,26.29,32.08,34.96,34.69,32.23,30.56,31.32,29.71,26.45,22.67
1939,20.31,23.02,27.61,30.02,33.39,33.41,32.13,30.96,30.90,29.53,24.93,21.98
1940,18.94,21.74,26.05,30.52,33.08,33.07,31.56,30.73,30.89,28.65,23.85,20.02
1941,21.67,22.29,27.91,32.31,34.15,33.09,31.95,31.32,31.58,29.29,24.94,21.09
1942,20.38,23.45,26.57,30.95,32.72,33.93,31.87,30.14,31.89,29.12,25.18,21.13
1943,19.52,21.84,25.91,29.63,32.15,32.65,31.59,29.93,30.16,29.14,25.73,21.25
1944,17.65,21.45,25.89,29.63,32.86,33.66,32.00,30.29,30.63,29.18,24.61,21.48
1945,20.34,20.57,24.29,29.19,31.69,32.70,31.98,30.14,30.46,28.31,24.40,19.14
1946,20.11,21.80,26.29,30.24,32.75,32.52,30.97,29.67,30.10,28.36,24.90,19.59
1947,18.89,24.96,25.80,29.56,32.96,32.90,31.96,30.47,30.62,28.62,23.90,20.79
1948,18.53,21.77,23.82,29.92,33.40,32.09,31.50,30.36,30.69,27.91,23.09,19.22
1949,18.82,20.96,26.72,30.42,32.99,33.03,31.63,30.09,30.45,29.10,24.76,20.46
1950,19.27,20.32,24.89,28.63,32.22,32.66,30.74,29.08,30.00,28.28,23.56,19.97
1951,19.96,22.24,27.31,29.47,33.27,33.12,31.84,30.83,30.40,29.04,23.54,18.33
1952,19.77,20.61,25.24,30.28,33.15,32.84,31.42,29.23,29.41,28.15,23.54,19.48
1953,19.50,22.66,26.77,28.44,32.29,31.79,30.43,29.77,30.28,28.45,24.27,18.60
1954,19.08,22.75,26.84,30.75,32.10,31.97,30.44,28.87,29.66,28.00,24.76,20.08
1955,20.08,22.29,26.34,29.82,32.09,31.83,31.12,30.07,30.12,28.55,23.75,19.44
1956,18.65,24.25,27.18,29.59,32.42,32.59,30.62,29.37,29.64,26.76,24.64,19.60
1957,18.15,20.50,24.72,29.64,32.10,32.25,30.72,30.38,30.46,28.93,25.59,21.55
1958,20.59,20.96,26.37,31.12,32.15,32.57,30.22,29.66,30.21,27.95,25.36,21.79
1959,19.29,21.31,26.15,30.12,33.23,33.11,31.70,29.33,29.78,27.53,24.23,19.55
1960,18.93,21.57,25.83,30.18,31.96,32.92,30.64,30.80,30.51,28.75,23.65,22.26
1961,19.52,19.02,24.24,29.62,32.67,33.17,30.67,29.55,29.72,27.42,23.15,17.83
1962,17.85,20.80,26.44,30.22,32.50,32.20,31.14,29.56,30.50,29.06,25.38,20.75
1963,20.35,24.27,25.11,30.05,32.47,32.83,31.31,30.75,31.47,28.85,23.06,20.49
1964,19.69,21.01,26.84,30.98,32.45,32.57,31.17,29.94,30.02,28.07,23.00,21.27
1965,20.89,22.65,24.78,28.95,32.26,32.15,31.28,29.69,30.45,28.83,22.47,18.47
1966,19.34,20.63,25.29,30.08,32.28,32.45,32.27,30.78,30.48,28.78,24.26,19.99
1967,17.26,21.95,25.02,31.23,32.83,32.64,31.16,29.86,30.00,27.49,23.19,21.11
1968,18.30,22.27,26.17,29.55,31.78,31.93,30.98,31.46,31.06,28.36,23.98,21.39
1969,19.07,23.46,28.30,31.24,32.97,33.60,31.37,30.86,31.35,29.41,24.34,22.00
1970,20.97,21.68,25.45,29.92,32.92,33.42,31.72,30.49,30.34,28.18,23.09,19.33
1971,17.98,22.63,28.04,30.21,33.27,33.15,31.40,29.64,30.26,27.65,23.52,20.00
1972,19.18,22.56,26.96,30.36,32.77,32.59,32.66,31.73,32.00,29.52,22.68,20.51
1973,19.95,22.94,25.81,30.88,33.08,34.11,31.99,30.86,31.41,29.00,22.94,21.30
1974,18.17,21.44,26.58,31.37,32.74,33.31,30.68,30.10,30.33,28.63,23.21,18.10
1975,16.54,21.18,25.87,31.22,32.97,33.17,30.72,30.39,29.92,27.89,24.43,20.49
1976,18.70,23.20,24.76,29.87,33.14,32.36,31.64,30.64,30.56,29.05,24.43,20.59
1977,19.92,20.96,24.07,29.22,32.90,33.34,31.66,30.17,30.70,28.14,22.93,18.71
1978,18.97,22.63,26.51,31.34,33.39,32.18,30.39,30.63,30.31,29.02,23.54,20.43
1979,20.26,22.05,27.34,29.74,32.94,32.44,31.42,31.00,31.29,29.52,25.31,18.91
1980,20.50,22.26,26.21,30.75,33.86,32.89,31.01,30.44,31.14,29.25,24.74,18.52
1981,16.75,21.58,26.41,31.09,33.25,32.94,31.21,31.28,31.27,29.19,22.64,20.18
1982,19.11,20.88,26.12,31.58,33.04,33.42,32.43,30.45,31.42,29.37,22.48,19.97
1983,15.69,22.45,23.80,30.59,34.52,33.43,32.50,31.61,31.30,27.81,24.23,20.71
1984,18.01,21.02,27.18,31.33,34.10,33.43,32.25,32.88,31.96,29.38,24.68,18.75
