Variable:,tas
Country:,Nigeria
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.35,26.79,28.61,29.87,28.56,27.17,25.91,25.22,25.83,26.86,25.92,24.60
1902,24.55,26.83,29.10,29.93,29.05,27.42,25.95,25.62,26.16,26.82,25.92,24.63
1903,24.66,27.00,29.19,29.97,29.01,27.34,25.97,25.60,26.22,26.86,25.92,24.63
1904,24.58,26.88,29.04,29.92,28.97,27.41,25.86,25.46,26.22,26.86,25.92,24.63
1905,24.07,25.89,28.60,29.88,29.09,27.09,25.97,25.39,26.14,26.76,26.50,25.17
1906,24.08,26.91,29.34,31.07,29.11,27.73,25.87,25.39,26.79,27.20,26.26,25.27
1907,24.51,26.13,28.88,29.87,29.55,27.42,26.26,25.61,26.36,27.66,26.00,24.04
1908,24.39,26.56,28.95,30.24,29.70,27.69,26.30,25.21,26.21,26.74,25.56,24.27
1909,24.51,27.43,30.11,30.06,28.84,26.93,25.62,24.67,26.29,26.27,26.04,24.63
1910,24.03,27.15,28.87,29.85,29.20,28.28,26.42,25.68,26.43,26.78,25.48,24.37
1911,24.30,26.81,29.23,30.04,28.99,27.49,26.08,25.59,26.15,26.84,26.16,24.28
1912,24.75,26.96,29.13,30.56,29.27,27.67,26.23,25.67,26.32,26.68,25.36,24.55
1913,24.68,26.94,28.28,29.76,29.38,28.16,26.75,26.44,27.07,26.85,25.87,24.60
1914,25.61,26.75,28.85,29.94,29.73,28.17,26.62,25.76,26.69,27.31,27.02,24.79
1915,24.54,26.95,29.20,29.98,29.04,27.42,25.97,25.55,26.12,26.83,25.90,24.60
1916,24.53,26.93,29.18,29.97,29.01,27.43,25.98,25.52,26.10,26.82,25.86,24.63
1917,24.58,26.99,29.14,29.98,29.00,27.42,25.97,25.55,26.10,26.82,25.85,24.62
1918,24.56,26.91,29.12,29.98,29.01,27.45,25.97,25.51,26.10,26.84,25.90,24.63
1919,24.58,26.99,29.19,30.01,29.04,27.45,25.97,25.55,26.13,26.86,25.92,24.63
1920,24.60,26.99,29.19,30.01,29.13,27.45,25.97,25.55,26.13,26.86,25.92,24.63
1921,24.44,26.99,29.19,30.01,29.18,27.45,25.97,25.55,26.13,26.86,25.92,24.63
1922,24.58,26.99,29.19,30.01,29.06,27.45,25.97,25.51,26.09,26.83,25.90,24.61
1923,25.93,26.66,29.83,29.97,29.19,27.67,25.37,24.59,26.16,27.24,26.61,25.64
1924,25.08,29.01,30.88,30.55,29.64,27.41,25.04,24.52,24.91,26.87,25.59,24.16
1925,21.66,25.44,29.87,30.10,28.69,26.47,25.63,24.63,25.95,26.02,26.53,24.55
1926,25.02,26.72,28.53,29.12,28.76,27.21,26.54,26.20,27.21,27.54,26.96,25.61
1927,24.21,27.29,29.06,29.74,29.65,27.58,25.96,24.62,26.68,27.21,26.59,25.82
1928,24.98,25.88,29.86,29.47,28.82,26.83,26.32,24.12,26.30,27.01,26.31,24.20
1929,23.72,26.86,29.18,29.59,29.41,26.61,25.04,24.32,25.86,26.64,26.29,22.88
1930,24.48,28.58,29.44,30.58,29.32,27.50,25.87,25.71,26.85,27.29,27.17,27.39
1931,25.72,28.28,30.28,31.74,29.84,27.52,26.39,25.85,25.79,27.84,27.55,26.76
1932,24.36,27.56,30.33,31.01,29.35,27.63,25.79,25.65,26.43,27.28,27.63,25.82
1933,25.63,27.54,29.27,30.65,28.38,26.79,25.94,25.34,26.46,26.26,27.61,25.74
1934,24.45,26.70,29.98,31.02,29.42,27.70,26.31,25.31,26.83,27.75,28.18,25.63
1935,25.75,28.03,31.17,30.58,29.84,27.09,26.29,25.23,26.17,27.17,27.41,25.96
1936,24.30,28.20,31.50,30.46,29.34,27.25,24.94,24.10,25.25,26.92,27.25,24.66
1937,24.48,27.34,30.39,30.53,29.65,28.34,26.21,25.59,26.61,28.61,27.54,26.26
1938,25.60,28.18,29.41,31.59,30.97,29.10,26.67,25.39,26.60,27.96,28.56,27.23
1939,25.81,28.25,30.76,29.48,29.36,27.82,26.57,25.77,26.15,27.73,27.01,26.60
1940,24.68,26.99,29.19,30.01,29.11,27.45,25.97,25.55,26.13,26.86,25.92,24.63
1941,26.73,27.28,30.74,31.54,30.18,27.84,26.28,26.17,26.94,27.82,27.21,25.78
