Variable:,tas
Country:,Sudan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,21.16,24.36,26.59,29.22,31.53,31.03,31.43,30.34,30.47,29.07,25.19,22.35
1902,19.40,24.00,26.35,29.23,31.52,31.75,30.06,30.77,29.65,27.55,23.80,20.08
1903,18.64,19.96,23.59,28.87,30.52,31.62,30.86,30.52,28.94,27.86,25.07,22.66
1904,21.08,22.50,25.49,28.26,30.69,31.50,30.29,30.99,29.51,28.21,23.85,20.29
1905,20.39,20.84,24.19,27.81,30.36,31.98,30.86,30.15,29.89,28.63,25.85,21.20
1906,20.62,23.50,25.22,28.50,31.84,32.33,30.71,29.75,29.26,28.47,24.85,22.58
1907,21.65,23.33,25.47,28.91,30.71,31.49,29.90,28.52,29.53,28.45,23.96,20.91
1908,20.29,21.99,26.29,29.56,30.79,31.52,29.43,29.59,29.59,28.61,24.37,21.20
1909,20.78,23.44,27.01,28.42,31.57,31.50,30.02,29.63,29.16,28.73,25.69,22.10
1910,20.13,22.89,23.51,29.20,31.34,31.65,30.01,29.60,29.11,27.97,24.13,20.40
1911,21.84,21.14,24.93,28.40,30.23,31.52,30.36,29.77,29.58,28.49,24.92,20.72
1912,19.75,21.92,24.92,27.98,31.05,31.45,30.23,29.20,29.66,27.89,24.88,20.65
1913,20.11,21.55,22.74,28.75,30.23,30.52,30.81,29.80,30.23,28.15,23.06,19.99
1914,22.29,22.34,26.42,27.70,30.76,32.03,30.04,29.30,29.45,28.13,25.55,21.91
1915,22.09,23.38,25.91,28.76,30.79,31.75,30.93,29.97,29.66,28.75,25.74,21.75
1916,18.43,22.50,25.89,29.38,30.57,31.18,29.75,29.04,28.79,27.10,25.27,21.16
1917,20.55,22.40,25.18,28.19,29.56,30.56,30.77,29.52,28.43,26.66,25.22,20.96
1918,19.18,21.42,25.12,27.60,30.43,31.28,31.11,29.41,30.15,28.99,25.60,22.35
1919,23.72,24.12,26.86,28.26,31.36,31.00,30.49,30.40,30.04,29.15,24.98,21.54
1920,20.06,20.41,23.99,28.17,29.84,31.14,29.84,28.35,28.25,28.03,24.51,20.81
1921,19.79,20.48,23.32,30.16,30.62,31.56,30.69,29.02,28.90,28.23,24.87,23.48
1922,21.37,22.11,24.29,29.08,30.12,31.79,29.09,27.93,28.43,28.23,26.00,21.37
1923,22.84,21.31,25.85,28.26,30.12,31.36,29.48,28.60,29.49,27.99,24.43,21.44
1924,21.64,23.60,27.40,29.54,30.10,31.75,30.18,29.22,28.71,28.46,24.60,22.40
1925,18.02,20.08,26.72,29.14,30.97,31.36,30.60,29.68,30.50,28.99,25.79,22.65
1926,20.08,22.05,24.56,28.37,32.33,32.18,30.36,30.69,30.22,28.59,24.39,21.92
1927,22.10,21.84,25.56,27.70,31.34,31.95,30.23,29.82,29.45,30.25,25.74,24.05
1928,24.17,23.08,27.61,29.78,31.63,31.87,30.84,29.62,30.58,28.77,24.81,22.89
1929,21.07,23.77,25.91,29.49,31.54,31.48,28.40,28.84,29.37,28.26,25.25,19.84
1930,18.98,23.13,24.71,28.59,31.05,30.80,29.73,29.49,30.15,28.86,24.11,23.00
1931,22.10,24.03,25.75,29.03,30.64,31.78,30.60,29.45,29.63,29.20,25.44,22.20
1932,21.12,23.11,26.01,29.20,30.18,31.67,30.25,29.36,29.46,29.37,25.43,21.41
1933,22.81,24.63,27.24,28.20,31.33,31.96,30.33,29.12,29.08,28.68,27.03,23.47
1934,21.56,21.26,26.54,29.49,31.23,30.85,29.96,29.48,29.74,29.63,26.07,21.47
1935,22.52,22.33,27.57,28.30,30.87,31.67,30.84,28.52,29.53,29.45,24.57,22.80
1936,20.86,23.68,27.52,30.05,32.85,31.66,30.16,29.26,29.30,29.72,26.85,22.97
1937,19.79,24.00,26.02,29.14,31.36,31.61,30.39,29.54,30.26,29.93,25.23,23.95
1938,22.54,24.35,24.59,31.34,31.71,30.59,29.30,28.65,29.08,28.84,25.80,23.72
1939,22.15,23.73,26.81,29.72,32.08,31.96,30.55,29.81,29.52,29.45,25.34,23.76
1940,22.27,23.28,24.51,29.92,31.51,32.80,30.47,29.85,30.64,29.81,25.00,23.68
1941,21.60,23.61,25.79,29.44,30.69,31.32,30.56,29.32,29.58,28.16,24.84,20.93
1942,21.06,24.24,25.70,28.84,30.64,31.61,28.84,28.65,29.03,28.04,25.12,22.20
1943,20.38,20.52,23.95,26.40,30.39,30.06,29.29,28.28,28.68,27.93,25.53,22.79
1944,20.61,21.94,26.34,28.27,29.85,31.30,29.17,29.21,28.86,28.59,23.46,20.95
1945,21.30,20.25,24.43,28.24,29.73,30.58,30.04,28.70,28.65,27.44,24.59,21.26
1946,21.29,22.22,24.66,27.93,30.36,30.21,28.85,27.90,28.76,27.84,24.86,21.75
1947,20.08,22.59,24.50,28.63,30.37,31.22,30.12,29.08,28.74,28.44,24.17,22.84
1948,20.16,21.51,23.64,28.82,30.62,30.23,30.19,28.86,28.98,27.16,23.71,20.22
1949,19.97,20.03,25.30,27.39,30.79,30.65,29.73,28.76,28.26,28.24,24.81,19.09
1950,20.18,21.15,24.97,29.05,30.70,31.10,28.12,27.85,28.40,27.55,24.58,21.99
1951,20.96,20.97,25.44,27.11,30.81,30.82,30.00,29.27,28.96,28.59,23.76,17.87
1952,21.39,22.55,24.60,28.70,31.18,31.21,30.16,27.97,28.44,27.81,24.62,23.22
1953,22.20,23.34,25.41,27.89,31.38,30.86,28.63,28.01,28.24,27.52,23.58,18.87
1954,20.12,23.77,26.12,28.59,30.65,30.77,28.68,27.81,27.90,27.38,25.26,20.75
1955,20.60,22.92,26.37,29.28,30.72,30.65,29.76,28.75,28.23,28.08,24.16,20.01
1956,19.25,23.98,26.80,28.11,30.18,30.72,28.59,27.78,28.18,26.72,25.17,21.14
1957,19.57,20.10,25.20,27.57,30.43,31.04,29.79,28.85,29.44,28.70,25.70,22.41
1958,20.81,20.85,26.06,30.77,31.13,30.50,28.97,28.84,29.10,27.97,25.74,22.93
1959,20.40,19.79,24.78,29.18,31.16,31.42,29.19,27.56,28.06,26.98,24.77,21.62
1960,20.05,23.14,24.79,29.30,30.57,31.51,29.70,29.62,28.92,28.45,24.13,24.24
1961,22.20,20.37,24.58,28.42,30.87,31.04,28.30,27.64,27.92,27.06,23.08,19.45
1962,19.25,21.96,26.87,28.45,30.77,31.08,29.69,28.41,28.40,28.19,25.96,21.96
1963,22.08,23.44,25.16,28.69,30.65,31.60,29.63,29.05,29.49,28.57,24.57,21.24
