Variable:,tas
Country:,"Sierra Leone"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.95,28.42,28.79,28.43,27.02,26.52,25.52,25.30,26.19,26.23,25.91,25.96
1902,26.31,27.80,28.07,28.10,27.50,27.17,25.82,25.76,25.51,26.64,26.68,25.13
1903,25.41,27.66,28.38,28.04,27.27,26.10,25.08,24.59,25.46,26.70,26.27,25.30
1904,24.92,26.52,27.64,27.60,27.18,26.33,24.95,24.81,25.85,26.31,26.45,25.61
1905,25.63,27.12,28.24,28.41,27.35,25.75,25.31,25.03,25.61,25.97,26.09,25.97
1906,26.08,27.47,29.29,28.59,27.12,25.99,24.76,24.66,25.55,26.00,26.21,24.70
1907,25.05,26.91,28.17,27.75,26.69,25.55,24.88,24.58,25.41,25.81,26.25,25.54
1908,25.79,27.19,28.38,28.33,27.32,26.37,25.29,24.73,25.69,26.19,26.40,25.85
1909,25.28,27.43,28.71,27.83,26.73,25.55,25.23,25.03,25.74,26.29,26.28,25.53
1910,24.54,27.86,28.65,28.47,27.52,26.72,24.90,24.79,26.01,26.36,26.82,26.06
1911,25.24,27.35,27.66,28.29,26.56,25.47,25.15,24.69,25.88,26.44,26.33,25.65
1912,25.63,28.02,29.05,28.47,27.71,26.71,25.44,25.03,25.75,26.34,26.53,25.77
1913,25.91,27.19,27.54,28.03,26.55,26.96,25.32,24.98,25.64,26.27,26.67,25.86
1914,25.67,26.88,28.09,28.10,27.54,25.92,25.05,24.56,25.45,26.30,26.15,25.44
1915,25.93,27.36,27.75,28.23,26.87,27.12,25.61,25.13,25.95,27.10,26.66,26.54
1916,25.97,27.38,27.61,27.09,26.74,26.17,24.64,25.03,25.55,26.45,26.14,25.42
1917,26.28,26.63,28.21,27.89,27.04,26.21,25.91,24.90,25.45,26.17,25.73,25.45
1918,25.92,27.64,28.08,27.49,27.18,26.21,24.69,24.59,26.18,26.26,26.21,25.10
1919,25.87,28.20,28.00,26.95,26.16,26.21,24.77,24.85,25.31,26.23,26.99,26.01
1920,25.97,27.32,27.62,27.66,26.91,26.11,24.67,24.63,25.35,26.16,25.82,25.52
1921,25.30,26.77,27.17,27.49,25.96,25.33,24.97,24.91,25.89,26.54,25.81,25.16
1922,25.41,27.17,27.46,26.35,26.43,25.68,24.78,24.67,25.20,25.90,26.18,25.40
1923,25.07,27.05,27.07,27.64,26.60,26.03,25.34,25.03,25.65,26.41,26.50,26.15
1924,24.86,25.83,28.07,27.62,27.39,25.57,24.77,24.63,24.90,25.55,25.88,24.61
1925,23.63,26.73,27.07,27.75,27.84,26.18,25.29,24.61,25.01,25.38,25.94,26.06
1926,25.63,27.03,27.70,27.43,27.03,25.97,24.80,25.13,25.56,26.15,25.71,25.96
1927,23.48,26.52,27.13,27.84,26.31,25.23,24.84,24.17,25.25,25.62,25.89,25.33
1928,24.29,25.78,26.83,26.83,26.16,25.90,24.94,24.07,25.00,25.74,25.31,25.10
1929,24.73,26.34,26.83,27.60,26.20,24.37,24.42,23.90,24.86,25.71,25.68,24.42
1930,24.00,25.84,25.96,27.07,25.90,25.08,24.97,24.26,25.41,25.85,26.16,25.43
1931,25.21,26.71,27.87,28.12,26.83,25.62,24.57,25.00,24.81,26.21,26.21,25.79
1932,24.67,26.77,27.31,28.01,26.93,26.36,24.66,24.72,25.62,26.47,26.27,24.51
