Variable:,tas
Country:,Somalia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.17,25.95,27.21,27.80,27.79,27.37,26.80,26.75,27.39,26.62,25.58,24.98
1902,25.07,25.85,27.07,27.54,27.47,27.45,27.30,27.27,27.72,26.71,25.64,24.93
1903,25.46,26.16,27.34,27.97,27.82,27.41,27.12,26.87,27.43,26.62,25.42,24.85
1904,24.85,25.87,27.07,27.69,27.78,27.51,26.89,26.79,27.28,26.38,25.42,24.79
1905,25.16,25.73,27.04,27.68,27.65,27.30,26.91,26.71,27.39,26.77,25.68,24.99
1906,24.87,26.19,27.05,27.63,27.91,27.50,26.80,26.80,27.43,26.60,25.29,24.46
1907,24.79,25.88,27.20,27.81,27.82,27.37,26.80,26.57,27.33,26.63,25.45,24.37
1908,25.10,25.82,27.43,28.12,28.30,27.59,26.97,26.88,27.70,26.64,25.28,24.44
1909,24.59,25.44,26.86,27.32,27.60,26.99,26.86,26.71,27.32,26.50,25.21,24.72
1910,24.87,25.71,27.12,27.84,27.73,27.52,26.97,26.78,27.14,26.36,25.42,25.17
1911,25.13,25.23,26.96,27.40,27.32,27.40,25.86,26.32,26.73,26.06,25.20,24.11
1912,24.39,25.52,26.56,27.03,26.91,26.57,25.37,25.57,26.13,25.94,25.40,23.64
1913,24.14,24.97,26.24,27.01,27.39,26.43,26.45,26.44,27.29,26.46,25.38,24.71
1914,24.87,25.75,27.01,27.55,27.58,27.21,26.58,26.62,27.22,26.49,25.41,25.14
1915,24.96,25.92,27.06,28.04,27.46,26.92,26.40,26.35,27.17,26.43,25.54,24.34
1916,24.59,26.12,26.43,27.15,27.72,27.00,26.24,26.41,27.05,26.65,25.62,24.61
1917,24.95,26.12,26.71,27.16,27.59,26.94,26.38,26.41,27.03,26.35,25.57,24.92
1918,24.62,26.23,26.93,27.24,27.68,27.05,26.53,26.49,27.14,26.48,25.28,24.67
1919,24.96,25.84,27.01,27.53,27.53,27.04,26.45,26.54,27.22,26.25,25.23,24.58
1920,24.84,25.62,26.88,27.33,27.45,26.89,26.45,26.49,27.43,26.65,25.68,24.40
1921,25.01,25.84,27.28,27.85,27.80,27.26,26.90,26.76,27.84,27.02,26.53,25.94
1922,26.03,26.92,27.94,28.12,28.26,28.10,26.49,26.63,27.78,27.13,26.67,25.94
1923,25.14,26.01,27.14,27.73,27.83,27.29,26.71,26.66,27.32,26.57,25.49,24.96
1924,25.68,27.09,27.94,28.56,28.68,28.09,28.34,27.84,28.54,27.76,26.85,25.88
1925,25.37,25.76,27.14,27.77,28.55,28.68,28.47,28.30,28.05,26.46,25.60,24.70
1926,25.15,26.14,26.69,26.89,28.45,28.16,27.96,27.99,28.15,26.68,25.85,24.17
1927,25.36,26.06,27.28,26.46,26.77,26.50,26.90,27.91,28.33,27.57,27.01,25.62
1928,25.09,26.16,28.13,28.98,28.81,27.27,27.28,27.13,28.28,27.71,27.14,25.36
1929,24.84,26.91,27.90,27.44,27.93,26.62,26.01,25.87,26.65,26.34,25.33,25.04
1930,25.28,25.75,26.81,27.42,26.74,26.23,25.77,25.80,26.71,25.95,25.29,24.81
1931,25.18,26.09,27.03,27.59,28.60,27.78,27.27,27.13,27.88,27.10,25.60,25.04
1932,24.92,26.86,26.93,27.53,27.51,27.13,26.58,26.57,27.31,26.45,25.45,24.68
1933,24.80,26.08,27.25,28.36,28.10,27.67,26.90,26.82,27.40,26.80,25.55,24.66
