Variable:,tas
Country:,"South Sudan"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.50,28.45,29.63,29.43,28.44,26.65,26.16,25.96,26.58,27.13,26.88,26.31
1902,26.01,28.11,29.39,29.17,28.12,26.92,26.18,26.43,26.60,26.82,26.58,25.74
1903,26.20,27.55,29.06,29.51,28.22,26.85,26.20,26.03,26.21,26.82,26.64,26.22
1904,26.24,27.82,29.25,29.21,28.24,26.99,25.96,26.17,26.31,26.68,26.51,25.67
1905,26.33,27.39,28.91,28.97,27.97,26.86,26.04,25.86,26.38,27.02,26.98,26.06
1906,26.17,28.31,29.13,29.11,28.58,27.07,25.91,25.78,26.33,26.88,26.49,25.89
1907,26.24,28.05,29.43,29.45,28.27,26.84,25.76,25.35,26.28,26.93,26.39,25.37
1908,26.13,27.58,29.67,29.68,28.65,26.97,25.73,25.83,26.55,26.87,26.36,25.61
1909,25.95,27.74,29.34,28.90,28.19,26.47,25.76,25.73,26.12,26.86,26.64,25.99
1910,25.71,28.01,27.92,29.20,28.38,27.06,25.61,25.70,25.82,26.45,26.14,25.42
1911,27.00,27.05,28.76,28.72,27.53,26.93,26.04,25.77,26.23,26.85,26.62,25.40
1912,25.47,27.16,28.35,28.24,28.00,26.90,25.79,25.58,26.17,26.34,26.51,25.11
1913,25.58,27.17,26.93,28.71,27.64,26.19,26.23,25.97,26.70,26.58,25.34,24.85
1914,27.22,27.77,29.38,28.44,27.77,27.17,25.79,25.49,26.21,26.77,26.90,26.04
1915,26.83,28.09,29.09,28.83,27.78,26.62,26.11,25.73,26.24,26.77,26.86,25.55
1916,24.44,27.51,28.61,29.17,27.45,26.14,25.19,25.19,25.63,25.72,26.37,25.12
1917,25.71,27.48,28.20,28.10,27.69,26.01,25.99,25.42,25.26,25.15,25.98,25.19
1918,25.08,26.95,28.36,27.98,27.55,26.42,26.36,25.52,26.58,26.97,26.85,26.34
1919,28.07,28.81,29.56,28.45,28.40,26.39,25.91,26.34,26.59,27.08,26.50,25.90
1920,25.78,26.59,27.90,28.25,27.38,26.31,25.57,24.84,25.59,26.39,26.40,25.13
1921,25.45,26.41,27.64,29.73,28.02,26.83,26.20,25.23,26.03,26.73,26.73,27.34
1922,26.75,27.68,28.56,29.14,27.53,27.11,25.15,24.77,25.53,26.45,27.25,25.99
1923,27.72,27.17,29.33,28.88,27.58,26.51,25.44,25.14,26.32,26.56,26.26,25.84
1924,27.07,28.56,30.29,29.45,27.69,26.84,25.93,25.51,25.81,26.98,26.67,26.74
1925,24.60,26.29,29.69,29.36,28.01,26.63,26.17,25.81,26.93,27.23,27.24,26.61
1926,25.92,27.79,28.44,28.86,28.74,27.05,26.05,26.64,27.19,27.02,26.46,26.18
1927,27.12,27.71,29.06,28.43,28.23,27.06,25.83,25.93,26.35,27.94,27.23,27.69
1928,28.46,28.45,30.43,29.63,28.21,26.89,26.07,25.72,26.90,27.10,26.70,26.75
1929,26.40,28.81,29.23,29.34,27.86,26.52,24.62,25.00,25.81,26.55,26.50,24.80
1930,25.05,28.19,28.26,28.71,27.92,25.92,25.29,25.42,26.55,26.85,25.83,26.41
1931,26.67,28.89,28.91,29.06,27.83,26.88,25.89,25.52,26.04,27.11,27.06,26.20
1932,26.42,28.11,29.15,29.16,27.58,26.63,25.64,25.42,26.23,27.18,26.94,25.73
1933,27.53,29.19,30.10,28.90,28.33,26.88,25.93,25.48,26.10,27.12,27.88,27.00
1934,26.67,27.22,29.57,29.49,27.99,26.26,25.61,25.57,26.44,27.39,27.20,25.87
1935,26.84,27.64,29.78,28.98,27.94,26.75,26.18,25.03,26.33,27.16,26.70,26.63
1936,26.22,28.14,29.80,29.56,29.03,26.78,25.68,25.43,26.14,27.23,27.39,26.77
1937,25.97,28.70,29.26,29.18,28.34,26.78,25.93,25.64,26.42,27.35,26.68,26.93
1938,27.13,28.76,28.98,30.46,28.54,26.31,25.41,25.17,26.04,26.99,27.14,26.94
1939,26.95,28.55,29.84,29.52,28.38,26.83,25.91,25.75,26.05,27.03,26.87,26.93
1940,27.11,28.19,28.62,29.53,28.21,27.17,25.83,25.85,26.69,27.40,26.70,26.92
1941,27.22,29.19,29.49,29.88,27.90,26.49,25.90,25.35,26.21,26.86,26.38,25.78
1942,27.00,29.46,29.35,29.20,27.68,26.74,24.89,24.79,25.92,26.88,27.35,26.52
1943,26.47,26.58,28.22,28.43,27.71,26.10,25.04,24.56,25.47,26.27,27.22,27.04
1944,26.68,28.10,28.86,28.80,27.54,26.76,25.04,25.14,25.33,26.65,26.13,25.64
1945,26.83,26.44,29.23,29.66,27.05,25.93,25.62,24.66,25.36,25.93,26.36,25.57
1946,26.72,28.32,28.94,28.58,28.11,25.96,24.74,24.05,25.44,26.05,26.08,25.96
1947,25.99,28.16,28.31,28.13,27.72,26.32,25.37,25.07,25.56,26.97,26.58,26.58
1948,25.97,27.69,28.20,29.44,28.27,25.62,25.56,24.90,25.65,25.74,25.50,24.85
1949,26.18,26.63,29.20,28.81,27.83,26.02,25.15,25.05,25.35,26.48,26.56,24.32
1950,25.94,26.62,29.09,28.78,27.56,26.26,24.34,24.12,25.10,25.59,26.14,25.94
1951,26.34,26.80,29.40,28.64,28.13,26.74,25.36,25.21,25.63,26.41,25.86,23.46
1952,27.01,28.12,29.10,28.83,28.10,26.75,25.74,24.55,25.49,26.12,26.72,27.43
1953,27.52,28.68,29.61,28.77,28.09,26.11,24.74,24.78,25.74,26.02,26.04,24.44
1954,26.18,29.22,29.84,28.74,27.75,26.03,24.41,24.25,25.31,25.94,26.97,25.43
1955,26.49,27.77,29.43,28.87,27.93,26.08,25.14,24.51,25.11,26.88,25.90,24.77
1956,24.69,28.37,29.28,28.43,27.79,25.71,24.54,24.29,25.42,25.42,26.69,25.66
1957,25.74,25.91,28.23,28.41,27.81,26.26,25.50,25.02,26.43,26.76,27.24,26.58
1958,27.04,26.75,30.11,30.15,28.61,26.01,24.81,24.96,26.18,26.66,27.36,26.81
1959,26.58,26.55,28.98,29.60,28.05,26.71,25.60,24.71,25.78,26.16,26.65,26.05
1960,26.03,28.32,28.63,28.69,28.06,26.80,25.26,25.60,25.93,26.41,26.20,27.57
1961,27.10,26.82,28.98,29.21,28.90,26.35,24.67,24.28,25.45,25.57,25.06,24.00
1962,24.48,27.39,29.18,28.76,27.78,26.01,25.34,24.67,25.52,26.16,26.83,25.99
1963,26.57,27.79,28.87,28.35,27.58,26.45,25.18,25.08,26.35,26.88,26.21,25.51
1964,26.00,27.33,29.67,28.83,28.06,26.14,24.54,24.46,25.40,25.47,25.98,24.66
1965,25.89,27.07,29.12,28.69,28.38,26.55,25.72,24.98,26.06,26.05,26.14,25.65
1966,26.77,27.11,28.77,28.56,27.72,26.22,25.75,25.28,26.08,26.44,26.53,25.86
1967,25.74,27.29,28.29,29.00,28.01,25.86,25.00,24.67,25.61,25.90,24.99,25.75
1968,25.72,26.35,28.44,28.22,27.49,25.50,24.99,25.25,26.17,26.61,26.79,25.90
1969,25.89,27.55,29.38,29.56,28.31,26.89,25.71,25.35,26.22,26.81,26.94,26.94
1970,26.10,28.34,28.78,29.21,28.18,27.08,25.67,25.56,26.14,26.54,26.42,24.88
1971,25.81,27.33,29.61,28.75,27.91,26.23,25.03,25.21,25.50,26.17,26.38,24.27
1972,26.52,26.77,29.27,29.19,28.14,26.19,25.93,25.73,26.36,26.96,25.95,25.93
1973,26.78,29.46,30.11,29.68,27.78,26.85,25.79,25.48,25.91,27.05,26.25,26.22
1974,26.07,28.39,28.92,29.42,27.26,26.28,24.81,25.35,25.51,27.07,26.77,25.40
1975,26.18,29.13,29.69,29.66,28.25,26.09,25.29,24.70,25.19,26.41,26.89,25.46
1976,26.41,27.86,29.53,28.96,27.93,26.65,25.46,25.46,26.23,26.93,26.73,27.34
1977,26.12,27.97,29.15,29.62,28.47,26.40,25.71,25.62,26.51,26.42,26.49,26.30
