Variable:,tas
Country:,"Sao Tome and Principe"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.40,24.80,24.30,25.00,23.90,22.50,22.00,21.80,22.40,23.40,24.00,24.30
1902,24.70,24.30,24.80,24.70,24.60,23.00,21.90,22.70,23.10,23.40,24.00,24.30
1903,25.10,25.20,25.30,25.00,24.40,22.40,22.10,22.60,23.40,23.40,24.00,24.30
1904,24.70,24.50,24.40,24.70,24.20,22.80,21.40,21.80,23.40,23.40,24.00,24.30
1905,25.10,25.40,25.70,25.80,25.00,22.70,21.80,22.80,22.80,23.40,24.00,24.30
1906,24.50,24.90,25.70,26.00,24.40,22.90,22.20,22.40,23.40,23.40,24.00,24.30
1907,24.30,25.10,25.30,25.20,24.70,22.90,23.10,23.00,23.30,23.40,24.00,24.30
1908,24.30,24.50,25.10,25.20,24.60,21.90,22.10,21.30,22.70,23.40,24.00,24.30
1909,24.70,25.10,25.40,25.80,24.60,23.90,23.10,22.30,23.70,23.40,24.00,24.30
1910,24.10,24.20,24.30,24.20,24.00,23.70,22.70,22.30,22.60,23.40,23.30,23.90
1911,24.30,24.60,25.50,25.30,24.90,23.40,22.70,22.60,23.10,23.40,24.00,24.30
1912,24.80,25.80,26.10,26.00,25.10,23.70,22.00,22.40,22.80,23.00,23.20,24.20
1913,24.40,24.30,24.70,24.80,24.20,22.30,21.90,22.50,22.70,23.40,24.00,24.30
1914,25.30,25.20,25.80,25.70,24.80,22.70,21.90,22.50,23.40,23.40,24.00,24.30
1915,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1916,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1917,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1918,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1919,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1920,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1921,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1922,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1923,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1924,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1925,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1926,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1927,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1928,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1929,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1930,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1931,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1932,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1933,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1934,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1935,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1936,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1937,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1938,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1939,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1940,24.70,25.10,25.20,25.20,24.60,23.00,22.10,22.30,22.90,23.40,24.00,24.30
1941,25.30,25.60,26.00,26.10,25.60,24.10,22.00,22.50,23.10,24.30,24.00,24.40
1942,25.40,25.80,25.90,25.90,24.70,23.40,22.60,22.50,23.00,23.60,24.20,24.50
1943,24.90,25.10,25.30,25.20,23.90,21.20,21.10,22.40,23.00,24.00,23.90,24.50
1944,24.70,25.20,25.20,25.60,25.50,23.90,23.00,22.30,23.90,24.00,24.70,24.80
1945,25.30,25.70,25.70,25.80,25.20,23.70,23.30,23.10,23.60,23.70,24.40,24.60
1946,25.60,25.60,25.50,25.90,24.10,23.10,22.90,22.70,22.50,23.10,24.10,24.40
1947,25.00,25.30,25.50,25.50,25.60,24.70,22.70,22.80,23.60,24.30,24.70,24.20
1948,24.90,25.00,25.30,25.30,24.30,23.20,22.10,22.50,23.40,23.80,24.50,24.70
1949,25.40,25.50,25.70,25.80,25.70,24.30,22.40,22.40,23.70,23.90,24.70,24.40
1950,25.10,25.10,26.00,25.70,25.30,24.70,22.60,22.70,22.70,23.70,24.30,24.50
1951,24.80,24.90,25.40,26.00,25.10,23.30,22.60,22.70,23.30,23.80,24.30,25.00
1952,25.20,25.40,25.60,25.70,24.90,23.40,22.00,22.30,23.00,23.70,24.20,24.30
1953,24.80,24.80,25.10,25.70,24.80,23.30,22.50,22.10,23.00,23.60,24.20,24.50
1954,25.00,24.40,25.20,25.30,24.30,22.40,21.10,21.70,22.90,23.20,23.80,24.40
1955,24.60,24.90,25.00,25.30,24.80,23.20,21.80,22.00,22.80,23.50,24.10,24.10
1956,24.40,25.00,24.90,25.10,24.40,23.10,21.60,21.80,22.80,23.30,23.80,24.20
1957,24.40,25.10,25.00,25.50,25.30,23.30,22.00,22.40,22.90,23.50,24.50,24.80
1958,25.30,25.50,25.60,25.50,24.10,22.00,21.70,21.80,22.80,23.70,24.20,24.80
1959,24.80,25.10,25.40,25.40,24.50,22.50,22.10,22.70,23.00,23.60,24.10,24.90
1960,24.90,24.80,25.20,25.30,24.70,23.00,22.40,22.80,23.20,23.90,24.30,24.90
1961,24.80,24.70,25.50,25.40,24.70,22.40,21.90,22.20,23.20,23.60,23.90,24.50
1962,24.50,25.20,24.90,25.20,24.70,22.80,22.00,22.20,23.00,23.80,24.20,24.70
1963,24.60,25.00,25.20,25.40,25.10,24.20,22.80,22.80,23.80,23.90,24.50,24.60
1964,25.10,25.30,25.50,25.40,24.90,22.90,22.00,22.00,22.80,23.30,24.00,24.20
1965,24.50,24.70,25.00,25.10,24.80,23.30,21.90,22.30,23.00,23.80,24.30,24.30
1966,24.80,25.20,25.80,25.10,25.10,24.00,22.80,22.70,22.90,23.90,24.30,24.60
1967,25.00,25.20,25.50,25.50,24.60,23.00,21.80,22.30,22.80,23.30,24.30,24.60
1968,24.40,25.10,25.00,25.30,24.50,22.80,22.00,22.50,22.80,24.00,24.30,24.60
1969,24.70,25.50,25.50,25.80,25.30,22.70,21.60,22.60,23.00,23.60,24.20,25.00
1970,24.70,25.30,25.40,25.70,24.90,23.30,21.90,22.80,22.90,23.40,24.20,24.40
1971,24.50,24.80,24.80,24.80,24.50,23.30,22.10,22.10,23.10,23.20,23.50,23.70
1972,24.40,24.60,24.50,24.60,24.40,22.40,22.10,21.90,22.80,23.30,24.00,24.60
1973,25.00,25.70,25.70,25.30,24.60,23.20,22.60,22.50,23.00,23.30,24.10,23.80
1974,24.20,24.70,24.80,25.10,24.30,23.10,22.00,22.00,22.50,23.10,23.60,23.60
1975,24.60,24.80,24.70,24.90,24.50,23.10,21.90,21.70,22.40,22.90,23.40,23.90
1976,24.20,24.30,24.90,24.70,24.20,22.20,21.40,21.60,22.60,22.90,23.40,23.80
1977,24.50,24.90,25.30,25.40,24.70,22.60,21.70,22.30,23.00,23.50,24.00,24.20
1978,25.00,25.70,25.30,24.60,24.20,22.60,22.00,22.10,22.50,23.30,23.80,24.40
1979,25.10,25.30,25.20,25.10,24.70,23.00,22.60,21.90,23.00,23.60,24.10,24.40
1980,25.00,25.40,25.40,25.50,24.80,23.00,22.00,22.20,23.20,23.60,24.10,24.10
1981,24.50,25.50,25.00,25.30,24.20,23.10,21.90,22.10,22.80,23.50,23.90,24.00
1982,24.70,25.20,25.20,25.00,24.20,22.20,21.70,21.80,22.30,23.10,23.90,24.40
1983,24.90,25.90,26.10,25.70,24.80,22.40,21.90,21.70,23.10,22.80,24.00,24.20
1984,24.80,25.20,24.90,25.10,24.50,23.50,23.00,23.20,23.40,23.60,24.00,24.20
1985,24.70,24.90,25.00,24.50,24.30,22.80,22.20,22.60,22.90,23.10,23.90,24.10
1986,24.80,24.70,24.60,25.20,24.60,22.90,21.90,22.20,23.00,22.80,23.50,23.90
1987,25.30,25.20,25.40,25.30,25.20,23.90,23.00,22.70,22.90,23.50,24.60,24.60
1988,25.10,25.40,25.40,25.40,24.90,23.10,22.30,22.80,22.90,23.40,24.00,24.00
1989,24.70,25.00,24.90,25.00,24.40,23.20,22.10,22.90,23.30,23.90,24.50,24.70
1990,24.80,25.10,25.70,25.10,24.60,23.20,22.10,22.20,22.70,23.60,24.10,24.40
1991,24.80,25.30,25.40,25.00,24.90,23.60,22.50,22.40,22.90,23.00,23.80,24.20
1992,24.40,25.50,25.30,25.50,24.70,22.70,21.50,21.80,22.50,23.40,23.60,24.40
1993,24.60,24.90,24.70,25.30,24.40,23.00,22.60,22.50,23.10,24.00,24.10,24.50
1994,24.40,25.20,25.00,25.10,24.70,23.10,22.00,22.40,23.10,23.50,24.30,24.30
1995,25.10,25.10,25.10,25.40,24.90,23.50,22.80,22.70,23.10,23.80,24.40,24.40
1996,25.00,25.50,25.20,25.30,24.70,23.20,22.50,22.10,22.90,23.30,24.10,24.20
1997,24.50,24.80,24.90,24.70,24.10,22.40,22.20,22.30,23.60,23.80,24.30,24.70
1998,25.00,26.10,26.30,26.30,25.30,23.70,22.60,22.60,23.40,24.00,24.60,24.50
1999,24.90,25.20,25.40,25.20,25.00,23.80,22.70,22.80,22.90,23.30,24.20,24.60
2000,25.10,25.20,25.80,25.30,25.30,23.50,22.40,22.40,23.00,23.70,24.40,24.50
2001,25.10,25.70,25.70,25.40,25.30,23.70,22.40,22.10,22.60,23.50,24.60,24.70
2002,25.10,25.30,25.60,25.80,25.50,23.80,23.10,22.90,23.20,23.80,24.50,24.70
2003,25.20,25.70,25.60,25.50,25.30,23.30,22.80,23.10,23.80,23.90,24.60,24.90
2004,25.20,25.60,25.80,25.20,24.60,23.10,22.70,22.40,23.00,23.70,24.50,25.00
2005,25.10,25.70,25.60,25.80,24.70,23.00,22.30,22.60,23.60,24.00,24.70,24.80
2006,25.30,25.40,25.40,25.50,24.60,24.30,22.90,23.00,23.30,24.00,24.20,24.50
2007,25.20,25.50,25.80,25.60,25.20,23.30,23.20,22.50,23.60,23.80,24.20,24.50
2008,24.50,25.20,25.20,25.20,25.00,23.20,22.90,22.60,23.70,23.90,24.60,24.60
2009,25.20,25.40,25.50,25.60,25.20,23.70,22.60,22.40,23.10,24.00,24.20,24.70
2010,25.70,25.50,25.50,25.90,25.10,23.70,23.10,22.70,23.10,24.20,24.50,24.90
2011,24.70,25.10,25.70,25.60,25.20,23.50,22.50,22.60,23.10,23.80,24.00,24.30
2012,24.80,24.90,25.30,25.70,24.90,23.70,22.40,22.70,23.40,24.00,24.30,24.90
2013,25.40,25.30,25.70,25.80,25.10,23.40,22.40,22.30,23.40,23.80,24.20,24.60
2014,25.80,25.80,25.60,25.70,25.40,23.60,22.10,22.80,23.20,23.60,24.20,24.60
2015,25.20,25.60,25.90,25.80,25.40,23.00,22.80,22.80,23.10,24.20,24.80,24.60
2016,25.20,26.10,25.50,25.50,25.30,23.60,22.80,22.60,23.60,24.20,24.50,25.40
2017,25.40,25.70,25.60,25.70,25.00,23.90,22.70,22.60,23.30,24.10,24.40,24.90
2018,25.50,25.70,25.80,25.80,25.30,23.70,22.50,23.30,24.00,23.80,24.70,25.10
2019,25.80,25.10,25.80,25.20,24.60,23.00,23.00,23.10,23.70,23.80,24.60,25.40
2020,25.70,25.80,25.50,25.60,25.00,23.50,22.50,23.00,23.60,24.10,24.80,24.80
2021,25.60,25.80,25.70,25.80,25.40,24.40,23.00,23.40,23.70,24.10,24.80,24.80
