Variable:,tas
Country:,Eswatini
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.14,23.60,21.27,20.75,16.93,14.53,14.29,16.73,18.20,19.04,20.71,22.44
1902,22.43,23.35,21.93,20.08,17.79,14.36,15.35,16.34,18.44,19.01,20.46,22.99
1903,23.74,23.33,21.99,19.95,18.18,14.42,14.75,16.90,17.99,19.57,20.48,22.45
1904,22.76,22.32,21.29,20.10,17.45,15.42,14.81,16.40,17.76,19.54,21.45,21.92
1905,23.31,22.57,20.91,20.17,17.28,14.67,14.92,16.02,18.74,20.45,20.83,22.89
1906,24.18,22.37,21.49,19.05,17.56,15.28,14.56,15.60,18.16,18.60,20.05,21.88
1907,22.60,22.66,22.11,18.90,16.84,14.47,14.01,16.08,18.22,18.65,20.04,21.45
1908,22.52,22.94,21.59,18.53,17.00,15.06,14.76,16.71,19.06,19.57,20.65,22.59
1909,22.88,22.14,20.99,19.35,17.13,15.01,15.15,16.86,18.07,19.35,20.48,22.30
1910,22.46,22.00,21.47,19.18,16.89,14.03,14.45,15.91,17.76,18.67,19.14,21.49
1911,22.55,23.01,21.06,18.85,16.05,13.31,13.89,15.36,17.53,20.46,20.78,23.60
1912,23.20,23.49,21.19,20.19,18.22,14.55,14.38,16.19,17.95,19.61,21.95,22.62
1913,23.55,23.56,21.37,19.91,17.77,15.09,15.45,17.07,18.43,19.64,21.24,23.01
1914,24.01,22.96,22.26,20.53,18.16,14.68,14.86,16.06,19.87,20.34,20.77,22.89
1915,24.18,23.26,22.00,20.05,16.84,14.75,14.46,16.44,18.28,19.46,20.84,22.10
1916,22.57,23.45,21.73,19.88,16.24,14.84,15.44,15.81,18.78,20.41,21.14,22.55
1917,22.86,22.64,21.91,19.41,17.21,14.93,14.25,15.01,17.53,19.47,20.35,21.65
1918,21.47,22.75,21.56,18.91,16.28,14.30,14.81,15.22,19.25,20.95,20.97,22.44
1919,23.27,22.94,21.96,20.78,16.47,15.26,15.24,16.03,17.86,19.95,20.02,22.37
1920,23.78,22.71,21.15,19.33,17.56,14.27,15.31,16.76,18.77,19.54,21.77,22.40
1921,22.70,23.17,22.25,19.20,16.52,15.23,13.60,15.66,18.01,19.80,20.38,21.94
1922,23.61,22.84,22.44,20.22,16.73,15.03,15.41,17.25,19.17,20.01,21.28,22.89
