Variable:,tas
Country:,Seychelles
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.78,25.78,26.11,26.58,26.18,24.88,25.48,25.58,25.98,26.28,25.31,25.11
1902,25.18,25.58,27.31,26.78,26.18,24.98,24.88,24.98,25.48,25.68,25.61,25.71
1903,25.88,25.88,26.61,27.68,26.08,24.98,24.28,25.58,25.98,26.28,26.41,25.41
1904,26.38,25.38,27.31,26.28,27.28,26.28,25.48,25.58,25.98,26.28,26.41,26.11
1905,26.48,26.78,27.91,27.78,27.28,26.18,25.68,25.88,26.08,26.48,26.81,26.51
1906,26.28,27.58,27.41,27.18,27.28,26.28,25.28,25.18,24.98,25.88,26.01,25.91
1907,25.88,26.18,27.01,27.48,26.88,25.78,25.18,24.88,25.08,25.98,26.31,26.11
1908,26.98,26.38,27.21,27.48,27.08,26.38,25.28,25.58,25.88,25.88,26.11,26.01
1909,26.18,26.18,27.01,27.48,26.58,25.78,25.18,24.98,25.88,25.98,25.81,26.21
1910,26.18,26.68,26.91,27.38,26.88,25.58,25.08,25.28,25.28,25.48,26.21,25.81
1911,26.08,26.28,26.61,27.08,26.68,25.78,25.08,25.18,25.68,25.98,26.51,26.61
1912,26.28,26.78,27.61,27.88,27.68,26.58,25.28,25.48,26.18,26.28,26.21,26.11
1913,26.28,26.98,27.01,27.38,27.38,26.38,25.58,25.48,25.68,25.98,26.21,26.31
1914,26.98,26.68,27.11,27.48,27.68,27.38,26.08,25.98,26.38,26.98,26.61,26.51
1915,26.68,26.38,27.61,28.18,27.88,26.58,25.38,25.48,26.18,26.48,26.31,25.91
1916,26.78,26.58,27.31,28.08,27.28,26.38,25.28,25.18,25.48,25.78,25.81,26.21
1917,26.48,26.58,26.91,27.18,26.58,26.18,25.68,25.38,25.68,26.08,25.81,26.01
1918,25.38,26.18,26.81,27.38,27.08,25.78,25.18,25.28,25.98,26.18,26.61,26.21
1919,27.08,26.88,27.41,28.18,27.68,26.88,25.78,25.38,26.08,26.38,26.81,26.91
1920,26.48,26.88,27.41,27.88,27.18,25.88,25.18,25.38,25.98,26.28,26.41,26.01
1921,25.98,26.58,26.91,27.38,27.18,26.88,26.58,25.58,25.98,25.78,25.91,26.41
1922,26.38,26.78,27.31,27.98,26.88,26.08,24.88,25.78,25.98,26.08,26.31,26.51
1923,25.68,26.38,26.81,27.68,27.18,25.88,25.28,25.38,25.38,25.98,25.91,26.51
1924,26.48,27.08,27.11,27.68,27.38,26.18,25.28,25.48,25.88,26.18,26.01,26.21
1925,25.38,25.68,26.31,27.28,26.58,26.08,25.88,25.48,26.28,26.78,26.61,26.51
1926,26.48,26.78,27.61,28.38,27.28,26.58,25.58,25.48,26.38,25.88,26.31,25.91
1927,26.18,26.58,27.21,27.48,26.88,25.88,25.08,25.98,26.18,26.98,26.71,27.01
1928,26.28,26.38,26.01,27.48,26.88,25.88,24.68,24.78,25.38,25.48,25.81,25.31
1929,25.48,25.78,26.41,26.78,26.28,25.28,24.38,25.58,25.18,25.38,25.41,25.81
1930,25.88,25.88,26.61,26.88,26.28,25.48,24.88,24.68,25.28,25.48,25.31,25.31
1931,25.58,26.18,26.41,27.28,27.18,25.68,25.18,24.78,25.78,25.98,25.51,26.41
1932,25.28,25.88,26.01,26.58,26.88,25.88,24.78,24.78,25.38,26.28,25.31,25.61
1933,25.58,26.18,26.41,26.68,26.88,25.58,24.78,24.88,25.08,25.68,25.41,25.21
1934,25.18,25.28,27.31,26.68,27.28,25.18,24.78,25.08,24.98,26.28,25.31,25.51
1935,25.48,26.08,26.31,26.48,26.18,25.58,24.98,24.98,25.78,25.48,25.81,25.71
1936,25.88,26.48,26.81,26.98,26.68,25.98,25.18,24.88,25.78,25.58,25.41,25.81
1937,25.48,26.18,26.71,27.08,26.58,25.68,24.98,25.28,25.58,25.78,25.61,25.51
1938,25.48,26.08,26.61,26.68,26.58,25.58,25.18,24.88,25.28,25.38,26.41,26.41
1939,25.28,25.88,26.01,26.48,26.58,25.08,24.58,24.68,25.38,26.28,25.41,25.31
1940,26.38,26.88,26.51,26.68,26.58,25.78,24.88,24.98,25.38,25.48,26.01,26.01
1941,26.31,26.88,27.31,27.68,27.28,26.28,25.48,25.58,25.98,26.28,26.41,26.41
1942,25.38,26.68,27.28,27.58,27.18,25.68,24.58,24.88,25.38,25.48,25.61,25.58
1943,26.08,26.35,26.38,27.28,26.75,25.48,24.58,25.18,25.98,26.21,26.34,26.41
1944,26.38,26.88,27.31,27.68,27.35,26.28,25.48,25.58,25.98,26.28,26.51,26.48
1945,26.38,26.88,26.41,26.78,26.65,25.48,24.95,24.75,25.48,25.58,26.01,26.41
1946,25.61,25.88,26.41,26.98,26.95,26.58,25.68,25.58,25.48,25.58,25.71,25.91
1947,26.28,26.45,26.81,26.95,26.78,26.58,25.58,25.38,25.68,25.78,25.81,25.91
1948,26.38,26.85,26.71,27.28,27.35,26.35,25.48,25.18,25.68,25.38,26.41,25.71
1949,26.58,26.48,27.31,27.88,27.08,26.38,25.58,25.58,26.18,26.18,25.78,25.71
1950,25.98,25.88,27.01,27.18,27.28,26.18,25.28,25.28,25.78,26.08,26.01,26.31
1951,26.38,26.58,27.51,27.78,27.58,26.08,25.28,25.78,25.98,26.38,27.01,26.51
1952,26.58,26.85,27.51,27.48,27.98,26.38,25.18,25.28,25.88,25.78,26.01,26.38
1953,26.28,26.25,27.41,27.58,27.68,26.78,25.68,25.68,25.78,26.08,26.31,26.74
1954,26.38,26.68,27.01,27.85,27.48,26.68,25.55,25.78,25.58,25.68,26.21,26.18
1955,26.38,26.38,27.11,27.25,26.65,25.48,24.98,25.78,25.78,25.98,26.31,26.51
1956,26.28,26.68,27.11,27.18,26.98,25.78,24.78,25.18,25.48,26.08,25.91,26.01
1957,26.18,26.28,27.31,27.65,27.18,26.18,25.18,25.58,25.78,25.88,26.31,26.41
1958,27.18,27.18,27.61,28.08,27.48,26.18,25.78,25.98,26.18,26.38,26.51,26.58
1959,26.98,27.18,27.31,27.78,27.28,25.78,24.68,25.28,25.58,26.38,26.71,26.91
1960,26.78,26.78,27.21,27.45,27.58,26.48,25.58,25.38,25.78,25.88,25.81,26.01
1961,26.48,26.65,27.41,27.58,27.48,26.38,25.68,26.28,26.08,26.48,26.61,26.91
1962,26.78,26.98,27.41,27.88,26.98,26.18,25.08,25.58,25.98,25.98,26.28,26.51
1963,26.18,26.45,26.81,27.38,26.85,25.98,24.85,24.98,25.35,26.18,26.48,26.01
1964,26.65,26.58,27.01,27.45,26.98,26.48,25.18,25.18,25.58,25.65,25.61,25.68
1965,25.98,26.28,26.81,27.38,26.55,25.48,25.15,25.45,25.88,26.08,26.31,26.21
1966,26.48,26.98,27.41,27.38,27.15,26.68,25.78,25.78,26.38,26.18,26.51,26.41
1967,25.88,26.58,27.51,27.68,27.45,26.58,25.78,25.78,26.08,26.38,26.71,26.31
1968,26.31,26.68,27.01,27.68,26.98,26.55,25.38,25.48,25.78,26.28,26.31,26.61
1969,26.38,26.88,27.81,28.28,27.75,26.28,25.88,25.58,26.08,26.58,26.71,26.91
1970,27.18,27.58,27.91,28.18,27.28,26.78,26.08,25.55,25.68,26.08,26.41,26.08
1971,25.98,26.28,26.81,27.68,27.68,25.88,24.95,24.88,25.28,25.71,25.84,25.94
1972,25.68,26.48,26.21,26.98,27.08,26.68,25.58,25.78,26.21,26.48,26.81,26.91
1973,26.78,27.68,27.61,28.15,27.78,26.48,25.68,25.38,25.78,26.08,26.48,25.71
1974,25.78,25.98,26.74,26.68,26.28,25.68,24.88,25.48,25.38,25.68,25.81,25.61
1975,25.78,26.18,26.91,27.28,27.28,26.18,25.48,25.18,25.51,25.58,25.81,25.81
1976,25.48,26.18,26.84,26.88,27.38,26.58,25.31,25.38,25.75,26.08,26.51,26.11
1977,26.48,26.48,27.21,27.61,27.58,26.98,25.71,25.68,26.18,26.38,26.71,26.41
1978,26.68,26.98,27.41,27.58,27.78,26.48,25.75,26.01,26.38,26.58,26.31,26.51
1979,26.38,27.68,27.31,27.58,27.28,26.35,25.48,25.48,25.98,26.48,26.81,26.61
1980,26.68,26.78,27.41,27.98,27.58,26.58,25.68,25.88,26.01,26.71,26.51,26.31
1981,26.48,26.78,27.74,27.78,27.28,26.41,25.58,25.98,26.28,26.48,26.51,26.71
1982,26.48,27.28,27.31,27.78,27.78,26.98,25.98,25.98,26.68,26.58,26.91,26.81
1983,26.88,27.68,28.01,28.08,27.78,27.08,26.28,25.78,26.08,26.38,26.31,26.41
1984,26.08,26.88,27.01,27.68,26.48,25.38,24.38,25.08,25.78,26.21,26.31,26.11
1985,26.48,26.98,27.31,27.68,26.68,25.38,25.08,25.08,26.18,26.28,26.21,26.41
1986,26.25,27.18,27.44,27.78,27.68,26.01,25.58,25.58,25.88,26.58,26.71,26.74
1987,26.58,27.38,28.11,28.48,27.78,26.78,26.28,25.98,26.51,27.08,27.41,27.01
