Variable:,tas
Country:,"Tanzania, United Republic of"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.36,22.67,23.29,22.41,21.43,19.86,19.54,20.50,21.97,23.47,23.83,23.99
1902,23.16,23.16,23.41,22.57,22.57,21.35,20.15,21.58,22.40,23.51,23.51,22.63
1903,23.16,23.10,22.92,22.30,21.57,20.99,20.01,21.49,21.97,23.09,23.93,23.12
1904,22.49,22.60,22.54,22.30,21.85,20.50,19.86,21.39,22.06,22.39,22.71,22.63
1905,23.22,23.14,22.67,21.66,21.40,20.60,19.66,20.61,22.15,23.67,23.75,22.81
1906,22.32,23.07,22.01,21.58,21.10,19.66,19.25,19.84,21.39,23.11,23.83,23.17
1907,22.49,22.48,22.81,21.79,20.93,19.46,19.34,19.69,21.51,23.40,23.67,23.31
1908,23.40,22.99,22.96,22.74,21.47,20.39,20.07,21.20,22.01,23.30,23.53,22.95
1909,22.14,21.97,22.59,22.08,20.98,19.40,19.42,19.69,21.54,22.95,22.68,22.08
1910,21.84,22.11,22.45,21.95,20.17,19.84,18.76,19.87,20.81,22.08,22.69,23.20
1911,22.71,22.87,22.67,21.40,21.42,19.76,18.85,19.99,21.01,22.64,23.01,23.15
1912,22.62,22.38,22.19,21.70,21.16,20.08,19.17,20.08,21.57,22.93,23.18,22.01
1913,21.74,22.20,21.80,21.51,20.87,19.17,18.76,19.70,21.76,22.77,22.86,22.36
1914,22.10,22.42,22.57,21.77,20.88,19.88,19.21,20.33,21.55,22.90,22.98,22.73
1915,22.44,22.61,23.01,22.04,20.24,19.71,19.53,20.04,21.71,22.84,22.36,21.94
1916,22.09,22.19,21.95,21.70,20.87,19.25,18.59,19.57,20.91,23.47,22.16,21.93
1917,21.31,21.55,21.48,21.12,20.44,18.92,18.77,20.04,20.89,22.03,22.17,21.73
1918,21.61,21.80,21.92,21.21,20.24,19.23,19.03,19.82,21.24,22.85,22.51,22.27
1919,22.43,22.77,22.55,21.70,20.67,19.24,18.75,20.02,21.52,21.99,22.32,21.93
1920,21.99,21.99,22.09,20.93,20.43,18.74,18.76,19.86,22.30,23.48,23.95,21.31
1921,22.61,22.79,23.54,22.82,21.66,20.05,20.35,20.81,22.03,23.34,23.58,23.52
1922,23.36,23.86,23.39,22.49,21.06,20.52,19.39,20.70,22.35,22.99,23.44,22.91
1923,23.06,23.40,23.01,22.37,21.78,20.16,19.67,20.48,21.87,23.16,23.28,23.29
1924,23.09,23.30,23.32,22.74,21.80,20.46,20.13,20.94,22.27,23.44,23.65,23.28
