Variable:,tas
Country:,Uganda
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.98,23.39,23.47,22.96,22.53,21.58,21.53,21.77,22.16,22.86,22.83,23.02
1902,22.94,23.36,23.42,22.81,23.21,22.86,21.73,22.54,22.21,22.72,22.33,22.04
1903,23.10,23.50,23.29,22.96,22.54,22.41,21.66,22.43,22.09,22.52,22.36,22.45
1904,22.09,22.48,22.82,22.32,22.42,22.31,21.94,22.40,21.93,21.20,21.64,21.66
1905,22.98,22.74,22.85,22.16,22.07,22.00,21.16,21.52,22.00,22.69,22.12,21.91
1906,21.74,23.34,22.61,21.97,21.97,21.30,20.41,21.02,21.43,22.28,22.27,22.24
1907,22.24,22.54,22.95,22.38,21.86,21.18,20.82,20.71,21.60,22.63,22.20,21.93
1908,22.96,23.52,23.37,23.26,22.35,22.15,21.77,22.54,22.13,22.53,22.14,21.43
1909,21.18,21.08,22.40,22.02,21.80,20.52,20.78,20.46,21.17,21.77,20.87,20.92
1910,21.61,21.65,22.13,22.08,20.76,22.00,20.16,20.67,20.32,20.89,21.06,22.57
1911,22.21,22.79,22.79,21.69,22.04,21.38,20.19,21.04,20.96,21.87,21.82,21.95
1912,21.73,22.01,21.86,21.39,21.31,21.27,20.02,20.42,20.92,21.76,21.33,20.80
1913,21.25,22.05,21.61,21.36,21.34,20.38,19.83,20.24,21.46,21.68,21.42,21.34
1914,21.69,22.34,22.55,21.63,21.34,21.25,20.41,21.02,21.17,21.82,21.58,21.78
1915,22.13,22.56,23.11,22.00,20.56,21.03,20.76,20.67,21.39,21.75,20.79,20.77
1916,21.68,21.98,21.75,21.57,21.34,20.45,19.62,20.09,20.38,22.52,20.57,20.77
1917,20.68,21.19,21.18,20.84,20.76,20.03,19.83,20.67,20.37,20.74,20.57,20.56
1918,21.11,21.55,21.74,20.99,20.55,20.46,20.19,20.45,20.81,21.75,21.00,21.20
1919,22.13,22.77,22.55,21.56,21.12,20.45,19.83,20.68,21.17,20.75,20.79,20.77
1920,21.54,21.76,21.97,20.63,20.76,19.81,19.83,20.44,22.09,22.53,22.79,19.98
1921,22.33,22.76,23.75,23.01,22.34,21.46,21.84,21.66,21.81,22.39,22.35,22.79
1922,23.27,24.12,23.57,22.57,21.55,22.05,20.62,21.45,22.18,21.97,22.15,21.99
1923,22.90,23.55,23.12,22.43,22.48,21.60,20.98,21.24,21.60,22.18,21.93,22.49
1924,22.98,23.41,23.48,22.93,22.48,21.95,21.54,21.81,22.09,22.53,22.43,22.49
1925,22.11,22.97,23.12,22.93,22.48,21.95,21.55,21.81,22.18,22.76,22.43,22.49
1926,22.97,24.55,23.47,23.64,22.57,22.04,21.64,21.67,22.82,22.76,22.57,21.99
1927,23.91,23.77,23.76,22.56,21.99,21.25,20.41,21.90,22.60,23.19,22.58,22.50
1928,23.70,24.20,23.48,23.58,22.48,22.04,20.76,21.81,22.60,22.97,22.72,22.49
1929,21.55,22.48,22.41,21.15,20.40,20.10,19.97,19.95,20.10,20.68,20.50,20.63
1930,21.83,21.77,21.75,21.14,20.99,20.09,20.25,20.67,21.32,21.04,20.99,21.06
1931,22.33,23.39,22.57,22.17,21.91,21.51,21.05,21.51,21.67,22.33,22.52,21.09
1932,21.91,22.28,22.18,21.57,21.31,21.25,20.40,21.19,21.87,22.06,22.38,21.46
1933,21.62,22.39,22.90,22.60,22.26,21.98,20.84,21.13,20.88,21.46,22.02,21.33
1934,22.13,22.54,22.84,22.16,21.45,21.42,20.98,21.14,21.61,21.82,21.83,21.59
1935,22.56,22.40,22.74,22.00,21.82,21.49,20.27,21.01,21.72,21.77,22.34,21.62
1936,21.84,22.54,22.26,21.58,21.88,21.00,20.56,20.94,21.39,22.15,22.14,21.73
1937,22.69,23.18,22.84,21.65,21.21,21.00,20.62,20.72,21.74,21.53,21.52,21.42
1938,22.06,22.68,23.05,22.51,21.90,21.23,20.85,21.34,21.56,22.01,21.68,21.66
1939,22.13,22.82,22.81,22.00,21.67,21.22,21.19,21.53,21.82,22.41,22.41,22.52
1940,23.42,23.41,23.02,22.16,22.31,22.01,21.00,21.66,22.16,22.64,22.32,22.29
1941,23.56,24.44,23.32,23.04,22.32,21.84,20.98,21.56,22.04,22.82,22.25,21.70
1942,23.38,24.04,23.39,22.72,22.11,21.67,20.59,20.87,21.41,22.36,22.52,22.40
1943,23.26,22.77,22.95,22.82,22.27,21.50,20.69,20.94,21.31,22.20,22.89,23.03
1944,23.07,23.54,22.76,22.62,22.21,22.32,21.10,21.37,21.53,22.29,22.48,22.40
1945,23.16,22.94,23.75,23.47,22.08,21.50,21.30,21.20,21.47,22.19,22.29,21.79
1946,23.29,24.00,23.59,22.49,22.35,21.62,20.96,20.78,21.35,21.89,21.76,22.31
1947,22.90,23.30,22.74,21.77,21.77,21.52,21.08,21.07,21.59,22.44,22.55,22.21
1948,22.87,23.55,22.72,22.80,22.72,21.51,21.01,21.39,21.56,21.91,21.81,21.71
1949,22.65,23.13,23.71,23.28,22.63,21.71,20.96,21.53,21.36,22.16,22.62,22.07
1950,22.86,22.38,22.91,22.08,21.82,21.41,20.45,20.97,21.06,21.31,22.01,22.26
1951,23.05,23.13,23.58,22.53,22.50,22.06,21.40,21.50,22.26,22.42,22.26,21.64
1952,23.52,23.78,23.95,22.82,22.52,21.92,21.53,21.55,21.94,22.36,22.57,23.17
1953,23.61,23.76,23.95,23.23,22.91,22.18,21.42,21.79,21.87,22.19,22.63,22.49
1954,23.32,24.20,24.28,22.61,22.30,21.65,21.08,21.24,21.63,22.25,22.40,22.40
1955,23.27,23.28,23.39,22.73,22.35,21.76,21.41,21.29,21.57,22.92,22.34,22.09
1956,22.01,23.46,23.20,22.32,22.24,21.45,20.89,21.36,21.62,22.02,22.37,22.30
1957,22.74,22.51,22.80,22.60,22.50,21.92,21.56,21.69,22.38,22.82,22.93,22.72
1958,23.79,23.15,24.24,23.60,22.89,21.79,21.08,21.69,22.27,22.66,23.07,22.90
1959,23.51,23.23,23.23,23.18,22.57,21.93,21.56,21.63,22.06,22.43,22.47,22.54
1960,22.94,23.60,23.02,22.42,22.57,22.06,21.32,21.86,21.95,22.26,22.48,23.04
1961,23.30,23.26,23.57,23.13,23.46,22.34,21.53,21.38,21.72,21.76,21.15,21.39
1962,21.70,22.95,22.97,22.72,21.98,21.74,21.36,21.66,21.78,22.00,22.27,22.31
1963,22.72,23.12,23.25,22.16,22.11,21.67,21.37,21.32,21.96,22.79,22.06,22.00
1964,22.90,23.52,23.78,22.70,22.36,21.63,20.78,21.06,21.28,21.60,22.32,21.74
1965,22.59,22.67,23.32,22.47,22.62,21.69,21.45,21.49,22.13,21.98,22.21,22.59
1966,23.44,23.51,23.23,22.23,22.59,22.10,21.59,21.65,22.03,22.26,22.13,22.51
1967,22.79,23.47,23.51,22.90,22.23,21.39,21.16,21.06,21.45,21.91,21.48,22.15
1968,22.14,22.58,22.41,21.90,21.64,21.15,20.90,21.09,21.76,22.02,22.13,22.25
1969,22.75,22.78,22.92,23.38,22.48,21.98,21.46,21.58,22.13,22.68,22.48,22.81
1970,22.99,24.01,23.47,22.71,22.34,21.98,21.54,21.55,22.04,22.47,22.58,22.11
1971,22.77,22.94,23.51,22.68,22.03,21.27,21.05,21.43,21.54,21.97,22.38,21.76
1972,22.86,22.45,23.39,23.10,22.70,21.89,21.83,22.00,22.35,22.59,22.15,22.76
1973,23.40,24.30,24.35,23.44,22.50,22.06,21.36,21.73,21.92,22.74,22.43,22.36
1974,22.96,23.67,23.23,22.63,21.75,21.83,21.15,21.56,21.37,22.49,22.38,22.45
1975,23.01,23.82,23.62,23.12,22.28,21.46,21.28,21.03,21.35,21.95,22.45,22.25
1976,23.04,23.28,23.36,22.78,22.39,22.11,21.43,21.65,22.15,22.73,22.62,23.13
1977,23.12,23.58,23.57,22.97,22.59,21.99,21.61,21.91,22.41,22.72,21.88,22.60
1978,23.06,23.70,22.72,23.09,22.45,22.00,21.47,21.94,22.11,22.64,22.44,22.47
1979,23.24,23.15,23.08,23.09,22.33,21.53,21.55,22.19,22.21,22.61,22.77,22.96
1980,23.38,24.07,23.88,23.50,22.45,22.00,21.61,21.78,22.31,22.88,22.55,22.27
1981,23.51,23.74,23.44,23.08,22.62,22.23,21.51,22.23,22.37,23.01,22.92,23.04
1982,23.72,23.53,24.06,23.13,22.69,22.37,21.99,22.02,22.65,22.39,22.30,22.63
1983,22.74,24.04,24.42,24.00,23.43,22.91,22.39,22.39,22.28,22.86,22.96,22.31
1984,22.36,23.45,24.06,23.23,23.16,22.21,22.18,22.09,22.37,22.80,22.42,22.82
1985,23.85,23.00,23.38,22.21,22.11,21.83,21.51,22.00,22.26,22.83,22.93,22.84
1986,23.18,23.92,23.26,22.99,22.97,21.78,21.63,22.47,22.32,23.09,23.04,22.62
1987,23.22,23.79,24.04,23.70,22.93,22.32,22.51,22.73,23.28,23.46,23.10,23.56
1988,23.98,24.49,24.38,23.37,22.88,22.66,21.53,22.30,22.16,22.79,22.44,22.31
1989,22.00,22.50,23.20,22.44,21.94,21.77,21.76,22.25,22.15,22.86,22.66,22.53
1990,22.79,23.55,23.17,23.32,23.27,22.70,22.08,22.30,22.52,22.94,22.97,23.05
1991,22.90,23.97,24.29,23.16,22.78,22.48,21.69,22.05,22.19,22.91,22.38,22.40
1992,23.05,23.85,23.89,23.52,22.79,22.43,21.62,21.74,22.19,22.73,22.32,22.52
1993,22.54,23.11,23.22,23.25,22.58,22.70,22.10,22.84,22.16,22.28,24.49,22.59
1994,23.07,23.60,23.67,22.96,22.91,22.25,21.50,22.34,22.53,22.90,22.40,22.56
1995,23.03,23.72,23.76,23.85,22.91,22.80,21.90,22.97,22.67,23.09,23.47,23.06
1996,23.80,23.97,23.69,23.01,22.78,22.34,22.00,22.04,22.25,22.72,22.82,22.49
1997,23.65,23.68,24.06,22.99,22.83,22.56,22.09,21.81,23.06,23.16,22.31,22.85
1998,23.58,24.08,24.31,23.26,22.46,22.44,22.10,22.12,22.58,23.27,23.00,23.09
1999,23.52,24.92,23.94,23.38,22.93,22.39,21.94,22.16,22.47,22.34,22.61,22.83
2000,23.09,23.74,23.97,24.04,23.94,22.40,22.73,23.30,22.35,22.72,23.89,22.63
2001,23.58,24.29,24.71,24.09,23.77,22.43,22.46,22.97,23.16,23.19,23.03,23.08
2002,23.96,24.43,24.77,24.45,23.84,23.17,22.25,23.44,23.80,23.42,23.68,23.79
2003,23.61,24.33,24.98,24.62,24.07,22.98,23.08,22.46,23.24,23.30,23.76,23.40
2004,25.21,24.92,24.24,23.51,23.75,23.16,22.97,23.31,22.82,23.20,23.38,23.34
2005,23.34,25.82,25.22,25.07,23.27,23.02,22.25,22.92,23.55,23.16,23.71,22.66
2006,25.34,25.22,24.48,24.05,22.74,22.41,22.33,22.87,22.39,23.92,23.36,23.12
2007,23.66,24.54,25.32,24.34,24.21,22.43,22.05,22.49,23.11,23.32,23.39,24.01
2008,25.11,24.25,24.58,23.36,23.12,22.51,22.64,23.25,23.78,23.07,23.19,23.19
2009,24.81,24.78,24.96,24.33,23.95,23.25,22.83,23.68,23.71,23.73,23.88,24.63
2010,23.97,24.93,24.63,24.80,23.80,22.88,22.75,23.19,23.35,23.75,23.84,24.07
2011,24.87,24.49,24.65,24.55,24.06,23.01,22.63,22.55,22.79,22.45,22.48,22.11
2012,23.36,24.56,23.87,23.29,22.72,22.77,21.93,22.41,22.77,23.21,22.90,22.07
2013,24.43,24.10,24.07,23.74,23.04,22.09,22.08,22.39,22.68,23.15,23.47,22.61
2014,23.37,24.10,24.08,22.83,23.01,23.09,22.65,22.76,22.46,22.74,23.10,22.58
2015,22.97,23.85,23.78,23.02,22.89,22.90,22.17,22.71,23.20,23.65,22.94,23.09
2016,23.95,24.30,24.90,24.15,23.15,22.80,22.48,22.60,22.53,23.46,23.30,23.08
2017,23.12,23.88,24.19,24.30,23.46,22.80,22.43,23.22,22.89,23.78,22.88,22.76
2018,23.32,24.21,23.12,22.94,22.77,22.30,22.28,21.93,22.76,23.61,24.03,23.90
2019,23.62,25.01,24.50,24.20,21.86,22.58,22.92,23.19,23.19,22.99,23.15,22.96
2020,24.15,23.46,23.98,22.62,23.43,22.73,22.83,22.89,23.33,23.91,23.38,23.69
2021,23.75,23.22,23.82,23.67,23.22,22.71,22.32,22.52,23.03,23.47,23.48,23.37
