Variable:,tas
Country:,Zambia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.19,23.08,23.33,22.01,19.80,17.03,16.82,19.37,22.21,24.42,24.13,23.05
1902,22.75,22.89,22.80,22.66,19.69,17.82,17.78,19.92,23.31,23.90,24.32,23.58
1903,23.06,23.30,23.17,22.82,20.55,17.69,17.08,19.86,23.10,24.86,23.98,22.78
1904,22.29,22.23,21.98,22.07,19.27,18.01,16.64,19.39,21.81,24.50,24.50,22.41
1905,23.01,22.93,22.21,21.44,19.46,18.36,16.54,19.83,23.36,25.75,24.44,23.54
1906,23.58,22.34,22.48,21.34,19.75,17.29,16.88,18.87,22.37,24.06,23.50,23.09
1907,22.72,22.45,22.62,21.51,19.48,16.99,15.96,18.17,22.14,24.47,23.85,22.96
1908,22.66,22.57,22.76,22.01,18.85,17.76,16.95,19.89,23.10,25.41,24.33,23.23
1909,22.68,22.89,22.63,21.36,19.49,16.90,17.17,19.70,22.40,24.65,23.96,23.52
1910,22.72,22.77,22.54,21.39,18.94,17.21,16.75,19.38,22.22,23.98,23.39,23.04
1911,22.30,22.36,22.10,21.14,19.29,16.48,16.15,18.87,21.69,24.99,24.38,24.43
1912,23.31,23.47,22.39,22.62,20.83,17.06,16.45,18.75,22.56,24.24,25.61,23.05
1913,23.14,23.16,22.57,22.03,19.72,16.86,17.41,19.59,22.90,25.23,24.65,24.33
1914,23.58,22.74,23.52,23.20,20.11,17.95,16.79,19.36,23.67,25.64,24.97,23.53
1915,23.01,22.73,22.57,22.43,19.33,17.67,17.99,19.43,22.92,25.37,24.81,23.71
1916,23.00,24.06,23.52,22.11,19.37,17.67,17.29,19.03,23.01,25.75,24.14,23.21
1917,22.93,23.56,23.09,22.02,20.38,18.06,17.36,19.33,22.44,25.27,24.61,22.38
1918,21.61,22.33,22.15,20.32,18.47,16.96,17.22,17.67,22.58,25.47,23.98,22.93
1919,22.65,22.50,22.47,22.40,18.17,17.02,17.32,18.66,22.50,23.88,23.96,23.14
1920,23.86,23.28,22.55,21.13,19.90,17.47,17.08,18.97,23.48,24.83,24.67,24.03
1921,23.48,23.36,23.23,21.91,19.41,17.89,16.69,18.73,22.36,24.92,23.90,23.02
1922,24.22,23.40,24.20,22.37,20.27,18.77,17.42,20.73,22.86,23.59,24.69,24.22
1923,22.68,22.74,22.59,21.77,19.63,18.21,17.22,19.80,22.09,24.91,25.67,23.99
1924,23.67,23.21,23.53,21.05,19.96,18.16,16.69,18.80,22.61,24.28,24.15,22.65
1925,22.24,22.31,22.60,22.05,18.98,17.90,16.51,18.53,20.91,23.87,24.78,24.29
1926,23.52,23.75,22.67,21.83,19.58,17.26,16.22,18.31,22.80,24.74,24.54,23.32
1927,23.39,23.03,22.66,22.11,19.04,16.53,16.71,18.56,22.18,24.29,24.04,23.66
1928,23.45,23.78,23.72,22.10,18.70,18.33,16.14,18.50,23.42,25.88,25.15,23.75
1929,22.83,23.10,22.25,21.41,19.90,17.96,17.17,18.42,23.56,26.09,25.39,22.69
1930,22.82,23.63,22.75,21.82,18.18,16.67,16.33,18.60,22.14,24.83,25.30,23.63
1931,23.50,24.36,23.90,22.55,20.81,17.23,17.65,20.02,22.90,25.39,23.12,23.08
1932,23.63,23.47,22.51,21.95,19.40,16.78,15.88,18.06,23.29,25.22,25.13,23.02
1933,22.45,22.91,23.47,21.99,19.43,18.00,17.56,19.00,21.47,25.01,23.97,22.37
1934,22.79,22.84,22.85,22.06,20.42,18.10,18.07,20.04,21.86,24.59,23.89,22.75
1935,22.84,21.96,22.82,21.25,19.79,16.57,16.95,17.54,23.29,25.41,24.25,23.32
1936,22.90,23.37,22.35,21.01,19.37,17.01,16.94,18.57,21.49,24.97,24.53,22.95
1937,23.33,22.97,22.70,21.61,19.16,17.35,16.15,18.16,22.26,23.94,24.65,22.39
1938,23.08,22.96,22.59,22.90,20.08,17.37,17.19,19.35,22.81,25.35,23.67,22.63
1939,22.83,23.20,22.08,21.05,19.99,16.67,17.15,19.42,21.51,24.37,23.51,22.70
1940,22.99,22.93,23.05,22.02,19.36,17.74,16.68,19.68,23.72,23.78,24.47,24.51
1941,22.81,23.58,22.90,22.77,20.13,17.94,17.39,19.58,23.10,25.53,24.97,23.28
1942,23.89,24.27,23.88,22.28,19.92,18.92,17.08,20.26,23.47,23.93,24.07,23.30
1943,23.19,22.55,22.67,22.14,19.63,17.09,17.63,19.57,22.51,25.73,24.55,23.07
1944,23.31,22.91,22.39,21.99,18.94,18.13,17.63,19.84,22.94,25.14,24.40,23.83
1945,22.77,23.11,22.99,21.92,19.28,16.03,16.88,18.80,22.32,25.73,24.08,23.57
1946,23.20,23.59,23.25,21.94,19.77,16.98,16.36,18.20,22.68,25.70,24.24,23.72
1947,23.53,23.58,22.91,22.68,19.43,17.36,16.43,19.00,22.54,24.77,25.03,22.88
1948,22.79,22.92,22.81,21.82,19.96,17.33,17.15,18.92,21.86,24.82,23.84,24.07
1949,24.05,22.98,23.01,22.31,20.35,17.72,17.79,20.31,23.47,25.37,25.37,23.46
1950,22.79,23.18,23.18,22.32,18.73,17.34,17.96,18.89,22.57,23.82,24.26,23.37
1951,21.99,22.24,23.11,22.25,20.14,16.88,16.68,19.30,22.76,24.74,23.73,22.68
1952,23.08,22.67,23.06,22.23,19.41,17.66,17.42,20.07,23.20,24.97,23.07,23.54
1953,22.86,23.17,22.44,22.11,19.69,16.45,16.36,19.43,21.22,24.93,25.05,23.12
1954,22.79,23.17,22.76,21.92,20.25,16.30,16.45,19.25,22.85,25.61,23.57,22.80
1955,22.51,22.69,22.32,21.57,19.31,17.30,17.20,19.12,22.38,24.86,24.59,22.83
1956,22.03,22.49,22.71,21.27,19.32,16.98,16.46,19.65,21.91,24.74,23.19,22.35
1957,22.56,22.64,22.54,22.19,19.19,17.10,17.99,19.77,23.70,24.92,25.48,23.13
1958,23.19,22.85,22.91,22.72,19.86,17.23,16.32,18.38,23.48,24.34,24.65,23.38
1959,23.17,22.78,22.84,22.35,20.67,17.96,17.92,19.27,22.14,24.61,24.00,23.22
1960,22.96,22.63,22.25,21.60,19.36,17.98,16.20,20.11,22.71,25.25,23.85,24.08
1961,22.60,22.31,22.72,22.25,20.81,17.86,17.36,18.20,22.87,25.31,23.19,22.59
1962,22.30,22.73,22.44,21.82,17.83,17.50,17.11,19.40,22.57,24.83,23.88,22.17
1963,22.36,22.26,21.91,21.08,18.16,16.37,17.18,18.78,22.58,24.75,23.16,22.61
1964,22.81,23.25,23.67,21.88,18.91,16.85,15.61,18.96,21.96,24.70,23.66,22.27
1965,22.00,22.63,22.46,21.33,18.48,16.77,16.60,19.14,22.09,23.56,24.15,23.33
1966,23.24,22.87,22.30,21.36,19.74,17.59,17.22,19.64,22.88,24.56,24.70,23.47
1967,22.79,22.83,22.69,22.08,19.49,18.04,16.12,18.68,22.16,24.91,23.58,22.87
1968,23.02,22.68,22.37,21.56,19.77,16.19,17.48,20.04,22.56,25.49,23.30,22.64
1969,22.86,23.33,23.01,22.36,19.53,17.55,17.27,19.75,22.81,24.77,24.51,22.41
1970,23.09,23.32,22.87,21.88,20.02,17.89,18.12,20.00,23.70,24.51,23.77,22.70
1971,22.06,22.45,23.00,22.36,19.14,16.97,17.42,19.68,22.56,24.45,23.31,22.82
1972,22.30,22.50,22.54,21.77,20.00,16.60,16.80,19.15,23.33,24.67,23.76,24.28
1973,23.77,22.62,24.07,21.76,20.29,17.07,16.89,19.28,23.61,24.94,23.54,22.24
1974,21.92,22.31,22.21,20.87,18.80,16.55,16.38,19.84,21.80,24.80,23.87,22.64
1975,22.15,22.30,22.16,21.71,20.04,17.55,17.22,18.65,22.66,23.64,24.80,22.70
1976,22.31,22.20,22.17,21.20,18.31,16.92,16.43,17.95,22.70,24.47,24.99,23.87
1977,23.15,23.02,22.57,21.54,20.14,17.49,17.30,19.51,23.43,25.96,24.48,23.16
1978,22.67,22.92,22.47,21.49,19.07,16.62,16.05,20.63,23.57,24.75,23.48,22.40
1979,22.54,23.05,22.74,21.86,19.50,16.80,16.78,19.95,23.22,25.05,24.02,22.75
1980,23.14,23.57,22.58,21.92,19.57,16.38,16.31,19.13,22.84,24.29,24.76,23.06
1981,23.11,22.74,22.76,21.17,18.40,16.63,16.32,19.77,22.33,23.88,25.11,23.87
1982,23.10,23.46,23.57,22.22,19.19,17.99,17.22,19.44,22.45,23.64,23.97,24.07
1983,23.95,24.13,24.15,23.07,21.01,18.92,18.19,18.88,23.39,24.57,25.55,23.63
1984,23.50,22.90,23.06,21.97,20.54,17.78,17.52,19.37,23.83,25.59,23.48,22.84
1985,23.24,22.88,23.26,21.69,19.48,17.28,17.57,19.19,23.41,24.72,24.20,23.00
1986,22.76,22.77,22.65,21.94,19.56,16.87,16.83,19.96,22.78,24.01,23.93,23.38
