Variable:,pr
Country:,Angola
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,152.93,153.78,171.13,130.99,20.64,0.86,0.77,3.90,21.47,68.87,130.88,166.60
1902,155.44,144.23,169.70,105.23,19.98,0.86,0.77,3.90,22.84,76.54,146.75,193.51
1903,164.74,172.84,167.42,121.79,12.47,0.85,0.77,5.68,27.38,95.27,135.87,156.77
1904,156.74,148.43,172.88,117.22,19.59,0.87,0.72,3.71,20.25,67.80,136.85,137.34
1905,151.93,135.25,161.68,112.42,20.36,0.85,0.77,3.85,21.50,73.39,143.22,155.03
1906,209.54,154.53,172.41,102.83,12.62,0.74,0.72,3.90,25.41,69.89,147.93,168.55
1907,157.01,173.78,175.05,120.29,13.85,0.96,0.72,4.06,20.90,70.37,125.07,158.66
1908,148.71,140.77,160.46,117.70,15.26,0.86,0.65,3.89,30.89,78.10,140.68,187.99
1909,170.18,168.39,190.86,145.11,35.63,0.81,0.72,3.69,25.09,73.03,152.98,190.32
1910,196.30,174.73,162.95,133.71,19.93,0.97,0.86,4.51,20.61,75.30,131.39,133.92
1911,119.84,137.33,176.51,93.53,12.99,1.00,0.74,3.62,25.47,72.44,137.92,199.21
1912,244.58,174.90,174.57,117.80,26.70,0.78,0.71,3.63,21.34,77.69,134.05,168.65
1913,134.26,159.97,170.11,148.55,22.39,0.79,0.65,2.66,16.44,57.50,117.43,154.77
1914,142.85,124.73,143.65,123.25,8.67,1.59,0.75,4.71,25.58,88.98,88.50,137.58
1915,129.15,138.88,173.48,81.76,10.84,0.68,0.89,2.88,22.89,65.63,139.40,163.15
1916,172.13,140.09,177.43,139.76,14.17,0.46,0.71,2.59,18.71,93.72,183.52,160.27
1917,154.69,156.46,181.88,120.24,20.68,0.42,0.67,2.97,13.48,58.15,128.81,145.89
1918,140.66,157.84,187.01,103.44,13.28,0.72,1.44,4.71,22.41,64.34,146.27,170.62
1919,134.98,142.26,165.83,86.96,10.40,0.72,0.74,4.04,22.51,80.52,191.85,173.58
1920,174.56,138.97,178.66,100.67,17.79,0.70,0.75,3.55,21.70,74.20,149.11,172.63
1921,175.85,156.64,207.24,139.80,28.63,0.70,0.69,3.64,20.97,68.88,128.58,132.76
1922,114.55,129.84,209.21,99.05,28.20,0.68,0.69,4.16,18.54,88.35,127.93,174.20
1923,213.79,188.16,191.38,147.62,32.37,1.03,0.76,3.51,19.85,81.20,139.60,191.49
1924,198.96,139.78,205.71,135.73,12.47,0.81,0.72,3.49,21.56,71.89,152.39,150.27
1925,167.98,199.54,174.43,122.14,33.90,0.76,0.67,3.49,24.38,67.08,122.70,157.20
1926,168.25,165.77,204.18,120.42,19.53,0.84,0.77,3.69,25.86,82.81,143.70,154.52
1927,167.67,147.65,171.10,117.06,17.41,0.63,0.75,4.41,21.41,74.04,142.85,151.49
1928,152.14,131.98,171.90,126.42,17.53,0.75,0.65,3.25,26.76,60.34,131.89,136.04
1929,165.63,137.31,180.55,91.63,9.70,0.70,0.74,3.69,27.95,74.88,153.69,167.52
1930,138.95,108.44,143.34,122.20,8.12,0.56,0.63,3.41,20.46,64.83,120.69,152.29
1931,142.60,167.07,170.18,118.97,15.46,0.63,0.66,3.30,22.06,70.39,157.89,175.89
1932,123.20,126.24,144.18,95.04,17.92,0.81,0.62,3.55,23.06,68.92,155.15,166.51
1933,183.43,172.83,169.37,129.97,20.11,0.57,0.45,3.26,21.06,69.89,132.37,172.73
1934,183.56,151.49,213.81,150.65,24.25,0.65,0.92,3.26,23.09,69.73,133.98,201.13
1935,138.33,140.42,175.51,146.38,21.05,0.40,0.78,3.58,26.80,71.52,158.62,172.96
1936,135.30,141.75,192.14,127.27,28.56,0.86,0.71,3.42,27.92,75.57,125.65,162.82
1937,164.20,171.68,187.13,154.12,24.45,0.56,0.48,2.50,22.98,80.60,146.35,204.65
1938,155.48,147.09,160.43,110.78,14.60,0.39,1.11,2.77,17.28,81.69,171.18,186.16
1939,153.62,118.04,170.60,133.39,40.61,1.10,0.70,5.24,25.17,71.40,132.93,169.55
1940,164.12,135.67,165.56,135.20,9.42,0.66,0.37,4.37,23.22,92.27,115.85,158.86
1941,140.23,166.86,143.54,110.51,14.83,0.47,0.66,2.45,18.38,74.55,108.78,152.82
1942,134.58,150.56,181.89,92.96,9.06,1.03,0.46,6.15,24.99,78.56,124.78,177.53
1943,144.20,146.80,153.49,120.74,23.24,0.53,0.48,5.60,15.27,54.40,143.46,176.83
1944,208.74,172.21,228.08,97.87,23.99,0.75,0.54,4.15,33.20,71.39,174.16,168.92
1945,178.68,160.74,195.64,92.07,20.08,0.41,0.51,2.51,23.77,100.31,167.18,169.20
1946,127.17,106.42,140.66,97.02,8.59,0.29,2.86,2.40,27.11,105.73,138.24,221.88
1947,186.31,171.71,172.30,170.29,24.26,1.29,0.44,2.31,26.60,82.02,101.59,165.36
