Variable:,pr
Country:,Burundi
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,141.31,138.39,148.28,183.71,81.15,11.44,4.30,15.11,48.08,83.07,145.15,131.09
1902,116.93,114.32,131.94,158.42,83.25,35.45,3.84,17.26,63.80,86.54,145.57,123.85
1903,140.76,122.02,167.95,244.21,95.04,21.04,4.28,11.13,59.32,107.98,167.14,138.98
1904,134.92,155.71,167.79,144.12,84.78,8.69,3.44,20.28,43.79,83.77,145.21,163.91
1905,148.16,110.46,194.70,182.10,62.55,8.83,3.19,12.20,60.97,83.45,172.30,180.59
1906,114.53,141.37,189.53,214.41,68.60,12.80,3.53,13.92,56.18,97.04,129.16,120.73
1907,109.14,140.97,138.39,229.14,102.68,14.07,2.92,13.39,52.16,78.99,152.12,130.51
1908,142.06,131.07,124.69,209.19,101.08,9.97,4.45,17.08,39.35,85.24,159.52,150.97
1909,119.70,112.23,158.90,193.74,71.64,7.61,4.22,18.49,75.84,67.07,135.13,140.43
1910,143.14,107.61,154.22,191.21,90.07,7.99,5.82,16.57,38.55,76.88,162.03,145.25
1911,134.91,102.54,168.50,185.93,76.03,9.94,3.20,14.82,35.39,72.26,180.40,121.07
1912,152.64,137.40,136.41,251.50,65.79,9.63,4.01,30.98,85.40,89.46,165.74,150.79
1913,112.60,149.81,166.84,154.55,104.07,16.71,3.57,10.54,36.28,87.81,152.02,124.72
1914,133.11,140.53,164.53,157.13,83.13,13.19,4.39,15.31,68.28,77.04,136.65,134.48
1915,123.21,149.31,158.08,168.06,84.74,11.75,3.08,11.20,66.38,87.13,140.69,192.00
1916,104.05,157.15,146.41,213.96,105.07,13.12,3.10,14.58,59.07,91.63,137.08,127.56
1917,114.86,150.06,137.63,209.73,90.73,14.00,3.13,30.09,54.65,104.41,89.86,124.65
1918,126.52,115.59,153.13,168.64,67.33,14.37,2.28,8.14,54.34,65.91,113.41,153.65
1919,124.13,168.16,177.61,164.85,71.45,3.94,8.94,22.58,52.14,80.14,141.15,132.67
1920,146.12,91.61,201.94,146.24,81.95,7.60,2.30,6.79,41.08,131.09,165.74,160.23
1921,125.17,137.47,114.72,169.29,64.39,5.59,3.69,12.57,34.90,96.54,137.68,83.93
1922,71.04,108.98,115.54,96.12,63.71,1.91,0.45,35.42,55.50,72.90,128.00,186.79
1923,112.66,166.90,126.60,237.45,115.08,4.73,4.01,2.80,95.37,55.17,114.10,173.73
1924,140.90,133.27,125.94,217.82,37.82,1.71,1.77,12.79,37.30,73.51,119.02,127.06
1925,148.69,133.99,227.24,60.75,91.68,43.85,15.22,13.12,45.35,89.34,221.75,165.02
1926,148.80,153.10,163.32,174.39,118.14,3.27,23.40,26.92,98.28,69.53,106.31,127.24
1927,182.02,136.65,212.41,171.36,72.71,6.08,0.55,15.89,45.14,54.39,91.68,157.71
1928,83.72,127.31,102.48,171.68,90.43,9.44,5.65,5.53,42.55,72.14,82.28,141.16
1929,101.85,104.42,189.17,177.18,60.32,2.96,10.86,14.38,32.25,130.72,129.44,181.40
1930,134.57,149.35,214.41,250.91,114.51,27.40,9.96,20.75,134.65,79.39,136.04,115.32
1931,135.90,121.00,196.83,197.93,54.25,3.52,9.89,9.22,59.85,45.61,145.79,195.67
1932,111.26,130.88,207.68,131.66,120.99,10.96,1.69,2.59,98.69,95.60,151.88,153.57
1933,213.45,140.25,121.31,89.65,62.43,16.30,14.51,26.50,86.10,71.04,78.16,151.12
1934,90.38,96.88,154.21,154.11,49.34,17.02,7.11,21.70,26.56,138.86,156.41,163.88
1935,81.05,157.90,164.55,133.43,109.88,43.42,0.00,12.49,54.40,62.06,149.95,153.77
1936,169.99,200.87,165.62,217.31,47.00,44.02,4.94,5.81,59.90,63.60,114.91,190.35
1937,161.65,150.21,221.56,273.11,165.14,8.55,2.58,5.69,64.23,99.89,203.98,114.96
1938,89.25,140.63,197.25,135.08,68.47,10.47,6.21,10.28,38.49,89.49,107.59,149.66
1939,115.69,139.01,164.37,242.02,63.17,5.47,7.67,19.16,77.45,49.83,135.47,113.55
1940,177.84,200.67,173.29,164.94,109.18,5.89,7.75,2.18,18.43,78.32,147.99,107.19
1941,159.71,164.36,166.07,203.91,120.50,7.90,0.51,21.74,13.97,87.42,212.43,176.38
1942,147.23,129.97,231.65,191.86,118.31,1.69,1.38,45.19,5.31,62.02,112.03,117.82
1943,105.74,126.72,134.70,144.43,87.12,11.92,0.15,42.28,44.16,60.55,106.09,136.45
1944,177.43,100.00,171.48,143.64,105.55,2.20,0.09,4.95,86.37,75.58,177.79,127.88
1945,141.04,119.62,116.50,123.14,155.09,31.60,3.20,19.91,39.33,68.26,169.21,114.87
1946,108.82,127.67,140.36,253.35,90.71,5.14,0.77,5.47,28.44,93.30,173.81,184.24
1947,148.38,155.68,178.31,255.23,117.22,25.00,15.54,0.49,38.73,78.26,90.12,143.71
1948,146.84,112.69,114.93,142.88,81.95,7.71,2.29,9.63,69.43,107.16,136.61,132.55
1949,111.97,135.93,122.56,201.90,88.33,5.21,3.18,11.73,27.59,93.83,115.23,164.47
1950,138.99,112.96,203.03,166.40,116.76,4.73,0.92,20.70,36.47,105.73,132.07,167.91
1951,150.18,144.54,182.19,227.85,51.80,19.47,6.29,23.98,51.02,102.81,195.17,197.04
1952,70.02,112.38,151.31,174.12,176.30,9.76,1.48,8.58,49.93,77.17,123.14,65.66
1953,122.49,101.90,180.92,197.44,74.87,36.72,5.80,20.01,80.95,85.98,160.84,140.04
1954,130.52,117.48,118.36,157.28,140.38,15.02,3.87,4.63,36.53,62.38,100.95,164.78
1955,129.23,182.74,162.72,143.66,58.42,1.70,9.53,5.16,102.31,74.03,90.00,208.02
1956,159.19,98.35,151.78,184.13,127.29,3.38,0.27,23.46,41.35,91.16,127.60,148.21
1957,139.80,137.89,181.04,231.19,101.00,11.90,3.36,10.65,20.99,94.35,102.57,223.46
1958,156.73,144.44,168.17,140.84,85.23,3.10,2.17,20.71,39.07,64.69,81.51,163.75
1959,143.86,127.13,158.44,131.34,81.79,2.57,0.32,13.89,49.52,108.02,177.05,173.88
1960,158.96,150.36,177.25,194.54,20.75,1.77,0.26,5.44,43.12,75.42,142.12,111.19
1961,102.79,169.51,157.70,136.26,58.48,2.92,1.62,2.26,41.51,154.60,292.36,163.34
1962,159.76,117.63,159.36,158.58,144.83,27.74,1.18,49.10,72.84,161.29,164.73,148.86
