Variable:,pr
Country:,Benin
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,1.40,7.25,35.10,61.58,126.09,180.43,172.60,252.57,255.10,117.65,11.11,0.59
1902,1.58,11.13,36.95,73.25,150.32,138.40,155.81,181.33,141.91,65.20,3.39,5.02
1903,3.33,15.05,18.59,84.92,118.09,127.79,128.49,194.45,174.58,71.49,10.56,4.83
1904,4.86,5.55,44.01,60.29,147.24,137.00,152.74,140.01,134.06,68.11,4.23,6.72
1905,1.67,9.71,28.40,67.66,105.45,168.85,186.81,186.88,149.28,82.92,9.16,7.13
1906,2.87,7.76,13.49,64.41,168.51,160.64,179.51,143.68,159.52,88.64,10.89,5.07
1907,3.08,8.81,24.42,72.46,92.67,171.87,164.21,146.67,175.85,75.12,6.82,4.56
1908,2.04,2.25,42.31,85.59,94.61,130.39,165.10,145.76,247.68,102.19,13.88,3.73
1909,12.33,25.88,55.03,89.59,111.82,157.12,164.10,252.00,170.76,81.72,6.79,12.89
1910,0.64,3.36,18.22,61.35,112.68,144.65,230.89,262.09,196.85,85.59,3.96,7.17
1911,4.52,4.08,72.51,103.06,154.02,167.38,151.62,153.83,163.49,72.98,6.50,10.33
1912,6.01,8.37,15.76,64.35,76.21,140.09,130.59,143.22,139.71,58.81,7.51,7.85
1913,2.52,18.39,13.24,72.04,104.39,108.65,178.50,226.66,194.65,49.11,4.56,1.77
1914,3.85,6.39,34.09,50.07,101.04,142.06,136.96,169.06,156.10,81.85,14.50,5.29
1915,1.84,7.20,37.57,58.42,140.81,163.90,181.27,160.25,178.89,72.99,11.21,1.64
1916,0.56,6.89,39.07,75.43,111.97,138.01,181.15,193.63,184.83,78.23,21.34,1.29
1917,3.30,20.83,25.23,59.11,137.76,139.70,238.57,319.91,221.67,64.97,12.80,10.02
1918,0.39,13.00,64.82,59.64,125.02,195.23,151.91,150.61,155.11,63.99,11.83,3.77
1919,3.33,17.05,45.90,56.56,139.50,120.60,151.54,127.80,174.63,75.10,10.65,5.10
1920,1.56,4.64,29.12,63.14,121.99,142.52,147.92,181.44,151.82,56.19,18.12,0.78
1921,3.42,7.53,28.64,57.33,141.02,137.22,184.48,227.42,261.07,68.63,18.33,5.10
