Variable:,pr
Country:,"Burkina Faso"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.58,1.60,7.38,32.13,69.28,123.11,148.74,239.47,147.78,43.32,4.82,1.39
1902,0.61,0.91,13.24,81.26,53.98,97.57,218.37,211.43,117.13,32.19,2.42,1.10
1903,0.61,0.91,6.05,30.74,113.25,89.98,121.17,285.88,91.79,36.00,16.28,0.83
1904,0.63,0.92,5.16,24.41,100.70,133.08,181.67,224.35,118.84,42.83,2.50,0.84
1905,0.54,1.00,7.87,27.81,51.95,121.50,133.31,249.75,174.70,40.38,1.75,1.31
1906,2.01,1.46,2.77,42.66,97.32,119.25,161.69,274.48,161.14,51.46,19.37,0.93
1907,0.17,0.68,5.09,18.35,72.82,100.75,127.62,202.10,130.64,49.42,7.97,0.77
1908,0.08,0.31,13.00,19.68,62.14,122.56,194.24,223.29,153.25,24.79,5.72,0.12
1909,0.88,3.57,11.09,65.09,76.78,140.96,183.92,320.92,173.80,44.75,5.38,2.00
1910,0.04,1.22,4.51,27.93,71.99,89.85,189.09,256.56,145.00,26.98,0.24,1.03
1911,0.03,0.26,12.90,41.03,84.78,83.62,169.79,224.64,140.49,35.37,11.73,0.71
1912,0.20,1.61,2.60,16.16,43.40,107.55,149.47,220.36,147.19,39.68,0.56,0.95
1913,0.11,3.04,3.50,38.80,60.29,98.48,145.64,246.91,146.69,31.97,1.62,3.58
1914,0.06,0.10,5.58,17.16,56.62,88.81,131.35,202.86,157.05,55.13,6.08,0.29
1915,0.03,0.19,16.80,37.84,86.64,107.57,165.28,202.98,127.87,47.78,5.59,0.50
1916,0.06,0.66,9.45,24.81,49.69,113.13,158.25,258.14,157.20,28.49,7.82,0.39
1917,0.34,1.58,6.79,18.11,68.65,83.24,169.11,260.67,161.20,34.77,6.47,5.66
1918,0.31,0.16,6.81,29.82,70.02,146.22,192.17,238.89,172.39,40.46,6.91,2.96
1919,0.06,0.60,9.34,19.40,83.77,102.03,192.65,187.01,166.34,41.34,4.63,0.49
1920,0.02,0.24,3.19,29.09,67.84,95.37,185.00,237.52,160.55,18.15,7.11,0.03
1921,0.00,0.72,8.79,18.16,57.48,84.86,152.99,238.01,132.81,31.75,9.13,0.53
1922,1.36,0.22,2.51,58.41,70.78,88.33,181.59,247.69,234.65,63.01,10.60,0.19
