Variable:,pr
Country:,"Cote d'Ivoire"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,12.56,42.93,84.16,119.89,151.97,192.27,151.06,162.09,193.01,133.08,54.09,23.99
1902,11.36,38.72,85.76,122.01,154.30,195.45,150.85,161.00,190.26,127.99,54.58,23.24
1903,13.33,40.35,84.01,118.28,150.29,195.64,153.79,158.55,189.77,128.88,56.82,24.17
1904,12.10,38.11,84.14,116.23,151.71,194.99,150.89,159.93,192.44,129.16,53.06,23.84
1905,10.86,34.84,79.70,133.03,175.86,182.40,166.23,173.87,184.06,118.43,50.14,18.21
1906,25.87,44.16,60.64,153.24,223.03,205.48,153.79,175.89,221.62,163.55,66.50,26.11
1907,9.15,29.09,80.03,129.19,193.13,169.83,131.25,105.70,223.61,204.08,85.39,17.92
1908,22.61,28.85,68.05,109.91,206.81,179.25,180.61,126.79,234.22,112.83,61.06,19.41
1909,17.90,49.56,90.99,152.52,183.14,208.79,154.20,198.05,248.26,179.79,66.91,44.43
1910,6.55,29.52,155.77,106.95,171.74,199.87,185.41,211.02,223.27,122.54,34.87,17.94
1911,7.91,79.33,120.69,165.14,222.09,163.99,224.75,233.76,193.79,163.72,91.07,28.07
1912,10.90,35.17,56.41,78.01,193.22,341.66,220.89,135.06,166.10,90.96,38.10,9.35
1913,11.56,34.32,57.99,122.67,166.12,176.64,172.58,227.89,204.50,102.12,76.59,29.76
1914,6.99,20.33,81.12,142.19,160.05,153.31,77.74,119.89,214.80,220.87,65.44,10.71
1915,3.77,56.63,123.63,93.13,187.45,299.80,157.87,161.26,155.27,115.86,100.59,17.17
1916,10.97,39.32,67.86,73.25,112.57,279.68,264.11,152.65,215.93,112.20,43.08,12.70
1917,11.52,46.25,77.81,105.10,153.95,195.17,151.59,178.03,234.94,125.57,71.77,26.76
1918,12.22,20.36,62.76,117.90,128.33,161.65,161.79,165.75,202.73,164.93,66.04,21.59
1919,12.86,38.64,87.66,125.13,170.94,197.58,107.92,88.64,165.78,91.14,32.37,14.08
1920,15.57,29.16,54.34,135.13,156.94,203.02,147.70,101.35,133.35,74.54,113.19,17.75
1921,5.78,35.30,69.20,109.35,138.64,168.03,153.40,212.82,187.03,141.82,78.65,13.10
1922,16.51,35.98,77.34,134.14,126.82,164.10,81.25,131.00,216.02,233.54,107.04,19.72
1923,25.47,38.45,90.58,132.96,181.98,172.05,151.55,107.87,188.32,144.42,70.55,11.47
1924,23.55,63.60,84.43,144.46,181.27,254.76,150.12,107.38,293.94,132.94,61.71,22.47
1925,3.80,14.64,114.63,138.45,141.37,215.18,216.73,152.50,245.07,141.07,85.86,7.76
1926,14.19,22.24,114.46,96.84,195.99,219.21,127.55,152.73,267.70,103.25,65.80,17.64
1927,12.63,29.14,72.24,144.07,175.29,224.75,142.51,108.24,244.20,248.92,70.57,30.37
1928,12.89,22.18,109.62,111.78,151.97,210.38,175.48,205.96,234.61,197.43,40.34,28.18
1929,4.31,48.78,120.16,97.27,160.94,293.82,153.31,136.50,233.51,152.24,84.43,8.24
1930,19.09,34.54,93.86,96.73,201.13,227.57,126.08,112.26,234.26,137.65,79.67,19.84
1931,26.29,58.16,83.72,156.25,226.19,222.73,143.44,189.51,229.89,144.92,64.54,24.87
1932,10.14,85.64,123.25,120.32,193.35,133.55,96.51,114.49,211.41,151.76,64.86,21.27
1933,18.81,48.83,104.97,131.99,159.11,245.86,226.44,246.44,161.21,107.78,122.04,48.30
1934,5.65,12.94,116.23,105.90,123.08,195.17,162.98,176.72,188.97,150.01,31.00,18.32
1935,20.30,13.33,91.26,146.03,147.70,193.72,149.66,172.69,214.54,171.34,67.07,14.74
1936,12.16,83.06,73.38,147.35,205.46,168.07,93.78,82.95,231.36,136.70,92.94,18.04
1937,6.78,43.92,60.93,101.11,168.57,189.95,135.02,156.98,238.13,164.24,74.36,25.53
1938,12.49,25.86,101.76,117.49,208.56,180.77,123.57,150.68,245.36,155.27,104.76,39.22
1939,21.98,43.14,93.09,108.11,176.66,191.49,208.56,146.05,150.78,112.34,48.69,38.03
1940,19.56,35.61,86.80,110.86,183.37,204.60,113.41,179.39,169.07,162.10,65.35,5.93
1941,13.30,11.93,102.11,129.52,180.82,175.54,175.94,159.36,214.76,129.69,77.64,31.98
1942,21.78,44.83,93.21,105.36,216.05,147.11,71.36,147.21,136.37,183.73,52.28,40.24
1943,17.03,42.06,99.87,110.50,193.55,196.03,113.03,167.89,235.39,197.22,91.98,42.83
1944,21.21,38.65,110.84,106.56,110.84,221.48,173.40,176.93,229.08,136.93,49.26,37.50
1945,12.27,25.23,66.19,109.50,167.06,143.97,173.00,160.13,214.71,180.02,54.32,18.35
1946,25.79,26.58,88.88,89.18,165.29,123.03,94.33,85.97,200.67,170.84,43.35,14.80
1947,8.63,54.46,60.83,83.21,131.23,205.78,162.31,233.37,279.29,139.69,59.11,50.96
1948,0.05,33.57,70.83,158.89,169.44,181.04,91.33,137.49,189.71,113.75,65.91,21.79
1949,10.48,22.08,108.38,130.14,172.11,196.19,195.87,207.15,233.53,177.58,88.30,8.17
1950,17.23,31.11,74.31,121.06,137.05,194.97,115.81,133.65,183.63,161.30,47.87,30.86
1951,25.04,79.08,84.23,81.33,183.54,197.25,176.91,173.24,218.75,279.31,78.42,14.57
1952,5.69,48.25,81.72,120.81,169.65,190.53,195.40,145.67,313.98,195.69,71.51,34.70
1953,4.28,77.67,89.17,98.63,186.67,240.76,241.78,139.33,162.42,168.09,52.57,25.59
1954,22.00,63.11,100.61,203.98,162.35,187.39,108.52,168.22,195.71,243.48,99.69,18.52
1955,15.98,44.65,104.42,132.93,196.62,264.97,186.35,145.77,250.04,211.32,53.92,57.10
1956,10.07,53.26,110.58,141.99,151.69,173.28,113.12,110.85,197.63,109.50,61.11,37.70
1957,9.36,33.19,114.14,136.93,182.85,209.10,206.81,211.61,259.83,208.43,82.16,53.44
1958,29.33,24.82,89.01,140.26,142.63,136.04,40.19,80.47,166.79,105.86,104.85,34.22
1959,21.68,53.14,109.59,115.82,188.92,215.28,185.47,124.59,303.87,121.44,73.96,31.59
1960,25.80,20.99,116.25,144.72,141.69,264.18,109.14,182.81,257.17,133.52,52.42,36.85
1961,6.48,9.24,72.55,140.68,134.62,227.02,170.67,85.69,202.21,114.52,48.00,6.86
1962,4.01,39.48,99.06,165.36,135.70,309.27,133.76,178.82,199.14,163.23,133.85,14.17
1963,32.96,85.34,71.61,134.76,176.46,192.51,265.98,198.00,209.44,245.48,55.34,16.43
1964,18.33,14.62,107.30,96.85,176.77,269.51,133.13,165.16,182.82,81.63,69.67,88.55
1965,32.61,49.67,76.29,119.74,138.55,228.29,159.33,149.99,198.78,123.95,35.57,3.70
1966,3.06,25.41,89.08,135.89,149.88,225.38,168.46,190.03,200.78,173.20,59.99,24.59
1967,3.47,46.57,78.28,116.36,127.99,194.60,126.40,151.28,203.54,72.87,45.27,41.21
1968,12.40,81.42,79.16,139.56,156.86,238.27,228.90,230.64,232.43,179.60,94.09,39.27
1969,6.22,46.45,88.97,130.07,94.39,195.26,135.93,151.15,138.83,203.05,115.12,16.57
1970,20.97,34.70,76.49,106.28,181.24,152.06,120.55,166.15,230.12,109.46,56.95,9.35
1971,7.61,71.65,114.87,121.98,157.05,193.81,130.61,157.37,233.56,99.68,43.01,42.62
1972,13.70,51.96,99.62,133.92,207.82,222.65,114.62,98.03,141.69,139.76,26.78,31.29
1973,2.39,35.77,66.73,118.60,120.60,147.07,138.65,217.36,227.20,136.43,29.10,20.93
1974,14.68,21.91,119.78,124.37,98.77,185.63,168.54,152.06,217.53,137.56,30.45,16.83
1975,1.23,42.85,97.42,99.88,170.67,178.01,192.98,114.49,218.79,93.92,47.57,36.51
1976,11.19,64.37,88.57,120.96,185.66,212.11,96.35,105.74,111.97,156.14,98.27,7.13
1977,24.28,29.34,57.40,69.75,166.29,183.72,77.15,167.32,250.99,115.15,22.25,17.20
1978,8.81,43.42,96.14,189.70,160.03,159.60,105.63,99.64,154.17,142.90,39.87,38.06
1979,12.67,13.99,71.82,121.43,164.16,269.46,205.30,150.41,217.16,148.10,64.00,13.44
1980,28.92,42.35,73.95,88.05,202.78,127.28,189.76,189.08,195.06,132.36,76.99,18.30
1981,2.80,25.08,121.03,110.07,177.41,161.19,164.26,139.71,172.89,116.23,27.01,11.46
1982,2.04,57.42,114.79,129.35,166.13,199.54,125.00,145.96,89.73,130.87,50.90,5.23
1983,0.08,25.98,30.82,103.77,178.77,164.10,74.98,85.10,133.12,46.35,45.45,40.95
1984,7.59,20.86,114.50,112.01,170.35,163.03,210.28,181.25,150.94,164.24,32.43,13.07
1985,23.49,23.94,77.88,97.17,129.90,176.78,202.26,259.00,208.06,88.44,47.09,6.21
1986,0.39,46.59,72.35,104.66,152.04,136.05,124.83,144.93,191.52,106.63,39.36,6.19
1987,19.03,35.69,65.64,66.10,142.09,181.91,108.52,263.97,273.40,133.92,24.40,17.31
1988,6.07,19.89,100.50,114.04,115.64,189.92,165.97,177.22,238.13,99.27,46.61,25.88
1989,3.30,18.07,100.39,112.71,97.79,221.55,212.93,228.08,202.67,133.02,20.59,25.87
1990,14.12,32.20,23.38,135.35,132.45,155.04,125.74,126.72,154.87,111.99,89.85,62.92
1991,11.82,38.96,83.16,130.69,196.37,147.10,164.41,171.49,99.63,110.59,38.30,6.97
1992,5.32,32.11,53.98,125.53,172.82,133.29,131.09,82.54,162.75,140.96,72.79,16.05
1993,4.24,44.90,127.74,131.19,115.88,155.33,119.07,110.31,184.08,152.98,49.60,11.57
1994,9.68,41.02,70.16,116.90,147.58,134.90,139.60,142.08,196.42,236.92,49.82,4.20
1995,3.38,11.91,104.37,140.00,149.99,177.34,147.81,208.27,190.32,129.74,41.03,47.22
1996,11.24,56.72,75.86,132.97,152.73,203.15,203.31,188.62,148.37,111.15,31.16,31.10
1997,29.90,6.33,69.12,117.09,139.58,220.11,97.25,116.45,146.80,146.36,51.40,8.87
1998,12.09,23.61,35.35,151.10,121.65,170.14,127.53,139.13,175.04,150.73,50.78,27.87
1999,21.98,52.04,71.18,117.25,126.64,210.72,182.42,171.00,151.12,163.73,85.18,5.45
2000,35.34,8.98,50.72,131.11,181.49,182.32,138.04,175.15,169.09,136.87,48.79,9.40
2001,9.93,28.45,78.50,166.84,152.18,206.92,172.58,161.79,187.12,128.58,76.96,22.33
2002,22.46,31.95,80.07,88.10,141.00,231.19,185.94,143.21,173.49,144.65,45.48,12.43
2003,11.49,48.44,79.30,150.68,187.63,201.53,142.69,138.70,187.56,152.66,93.74,12.72
2004,6.86,38.19,71.82,130.41,141.08,137.90,173.54,157.15,185.46,159.36,73.57,30.11
2005,16.08,22.43,68.16,145.48,160.32,174.57,128.83,106.37,191.08,171.32,47.84,35.04
2006,10.43,26.03,85.91,96.79,179.99,186.88,136.89,156.19,244.81,183.78,44.92,22.02
2007,8.96,25.61,58.99,156.82,119.65,158.08,153.36,169.18,186.81,135.86,65.72,18.79
2008,10.28,33.91,93.30,107.58,173.37,199.26,165.65,171.94,189.55,129.96,46.00,25.08
2009,8.99,39.21,100.73,113.20,144.33,202.34,158.13,148.74,197.60,143.55,77.35,22.42
2010,15.02,60.86,69.82,137.05,171.65,181.48,144.62,227.01,282.65,216.28,52.35,21.68
2011,9.14,38.30,89.80,103.44,139.29,191.52,150.21,145.61,220.43,172.75,54.14,20.98
2012,8.91,29.59,52.25,122.35,156.78,158.53,125.91,158.36,182.15,129.63,72.61,31.98
2013,10.33,21.45,76.70,77.10,143.07,151.59,132.11,147.81,167.47,115.26,86.76,35.60
2014,21.47,29.28,79.03,152.48,152.70,221.56,157.27,148.69,220.39,161.23,87.97,11.64
2015,5.62,66.61,78.09,98.89,115.44,122.17,104.74,134.66,128.26,194.80,58.04,6.60
2016,17.23,24.92,79.65,96.13,145.17,166.23,119.15,180.83,206.88,134.38,48.77,16.76
2017,11.19,30.31,58.96,103.21,124.52,195.04,117.07,133.15,169.14,140.27,52.79,12.98
2018,9.93,45.91,121.44,112.12,149.85,192.45,164.16,189.80,225.57,173.52,49.90,20.57
2019,9.93,38.68,86.63,119.22,152.18,195.21,194.00,170.66,209.06,178.10,46.90,21.97
2020,20.81,17.44,90.53,113.94,130.02,210.13,158.63,160.13,214.73,140.12,44.94,20.57
2021,9.93,36.60,85.87,110.71,159.02,199.95,166.63,174.72,195.95,136.88,65.66,13.69
