Variable:,pr
Country:,Cameroon
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,13.93,34.16,119.10,153.81,187.60,204.06,225.13,199.79,250.62,204.78,76.66,22.46
1902,19.69,37.08,112.64,146.75,174.92,193.00,172.94,283.68,271.34,237.24,76.40,25.10
1903,19.48,37.63,92.39,138.46,164.97,188.50,197.30,282.11,258.14,204.01,80.48,33.19
1904,25.43,19.36,109.44,133.93,191.72,180.37,194.55,256.49,262.26,208.26,74.41,14.56
1905,13.11,38.82,92.13,138.70,176.12,174.74,173.24,260.28,289.63,271.53,96.58,28.80
1906,16.41,45.92,106.35,140.62,225.52,191.09,165.33,223.55,281.43,248.35,64.59,31.61
1907,39.38,55.39,63.20,175.41,179.00,143.52,124.17,141.24,234.69,247.17,85.70,12.87
1908,22.62,13.92,92.11,146.24,179.46,167.57,191.10,214.97,292.54,268.56,92.24,23.10
1909,32.78,48.89,108.89,170.35,153.41,225.03,183.75,228.45,281.08,209.07,114.23,42.90
1910,24.91,22.76,59.67,145.04,194.88,152.16,192.04,226.61,251.79,269.17,71.39,11.62
1911,37.78,22.06,115.52,135.75,196.41,163.65,170.63,201.17,236.84,236.67,65.95,34.67
1912,21.69,26.14,91.42,111.73,168.79,203.72,223.86,244.04,271.45,163.05,71.26,12.21
1913,8.71,42.85,60.30,141.97,183.52,150.87,208.92,225.42,252.92,251.71,75.19,22.32
1914,20.91,31.58,143.71,129.93,167.49,188.89,152.29,181.45,261.79,239.59,73.83,17.95
1915,15.48,30.18,105.15,144.47,200.19,149.63,234.10,207.51,255.39,233.73,84.09,20.69
1916,17.42,35.96,124.14,149.43,196.98,176.28,212.04,206.78,285.85,259.73,79.17,20.90
1917,18.16,35.05,90.77,106.72,142.40,159.50,186.09,269.53,284.81,209.04,104.92,22.53
1918,18.41,30.04,142.65,130.73,170.57,173.51,209.22,243.72,266.64,246.33,90.40,16.33
1919,16.43,40.25,101.18,118.72,226.89,152.04,203.83,188.14,291.13,218.50,79.85,16.94
1920,18.61,25.95,74.52,144.86,183.58,191.05,188.98,228.60,297.60,233.08,91.02,17.85
1921,22.51,28.22,98.51,138.40,179.11,188.04,172.91,234.12,279.33,202.01,72.85,24.87
1922,19.38,44.44,89.07,176.37,183.05,173.96,150.38,204.96,284.02,271.98,90.91,26.51
1923,23.74,28.08,88.89,153.91,204.02,189.99,175.72,205.71,337.06,265.28,80.20,18.32
1924,42.98,47.84,114.92,163.31,155.45,160.37,189.62,193.23,234.43,244.98,101.55,32.85
1925,9.94,27.17,113.54,128.22,208.89,199.99,146.46,268.35,249.29,260.28,90.75,25.89
1926,17.64,33.56,82.55,146.74,209.81,153.54,173.37,234.98,269.17,214.81,88.35,22.85
1927,24.78,32.10,65.41,110.53,187.13,194.73,231.47,240.66,252.41,265.07,73.59,44.22
1928,41.83,21.20,114.34,179.73,175.31,219.56,208.81,254.83,291.37,191.41,74.68,20.24
1929,4.84,31.52,133.13,144.42,170.86,198.70,144.07,265.42,265.37,270.84,69.20,31.33
1930,17.44,27.15,103.20,173.45,162.97,204.75,106.18,221.34,291.03,250.09,53.91,44.10
1931,16.91,45.06,51.49,147.79,190.99,185.79,190.48,169.86,274.97,251.00,98.29,28.47
1932,17.63,31.24,113.76,112.59,177.74,176.07,108.53,186.55,304.87,245.13,74.78,12.98
1933,36.84,46.43,108.52,142.19,181.24,198.04,195.40,218.50,260.92,209.85,138.39,47.15
1934,15.67,13.68,83.02,159.59,187.07,224.36,201.23,207.35,254.57,210.82,74.34,24.68
1935,32.21,35.32,103.89,123.43,150.50,242.31,203.33,273.30,254.89,223.58,56.28,40.30
1936,7.09,45.81,134.21,148.40,172.39,210.15,178.30,213.00,281.37,220.96,60.09,39.72
1937,9.24,25.74,83.33,126.78,176.33,163.80,187.91,193.25,237.81,239.35,49.48,20.21
1938,19.61,46.03,80.90,148.57,154.05,187.51,155.42,200.35,285.28,240.20,77.87,36.43
1939,18.56,62.85,85.45,132.75,183.83,161.54,153.90,223.35,300.25,248.85,90.98,16.00
1940,36.34,26.29,72.92,130.12,195.28,171.67,164.18,245.31,294.91,183.98,78.84,13.39
1941,4.48,30.59,107.56,123.66,235.96,170.96,166.96,206.18,242.76,199.78,90.14,9.74
1942,26.81,63.03,64.88,145.33,228.72,164.45,180.08,230.39,264.14,204.78,60.92,45.13
1943,33.17,32.45,104.26,116.19,201.38,146.27,137.98,220.97,265.27,251.42,104.54,31.15
1944,6.60,51.37,155.45,135.41,174.50,172.23,167.77,245.59,278.60,226.11,45.21,25.99
1945,36.20,17.05,50.70,108.71,175.44,203.82,188.17,186.09,273.32,240.09,61.90,25.82
1946,28.37,34.40,71.49,119.57,140.90,189.06,184.37,161.34,254.43,266.87,77.67,27.30
1947,12.93,56.21,58.69,139.67,188.82,186.02,161.22,237.69,257.16,182.01,89.54,31.94
1948,21.94,35.72,73.77,169.10,163.81,214.73,166.70,262.79,265.17,216.53,75.24,29.90
1949,20.72,32.86,84.21,123.95,200.57,159.74,231.74,258.68,283.49,226.60,93.67,8.34
1950,40.82,30.83,100.87,163.46,187.94,160.98,139.00,238.12,296.61,237.52,71.53,14.64
1951,16.04,34.19,129.95,92.73,196.34,192.73,181.42,224.82,291.27,296.13,85.60,5.92
1952,30.15,54.43,83.81,165.80,196.90,197.86,208.79,216.79,267.41,242.04,93.18,26.13
1953,12.43,68.69,114.74,99.48,193.81,194.30,203.96,187.53,251.05,226.14,96.40,13.80
1954,12.11,79.26,126.25,162.12,202.77,188.90,178.35,205.07,298.37,269.00,114.53,11.94
1955,20.26,26.25,146.17,119.03,197.78,223.73,221.68,215.58,282.46,286.83,65.00,10.12
1956,17.59,68.46,169.34,153.90,149.02,207.62,170.82,187.82,271.00,243.61,113.91,42.64
1957,18.55,17.90,84.84,149.31,194.81,224.93,210.37,240.74,298.50,258.14,107.87,32.46
1958,19.02,11.31,104.55,168.06,181.36,161.88,104.46,210.04,266.18,208.33,123.40,30.56
1959,23.54,14.37,93.11,158.47,161.89,173.28,219.94,229.63,291.66,224.34,106.07,10.24
1960,22.86,27.92,95.62,158.57,186.17,185.87,257.45,238.64,304.40,247.79,64.53,50.58
1961,29.40,20.20,54.30,138.37,133.76,173.21,229.45,174.50,287.37,240.36,62.57,5.09
1962,4.22,25.67,173.91,152.37,192.82,183.07,166.45,234.27,314.30,257.80,140.82,20.18
1963,26.38,63.68,81.42,163.71,174.97,156.04,199.01,258.73,247.16,217.33,63.51,23.19
1964,19.60,26.01,109.08,171.11,175.40,174.23,221.23,151.91,342.69,268.47,82.14,36.57
1965,22.52,55.43,90.53,154.66,143.35,202.86,187.07,271.88,263.06,229.80,54.70,17.41
1966,22.47,11.46,90.69,196.55,220.14,221.75,213.77,243.42,236.23,240.19,98.87,15.95
1967,6.46,27.73,66.34,123.61,169.36,207.24,213.24,233.97,303.67,245.70,59.21,29.51
1968,27.32,29.84,99.01,151.68,179.73,224.19,166.66,236.50,265.43,185.71,92.61,26.32
1969,15.12,62.84,173.02,126.58,196.58,198.21,240.38,277.01,296.41,213.36,97.50,15.43
1970,8.29,19.09,93.25,143.33,169.94,193.83,184.05,260.18,282.84,257.04,47.35,13.98
1971,9.00,36.04,103.42,122.84,138.77,184.90,289.87,216.70,281.41,224.32,49.12,33.33
1972,19.24,23.75,118.23,134.85,180.24,149.54,182.60,203.33,248.99,249.80,52.01,21.84
1973,27.45,37.74,87.68,128.76,199.83,185.46,165.02,239.14,264.14,198.53,40.02,34.05
1974,20.34,37.74,85.16,149.82,185.49,169.87,224.99,212.47,280.49,246.60,81.17,12.22
1975,14.70,46.02,96.20,130.30,141.96,160.44,229.01,194.08,284.87,245.52,123.32,14.26
1976,21.86,87.39,91.18,120.86,183.18,173.16,176.08,237.90,218.15,254.16,120.26,11.43
1977,21.20,17.25,49.31,102.06,152.21,180.85,192.59,247.22,290.87,181.25,39.65,12.57
1978,7.66,29.61,86.88,205.86,178.27,190.70,156.07,279.32,309.23,246.13,54.51,10.83
1979,18.72,43.60,88.20,137.09,198.10,190.49,209.30,209.61,227.71,210.86,87.09,8.08
