Variable:,pr
Country:,Comoros
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,336.91,289.67,270.06,281.95,214.57,166.74,188.06,131.15,70.54,100.14,105.65,209.45
1902,337.64,288.11,271.79,281.51,215.03,166.74,184.40,129.97,70.11,100.60,107.06,208.32
1903,337.62,289.67,272.07,282.11,216.34,168.24,185.74,131.15,70.51,100.88,106.48,209.45
1904,337.62,289.67,272.07,282.11,214.40,167.18,184.56,131.31,70.39,101.29,108.20,209.45
1905,336.05,288.80,270.92,281.38,216.34,168.24,185.74,131.15,70.51,100.88,106.48,209.45
1906,337.62,289.67,272.07,282.11,216.34,168.24,185.74,131.15,70.51,100.88,106.48,209.45
1907,316.24,221.10,227.01,257.33,211.00,97.10,263.74,100.38,47.92,42.62,108.59,209.01
1908,371.04,369.99,213.59,235.67,180.35,67.21,185.18,132.89,70.22,100.74,107.90,209.43
1909,337.62,289.67,272.07,282.11,216.34,168.24,185.74,131.15,70.51,100.88,106.48,209.45
1910,337.62,289.67,272.07,282.11,216.34,168.24,185.74,131.15,70.51,100.88,105.62,208.74
1911,336.19,288.95,271.94,284.43,219.13,167.05,185.02,130.42,69.91,100.32,105.92,208.74
1912,337.62,289.67,272.07,282.11,216.34,168.24,185.74,131.15,70.51,100.88,106.48,209.45
1913,337.62,289.67,272.07,282.11,216.34,168.24,185.74,131.15,70.51,100.88,106.48,209.45
1914,337.62,289.67,272.07,282.11,216.34,168.24,185.74,131.15,70.51,100.88,106.48,209.45
1915,337.62,289.67,272.07,282.11,216.34,168.24,185.74,131.15,70.51,100.88,106.48,209.45
1916,337.53,332.86,284.82,356.84,424.13,167.60,204.08,134.22,108.02,69.84,164.42,264.85
1917,337.62,289.67,272.07,282.11,216.34,168.24,185.74,131.15,70.51,100.88,106.48,209.45
1918,337.62,289.67,272.07,282.11,216.34,168.24,185.74,131.15,70.51,100.88,106.48,209.45
1919,337.62,289.67,272.07,282.11,216.34,168.24,185.74,131.15,70.51,100.88,106.48,209.45
1920,337.62,289.67,272.07,282.11,216.34,168.24,185.74,131.15,70.51,100.88,106.48,209.45
1921,337.62,289.67,272.07,282.11,216.34,168.24,185.74,131.15,70.51,100.88,106.48,209.45
1922,335.92,291.51,270.76,280.21,215.45,168.38,184.72,130.27,70.50,100.29,106.61,209.16
1923,337.62,289.67,272.07,282.11,216.34,168.24,185.74,131.15,70.51,100.88,106.48,209.45
1924,338.58,288.64,270.01,280.40,214.49,168.45,184.10,129.79,69.73,100.16,105.75,207.76
1925,446.51,260.46,270.86,284.15,246.56,115.87,137.65,90.20,57.78,70.48,106.77,209.60
1926,337.25,288.71,270.70,280.47,214.04,166.47,183.74,134.92,69.97,100.30,106.94,209.74
1927,338.70,289.54,271.27,283.89,214.57,166.47,184.48,129.79,69.73,100.05,105.98,210.33
1928,338.84,289.56,271.96,281.20,214.69,168.34,183.74,130.24,73.57,101.40,105.97,209.99
1929,338.16,291.02,270.80,281.20,214.80,167.24,184.38,136.94,71.06,100.70,105.84,208.55
1930,337.35,289.21,271.07,280.84,219.14,167.42,184.38,130.24,69.97,100.16,106.21,209.00
1931,338.80,290.52,272.90,282.40,214.46,167.18,183.74,130.86,69.73,100.32,107.90,209.61
1932,338.18,291.66,271.50,282.84,214.40,167.36,184.25,130.71,71.23,100.60,105.89,209.60
1933,443.92,343.68,237.37,156.49,94.54,199.78,178.44,215.06,79.29,54.84,69.70,208.11
1934,467.27,331.95,192.56,257.97,323.34,312.37,200.66,222.67,85.45,94.41,79.90,203.41
1935,312.35,314.62,190.85,245.31,133.91,127.49,121.45,85.65,50.53,63.52,82.17,197.54
1936,309.22,187.64,286.55,338.42,146.29,91.82,93.19,90.76,38.01,42.92,85.69,249.14
1937,560.19,364.64,321.46,164.11,147.94,290.33,81.27,83.88,59.30,54.61,80.23,199.05
1938,278.46,210.61,320.85,308.93,137.64,68.22,184.33,110.00,60.89,62.76,82.46,158.31
1939,325.65,292.33,266.09,337.47,244.54,69.21,155.38,117.01,127.61,114.36,82.08,154.51
1940,408.07,254.47,439.21,127.57,129.20,412.62,286.32,99.40,31.18,118.68,84.97,163.91
1941,536.97,236.37,205.21,171.32,112.48,285.47,204.30,76.51,34.23,103.03,89.24,164.71
1942,235.31,269.60,189.35,318.16,200.06,119.96,167.94,121.03,132.60,139.42,73.44,229.14
1943,463.84,197.23,179.11,226.96,216.61,268.71,151.29,112.30,44.06,63.45,67.98,166.52
1944,320.02,217.83,251.89,154.62,148.52,120.55,107.39,111.62,52.09,55.33,137.17,205.11
1945,402.96,282.68,270.97,240.61,238.75,69.62,71.82,47.04,54.32,40.71,112.04,181.47
1946,329.49,134.55,191.33,368.41,105.51,97.03,146.51,112.96,115.56,70.89,75.32,225.23
1947,299.79,306.60,340.42,233.81,171.05,159.01,74.80,90.00,117.76,198.43,71.85,176.56
1948,312.45,218.67,326.10,222.97,133.26,187.87,292.16,64.54,124.51,65.72,102.81,177.14
1949,278.49,327.71,247.91,220.79,252.96,194.44,221.83,115.73,60.33,72.67,69.96,185.57
1950,332.14,365.73,282.57,205.19,121.02,144.09,124.95,83.51,35.60,97.95,102.79,176.86
1951,321.73,282.18,236.69,230.68,139.95,113.13,162.62,138.22,174.39,49.93,148.10,209.68
1952,273.16,316.67,191.73,367.00,200.60,188.47,122.02,206.25,79.27,96.90,86.36,167.34
1953,244.94,204.35,311.00,242.53,115.69,111.75,83.89,166.36,112.71,52.67,70.14,249.15
1954,333.83,361.85,203.52,310.03,156.49,77.26,133.01,72.85,71.24,74.41,76.71,185.42
1955,324.68,376.51,339.58,231.94,269.65,265.84,179.12,94.52,33.60,113.95,83.19,171.56
1956,506.85,334.63,230.83,383.99,170.51,182.35,240.62,53.04,161.27,71.69,73.02,187.22
1957,370.12,335.40,222.34,292.60,145.65,149.21,203.51,181.90,65.82,88.30,79.70,250.44
1958,228.60,321.54,314.81,278.67,146.47,154.03,133.52,79.18,106.46,100.53,95.02,226.61
