Variable:,pr
Country:,"Cape Verde"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.87,0.00,0.00,2.03,0.00,1.27,3.41,36.59,34.83,24.49,0.00,0.00
1902,1.82,0.00,0.00,2.03,0.00,1.27,1.33,95.08,6.36,175.16,0.00,1.98
1903,4.63,0.00,0.00,2.03,0.00,1.27,0.00,105.11,78.96,0.00,12.96,0.00
1904,11.87,0.00,11.76,2.03,0.00,1.27,4.92,71.81,28.51,34.72,10.32,0.00
1905,0.00,1.30,8.20,2.03,0.00,1.27,0.00,118.75,43.11,17.13,19.77,0.00
1906,0.00,9.13,0.00,2.03,0.00,1.27,21.06,48.96,256.07,162.65,2.84,4.26
1907,2.35,14.28,0.00,2.03,0.00,1.27,0.00,11.52,229.76,33.30,36.62,0.00
1908,17.56,0.00,0.00,2.03,0.00,1.27,0.00,98.84,43.75,32.34,30.16,13.41
1909,0.00,0.00,0.00,2.03,0.00,1.27,42.26,121.97,114.72,101.81,66.87,18.73
1910,1.68,0.00,0.62,2.03,0.00,1.27,9.33,151.65,7.72,32.28,0.00,0.00
1911,5.47,0.00,0.00,2.03,0.00,1.27,24.97,0.79,82.00,75.42,0.00,3.40
1912,0.00,0.00,0.00,2.03,0.00,1.27,0.00,34.28,207.18,1.01,0.00,0.00
1913,0.00,4.69,0.00,2.03,0.00,1.27,0.00,30.23,8.88,177.69,0.00,0.00
1914,5.94,0.00,0.00,2.03,0.00,1.27,3.41,9.80,106.71,69.55,30.20,2.92
1915,0.00,1.36,0.00,2.03,0.00,1.27,24.97,93.43,62.39,0.00,0.00,0.00
1916,0.00,1.30,0.00,2.03,0.00,1.27,11.29,118.96,138.93,1.96,0.00,0.00
1917,0.00,0.00,0.00,2.03,0.00,1.27,0.00,13.50,121.35,0.00,33.45,0.94
1918,3.15,2.71,0.00,2.03,0.00,1.27,0.00,183.12,161.77,193.80,0.00,0.00
1919,3.15,0.00,0.00,2.03,0.00,1.27,0.00,126.80,161.36,0.00,0.00,3.66
1920,22.08,0.00,0.00,2.03,0.00,1.27,14.48,2.95,12.92,41.65,3.61,0.00
1921,0.00,0.00,0.00,2.03,0.00,1.27,0.00,1.58,58.23,1.96,0.00,1.82
1922,0.00,0.00,0.00,2.03,0.00,1.27,1.33,26.23,72.33,100.74,0.00,1.58
1923,0.00,0.00,0.00,2.03,0.00,1.27,0.00,13.89,101.54,8.81,2.84,3.08
1924,25.24,0.00,0.00,2.03,0.00,1.27,1.33,30.48,93.05,1.01,0.00,12.30
1925,0.00,0.00,0.00,2.03,0.00,1.27,0.00,63.36,77.81,62.61,45.27,0.00
1926,0.00,0.00,0.00,2.03,0.00,1.27,0.00,55.86,16.80,0.00,0.00,0.00
1927,0.00,0.00,0.00,2.03,0.00,1.27,0.00,109.32,321.16,180.07,0.00,3.88
1928,7.16,0.00,0.00,2.03,0.00,1.27,0.00,74.56,189.20,66.11,0.00,0.00
1929,0.00,0.00,0.00,2.03,0.00,0.02,0.00,69.87,35.70,131.47,16.09,0.00
1930,0.00,1.30,0.00,2.03,0.00,0.02,6.01,23.50,90.24,0.00,4.58,0.00
1931,1.14,4.53,0.00,2.03,0.00,1.27,0.00,4.55,87.64,148.87,0.00,0.42
1932,0.00,8.52,0.00,2.03,0.00,0.02,1.12,123.60,21.91,15.30,0.00,0.00
1933,0.00,0.00,0.00,2.03,0.00,0.02,34.46,7.94,52.47,0.00,10.32,1.88
1934,0.00,1.45,0.62,2.03,1.94,0.02,0.15,6.71,81.96,57.86,46.33,0.00
1935,0.00,7.27,0.00,2.03,0.00,0.02,0.00,63.36,50.90,89.98,0.00,0.00
1936,0.00,0.00,0.62,2.03,1.94,0.02,4.94,56.36,33.91,55.77,10.32,43.80
1937,0.00,0.00,0.00,2.03,0.00,0.02,0.00,28.04,111.83,29.55,6.34,3.92
1938,5.25,5.28,0.00,2.03,0.00,0.02,0.00,27.49,168.25,109.48,0.00,0.00
1939,1.81,1.47,11.88,2.03,0.00,0.02,8.10,62.25,16.23,99.46,9.95,4.28
1940,0.00,0.00,0.00,0.70,0.00,0.02,0.30,120.36,58.67,16.55,0.46,3.83
1941,8.16,8.01,0.00,5.93,0.00,0.00,0.00,2.58,103.90,24.27,0.00,0.00
