Variable:,pr
Country:,Eritrea
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,9.77,5.29,5.11,8.33,4.25,23.82,18.58,91.04,11.00,4.11,1.27,10.95
1902,4.46,6.31,13.32,8.90,1.65,2.04,44.59,20.98,32.84,12.84,7.12,15.45
1903,14.08,15.75,3.31,4.45,31.38,6.40,60.85,79.25,39.15,3.04,2.36,8.53
1904,3.84,6.80,12.82,1.74,8.73,9.75,41.69,41.72,31.36,13.69,22.93,6.67
1905,4.76,9.11,4.20,5.49,16.85,8.01,51.75,48.68,48.37,2.55,4.66,6.86
1906,2.64,23.22,6.43,3.45,1.00,13.31,51.82,56.19,18.49,8.82,12.07,3.94
1907,4.80,6.10,2.78,5.47,11.19,3.21,80.65,131.02,15.91,4.57,12.73,4.88
1908,9.50,9.33,10.00,7.74,19.61,11.48,66.12,34.43,50.71,6.11,10.02,10.43
1909,5.71,6.47,12.64,18.54,26.99,21.29,71.06,57.17,31.81,4.88,3.35,13.33
1910,2.16,7.24,5.29,10.32,19.49,17.90,50.47,130.06,23.32,11.82,2.28,10.60
1911,5.66,12.99,8.05,8.80,25.23,11.73,92.45,41.25,49.27,6.13,16.82,4.57
1912,9.93,11.91,8.25,9.58,2.10,19.77,66.11,67.22,9.12,6.28,4.34,14.79
1913,5.34,12.87,10.73,19.54,28.09,7.50,71.62,100.95,26.50,1.75,1.36,7.76
1914,7.46,9.43,9.32,2.92,11.60,15.38,46.52,102.78,20.83,23.75,3.94,5.68
1915,5.90,6.59,2.14,1.58,28.55,10.85,45.99,47.75,29.58,2.78,7.19,10.92
1916,9.82,11.49,5.57,20.52,10.50,55.81,153.83,106.89,32.62,3.22,12.90,22.10
1917,8.58,36.90,0.85,14.27,8.92,57.54,22.30,92.89,40.08,7.46,1.17,11.53
1918,13.49,10.21,1.76,1.47,8.87,18.56,42.90,66.67,22.15,9.71,12.17,3.94
1919,6.63,6.57,6.47,1.17,5.86,14.65,59.32,71.40,57.91,0.70,3.11,1.67
1920,15.36,69.88,8.74,10.80,18.01,20.44,105.00,112.84,23.86,3.41,8.25,8.79
1921,4.79,12.15,9.88,3.15,25.43,12.14,80.52,45.85,29.09,5.02,11.38,3.90
1922,5.97,3.90,10.71,3.09,21.07,17.83,62.51,111.49,15.49,1.53,1.99,6.62
1923,1.34,2.90,8.50,4.00,20.42,12.00,83.25,108.74,18.45,6.18,10.30,10.51
1924,17.56,3.17,7.94,6.31,12.76,10.96,68.62,65.49,52.44,19.55,7.63,6.45
1925,5.46,51.37,2.01,14.69,6.07,17.68,72.82,63.06,36.65,11.18,17.36,5.09
