Variable:,pr
Country:,Ethiopia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,11.96,23.98,54.94,96.49,83.56,104.67,123.61,162.26,91.56,72.09,27.86,14.17
1902,7.24,21.87,35.30,95.26,91.25,78.68,112.42,103.50,88.78,71.78,38.00,23.02
1903,17.04,16.17,46.34,89.52,165.21,87.91,130.08,122.83,143.14,75.97,33.10,14.97
1904,6.64,14.89,59.62,75.93,91.56,72.69,127.24,134.80,123.91,67.88,36.95,8.48
1905,7.71,15.44,42.25,97.44,95.82,73.92,134.64,139.99,140.32,60.91,70.19,6.70
1906,12.64,46.33,77.68,92.64,90.20,86.27,136.71,151.97,90.73,68.53,50.06,5.94
1907,5.32,21.06,30.10,113.44,93.78,62.44,119.46,134.68,100.28,71.72,76.12,11.50
1908,18.78,14.14,32.71,95.27,72.62,63.09,136.90,160.68,110.31,82.29,39.26,6.58
1909,16.30,10.79,40.31,110.67,127.82,95.83,119.62,180.79,115.63,62.10,41.51,10.02
1910,4.93,11.22,28.66,82.26,118.82,69.02,131.17,175.65,108.76,76.32,26.20,14.86
1911,9.98,10.70,59.65,81.60,100.48,70.11,130.37,152.36,129.64,80.94,34.81,7.44
1912,19.74,28.77,28.75,76.29,74.53,113.87,156.16,141.89,71.97,61.60,23.15,14.35
1913,7.34,30.18,45.20,102.35,102.17,57.40,111.70,129.43,73.79,59.71,19.54,4.69
1914,7.63,19.56,45.86,87.40,83.16,73.13,145.05,186.88,140.23,123.74,32.37,18.70
1915,6.70,11.33,36.87,90.26,97.36,98.40,128.95,127.99,106.51,86.83,58.34,14.14
1916,26.13,24.32,47.24,97.09,113.65,96.12,158.38,182.06,143.33,60.39,31.06,18.92
1917,18.24,18.27,19.93,103.17,134.70,122.31,123.10,159.18,123.79,88.90,19.59,17.29
1918,6.88,28.29,49.13,102.90,93.56,73.12,112.51,129.33,72.52,48.31,23.36,9.90
1919,7.38,14.29,54.72,68.00,88.47,67.14,156.95,128.66,92.68,61.74,26.33,4.04
1920,9.00,18.40,42.45,102.46,106.44,81.93,135.84,145.90,94.97,78.30,30.65,6.63
1921,7.91,8.79,21.43,74.04,104.95,76.23,152.19,123.15,107.49,63.91,27.02,6.23
1922,4.61,16.56,33.95,52.75,126.70,72.89,131.80,157.64,101.95,64.97,20.44,5.07
1923,2.72,29.80,58.25,103.50,124.87,77.32,116.12,150.39,153.57,67.06,49.57,12.41
1924,9.32,18.68,59.03,98.65,82.23,84.96,130.35,157.90,103.89,60.78,17.04,10.10
1925,7.84,19.54,28.82,60.78,108.29,87.25,137.83,131.09,101.86,95.04,88.91,12.35
1926,15.03,32.05,50.57,125.04,165.87,90.47,122.19,149.79,111.65,63.89,36.85,4.16
1927,3.52,15.52,31.57,87.27,88.33,72.60,138.92,135.33,124.54,37.05,30.89,7.05
1928,7.97,11.21,38.30,97.71,129.50,78.10,128.72,164.35,59.01,63.92,66.79,5.63
1929,4.52,18.49,23.85,92.14,108.51,97.48,139.93,156.46,127.91,82.48,22.01,21.17
1930,25.96,21.40,68.25,131.41,83.89,85.57,143.30,118.39,81.08,80.79,17.93,27.01
1931,8.92,22.61,48.21,65.86,116.94,69.17,123.06,151.31,113.26,71.60,18.14,3.78
1932,3.60,6.67,63.31,66.63,108.21,71.20,137.00,169.33,128.08,43.63,15.84,30.81
1933,10.73,17.19,27.01,80.84,86.06,72.11,125.30,154.27,101.59,64.41,35.21,7.10
1934,3.22,8.63,34.21,80.62,119.60,108.27,151.19,130.80,87.06,54.25,20.22,12.98
1935,3.05,13.58,31.21,100.81,210.85,88.61,101.12,153.26,140.41,46.58,33.58,10.96
1936,27.17,54.01,57.85,113.32,79.73,88.22,149.47,158.68,106.17,65.73,22.94,12.64
1937,12.90,28.97,66.83,82.80,113.69,90.58,119.81,140.54,88.14,67.86,59.83,5.24
1938,12.04,8.60,27.46,61.97,76.93,88.05,163.69,164.73,109.33,73.64,14.92,7.09
1939,4.63,17.30,38.18,90.17,114.23,65.88,111.18,121.82,90.54,94.29,24.46,7.40
1940,15.89,38.39,73.04,93.30,77.57,70.90,129.86,142.45,75.37,50.15,35.29,7.88
1941,4.97,20.12,45.30,95.23,112.42,76.62,111.87,123.45,88.66,96.56,40.96,9.53
1942,7.68,23.55,54.54,94.67,134.90,61.85,120.83,125.53,96.73,47.70,24.16,6.01
1943,13.59,14.67,24.87,50.94,101.22,78.62,124.23,137.95,111.14,49.05,16.81,12.66
1944,17.83,9.22,32.84,101.59,90.85,68.08,136.04,139.49,99.67,63.70,34.34,17.79
1945,7.21,6.70,19.09,32.60,132.78,74.24,130.29,149.70,113.53,59.06,60.21,6.49
1946,3.80,4.88,31.14,98.24,104.15,107.78,135.04,190.05,121.71,68.35,27.84,3.79
1947,7.66,28.72,69.58,98.63,95.92,69.14,129.36,172.60,118.85,53.33,28.99,9.70
1948,8.98,21.71,33.09,70.51,79.19,100.19,135.23,118.01,117.60,90.43,25.65,10.23
1949,9.52,13.78,34.71,56.64,124.60,76.38,141.21,137.31,109.40,60.16,39.86,16.40
1950,7.53,11.64,37.09,86.26,92.76,63.45,135.15,335.06,97.60,39.37,13.63,5.88
