Variable:,pr
Country:,Gabon
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,175.16,138.38,274.21,240.58,202.31,51.41,15.62,13.72,77.59,210.78,242.05,138.76
1902,137.11,107.83,248.22,224.36,186.17,29.65,9.51,26.62,81.74,261.86,258.35,212.14
1903,143.41,138.95,298.28,233.79,188.67,29.02,15.31,21.02,143.58,295.98,224.41,165.53
1904,148.78,139.27,242.32,237.26,164.53,59.52,9.06,14.92,65.65,241.85,303.11,115.04
1905,153.04,186.01,205.12,171.36,198.09,20.63,8.05,12.65,89.91,267.95,301.57,192.63
1906,144.51,191.16,228.76,211.35,92.00,21.90,7.23,13.26,83.86,197.21,267.48,125.86
1907,127.29,247.53,247.31,248.36,168.83,17.74,5.12,10.04,64.25,194.35,284.27,132.87
1908,110.29,146.57,246.77,242.20,202.51,22.21,5.22,34.34,86.64,316.64,301.50,152.33
1909,154.71,195.71,244.92,233.61,178.67,30.64,6.97,19.65,143.53,335.20,297.65,206.80
1910,201.37,97.37,160.12,190.08,242.32,59.11,8.41,14.43,128.06,192.69,236.43,148.21
1911,127.82,133.64,247.98,216.14,133.63,18.72,7.14,10.96,76.79,216.87,294.60,235.52
1912,261.10,178.81,251.63,241.88,169.53,37.43,12.89,27.52,82.45,269.34,272.45,118.64
1913,82.24,220.40,236.61,219.49,215.54,86.91,6.57,11.29,48.84,155.27,152.52,84.47
1914,134.14,183.44,188.77,201.19,93.28,33.01,7.48,15.65,100.78,249.76,301.90,181.35
1915,147.11,144.78,223.76,211.18,177.57,39.17,11.18,19.46,106.24,277.60,311.21,180.50
1916,147.94,171.45,229.36,209.97,177.62,39.35,11.33,19.10,107.06,321.87,300.01,187.88
1917,160.47,156.32,232.95,203.71,191.17,38.60,10.91,19.65,108.31,282.57,274.07,160.88
1918,140.32,149.14,213.86,217.44,175.55,39.92,12.10,19.10,105.99,276.89,292.38,179.20
1919,157.18,147.75,211.29,198.33,168.97,39.54,11.03,20.36,104.67,279.00,316.75,173.53
1920,157.13,158.56,216.63,213.81,189.30,40.02,11.13,19.25,106.28,283.43,298.75,181.10
1921,155.90,160.01,231.83,214.40,180.00,40.02,11.29,19.68,109.74,291.52,294.26,168.51
1922,153.56,162.17,232.29,213.13,179.33,41.11,10.87,20.02,110.57,290.27,297.02,176.17
1923,155.22,161.44,229.02,222.67,177.10,40.96,10.77,19.75,111.01,289.45,298.50,176.86
1924,161.67,155.87,225.48,193.59,162.44,38.62,10.70,19.36,111.02,291.06,302.54,175.94
1925,152.72,159.42,227.12,212.13,179.73,40.24,10.69,19.37,114.94,291.87,299.46,173.36
1926,155.83,159.77,237.40,217.74,189.18,33.44,11.40,16.96,117.61,294.63,326.75,183.22
1927,156.77,158.45,206.75,216.24,189.76,43.84,13.44,18.99,100.23,283.62,311.13,223.25
1928,194.99,150.50,222.20,229.91,186.24,42.49,9.66,19.47,118.59,276.93,303.34,189.22
1929,145.58,171.34,249.71,215.90,169.91,37.99,9.43,21.04,111.15,289.70,303.36,188.10
1930,155.67,162.42,238.77,203.58,160.13,40.95,6.36,15.07,108.64,303.90,265.47,176.25
1931,143.72,175.69,190.42,224.73,175.70,45.38,10.13,13.05,96.73,277.62,297.77,193.03
1932,159.52,129.17,209.57,202.68,168.91,38.45,5.92,17.45,108.94,281.80,307.90,192.85
1933,161.88,203.97,301.76,220.67,173.55,31.49,11.25,14.47,86.03,323.67,300.15,184.27
1934,124.10,122.90,227.04,223.16,229.17,80.91,13.29,14.79,126.28,351.10,320.63,193.44
1935,143.89,186.84,261.30,260.15,166.65,37.83,10.29,18.85,131.93,350.67,225.12,198.23
1936,130.40,126.98,198.16,232.55,149.62,45.79,5.83,18.88,125.13,253.05,206.14,184.46
1937,123.50,163.07,223.60,275.94,197.89,72.44,14.86,17.62,64.92,275.27,246.96,159.06
1938,124.09,151.90,182.88,248.76,164.82,28.94,7.11,21.36,76.95,284.25,290.72,195.46
1939,160.87,231.62,248.03,221.85,259.49,70.82,3.92,16.09,70.74,216.89,299.99,207.91
1940,200.63,140.60,189.22,266.63,100.24,28.91,4.26,12.89,80.45,231.25,291.34,195.91
1941,64.59,146.16,191.55,234.18,244.39,30.03,6.53,8.12,84.94,214.55,188.55,163.96
1942,133.82,169.08,186.44,218.15,145.93,26.15,7.06,13.85,83.68,218.40,206.16,195.96
1943,154.74,147.12,213.36,220.81,138.57,17.15,5.66,17.74,87.93,236.98,314.46,165.57
1944,124.91,149.76,278.00,275.85,209.74,40.65,6.93,20.14,169.04,384.50,302.90,202.97
1945,199.36,123.45,235.65,172.45,182.50,28.39,11.05,29.03,117.41,449.74,224.73,175.73
1946,165.25,153.48,200.55,199.05,101.08,19.91,8.67,12.56,161.79,299.02,327.95,209.43
1947,173.92,200.21,217.52,285.30,261.24,84.49,3.86,25.59,147.89,321.21,297.86,194.79
1948,204.16,198.23,211.41,225.93,112.12,54.30,9.85,30.02,96.04,304.92,293.23,202.25
1949,168.14,159.54,252.55,212.81,163.09,47.13,19.25,17.17,171.78,357.92,271.70,143.37
1950,157.17,183.25,255.79,212.32,188.33,31.25,1.93,20.00,94.54,359.22,353.72,195.23
1951,116.49,186.11,281.10,187.71,218.59,24.00,13.61,13.67,115.10,330.24,354.90,191.80
1952,158.26,214.96,273.43,287.70,224.35,50.11,10.02,17.81,109.67,309.72,330.63,190.07
1953,181.26,202.80,268.47,191.04,222.01,46.91,13.34,25.14,58.61,226.36,259.30,105.63
1954,96.37,228.18,236.87,211.34,161.22,18.18,1.48,11.93,123.77,400.56,294.70,189.97
1955,202.47,117.58,297.53,197.93,275.27,34.50,8.84,13.70,143.33,338.97,281.44,216.03
1956,143.09,128.61,296.46,236.99,137.21,28.41,3.84,6.01,75.31,311.59,260.81,213.34
1957,198.68,134.57,248.70,248.41,223.27,32.93,13.20,20.21,81.40,239.53,304.05,243.38
1958,136.07,87.58,205.83,201.04,97.66,12.29,1.85,5.32,88.30,203.88,251.57,229.42
1959,221.51,178.99,211.74,220.82,156.16,17.37,12.71,19.57,160.65,391.40,319.39,203.96
1960,158.26,231.01,234.44,231.55,191.49,48.19,11.87,18.57,161.59,311.83,308.66,248.03
1961,198.85,207.42,262.63,266.74,148.29,16.53,8.16,6.54,148.91,376.85,339.34,160.38
1962,174.10,178.60,326.65,245.58,211.58,31.65,6.53,15.73,109.15,296.48,270.11,224.26
1963,171.18,164.99,243.19,243.98,244.04,61.81,32.81,30.22,95.98,267.25,290.54,196.71
1964,133.56,147.36,177.83,227.32,165.19,23.81,4.23,22.95,56.33,300.54,318.41,228.98
1965,170.90,147.51,293.32,221.02,196.04,28.51,9.43,31.89,94.56,231.08,222.10,113.64
1966,179.17,196.15,220.40,307.13,173.02,80.14,6.06,13.96,71.54,264.24,319.42,151.80
