Variable:,pr
Country:,Ghana
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,14.16,69.40,61.66,109.47,148.89,154.62,103.76,142.95,230.80,185.85,45.66,12.15
1902,6.42,38.58,81.58,147.19,200.34,178.46,133.45,123.12,117.56,99.01,39.79,15.38
1903,11.12,48.69,40.76,104.87,138.63,135.21,108.48,130.55,134.84,127.51,56.69,13.89
1904,8.22,20.03,57.72,87.04,153.95,180.32,110.24,81.49,132.92,106.60,30.33,35.76
1905,7.74,33.92,64.74,87.96,142.23,163.45,139.74,134.24,149.68,116.57,67.46,24.35
1906,13.05,19.82,51.36,123.39,211.49,201.73,117.67,85.80,159.02,169.02,59.57,23.82
1907,9.52,23.82,64.04,111.26,138.54,210.59,120.36,52.77,192.32,117.67,35.93,11.14
1908,13.40,22.71,58.34,134.09,143.63,192.07,128.69,82.85,229.27,153.14,63.01,15.51
1909,31.46,67.41,100.67,115.47,166.07,182.88,136.20,164.80,164.32,170.65,44.35,33.51
1910,0.56,17.62,60.53,130.63,158.82,221.54,218.55,219.81,230.90,131.58,29.06,16.63
1911,8.33,25.81,158.40,114.67,166.30,195.45,135.46,119.04,145.86,101.97,60.94,21.79
1912,8.39,35.91,48.48,140.07,99.11,187.53,131.28,93.51,133.68,103.69,40.72,20.47
1913,7.43,65.11,32.05,107.40,117.62,132.14,199.50,197.79,178.34,95.09,31.41,7.24
1914,8.06,24.71,63.19,99.61,130.64,180.05,103.22,100.88,167.65,153.75,56.97,19.31
1915,0.93,20.89,119.68,81.89,188.63,207.90,149.12,114.15,159.11,110.73,48.59,19.60
1916,1.52,11.33,73.50,87.51,157.22,271.00,163.53,171.20,154.08,185.38,79.38,8.85
1917,38.72,58.27,57.08,72.05,204.62,160.53,213.62,256.14,297.37,121.70,71.21,21.94
1918,3.39,13.71,132.16,102.40,177.23,197.81,141.52,95.16,122.30,167.80,97.48,38.25
1919,10.14,28.64,101.91,113.94,184.32,186.99,61.86,68.35,149.56,139.71,35.36,5.79
1920,1.64,31.44,39.69,119.44,148.27,176.65,109.16,94.82,121.68,99.33,78.45,14.24
1921,4.76,34.79,56.75,95.40,136.81,188.67,180.52,183.62,247.76,126.50,76.15,14.93
1922,4.69,44.15,42.44,127.17,145.52,157.29,71.09,88.08,201.87,199.87,92.96,17.94
1923,19.85,36.14,87.75,135.82,145.82,156.35,127.73,68.89,198.22,140.38,63.01,15.41
1924,17.84,48.01,80.22,121.69,118.42,179.83,132.81,64.67,215.73,162.45,47.47,33.03
1925,0.29,24.77,105.01,103.83,155.79,236.84,132.01,142.23,203.08,160.72,88.85,9.09
1926,3.85,21.24,71.04,79.38,182.05,206.17,132.14,122.51,188.56,97.89,54.29,18.88
1927,9.49,67.89,55.42,137.85,134.77,187.44,106.92,83.83,169.18,199.93,52.20,23.99
1928,7.38,19.32,92.10,124.28,159.89,151.94,115.22,137.01,172.36,203.59,35.91,18.67
1929,12.08,40.10,85.86,114.91,164.10,251.76,147.81,115.73,199.45,195.53,61.62,19.09
1930,6.79,36.43,78.27,100.71,212.89,194.88,124.26,105.38,192.39,168.20,48.04,26.36
1931,27.36,44.44,66.33,116.29,187.62,245.19,115.49,134.88,171.66,144.82,69.72,26.32
1932,7.61,64.22,104.36,104.39,191.51,167.01,74.21,96.50,153.52,165.42,55.92,14.57
1933,13.61,47.14,80.52,133.87,178.48,218.50,156.80,162.61,166.22,138.37,84.26,38.52
1934,4.76,17.94,96.37,107.14,126.26,168.95,167.45,181.09,227.02,197.48,34.72,24.60
1935,11.51,27.19,89.80,135.92,142.71,226.38,177.99,130.54,180.50,141.09,51.56,18.93
1936,9.96,57.88,52.72,125.26,185.19,158.53,84.20,81.90,173.80,146.50,88.26,23.71
1937,3.73,35.65,51.93,93.92,131.24,152.05,133.93,127.24,192.76,160.81,46.72,20.90
1938,10.99,32.02,72.67,103.71,171.00,158.19,104.97,112.67,183.20,166.03,92.44,36.23
1939,26.30,38.37,91.07,113.19,164.31,172.39,176.70,142.90,140.61,127.55,47.56,33.00
1940,15.56,36.01,72.81,100.38,152.42,190.03,98.56,137.70,176.86,177.50,62.53,6.83
1941,12.60,12.04,76.48,120.30,189.24,177.56,156.96,157.23,214.25,124.68,66.64,27.51
1942,15.95,39.06,71.41,103.41,237.38,158.51,61.14,100.62,153.97,186.07,44.23,31.82
1943,11.07,35.35,95.44,153.63,178.00,168.93,99.35,120.48,181.16,157.75,81.81,21.53
1944,17.32,37.92,124.82,104.23,107.02,182.67,152.29,135.91,185.55,163.21,37.45,18.67
1945,17.87,27.07,47.91,103.40,139.85,138.84,154.38,128.56,210.34,172.48,40.92,12.30
1946,14.36,22.28,80.63,70.10,147.46,163.17,65.60,66.46,203.61,178.09,48.27,17.40
1947,6.20,45.33,59.37,99.67,154.76,176.60,135.99,212.65,293.86,134.88,52.37,32.02
1948,0.26,29.91,64.59,133.00,182.50,181.84,91.40,104.97,164.55,102.48,58.24,13.08
1949,2.10,24.34,84.77,92.46,148.43,177.80,187.85,181.73,214.86,149.50,60.76,11.45
1950,10.96,17.01,53.27,132.61,138.30,152.62,101.00,90.62,131.15,147.72,41.75,19.04
1951,13.38,49.14,99.38,68.64,213.08,146.38,158.38,125.32,188.54,290.06,72.66,4.21
1952,12.24,36.24,91.23,91.82,155.33,216.74,136.99,100.82,270.29,205.14,49.36,21.97
1953,5.18,65.40,64.07,77.91,152.68,201.47,189.92,83.75,178.78,154.54,47.98,15.29
1954,16.44,48.87,100.24,149.95,162.24,168.31,78.13,95.67,171.80,231.21,69.72,17.57
1955,12.67,41.92,103.18,119.03,143.42,224.87,171.57,140.35,203.72,190.43,47.07,18.97
1956,4.45,50.30,120.09,120.01,181.69,170.56,80.79,96.78,171.27,114.49,56.86,28.00
1957,8.56,25.92,78.35,136.01,204.48,187.68,154.20,160.63,219.74,198.63,79.56,32.79
1958,24.54,17.97,68.21,138.54,185.33,143.30,21.64,73.79,146.20,103.87,95.73,29.82
1959,14.77,52.25,99.33,123.75,162.75,169.73,162.51,97.20,202.13,128.64,63.99,19.85
1960,25.88,21.51,90.74,155.45,121.23,248.39,122.37,127.28,220.31,177.49,33.67,36.57
1961,7.04,6.43,62.12,124.34,140.14,229.88,164.62,58.05,172.16,100.57,40.57,9.93
1962,6.60,18.39,83.59,130.76,191.07,297.60,121.37,162.71,134.92,162.66,118.96,29.49
1963,19.15,63.44,68.36,125.24,157.67,204.95,267.03,222.68,248.74,238.35,50.61,13.22
1964,26.64,15.80,119.94,97.96,157.97,235.38,112.91,112.51,174.40,81.30,47.08,33.06
1965,14.21,46.43,63.45,126.66,142.75,226.85,167.22,175.14,172.91,122.84,31.37,8.39
1966,9.25,19.09,81.13,133.68,140.38,185.54,178.20,148.05,152.37,152.09,39.39,16.03
1967,3.74,32.06,85.48,124.38,140.34,219.41,94.24,119.93,181.10,98.00,34.52,32.73
1968,18.81,55.05,93.84,136.83,170.25,245.80,270.20,250.12,285.58,167.37,65.70,16.28
1969,6.70,31.37,73.17,130.59,141.04,175.38,118.01,147.73,155.66,169.64,88.00,13.25
1970,15.50,31.10,62.24,92.09,186.83,110.96,101.30,131.19,213.44,111.87,45.64,9.08
1971,11.41,62.55,104.36,97.16,136.76,196.21,170.34,152.61,189.03,91.44,25.45,25.39
1972,6.51,36.71,85.54,125.65,185.30,177.38,147.11,87.87,130.96,134.29,25.70,29.81
1973,1.83,27.04,75.27,92.95,131.09,184.78,127.73,198.11,187.77,115.17,18.40,20.32
1974,7.54,13.31,106.63,91.71,138.61,182.96,177.50,145.22,247.90,116.51,26.92,18.25
1975,0.19,53.22,94.08,115.25,150.85,156.70,212.90,97.60,159.73,109.48,48.04,18.01
1976,5.96,61.34,66.16,111.53,170.44,182.48,78.34,91.68,106.55,199.51,83.05,7.67
1977,18.57,15.96,52.27,75.06,134.42,139.91,85.42,110.49,176.60,145.57,15.84,16.52
1978,3.87,39.13,96.02,146.27,175.70,154.39,111.39,89.91,158.39,142.84,34.82,28.39
1979,9.24,13.76,68.26,104.83,178.54,245.94,211.31,144.64,225.87,154.78,56.39,7.38
1980,16.03,34.34,47.15,97.21,163.88,149.04,153.17,165.98,187.71,170.63,53.37,9.27
1981,3.35,18.01,93.56,76.09,194.38,163.03,159.16,137.40,167.51,109.87,16.32,11.51
1982,3.57,47.67,84.49,130.00,145.31,170.10,129.10,101.10,118.37,129.90,34.06,3.93
1983,0.00,14.44,25.56,86.16,166.73,162.12,85.23,63.77,151.68,39.32,27.61,27.03
1984,3.33,7.21,100.01,115.00,165.54,166.37,183.91,190.82,167.52,114.78,34.56,8.44
1985,13.71,14.48,83.23,95.10,121.62,164.10,213.36,180.22,199.14,96.12,52.73,3.79
1986,0.92,36.03,75.51,92.47,146.00,146.38,150.48,98.66,187.50,136.30,38.20,2.90
1987,7.18,25.95,77.88,55.35,101.55,161.97,144.50,242.84,254.33,143.06,14.97,12.12
1988,5.00,24.30,88.16,107.22,119.56,199.13,170.16,114.86,196.03,101.72,39.08,21.51
1989,2.72,6.94,88.38,83.51,104.27,257.16,165.84,193.59,256.52,146.49,19.72,15.23
1990,7.41,28.25,16.82,114.87,124.21,146.92,127.90,101.50,168.04,103.86,50.92,61.12
1991,11.00,43.05,69.08,138.40,238.98,134.02,211.90,180.14,121.77,145.15,18.14,6.04
1992,0.41,8.02,38.99,98.81,155.03,143.23,113.91,71.02,174.65,92.46,47.99,13.28
1993,2.68,27.56,64.65,102.68,101.52,177.86,126.09,136.96,184.32,113.01,52.79,13.83
1994,8.57,13.63,64.50,91.14,165.48,137.90,111.66,115.51,193.71,213.33,35.77,3.89
1995,0.68,11.56,76.13,128.98,152.20,168.35,146.96,185.64,149.88,130.43,35.24,21.48
1996,6.08,43.74,51.77,126.10,180.46,205.51,144.37,178.42,139.11,123.23,21.13,16.74
1997,11.73,7.41,80.17,149.77,159.36,254.01,103.40,91.30,146.05,162.10,46.93,21.91
1998,14.82,31.76,23.17,113.96,153.19,140.93,94.94,119.10,150.57,151.10,33.28,16.43
1999,21.32,46.53,58.88,136.94,119.85,155.55,188.72,166.96,192.89,160.69,63.47,6.18
2000,18.98,10.26,72.91,124.46,139.79,179.22,128.78,134.19,159.71,110.82,28.48,4.93
2001,5.96,11.24,50.20,148.81,150.85,171.61,113.81,132.16,184.27,85.12,36.56,14.30
2002,5.78,14.76,68.67,137.76,139.47,188.75,189.17,136.26,120.83,176.67,32.27,3.34
2003,15.08,33.38,62.85,137.20,148.19,203.32,113.21,140.44,178.74,169.62,65.08,12.54
2004,25.54,30.01,53.37,105.52,125.01,111.41,160.78,134.93,206.35,158.28,48.79,12.70
2005,4.36,31.21,94.26,98.93,166.06,147.17,136.11,91.16,161.29,160.90,45.10,16.10
2006,5.41,29.57,64.24,72.65,188.63,150.87,116.85,107.51,203.15,186.03,29.06,12.17
2007,0.25,21.95,54.30,164.10,134.75,143.74,176.78,187.86,215.23,153.99,56.15,14.49
2008,6.52,24.92,83.98,113.56,161.39,195.03,194.79,195.64,172.35,132.29,54.83,27.34
2009,3.48,33.78,77.67,124.45,137.56,204.43,205.94,142.16,143.83,130.27,29.60,20.08
2010,10.97,39.77,45.58,107.89,114.83,182.02,133.29,174.11,243.36,206.40,61.92,18.41
2011,8.67,42.82,62.01,86.41,120.53,175.68,185.61,123.31,178.05,196.59,20.44,4.48
2012,15.59,45.24,29.90,118.82,159.00,179.57,145.57,134.45,180.63,129.51,58.21,56.87
2013,9.40,18.95,97.79,130.50,136.76,122.17,121.12,95.36,158.19,132.22,60.00,20.05
2014,22.85,34.87,83.83,115.89,129.71,183.01,136.70,125.10,211.36,122.08,69.89,9.48
2015,3.90,70.39,84.23,66.45,114.05,129.93,114.87,157.76,134.15,182.69,44.92,3.09
2016,3.98,12.35,93.34,84.99,171.95,151.85,144.11,140.69,220.87,100.71,48.30,21.22
2017,16.69,18.54,42.49,107.54,144.38,222.86,128.05,137.85,127.99,119.34,56.80,11.90
2018,4.44,56.39,85.45,91.11,140.76,170.06,156.32,180.26,212.44,173.05,31.50,13.46
2019,10.29,30.24,90.36,107.80,150.95,188.03,196.43,152.87,201.30,250.26,60.85,10.91
2020,10.17,7.43,76.49,108.03,138.68,186.54,153.51,127.35,226.13,154.63,26.30,16.85
2021,6.65,17.20,81.13,91.56,125.01,183.68,166.16,166.98,196.01,138.18,80.22,9.66
